ensembl_id,symbol,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000087116.15,ADAMTS2,1.33000174,0.755095353,1.904908127,0.246455032,4.656564401,2.75126E-05,0.180260135,2.130060627
ENSG00000260971.4,AC119674.1,1.795367881,0.988457904,2.602277857,-0.340289826,4.478565231,4.93015E-05,0.180260135,1.652822479
ENSG00000151632.17,AKR1C2,1.791970632,0.976674542,2.607266723,0.122358084,4.424111525,5.88501E-05,0.180260135,1.507890376
ENSG00000151006.7,PRSS53,1.015682656,0.547475627,1.483889684,0.050191508,4.366471659,7.09252E-05,0.180260135,1.355073293
ENSG00000137809.16,ITGA11,0.98482538,0.530819582,1.438831179,0.199626056,4.36624771,7.09765E-05,0.180260135,1.354480785
ENSG00000198276.15,UCKL1,0.559387125,0.297479218,0.821295032,-0.120880595,4.299068787,8.81317E-05,0.180260135,1.177191158
ENSG00000058673.16,ZC3H11A,1.488987197,0.789067159,2.188907236,-0.138320011,4.282063212,9.30792E-05,0.180260135,1.132457245
ENSG00000196154.11,S100A4,1.886413775,0.992102172,2.780725377,-0.076882661,4.245791192,0.000104554,0.180260135,1.037244455
ENSG00000077454.15,LRCH4,0.680250768,0.355898463,1.004603073,-0.119550995,4.221459138,0.000113011,0.180260135,0.973531401
ENSG00000100364.18,KIAA0930,0.699302712,0.364640385,1.033965039,-0.116869091,4.205996665,0.000118728,0.180260135,0.933110382
ENSG00000106153.12,CHCHD2,-0.69000887,-1.021265756,-0.358751985,-0.014946795,-4.192762842,0.000123844,0.180260135,0.898557418
ENSG00000168209.4,DDIT4,1.250050475,0.641103618,1.858997331,-0.148227205,4.131984603,0.000150226,0.196297827,0.740378141
ENSG00000181638.17,ZFP41,0.593274413,0.300165765,0.88638306,0.066269655,4.074154782,0.000180355,0.196297827,0.590677291
ENSG00000143106.12,PSMA5,-1.038779912,-1.564197913,-0.513361911,-0.037543385,-3.979505717,0.000242732,0.196297827,0.347451546
ENSG00000260558.2,AC018557.2,1.214484098,0.600083759,1.828884438,-0.1398609,3.978789141,0.000243276,0.196297827,0.345618898
ENSG00000143552.9,NUP210L,1.430799989,0.705838319,2.155761659,-0.159903625,3.97259618,0.000248027,0.196297827,0.329785992
ENSG00000104915.14,STX10,0.519456945,0.255392298,0.783521591,-0.100187269,3.959586492,0.0002583,0.196297827,0.29655851
ENSG00000231010.1,AL121672.1,1.376949059,0.673574499,2.080323619,-0.101780644,3.940413106,0.000274196,0.196297827,0.247670965
ENSG00000100038.19,TOP3B,0.567562753,0.275940305,0.8591852,-0.070930147,3.917450106,0.000294482,0.196297827,0.189251639
ENSG00000185000.11,DGAT1,0.579347017,0.279834516,0.878859519,0.051867089,3.893447824,0.000317234,0.196297827,0.128343085
ENSG00000141404.15,GNAL,-0.625628767,-0.950352008,-0.300905526,0.19792765,-3.878054201,0.00033271,0.196297827,0.089364449
ENSG00000115415.18,STAT1,-0.627304962,-0.953825699,-0.300784226,-0.051126815,-3.86703848,0.00034423,0.196297827,0.061512202
ENSG00000137731.13,FXYD2,1.464593702,0.700934817,2.228252588,0.157339353,3.860364304,0.000351397,0.196297827,0.044653913
ENSG00000090615.14,GOLGA3,0.3956706,0.189048671,0.60229253,0.029660215,3.854498727,0.000357813,0.196297827,0.029848555
ENSG00000120071.14,KANSL1,0.401263403,0.190836946,0.61168986,-0.0349552,3.83830735,0.000376119,0.196297827,-0.010968977
ENSG00000143891.16,GALM,0.776745961,0.368289525,1.185202396,0.064951739,3.827752055,0.000388535,0.196297827,-0.037537438
ENSG00000164073.10,MFSD8,-0.57046944,-0.870643617,-0.270295263,-0.112850664,-3.825336052,0.000391432,0.196297827,-0.043614137
ENSG00000276043.4,UHRF1,1.286995241,0.608961242,1.965029239,-0.445735143,3.820639029,0.000397124,0.196297827,-0.055423143
ENSG00000116809.11,ZBTB17,0.43626408,0.206303151,0.666225009,-0.125359681,3.818615576,0.000399601,0.196297827,-0.06050841
ENSG00000176531.10,PHLDB3,0.848235523,0.400925,1.295546045,0.00571349,3.81696238,0.000401635,0.196297827,-0.064662271
ENSG00000213221.4,DNLZ,1.059161196,0.50031254,1.618009852,-0.043145669,3.814858105,0.00040424,0.196297827,-0.06994836
ENSG00000112511.17,PHF1,0.427916541,0.202021132,0.653811949,0.009490237,3.812959643,0.000406603,0.196297827,-0.074716315
ENSG00000261423.1,TMEM202-AS1,0.924401889,0.435828791,1.412974988,-0.141939385,3.80839347,0.000412342,0.196297827,-0.086179834
ENSG00000072042.12,RDH11,-0.369469119,-0.565542544,-0.173395695,-0.085527358,-3.792887393,0.00043242,0.196297827,-0.125062244
ENSG00000145882.10,PCYOX1L,-1.247512936,-1.913548943,-0.581476929,0.088943063,-3.770143559,0.000463583,0.196297827,-0.181963777
ENSG00000006704.10,GTF2IRD1,0.579193719,0.269915712,0.888471726,0.015375991,3.769513853,0.000464476,0.196297827,-0.183536985
ENSG00000184428.12,TOP1MT,0.499645498,0.232782725,0.766508272,0.002270847,3.768638859,0.000465719,0.196297827,-0.185722804
ENSG00000175920.17,DOK7,1.229189693,0.572405009,1.885974378,0.534510205,3.767093773,0.000467923,0.196297827,-0.189582006
ENSG00000235888.1,AF064858.1,1.400123941,0.643672836,2.156575047,0.281645124,3.725599425,0.000530998,0.196297827,-0.292950385
ENSG00000205632.3,LINC01310,-1.605907347,-2.473564172,-0.738250521,-0.231670317,-3.725486855,0.00053118,0.196297827,-0.29323009
ENSG00000091483.6,FH,-1.065248973,-1.641455455,-0.48904249,0.031838661,-3.721204368,0.000538139,0.196297827,-0.303867937
ENSG00000131238.17,PPT1,-0.485177433,-0.747617101,-0.222737766,0.027888668,-3.721188345,0.000538165,0.196297827,-0.303907729
ENSG00000108786.10,HSD17B1,0.593600164,0.272512902,0.914687426,-0.109970052,3.721186815,0.000538168,0.196297827,-0.303911529
ENSG00000278727.1,AC000403.1,-1.507462011,-2.323187509,-0.691736514,0.117173632,-3.719742502,0.000540535,0.196297827,-0.307497954
ENSG00000141579.6,ZNF750,0.761305936,0.348596734,1.174015137,-0.089580986,3.71300558,0.000551708,0.196297827,-0.324218019
ENSG00000177731.15,FLII,0.447674172,0.204099837,0.691248506,-0.10054603,3.699483139,0.00057481,0.200071324,-0.357735694
ENSG00000269439.5,AC010618.3,1.121499321,0.508358246,1.734640396,-0.163404376,3.68170631,0.000606598,0.206552324,-0.401710437
ENSG00000177943.13,MAMDC4,1.377386001,0.622950668,2.131821334,-0.059113616,3.674888636,0.000619231,0.206552324,-0.418548617
ENSG00000166578.9,IQCD,0.904627591,0.40745203,1.401803151,-0.120377426,3.662440646,0.000642953,0.210088237,-0.449253867
ENSG00000162526.6,TSSK3,0.923458519,0.413157788,1.433759251,-0.024913085,3.642518273,0.000682745,0.218628493,-0.498291445
ENSG00000166166.12,TRMT61A,0.752967821,0.333570742,1.172364899,-0.057541544,3.613778698,0.000744334,0.226667639,-0.568802283
ENSG00000100014.19,SPECC1L,0.430332142,0.190213174,0.670451109,0.048001185,3.607346467,0.000758831,0.226667639,-0.584545809
ENSG00000166387.12,PPFIBP2,0.91734114,0.403339799,1.431342481,-0.473391651,3.592337703,0.000793717,0.226667639,-0.621227276
ENSG00000120437.8,ACAT2,-1.04263414,-1.627996472,-0.457271808,-0.146112723,-3.58523566,0.000810755,0.226667639,-0.638558202
ENSG00000205622.9,AP001043.1,1.266974797,0.554087338,1.979862255,0.233708362,3.577317932,0.000830163,0.226667639,-0.657859444
ENSG00000106355.9,LSM5,-0.709868909,-1.109392812,-0.310345007,-0.081098375,-3.576398686,0.000832445,0.226667639,-0.66009893
ENSG00000125772.12,GPCPD1,-0.765833302,-1.19746073,-0.334205874,0.053056311,-3.57137744,0.000845017,0.226667639,-0.672326701
ENSG00000188566.13,NDOR1,0.640968861,0.279022828,1.002914894,-0.075058514,3.564541277,0.000862424,0.226667639,-0.688960296
ENSG00000063244.12,U2AF2,0.35052403,0.152482038,0.548566022,-0.031819797,3.562632686,0.000867345,0.226667639,-0.693601374
