ENSEMBL,ENTREZID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val
ENSG00000177830,66005,CHID1,-0.4616922,5.33087341,-5.885822,1.90E-07,0.0022805
ENSG00000105855,3696,ITGB8,1.02291542,7.02350801,5.68627191,4.07E-07,0.0022805
ENSG00000149289,85463,ZC3H12C,0.72217753,4.72933002,5.59333121,5.79E-07,0.0022805
ENSG00000135837,9857,CEP350,0.64634743,5.99043935,5.5347484,7.23E-07,0.0022805
ENSG00000128585,4289,MKLN1,0.52612716,7.00481206,5.46016706,9.57E-07,0.0022805
ENSG00000118007,10274,STAG1,0.48540813,5.18677568,5.39433788,1.23E-06,0.0022805
ENSG00000136279,28988,DBNL,-0.3960194,6.32459752,-5.2951763,1.78E-06,0.0022805
ENSG00000185920,5727,PTCH1,0.77377313,5.24792872,5.25324529,2.08E-06,0.0022805
ENSG00000124440,64344,HIF3A,1.52000157,5.19725481,5.22968138,2.27E-06,0.0022805
ENSG00000149809,7108,TM7SF2,-0.7257325,4.57450123,-5.223974,2.31E-06,0.0022805
ENSG00000096060,2289,FKBP5,1.48133116,6.53606617,5.22182381,2.33E-06,0.0022805
ENSG00000174306,23051,ZHX3,0.55864798,7.21936359,5.18404522,2.68E-06,0.0022805
ENSG00000121766,51538,ZCCHC17,-0.4193796,6.15178596,-5.1831063,2.69E-06,0.0022805
ENSG00000178802,4351,MPI,-0.3582541,5.70174873,-5.1494818,3.05E-06,0.0022805
ENSG00000011114,55727,BTBD7,0.61794495,4.59271242,5.13409963,3.23E-06,0.0022805
ENSG00000113594,3977,LIFR,0.7909503,7.17422257,5.13390884,3.23E-06,0.0022805
ENSG00000143337,26092,TOR1AIP1,0.39964639,6.43992719,5.13075888,3.27E-06,0.0022805
ENSG00000101473,10005,ACOT8,-0.4262798,4.86346747,-5.1215625,3.38E-06,0.0022805
ENSG00000172845,6670,SP3,0.31693609,5.86040659,5.11971517,3.40E-06,0.0022805
ENSG00000100906,4792,NFKBIA,0.90450629,5.9650043,5.11578419,3.45E-06,0.0022805
ENSG00000111961,23328,SASH1,0.83454825,7.50643887,5.09329353,3.75E-06,0.00235952
ENSG00000114127,54464,XRN1,0.42191793,4.63015623,5.06250155,4.20E-06,0.0025223
ENSG00000134324,23175,LPIN1,0.48360315,6.54260916,5.04745421,4.44E-06,0.00254969
ENSG00000137145,55667,DENND4C,0.67273449,4.74013228,4.98782979,5.52E-06,0.0030398
ENSG00000186298,5501,PPP1CC,0.45507805,7.03339939,4.97089992,5.87E-06,0.00310438
ENSG00000055609,58508,KMT2C,0.66230893,6.44830913,4.92346951,6.98E-06,0.00342607
ENSG00000270629,25832,NBPF14,0.89754596,2.8713123,4.91978181,7.08E-06,0.00342607
ENSG00000178075,54762,GRAMD1C,1.03287604,5.26172413,4.90328911,7.51E-06,0.00342607
ENSG00000144909,114885,OSBPL11,0.7301763,5.07246079,4.90307253,7.52E-06,0.00342607
ENSG00000065243,5586,PKN2,0.52621956,5.09953721,4.87774325,8.24E-06,0.00363077
ENSG00000106080,55033,FKBP14,0.56582704,3.85883546,4.86239099,8.72E-06,0.00371468
ENSG00000108528,8402,SLC25A11,-0.3868909,6.31748316,-4.8351727,9.62E-06,0.00382679
ENSG00000104517,51366,UBR5,0.47199385,6.45481913,4.82917456,9.83E-06,0.00382679
ENSG00000172493,4299,AFF1,0.67216986,5.58657227,4.82863558,9.85E-06,0.00382679
ENSG00000100393,2033,EP300,0.54723896,5.98182093,4.81326261,1.04E-05,0.00392962
ENSG00000134250,4853,NOTCH2,1.29816418,6.7605223,4.8020488,1.08E-05,0.00397816
ENSG00000028310,65980,BRD9,-0.4680741,5.13168803,-4.7805453,1.17E-05,0.00411908
ENSG00000244187,85014,TMEM141,-0.5320878,2.9366,-4.7773729,1.18E-05,0.00411908
ENSG00000130414,4705,NDUFA10,-0.3024031,6.58391589,-4.747352,1.32E-05,0.00447072
ENSG00000171791,596,BCL2,0.58730464,5.4548421,4.73717406,1.37E-05,0.00452109
ENSG00000159140,6651,SON,0.38382899,7.6864965,4.71215215,1.50E-05,0.00480631
ENSG00000103319,29904,EEF2K,0.60216477,5.38941316,4.70647668,1.53E-05,0.00480631
ENSG00000119599,26094,DCAF4,-0.4862274,3.40285124,-4.6812701,1.67E-05,0.00507608
ENSG00000135111,6926,TBX3,0.94656703,2.73045195,4.67817708,1.69E-05,0.00507608
ENSG00000104219,51201,ZDHHC2,0.52808965,5.96428268,4.65996614,1.80E-05,0.00529635
ENSG00000038427,1462,VCAN,0.97284079,6.34859096,4.63245053,1.99E-05,0.00562903
ENSG00000100503,51199,NIN,0.39359755,5.70009948,4.62537654,2.04E-05,0.00562903
ENSG00000070018,4040,LRP6,0.48822388,5.35205355,4.62368362,2.05E-05,0.00562903
ENSG00000256537,100129361,SMIM10L1,-0.4047977,5.07622231,-4.6188038,2.09E-05,0.00562903
ENSG00000143970,55252,ASXL2,0.53982235,5.10889471,4.61321627,2.13E-05,0.00562903
ENSG00000166889,219988,PATL1,0.31973641,4.68026445,4.58850554,2.33E-05,0.00581187
ENSG00000120690,1997,ELF1,0.76058211,4.23636914,4.57972986,2.40E-05,0.00581187
ENSG00000157005,6750,SST,-1.9512466,1.99418985,-4.5752369,2.44E-05,0.00581187
ENSG00000164188,202151,RANBP3L,1.20072593,6.39221586,4.57179474,2.47E-05,0.00581187
ENSG00000163406,6565,SLC15A2,1.03053332,5.69776656,4.57061089,2.48E-05,0.00581187
ENSG00000145390,54532,USP53,0.74732001,5.01566538,4.56834081,2.50E-05,0.00581187
ENSG00000031081,57514,ARHGAP31,0.88413891,5.6170044,4.56720478,2.51E-05,0.00581187
ENSG00000271425,100132406,NBPF10,0.93216988,1.40729658,4.56138951,2.56E-05,0.00583028
ENSG00000165029,19,ABCA1,0.94418204,4.31928466,4.52274002,2.93E-05,0.0064927
ENSG00000183943,5613,PRKX,0.92383428,4.58710577,4.52126662,2.95E-05,0.0064927
ENSG00000124942,79026,AHNAK,1.11195113,8.80771911,4.50251333,3.15E-05,0.00682175
ENSG00000118762,5311,PKD2,0.46442632,4.95242222,4.48568285,3.34E-05,0.00707679
ENSG00000009413,5980,REV3L,0.39793619,5.27706882,4.48260866,3.38E-05,0.00707679
ENSG00000126602,10131,TRAP1,-0.3982317,6.08369513,-4.4783823,3.43E-05,0.00707679
ENSG00000133142,79921,TCEAL4,-0.3288037,7.00652331,-4.4721983,3.50E-05,0.00712063
ENSG00000101871,4281,MID1,0.7833199,4.039328,4.46646968,3.57E-05,0.00715492
ENSG00000148498,56288,PARD3,0.94541741,5.00439066,4.45747982,3.69E-05,0.00719504
ENSG00000096080,55168,MRPS18A,-0.3109087,4.74735014,-4.4559067,3.71E-05,0.00719504
ENSG00000115112,29842,TFCP2L1,1.99593437,1.19288154,4.44835502,3.81E-05,0.00719504
ENSG00000103507,10295,BCKDK,-0.5403221,4.53343965,-4.447702,3.82E-05,0.00719504
ENSG00000101974,286410,ATP11C,0.81411297,3.1481449,4.44400145,3.87E-05,0.00719504
ENSG00000187079,7003,TEAD1,0.77445699,5.83055529,4.43149579,4.04E-05,0.00741192
ENSG00000171310,50515,CHST11,0.63742647,5.19678969,4.42145146,4.18E-05,0.00757115
ENSG00000165185,158405,KIAA1958,0.71207679,4.54677326,4.41394965,4.29E-05,0.00766676
ENSG00000104522,7264,TSTA3,-0.4506825,4.23629459,-4.3988095,4.53E-05,0.00797409
ENSG00000153922,1105,CHD1,0.42024591,4.28774633,4.39117436,4.65E-05,0.00808098
ENSG00000133065,254428,SLC41A1,0.52688321,6.25158078,4.38485979,4.75E-05,0.00815306
ENSG00000143603,3782,KCNN3,0.87245437,6.25380748,4.3700165,5.00E-05,0.00837796
ENSG00000100852,394,ARHGAP5,0.53474615,8.11221858,4.36762423,5.04E-05,0.00837796
ENSG00000134352,3572,IL6ST,0.5147829,8.55177878,4.36601409,5.07E-05,0.00837796
ENSG00000101460,84557,MAP1LC3A,-0.5722414,6.07586364,-4.353308,5.30E-05,0.00856194
ENSG00000129493,25938,HEATR5A,0.67585345,4.76535687,4.35262456,5.31E-05,0.00856194
ENSG00000116497,64766,S100PBP,0.47541917,4.4971784,4.33787013,5.59E-05,0.00874775
ENSG00000158467,23382,AHCYL2,0.66279254,7.24016675,4.33673476,5.61E-05,0.00874775
ENSG00000119778,54454,ATAD2B,0.48377557,2.97061335,4.33604032,5.63E-05,0.00874775
ENSG00000162520,81493,SYNC,0.80124788,3.3849451,4.33239347,5.70E-05,0.00875575
ENSG00000101542,28316,CDH20,0.74263495,5.60965187,4.32349799,5.88E-05,0.00892528
ENSG00000110442,29099,COMMD9,-0.2780075,5.31697366,-4.3179706,5.99E-05,0.00899388
ENSG00000176624,51320,MEX3C,0.40432249,4.95097278,4.3088284,6.18E-05,0.00911913
ENSG00000105419,56917,MEIS3,-0.7217111,5.66619457,-4.3074485,6.21E-05,0.00911913
ENSG00000143436,65005,MRPL9,-0.2646762,4.75581763,-4.3025743,6.32E-05,0.00916102
ENSG00000177556,475,ATOX1,-0.4639797,4.55872156,-4.2997424,6.38E-05,0.00916102
ENSG00000090376,11213,IRAK3,1.17526266,3.26951886,4.29308934,6.53E-05,0.00922195
ENSG00000275066,11276,SYNRG,0.3084214,5.66579621,4.29157339,6.56E-05,0.00922195
ENSG00000204386,4758,NEU1,-0.3013819,5.23865729,-4.2869437,6.67E-05,0.00927144
ENSG00000170324,143162,FRMPD2,-1.3685892,2.1529556,-4.2758718,6.93E-05,0.00949691
ENSG00000133812,81846,SBF2,0.55813567,5.60169506,4.27083751,7.05E-05,0.00949691
ENSG00000196247,51427,ZNF107,0.57582313,3.05185158,4.26985122,7.07E-05,0.00949691
ENSG00000249915,10016,PDCD6,-0.294452,5.84472196,-4.2679561,7.12E-05,0.00949691
ENSG00000145246,57205,ATP10D,0.73056014,3.81998925,4.25452651,7.45E-05,0.00984538
ENSG00000198682,9060,PAPSS2,1.02882645,4.31412444,4.25005832,7.57E-05,0.00987542
ENSG00000205352,54458,PRR13,-0.4466218,4.53487303,-4.2478614,7.62E-05,0.00987542
ENSG00000107104,23189,KANK1,0.64354905,6.30324512,4.23187818,8.05E-05,0.01032964
ENSG00000241399,9936,CD302,0.79521556,4.68597218,4.22355034,8.29E-05,0.01048864
ENSG00000068400,56850,GRIPAP1,-0.3774411,6.51535572,-4.2201807,8.38E-05,0.01048864
ENSG00000232119,28985,MCTS1,-0.3802482,4.59245217,-4.2151641,8.53E-05,0.01048864
ENSG00000134569,4038,LRP4,1.00277765,7.90721902,4.20697752,8.77E-05,0.01048864
ENSG00000137693,10413,YAP1,0.9427187,5.93302773,4.20592986,8.80E-05,0.01048864
ENSG00000107854,80351,TNKS2,0.36576011,6.45037077,4.20407665,8.86E-05,0.01048864
ENSG00000109118,57649,PHF12,0.356795,5.09122837,4.20131389,8.94E-05,0.01048864
ENSG00000196616,125,ADH1B,1.65970716,2.21230817,4.20119347,8.94E-05,0.01048864
ENSG00000149527,9651,PLCH2,-0.7329746,4.17188597,-4.1982049,9.03E-05,0.01048864
ENSG00000141639,5596,MAPK4,0.6607427,7.01957498,4.19798698,9.04E-05,0.01048864
ENSG00000183856,128239,IQGAP3,-1.4753994,0.36282328,-4.1976898,9.05E-05,0.01048864
ENSG00000167815,7001,PRDX2,-0.3458517,7.89793093,-4.1928261,9.20E-05,0.01055771
ENSG00000184634,9968,MED12,0.47261661,4.83818166,4.19051925,9.27E-05,0.01055771
ENSG00000189159,51155,JPT1,-0.4930988,5.84497898,-4.1867804,9.39E-05,0.01055771
ENSG00000084676,8648,NCOA1,0.36539564,7.26373552,4.17959398,9.63E-05,0.01055771
ENSG00000171100,4534,MTM1,0.67005216,4.59226297,4.17488592,9.78E-05,0.01055771
ENSG00000146648,1956,EGFR,0.96220215,6.03099939,4.17418841,9.80E-05,0.01055771
ENSG00000157890,84465,MEGF11,0.71263458,3.92260311,4.17407075,9.81E-05,0.01055771
ENSG00000197779,347344,ZNF81,0.74074976,2.74981577,4.17371496,9.82E-05,0.01055771
ENSG00000166557,23423,TMED3,-0.3445922,4.80281014,-4.1715718,9.89E-05,0.01055771
ENSG00000120733,51780,KDM3B,0.26961226,6.59392748,4.17105582,9.91E-05,0.01055771
ENSG00000067900,6093,ROCK1,0.61404567,5.49128056,4.16106856,0.00010251,0.01063614
ENSG00000180008,122809,SOCS4,0.4862021,4.91180782,4.16064175,0.00010266,0.01063614
ENSG00000152952,5352,PLOD2,0.79656145,5.321967,4.15863158,0.00010336,0.01063614
ENSG00000005889,7543,ZFX,0.34746235,4.96195122,4.15556264,0.00010444,0.01063614
ENSG00000137413,129685,TAF8,0.35552757,4.50292241,4.15346086,0.00010519,0.01063614
ENSG00000117682,79947,DHDDS,-0.3066624,4.61253979,-4.1484403,0.00010699,0.01063614
ENSG00000107779,657,BMPR1A,0.51676551,5.05725163,4.14800825,0.00010715,0.01063614
ENSG00000189079,196528,ARID2,0.40316569,4.30933969,4.14313199,0.00010894,0.01063614
ENSG00000168137,55209,SETD5,0.31055794,6.24857801,4.14242635,0.0001092,0.01063614
ENSG00000182963,10052,GJC1,0.65643855,3.41337116,4.14191601,0.00010939,0.01063614
ENSG00000145882,78991,PCYOX1L,-0.7191771,3.84702292,-4.1409403,0.00010975,0.01063614
ENSG00000176410,84277,DNAJC30,-0.6512694,3.12836748,-4.1394962,0.00011029,0.01063614
ENSG00000101096,4773,NFATC2,0.90996575,2.62630078,4.13874625,0.00011057,0.01063614
ENSG00000170677,9306,SOCS6,0.44647683,4.62653538,4.13393062,0.00011238,0.01063614
ENSG00000183579,84133,ZNRF3,0.8771548,5.81012251,4.13338749,0.00011259,0.01063614
ENSG00000092470,79968,WDR76,0.67729276,2.18476526,4.13052738,0.00011369,0.01063614
ENSG00000030066,23279,NUP160,0.50810627,4.20519906,4.12989464,0.00011393,0.01063614
ENSG00000107554,23268,DNMBP,0.49638496,3.59282145,4.12690037,0.00011509,0.01063614
ENSG00000135766,54583,EGLN1,0.33337656,7.07156908,4.12681937,0.00011512,0.01063614
ENSG00000196865,374354,NHLRC2,0.4381728,4.81963279,4.12346125,0.00011643,0.01068289
ENSG00000198087,23607,CD2AP,0.55140627,3.84948983,4.11458826,0.00011998,0.01080069
ENSG00000104447,7227,TRPS1,0.75451987,4.66389161,4.11424178,0.00012012,0.01080069
ENSG00000163625,23001,WDFY3,0.40454803,7.31087452,4.11411244,0.00012017,0.01080069
ENSG00000092969,7042,TGFB2,1.03794299,4.77408803,4.11149958,0.00012124,0.01082276
ENSG00000158008,2134,EXTL1,-0.7401465,5.12560613,-4.1063874,0.00012335,0.01086057
ENSG00000174718,55196,KIAA1551,0.47357437,4.51524729,4.10538578,0.00012376,0.01086057
ENSG00000162975,3754,KCNF1,-0.7056764,4.60924744,-4.1045193,0.00012413,0.01086057
ENSG00000070778,11099,PTPN21,0.48278313,4.52926736,4.1010368,0.00012559,0.01091658
ENSG00000126259,84063,KIRREL2,-0.9014207,-0.4388458,-4.0920251,0.00012946,0.01117964
ENSG00000101365,3420,IDH3B,-0.2998238,6.05013512,-4.0875069,0.00013145,0.01127733
ENSG00000116260,5768,QSOX1,-0.32088,5.56305224,-4.0807431,0.00013448,0.01137089
ENSG00000123104,3709,ITPR2,0.96304911,5.70833031,4.0795507,0.00013502,0.01137089
ENSG00000100442,2287,FKBP3,-0.3307162,6.7099407,-4.0793176,0.00013512,0.01137089
ENSG00000203952,347475,CCDC160,0.84122845,1.40633878,4.0658762,0.00014137,0.01169971
ENSG00000132825,5509,PPP1R3D,0.56131306,3.91735062,4.06421368,0.00014216,0.01169971
ENSG00000083312,3842,TNPO1,0.41914285,6.66491031,4.06395369,0.00014228,0.01169971
ENSG00000104140,171177,RHOV,-1.0613679,1.53697182,-4.0604027,0.00014399,0.01169971
ENSG00000182134,11022,TDRKH,-0.446763,4.44733148,-4.059985,0.00014419,0.01169971
ENSG00000177125,403341,ZBTB34,0.38332874,4.2036991,4.05966816,0.00014434,0.01169971
ENSG00000180884,126375,ZNF792,0.79145256,0.86570285,4.05583421,0.00014621,0.01172139
ENSG00000186566,23131,GPATCH8,0.27659294,5.86437975,4.05548123,0.00014638,0.01172139
ENSG00000140688,64755,C16orf58,-0.3762414,5.98112039,-4.0478662,0.00015017,0.01183743
ENSG00000005339,1387,CREBBP,0.41362915,6.11153769,4.0408355,0.00015375,0.01183743
ENSG00000173545,90441,ZNF622,-0.3954828,4.65424255,-4.0384131,0.000155,0.01183743
ENSG00000114902,28972,SPCS1,-0.4141096,5.9209136,-4.0383965,0.00015501,0.01183743
ENSG00000103342,2935,GSPT1,0.28690538,6.77896364,4.03280527,0.00015794,0.01183743
ENSG00000151208,9231,DLG5,0.53047665,5.45122481,4.03160276,0.00015857,0.01183743
ENSG00000166225,10818,FRS2,0.38050623,5.74572662,4.03134023,0.00015871,0.01183743
ENSG00000081692,65094,JMJD4,-0.573229,3.76494493,-4.0310093,0.00015889,0.01183743
ENSG00000076555,32,ACACB,0.80166666,5.5631493,4.02889155,0.00016002,0.01183743
ENSG00000155980,3798,KIF5A,0.68760363,12.24143,4.02725378,0.00016089,0.01183743
ENSG00000116649,6723,SRM,-0.3854929,5.12135419,-4.0235794,0.00016288,0.01183743
ENSG00000115317,27429,HTRA2,-0.2601812,4.66834332,-4.0219932,0.00016375,0.01183743
ENSG00000167114,10999,SLC27A4,-0.4496997,5.41948656,-4.0211392,0.00016422,0.01183743
ENSG00000175287,254295,PHYHD1,0.99405417,4.46445209,4.02058742,0.00016452,0.01183743
ENSG00000196510,51434,ANAPC7,-0.2780929,5.30281162,-4.020233,0.00016471,0.01183743
ENSG00000139132,121512,FGD4,0.4966171,5.24869892,4.01998298,0.00016485,0.01183743
ENSG00000152520,255967,PAN3,0.29180481,4.31756749,4.0199556,0.00016487,0.01183743
ENSG00000153208,10461,MERTK,0.90805222,5.22026693,4.01853535,0.00016565,0.01183743
ENSG00000175182,131408,FAM131A,-0.558755,6.70259761,-4.0170523,0.00016647,0.01183743
