gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
PPTC7|ENSG00000196850	0.071328027	0.781920389	31	Control	AD
TMEM222|ENSG00000186501	0.184060117	0.320198899	31	Control	AD
BRMS1L|ENSG00000100916	0.12358056	0.457221668	31	Control	AD
DPP10|ENSG00000175497	0.167589071	0.583565565	31	Control	AD
RNF11|ENSG00000123091	0.271343808	0.14440566	31	Control	AD
C1QTNF1|ENSG00000173918	0.538623553	0.086796897	31	Control	AD
LITATS1|ENSG00000233621	0.065527974	0.8071667	31	Control	AD
ZBTB18|ENSG00000179456	0.081160597	0.770664731	31	Control	AD
SPIN1|ENSG00000106723	-0.089360568	0.673567466	31	Control	AD
CORO7|ENSG00000262246	-0.34995324	0.116614991	31	Control	AD
OXR1|ENSG00000164830	0.491102691	0.102191599	31	Control	AD
SDSL|ENSG00000139410	0.533092619	0.055297434	31	Control	AD
CNTN3|ENSG00000113805	0.282814122	0.397131621	31	Control	AD
GRM1|ENSG00000152822	0.004093801	0.990203323	31	Control	AD
UHMK1|ENSG00000152332	0.009957328	0.953574041	31	Control	AD
ARHGAP32|ENSG00000134909	0.147591788	0.620325968	31	Control	AD
KCNIP4|ENSG00000281758	0.212990309	0.509330236	31	Control	AD
DUSP15|ENSG00000149599	0.218479113	0.463409942	31	Control	AD
RASA1|ENSG00000145715	0.111869936	0.668260113	31	Control	AD
LINC02607|ENSG00000228971	-0.002137678	0.994875581	31	Control	AD
TRIM36|ENSG00000152503	0.082671925	0.799223517	31	Control	AD
COL24A1|ENSG00000171502	0.162097253	0.62746379	31	Control	AD
C11orf96|ENSG00000187479	0.714455156	0.032147756	31	Control	AD
APP|ENSG00000142192	0.236590534	0.181063382	31	Control	AD
AP1B1|ENSG00000100280	0.210284411	0.209554555	31	Control	AD
MIDN|ENSG00000167470	0.451831469	0.098683247	31	Control	AD
VWA1|ENSG00000179403	0.234622098	0.406407686	31	Control	AD
PMPCA|ENSG00000165688	0.129313737	0.347633055	31	Control	AD
EHD2|ENSG00000024422	0.290623591	0.321560969	31	Control	AD
SLC4A10|ENSG00000144290	0.418874992	0.199499298	31	Control	AD
RAB27B|ENSG00000041353	0.337198882	0.311676722	31	Control	AD
BAK1|ENSG00000030110	0.215540407	0.358430381	31	Control	AD
TEK|ENSG00000120156	0.593589904	0.036350211	31	Control	AD
SEC14L2|ENSG00000100003	-0.015234662	0.9559282	31	Control	AD
	0.08324466	0.803041728	31	Control	AD
C3orf80|ENSG00000180044	0.293750539	0.372099866	31	Control	AD
CHN1|ENSG00000128656	0.270111063	0.409249706	31	Control	AD
SLC39A10|ENSG00000196950	0.313271316	0.25929479	31	Control	AD
MAGI3|ENSG00000081026	0.374964654	0.199738158	31	Control	AD
CHL1|ENSG00000134121	0.317450983	0.32764485	31	Control	AD
SRD5A1|ENSG00000145545	0.146137028	0.612317583	31	Control	AD
DACH2|ENSG00000126733	0.25727841	0.440971229	31	Control	AD
ST6GALNAC5|ENSG00000117069	0.178109431	0.590639767	31	Control	AD
	0.298884831	0.364703162	31	Control	AD
RGS7BP|ENSG00000186479	0.274448076	0.403258498	31	Control	AD
GLRA2|ENSG00000101958	0.184774661	0.579201911	31	Control	AD
TPD52|ENSG00000076554	-0.031280707	0.888189139	31	Control	AD
TAFA2|ENSG00000198673	0.147651362	0.658524729	31	Control	AD
SLC1A6|ENSG00000105143	0.213960001	0.512943274	31	Control	AD
FOXG1|ENSG00000176165	0.02422732	0.938915353	31	Control	AD
PKIA|ENSG00000171033	0.155004232	0.505197663	31	Control	AD
IL17RC|ENSG00000163702	0.369156023	0.117034077	31	Control	AD
ECE1|ENSG00000117298	0.218653112	0.466753288	31	Control	AD
CCDC85A|ENSG00000055813	0.237285529	0.446397991	31	Control	AD
	-0.394151599	0.232653875	31	Control	AD
PNMA6F|ENSG00000225110	0.313649511	0.338174569	31	Control	AD
	-0.031919186	0.90353833	31	Control	AD
COL21A1|ENSG00000124749	-0.296947911	0.346646496	31	Control	AD
SMIM43|ENSG00000164112	0.26285745	0.431445533	31	Control	AD
CDH9|ENSG00000113100	0.240086872	0.444366698	31	Control	AD
ALDH1A3-AS1|ENSG00000259583	0.255317151	0.439334608	31	Control	AD
FCGBP|ENSG00000275395	0.523987421	0.114644992	31	Control	AD
PLEKHA4|ENSG00000105559	0.546641032	0.079224053	31	Control	AD
RRAGB|ENSG00000083750	0.171602091	0.465135149	31	Control	AD
ORAI3|ENSG00000175938	0.109106202	0.691095233	31	Control	AD
AK5|ENSG00000154027	0.008098044	0.972682942	31	Control	AD
TEAD4|ENSG00000197905	0.513910908	0.119944135	31	Control	AD
SATB1|ENSG00000182568	-0.009324252	0.973242785	31	Control	AD
GRIA2|ENSG00000120251	0.223120769	0.47800062	31	Control	AD
MAPK10|ENSG00000109339	0.018706386	0.946908333	31	Control	AD
AAMDC|ENSG00000087884	0.042332644	0.87214421	31	Control	AD
DOK6|ENSG00000206052	0.164808197	0.601915759	31	Control	AD
GPR143|ENSG00000101850	0.392727134	0.210317363	31	Control	AD
CRYM|ENSG00000103316	0.276477376	0.402994475	31	Control	AD
SGTA|ENSG00000104969	0.058353526	0.755172409	31	Control	AD
C11orf87|ENSG00000185742	0.314556593	0.339056415	31	Control	AD
OPRM1|ENSG00000112038	-0.047943922	0.882739235	31	Control	AD
MCF2|ENSG00000101977	0.322430509	0.329444391	31	Control	AD
UNC119|ENSG00000109103	-0.032782679	0.874622546	31	Control	AD
C7orf50|ENSG00000146540	0.494841701	0.062101517	31	Control	AD
PTGER3|ENSG00000050628	0.369504008	0.240982925	31	Control	AD
AP3S1|ENSG00000177879	0.064581302	0.693470634	31	Control	AD
PRKACB|ENSG00000142875	0.018299517	0.941903218	31	Control	AD
SCN3A|ENSG00000153253	0.198555791	0.537799291	31	Control	AD
CAMK2N1|ENSG00000162545	-0.171293161	0.339041292	31	Control	AD
ZNF204P|ENSG00000204789	0.087408782	0.779371391	31	Control	AD
SNAI1|ENSG00000124216	-0.344258544	0.251653137	31	Control	AD
XKR8|ENSG00000158156	-0.272060642	0.211438048	31	Control	AD
MACROD2|ENSG00000172264	0.283691324	0.351588776	31	Control	AD
ARRDC1-AS1|ENSG00000203993	0.007265383	0.96757795	31	Control	AD
HTR2C|ENSG00000147246	0.417840853	0.16226424	31	Control	AD
SLC17A8|ENSG00000179520	0.09198128	0.783181742	31	Control	AD
DRAXIN|ENSG00000162490	0.205550811	0.48772365	31	Control	AD
NELL1|ENSG00000165973	0.313749625	0.347786386	31	Control	AD
PPDPF|ENSG00000125534	0.355074742	0.205757207	31	Control	AD
PLCD1|ENSG00000187091	0.17632586	0.495973511	31	Control	AD
GBP2|ENSG00000162645	0.693076081	0.029295086	31	Control	AD
TTC38|ENSG00000075234	0.122840691	0.671218403	31	Control	AD
TRIM37|ENSG00000108395	0.208712404	0.514294063	31	Control	AD
LOC101928251|ENSG00000264985	0.256523725	0.435508794	31	Control	AD
RXFP1|ENSG00000171509	0.070615753	0.827595775	31	Control	AD
HSDL1|ENSG00000103160	0.049253354	0.770476542	31	Control	AD
EEIG2|ENSG00000162636	0.210665999	0.50631311	31	Control	AD
MMP2|ENSG00000087245	-0.000423	0.998923352	31	Control	AD
CARTPT|ENSG00000164326	0.546227146	0.092898259	31	Control	AD
VKORC1|ENSG00000167397	0.229755174	0.377853555	31	Control	AD
MVD|ENSG00000167508	0.20965476	0.308511282	31	Control	AD
ALS2CL|ENSG00000178038	-0.138182954	0.584715821	31	Control	AD
SERPINI1|ENSG00000163536	0.166506505	0.597034262	31	Control	AD
PRKN|ENSG00000185345	0.262535534	0.343638375	31	Control	AD
PRRX2|ENSG00000167157	-0.01787961	0.956645568	31	Control	AD
MYCBP2|ENSG00000005810	0.215563873	0.408108338	31	Control	AD
CASQ1|ENSG00000143318	-0.190868908	0.558892197	31	Control	AD
BMPR2|ENSG00000204217	0.376976345	0.096242499	31	Control	AD
TPRA1|ENSG00000163870	-0.010146262	0.956084961	31	Control	AD
BGN|ENSG00000182492	0.431792272	0.136764437	31	Control	AD
BSG|ENSG00000172270	0.254625751	0.412873407	31	Control	AD
DDX49|ENSG00000105671	0.101159748	0.491392568	31	Control	AD
LINC01503|ENSG00000233901	0.605571996	0.045853682	31	Control	AD
RASGRF2|ENSG00000113319	-0.044329183	0.792563367	31	Control	AD
NEUROD6|ENSG00000164600	-0.007411163	0.98186016	31	Control	AD
MT1A|ENSG00000205362	0.539355694	0.10648355	31	Control	AD
GLRB|ENSG00000109738	0.36035929	0.278593773	31	Control	AD
CBLN2|ENSG00000141668	0.040015257	0.904634258	31	Control	AD
BTG2|ENSG00000159388	0.316296916	0.290737267	31	Control	AD
KIDINS220|ENSG00000134313	0.011914622	0.9637299	31	Control	AD
REPS2|ENSG00000169891	0.100910472	0.720185575	31	Control	AD
WDR81|ENSG00000167716	-0.049236693	0.838013904	31	Control	AD
MYBPH|ENSG00000133055	0.378572678	0.234042394	31	Control	AD
WDR47|ENSG00000085433	0.206941772	0.489755603	31	Control	AD
ERG28|ENSG00000133935	0.261624599	0.142164938	31	Control	AD
RHOT1|ENSG00000126858	0.128308982	0.557367917	31	Control	AD
LIG4|ENSG00000174405	0.008203046	0.969148451	31	Control	AD
TACC2|ENSG00000138162	0.136405719	0.588053538	31	Control	AD
C19orf48P|ENSG00000167747	0.379609626	0.168104165	31	Control	AD
	0.277810699	0.394292692	31	Control	AD
SLC26A4-AS1|ENSG00000233705	0.219401447	0.506644014	31	Control	AD
FGF13|ENSG00000129682	0.218177702	0.512453971	31	Control	AD
AP1AR|ENSG00000138660	0.146889917	0.521157291	31	Control	AD
PRICKLE1|ENSG00000139174	0.280253793	0.389003076	31	Control	AD
PCMT1|ENSG00000120265	0.353065667	0.205497528	31	Control	AD
CDKN1A|ENSG00000124762	0.341138599	0.306049409	31	Control	AD
RRAS|ENSG00000126458	0.437719241	0.183346374	31	Control	AD
AP1S2|ENSG00000182287	0.048173836	0.851471976	31	Control	AD
NKIRAS1|ENSG00000197885	0.231727953	0.421628665	31	Control	AD
SLC38A3|ENSG00000188338	0.093834101	0.775504111	31	Control	AD
UNC80|ENSG00000144406	0.20418676	0.540346581	31	Control	AD
PTPN4|ENSG00000088179	0.19742826	0.51080502	31	Control	AD
PNMA2|ENSG00000240694	0.247686046	0.453723592	31	Control	AD
SLC16A14|ENSG00000163053	0.470388956	0.09034939	31	Control	AD
SELENON|ENSG00000162430	0.180312416	0.477611514	31	Control	AD
BLTP1|ENSG00000138688	0.043803784	0.860174257	31	Control	AD
SFTA1P|ENSG00000225383	0.320867212	0.335495998	31	Control	AD
PLCH1|ENSG00000114805	-0.216765866	0.497033383	31	Control	AD
	0.105902177	0.750963171	31	Control	AD
S100A10|ENSG00000197747	0.68302788	0.029473678	31	Control	AD
PGAM2|ENSG00000164708	-0.109023198	0.729584294	31	Control	AD
TTC3|ENSG00000182670	-0.023618282	0.886471292	31	Control	AD
STXBP5|ENSG00000164506	0.191915752	0.551878388	31	Control	AD
MAPK9|ENSG00000050748	0.077234502	0.769168459	31	Control	AD
GPR22|ENSG00000283812	0.27292081	0.413093007	31	Control	AD
PLEKHA2|ENSG00000169499	0.014471882	0.925148386	31	Control	AD
MCHR2|ENSG00000152034	0.418266116	0.190988986	31	Control	AD
SYNJ1|ENSG00000159082	0.287411061	0.382351029	31	Control	AD
NBEA|ENSG00000172915	0.351310725	0.271870148	31	Control	AD
CCZ1B|ENSG00000146574	-0.052808414	0.860286129	31	Control	AD
PID1|ENSG00000153823	0.133896869	0.514033635	31	Control	AD
LINC01238|ENSG00000237940	-0.176167304	0.560119156	31	Control	AD
WASF1|ENSG00000112290	0.294663203	0.376332489	31	Control	AD
CLOCK|ENSG00000134852	0.216017142	0.370771957	31	Control	AD
RNF122|ENSG00000133874	-0.272791237	0.402614679	31	Control	AD
ZC2HC1A|ENSG00000104427	0.190446182	0.5449706	31	Control	AD
EPHA5|ENSG00000145242	0.251901017	0.434597852	31	Control	AD
ZMAT5|ENSG00000100319	0.175319452	0.414117267	31	Control	AD
C2orf80|ENSG00000188674	0.297934221	0.368427162	31	Control	AD
TIAM2|ENSG00000146426	0.347222613	0.298714798	31	Control	AD
FAM234A|ENSG00000167930	-0.3033441	0.272500769	31	Control	AD
ADAMTS3|ENSG00000156140	-0.167089159	0.613299378	31	Control	AD
CACNA2D3|ENSG00000157445	0.242962688	0.464929891	31	Control	AD
PCNX3|ENSG00000197136	0.006573008	0.970044382	31	Control	AD
ANXA2|ENSG00000182718	0.758153193	0.017002907	31	Control	AD
KCND2|ENSG00000184408	0.28178683	0.398828152	31	Control	AD
G3BP2|ENSG00000138757	0.259862351	0.341013345	31	Control	AD
BEST3|ENSG00000127325	0.334004221	0.306654858	31	Control	AD
LDB2|ENSG00000169744	0.271003041	0.416786055	31	Control	AD
SOSTDC1|ENSG00000171243	0.155581476	0.574310992	31	Control	AD
STYK1|ENSG00000060140	0.087829873	0.775224887	31	Control	AD
	0.162869249	0.619212415	31	Control	AD
SLC35A4|ENSG00000176087	0.181450261	0.39532614	31	Control	AD
RGMA|ENSG00000182175	0.163193062	0.457705895	31	Control	AD
HMGCLL1|ENSG00000146151	0.173376249	0.586673912	31	Control	AD
TIMM29|ENSG00000142444	0.078202406	0.658506052	31	Control	AD
ATP6V1A|ENSG00000114573	0.389084995	0.230057061	31	Control	AD
RRBP1|ENSG00000125844	-0.000877	0.996845703	31	Control	AD
SUCLA2|ENSG00000136143	0.429610899	0.09227862	31	Control	AD
TMEM132B|ENSG00000139364	0.068046196	0.800886782	31	Control	AD
ZCCHC12|ENSG00000174460	0.479576185	0.148579175	31	Control	AD
RIT2|ENSG00000152214	0.175294627	0.599042652	31	Control	AD
MYO5A|ENSG00000197535	0.12776975	0.668289377	31	Control	AD
HDAC7|ENSG00000061273	-0.035917838	0.896327959	31	Control	AD
URM1|ENSG00000167118	0.193649255	0.301716301	31	Control	AD
MOAP1|ENSG00000278268	0.355972237	0.237575526	31	Control	AD
PPP4R4|ENSG00000278326	0.228051861	0.463093933	31	Control	AD
GRB14|ENSG00000115290	-0.452179819	0.076226865	31	Control	AD
GPR3|ENSG00000181773	0.601077408	0.071479667	31	Control	AD
TM4SF1|ENSG00000169908	0.621723829	0.055079326	31	Control	AD
B4GALT6|ENSG00000118276	0.285987918	0.39193682	31	Control	AD
LINC01748|ENSG00000226476	0.217623019	0.511570569	31	Control	AD
MMP15|ENSG00000102996	0.126301441	0.546596135	31	Control	AD
SLC1A1|ENSG00000106688	0.524314698	0.07750323	31	Control	AD
EPHX4|ENSG00000172031	0.402597553	0.216729367	31	Control	AD
NTN1|ENSG00000065320	0.379254003	0.146666225	31	Control	AD
CNOT7|ENSG00000198791	0.062653121	0.693116048	31	Control	AD
CA10|ENSG00000154975	0.288001015	0.361677955	31	Control	AD
YWHAG|ENSG00000170027	0.257376139	0.412562733	31	Control	AD
CSDC2|ENSG00000172346	0.130059885	0.68608387	31	Control	AD
LSM11|ENSG00000155858	0.264586982	0.419485345	31	Control	AD
MAT2B|ENSG00000038274	0.295024877	0.242836631	31	Control	AD
CD276|ENSG00000103855	0.206929429	0.267309816	31	Control	AD
ZBBX|ENSG00000169064	-0.378502336	0.257214396	31	Control	AD
TXNIP|ENSG00000265972	0.232812546	0.453099866	31	Control	AD
TMEM178A|ENSG00000152154	-0.385335021	0.242137044	31	Control	AD
FAM229A|ENSG00000225828	-0.345401691	0.167684682	31	Control	AD
ST6GALNAC4|ENSG00000136840	0.289719818	0.279930699	31	Control	AD
TMX4|ENSG00000125827	0.201697887	0.437602607	31	Control	AD
ITPKC|ENSG00000086544	0.449849701	0.067770634	31	Control	AD
DDX25|ENSG00000109832	0.114653083	0.718915311	31	Control	AD
SHC1|ENSG00000160691	0.360515273	0.223709629	31	Control	AD
APC|ENSG00000134982	-0.058924903	0.787728155	31	Control	AD
TMEM14A|ENSG00000096092	0.212397235	0.493209248	31	Control	AD
TRABD2A|ENSG00000186854	0.291731172	0.261305604	31	Control	AD
ANO3|ENSG00000134343	0.180113398	0.588980073	31	Control	AD
PLCXD2|ENSG00000240891	0.295303544	0.371810287	31	Control	AD
NDUFA4L2|ENSG00000185633	0.497798386	0.132229218	31	Control	AD
DES|ENSG00000175084	0.645794608		31	Control	AD
TMEM51|ENSG00000171729	0.199741514	0.497858964	31	Control	AD
HSPB6|ENSG00000004776	0.489697082	0.068630236	31	Control	AD
CDH18|ENSG00000145526	0.389871048	0.23706733	31	Control	AD
NAP1L2|ENSG00000186462	0.447750992	0.179139614	31	Control	AD
FGF12|ENSG00000114279	0.238855486	0.469907163	31	Control	AD
RNF145|ENSG00000145860	0.30400174	0.09197348	31	Control	AD
MAGEE1|ENSG00000198934	0.274333355	0.403059919	31	Control	AD
SDC3|ENSG00000162512	0.446142538	0.050687832	31	Control	AD
	0.031187355	0.923871051	31	Control	AD
TBC1D9|ENSG00000109436	0.446787755	0.161005378	31	Control	AD
DYNC1I1|ENSG00000158560	0.199895514	0.524028256	31	Control	AD
ARHGEF40|ENSG00000165801	0.10163778	0.6936228	31	Control	AD
B3GAT2|ENSG00000112309	-0.337724023	0.180503403	31	Control	AD
NCAM2|ENSG00000154654	-0.027357097	0.904310826	31	Control	AD
EPCAM-DT|ENSG00000234690	-0.288286161	0.369745948	31	Control	AD
HS6ST2|ENSG00000171004	0.490889832	0.141751025	31	Control	AD
PTDSS2|ENSG00000174915	-0.095642285	0.608288507	31	Control	AD
PEMT|ENSG00000133027	0.396322004	0.097108533	31	Control	AD
GGH|ENSG00000137563	0.231824575	0.471927774	31	Control	AD
ZBTB11|ENSG00000066422	0.282643782	0.283379922	31	Control	AD
CTDP1|ENSG00000060069	0.092706744	0.594235338	31	Control	AD
C1QL3|ENSG00000165985	0.414718284	0.203928096	31	Control	AD
TMEM35A|ENSG00000126950	0.41462641	0.212216417	31	Control	AD
DRD4|ENSG00000069696	0.241834439	0.45670289	31	Control	AD
PRKAR1A|ENSG00000108946	0.1837205	0.256624327	31	Control	AD
SMPDL3A|ENSG00000172594	0.358676524	0.125214401	31	Control	AD
TMT1B|ENSG00000170439	0.494379679		31	Control	AD
	0.090112013	0.77911642	31	Control	AD
CHI3L2|ENSG00000064886	0.984744877	0.002981181	31	Control	AD
SKAP2|ENSG00000005020	0.418730122	0.062048552	31	Control	AD
RALGPS1|ENSG00000136828	-0.157236187	0.530706363	31	Control	AD
