gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
PPTC7|ENSG00000196850	-0.043860375	0.82915125	31	Control	AD
TMEM222|ENSG00000186501	0.299124092	0.100263927	31	Control	AD
BRMS1L|ENSG00000100916	-0.06296715	0.774435942	31	Control	AD
DPP10|ENSG00000175497	-0.090195538	0.75192826	31	Control	AD
RNF11|ENSG00000123091	-0.00821115	0.965422427	31	Control	AD
C1QTNF1|ENSG00000173918	0.896016784	0.011020792	31	Control	AD
LITATS1|ENSG00000233621	0.037517937	0.911510907	31	Control	AD
ZBTB18|ENSG00000179456	0.193989851	0.440722576	31	Control	AD
SPIN1|ENSG00000106723	-0.253314324	0.140605581	31	Control	AD
CORO7|ENSG00000262246	-5.96e-05	0.999826197	31	Control	AD
OXR1|ENSG00000164830	0.204827208	0.480455	31	Control	AD
SDSL|ENSG00000139410	0.827266266	0.015226027	31	Control	AD
CNTN3|ENSG00000113805	0.476137418	0.200046846	31	Control	AD
GRM1|ENSG00000152822	0.762680781	0.057321759	31	Control	AD
UHMK1|ENSG00000152332	-0.120002306	0.588136839	31	Control	AD
ARHGAP32|ENSG00000134909	-0.215659585	0.421770563	31	Control	AD
KCNIP4|ENSG00000281758	0.347228798	0.25953109	31	Control	AD
DUSP15|ENSG00000149599	0.144912708	0.631213084	31	Control	AD
RASA1|ENSG00000145715	-0.085042975	0.747124698	31	Control	AD
LINC02607|ENSG00000228971	0.476658845	0.220584219	31	Control	AD
TRIM36|ENSG00000152503	0.72756482	0.036509283	31	Control	AD
COL24A1|ENSG00000171502	0.778684787	0.058507461	31	Control	AD
C11orf96|ENSG00000187479	0.579495311	0.109782993	31	Control	AD
APP|ENSG00000142192	-0.011123604	0.95844521	31	Control	AD
AP1B1|ENSG00000100280	0.429793498	0.028452499	31	Control	AD
MIDN|ENSG00000167470	0.58356252	0.031303649	31	Control	AD
VWA1|ENSG00000179403	0.173220894	0.552022312	31	Control	AD
PMPCA|ENSG00000165688	0.231483373	0.212755078	31	Control	AD
EHD2|ENSG00000024422	0.083549973	0.739795128	31	Control	AD
SLC4A10|ENSG00000144290	1.046376186	0.010465667	31	Control	AD
RAB27B|ENSG00000041353	0.445241775	0.260736518	31	Control	AD
BAK1|ENSG00000030110	0.185639372	0.416174879	31	Control	AD
TEK|ENSG00000120156	0.340532059	0.141641128	31	Control	AD
SEC14L2|ENSG00000100003	-0.160617592	0.463672235	31	Control	AD
	0.016690273	0.966487538	31	Control	AD
C3orf80|ENSG00000180044	1.155588063	0.002504944	31	Control	AD
CHN1|ENSG00000128656	0.639150373	0.032814112	31	Control	AD
SLC39A10|ENSG00000196950	1.068108501	0.007876702	31	Control	AD
MAGI3|ENSG00000081026	0.327803922	0.196513474	31	Control	AD
CHL1|ENSG00000134121	0.915684334	0.013746586	31	Control	AD
SRD5A1|ENSG00000145545	-0.122721164	0.62488833	31	Control	AD
DACH2|ENSG00000126733	0.331158668	0.403201939	31	Control	AD
ST6GALNAC5|ENSG00000117069	1.176814886	0.003464547	31	Control	AD
	0.270963082	0.518317153	31	Control	AD
RGS7BP|ENSG00000186479	0.062236484	0.876227893	31	Control	AD
GLRA2|ENSG00000101958	1.099640543	0.008501037	31	Control	AD
TPD52|ENSG00000076554	-0.215359703	0.344173295	31	Control	AD
TAFA2|ENSG00000198673	0.396468527	0.268261921	31	Control	AD
SLC1A6|ENSG00000105143	0.844166438	0.015483578	31	Control	AD
FOXG1|ENSG00000176165	0.418427041	0.090208507	31	Control	AD
PKIA|ENSG00000171033	0.007440636	0.972837142	31	Control	AD
IL17RC|ENSG00000163702	0.358345488	0.188591762	31	Control	AD
ECE1|ENSG00000117298	-0.020054709	0.921331718	31	Control	AD
CCDC85A|ENSG00000055813	-0.253225967	0.484579023	31	Control	AD
	0.290737928	0.480319087	31	Control	AD
PNMA6F|ENSG00000225110	0.771255481	0.040896113	31	Control	AD
	0.331056551	0.338838076	31	Control	AD
COL21A1|ENSG00000124749	-0.540424293	0.182059607	31	Control	AD
SMIM43|ENSG00000164112	0.514349489	0.202545548	31	Control	AD
CDH9|ENSG00000113100	1.269203597	0.002526019	31	Control	AD
ALDH1A3-AS1|ENSG00000259583	0.531135932	0.139523301	31	Control	AD
FCGBP|ENSG00000275395	0.673975057	0.108912249	31	Control	AD
PLEKHA4|ENSG00000105559	-0.238719691	0.523189672	31	Control	AD
RRAGB|ENSG00000083750	0.175500713	0.497307313	31	Control	AD
ORAI3|ENSG00000175938	0.20563187	0.433065949	31	Control	AD
AK5|ENSG00000154027	-0.314463331	0.210506954	31	Control	AD
TEAD4|ENSG00000197905	0.60056437	0.15241362	31	Control	AD
SATB1|ENSG00000182568	-0.342204015	0.092428084	31	Control	AD
GRIA2|ENSG00000120251	0.617187831	0.041062193	31	Control	AD
MAPK10|ENSG00000109339	-0.11293035	0.506435905	31	Control	AD
AAMDC|ENSG00000087884	-0.194093314	0.445522568	31	Control	AD
DOK6|ENSG00000206052	0.250934909	0.506599486	31	Control	AD
GPR143|ENSG00000101850	0.466722256	0.100691973	31	Control	AD
CRYM|ENSG00000103316	1.043942751	0.008926209	31	Control	AD
SGTA|ENSG00000104969	0.083194025	0.61404683	31	Control	AD
C11orf87|ENSG00000185742	1.022253748	0.010909595	31	Control	AD
OPRM1|ENSG00000112038	0.700351607	0.095668051	31	Control	AD
MCF2|ENSG00000101977	0.592952835	0.093408978	31	Control	AD
UNC119|ENSG00000109103	0.304132384	0.127596263	31	Control	AD
C7orf50|ENSG00000146540	0.303686485	0.201817568	31	Control	AD
PTGER3|ENSG00000050628	0.464620583	0.267254738	31	Control	AD
AP3S1|ENSG00000177879	0.132771971	0.437086021	31	Control	AD
PRKACB|ENSG00000142875	0.059203376	0.794389533	31	Control	AD
SCN3A|ENSG00000153253	0.639590194	0.023959763	31	Control	AD
CAMK2N1|ENSG00000162545	-0.160940603	0.317617904	31	Control	AD
ZNF204P|ENSG00000204789	-0.063819341	0.835821104	31	Control	AD
