gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
PPTC7|ENSG00000196850	-0.095834648	0.635462066	31	Control	AD
TMEM222|ENSG00000186501	0.334000786	0.062208228	31	Control	AD
BRMS1L|ENSG00000100916	0.005128258	0.979340957	31	Control	AD
DPP10|ENSG00000175497	0.10570586	0.716831471	31	Control	AD
RNF11|ENSG00000123091	0.026342827	0.893179348	31	Control	AD
C1QTNF1|ENSG00000173918	0.246277455	0.495338354	31	Control	AD
LITATS1|ENSG00000233621	-0.181362863	0.5637746	31	Control	AD
ZBTB18|ENSG00000179456	0.118494149	0.65793816	31	Control	AD
SPIN1|ENSG00000106723	-0.063605777	0.708863173	31	Control	AD
CORO7|ENSG00000262246	-0.360518874	0.121217331	31	Control	AD
OXR1|ENSG00000164830	0.3290216	0.269689636	31	Control	AD
SDSL|ENSG00000139410	1.008470176	0.002185994	31	Control	AD
CNTN3|ENSG00000113805	0.517881012	0.172959826	31	Control	AD
GRM1|ENSG00000152822	0.536706782	0.163329576	31	Control	AD
UHMK1|ENSG00000152332	-0.099639609	0.63732006	31	Control	AD
ARHGAP32|ENSG00000134909	0.030073606	0.909548453	31	Control	AD
KCNIP4|ENSG00000281758	0.223439916	0.496172461	31	Control	AD
DUSP15|ENSG00000149599	0.225234863	0.389158109	31	Control	AD
RASA1|ENSG00000145715	0.113234747	0.660101689	31	Control	AD
LINC02607|ENSG00000228971	0.244632761	0.526750904	31	Control	AD
TRIM36|ENSG00000152503	0.851305045	0.017356087	31	Control	AD
COL24A1|ENSG00000171502	0.76369878	0.055054328	31	Control	AD
C11orf96|ENSG00000187479	0.520156984	0.170592964	31	Control	AD
APP|ENSG00000142192	-0.13171398	0.480087781	31	Control	AD
AP1B1|ENSG00000100280	0.443845615	0.003785409	31	Control	AD
MIDN|ENSG00000167470	0.457710423	0.084298373	31	Control	AD
VWA1|ENSG00000179403	-0.253717924	0.411461412	31	Control	AD
PMPCA|ENSG00000165688	0.28425165	0.073710591	31	Control	AD
EHD2|ENSG00000024422	-0.163730565	0.477018371	31	Control	AD
SLC4A10|ENSG00000144290	0.684742259	0.096419679	31	Control	AD
