gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
A2M-AS1|ENSG00000245105	0.49	0.0041	28	Control	AD
A2ML1-AS1|ENSG00000256661	0.37	0.2	28	Control	AD
A4GALT|ENSG00000128274	1.08	7.4e-10	28	Control	AD
AAAS|ENSG00000291836	0.17	0.049	28	Control	AD
AACS|ENSG00000081760	-0.72	4.5e-07	28	Control	AD
AADAT|ENSG00000109576	-0.45	0.00013	28	Control	AD
PRXL2C|ENSG00000158122	0.51	1.8e-06	28	Control	AD
AAGAB|ENSG00000103591	-0.57	1.5e-09	28	Control	AD
AAK1|ENSG00000115977	-1.34	3.1e-17	28	Control	AD
AAMDC|ENSG00000087884	0.05	0.77	28	Control	AD
AAMP|ENSG00000127837	-0.25	0.0011	28	Control	AD
AANAT|ENSG00000129673	0.55	0.19	28	Control	AD
AAR2|ENSG00000131043	0.12	0.14	28	Control	AD
AARD|ENSG00000205002	-1.12	0.0069	28	Control	AD
AARS1|ENSG00000090861	-0.11	0.18	28	Control	AD
AARS2|ENSG00000124608	-0.25	0.018	28	Control	AD
PTGES3L-AARSD1|ENSG00000108825	-0.12	0.63	28	Control	AD
AASDH|ENSG00000157426	0.11	0.38	28	Control	AD
AASDHPPT|ENSG00000149313	-0.72	1.9e-09	28	Control	AD
AASS|ENSG00000008311	0.5	0.0033	28	Control	AD
AATF|ENSG00000275700	0.29	0.0072	28	Control	AD
AATK|ENSG00000181409	0.09	0.59	28	Control	AD
ABAT|ENSG00000183044	-0.44	0.00014	28	Control	AD
ABCA1|ENSG00000165029	0.67	3e-05	28	Control	AD
ABCA10|ENSG00000154263	0.43	0.093	28	Control	AD
ABCA2|ENSG00000107331	0.32	0.023	28	Control	AD
ABCA3|ENSG00000167972	-0.58	1.5e-10	28	Control	AD
ABCA4|ENSG00000198691	0.81	0.023	28	Control	AD
ABCA5|ENSG00000154265	-0.52	0.001	28	Control	AD
ABCA6|ENSG00000154262	1.63	0.00012	28	Control	AD
ABCA7|ENSG00000064687	0.36	0.034	28	Control	AD
ABCA8|ENSG00000141338	0.72	0.0019	28	Control	AD
ABCA9-AS1|ENSG00000231749	0.78	0.00088	28	Control	AD
ABCB1|ENSG00000085563	0.6	0.00069	28	Control	AD
ABCB10|ENSG00000135776	0.16	0.19	28	Control	AD
ABCB4|ENSG00000005471	0.19	0.52	28	Control	AD
ABCB6|ENSG00000115657	0.19	0.32	28	Control	AD
ABCB8|ENSG00000197150	-0.33	0.00017	28	Control	AD
ABCB9|ENSG00000150967	-0.85	1.2e-05	28	Control	AD
ABCC1|ENSG00000278183	-0.04	0.78	28	Control	AD
ABCC10|ENSG00000124574	0.01	0.94	28	Control	AD
ABCC11|ENSG00000121270	-0.74	0.0016	28	Control	AD
ABCC12|ENSG00000140798	-1.37	2.5e-05	28	Control	AD
ABCC2|ENSG00000023839	1.35	9.2e-06	28	Control	AD
	1.53	0.00051	28	Control	AD
ABCC4|ENSG00000125257	0.42	0.025	28	Control	AD
ABCC5-AS1|ENSG00000223882	-0.06	0.58	28	Control	AD
ABCC6|ENSG00000275331	0.52	0.0033	28	Control	AD
ABCC8|ENSG00000006071	-1.29	2.1e-11	28	Control	AD
ABCC9|ENSG00000069431	0.05	0.8	28	Control	AD
ABCD2|ENSG00000173208	-1.65	1.1e-15	28	Control	AD
ABCD3|ENSG00000117528	0.12	0.18	28	Control	AD
ABCD4|ENSG00000119688	0.32	0.0012	28	Control	AD
ABCE1|ENSG00000164163	-0.54	1e-06	28	Control	AD
	0.12	0.22	28	Control	AD
ABCF2-H2BK1|ENSG00000285292	-0.11	0.12	28	Control	AD
