gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ARF5|ENSG00000004059	-0.28121412879464	0.0008133883348949	160	Control	AD
M6PR|ENSG00000003056	-0.144371392909737	0.0004845448791904	160	Control	AD
ESRRA|ENSG00000173153	-0.0111115771125796	0.907532490344899	160	Control	AD
FKBP4|ENSG00000004478	0.078498769031082	0.543019970275979	160	Control	AD
CYP26B1|ENSG00000003137	0.0139678616729919	0.951870778236754	160	Control	AD
NDUFAF7|ENSG00000003509	-0.0779419769612167	0.0569573823628522	160	Control	AD
FUCA2|ENSG00000001036	0.135269674645482	0.0341235378504789	160	Control	AD
DBNDD1|ENSG00000003249	-0.001479054216083	0.992322702885825	160	Control	AD
HS3ST1|ENSG00000002587	-0.217473074672562	0.0971207279932099	160	Control	AD
SEMA3F|ENSG00000001617	0.477266990058989	0.0074699296050347	160	Control	AD
CFTR|ENSG00000001626	-0.202788274394554	0.164480114294511	160	Control	AD
CYP51A1|ENSG00000001630	0.11578112711735	0.134258944507994	160	Control	AD
USP28|ENSG00000048028	0.0890831687358081	0.287258523191026	160	Control	AD
STPG1|ENSG00000001460	0.0143685544677207	0.878625311960978	160	Control	AD
NIPAL3|ENSG00000001461	-0.227016032479611	0.0098873590883326	160	Control	AD
TMEM176A|ENSG00000002933	0.314360476316789	0.0100390797172259	160	Control	AD
SLC7A2|ENSG00000003989	1.58066180112367	3.55579635279764e-21	160	Control	AD
HSPB6|ENSG00000004776	0.0722646134714187	0.597212663922158	160	Control	AD
ZNF195|ENSG00000005801	-0.1597502615676	2.71601332344101e-05	160	Control	AD
PDK4|ENSG00000004799	0.277531750057411	0.13663196013716	160	Control	AD
CCL26|ENSG00000006606	1.70379656052728	5.53178102468171e-06	160	Control	AD
USH1C|ENSG00000006611	-0.686843535120269	0.0008679825215444	160	Control	AD
RALA|ENSG00000006451	0.0726405943015838	0.126274939010527	160	Control	AD
BCAP29|ENSG00000075790	-0.000823395719383	0.994883468533996	160	Control	AD
BAIAP2L1|ENSG00000006453	0.219651040605762	0.0197559749008074	160	Control	AD
CACNG3|ENSG00000006116	-0.190151487383321	0.33635112446869	160	Control	AD
TMEM132A|ENSG00000006118	-0.0506504260038411	0.623395149445685	160	Control	AD
DVL2|ENSG00000004975	-0.0317404161545371	0.713811596382383	160	Control	AD
GGCT|ENSG00000006625	-0.174243089602775	0.0265087724937864	160	Control	AD
RPAP3|ENSG00000005175	0.0688531934383596	0.354374252978048	160	Control	AD
IFRD1|ENSG00000006652	0.200752387613867	0.0039998192899081	160	Control	AD
UPP2|ENSG00000007001	0.120563121332342	0.282799306762973	160	Control	AD
PRSS21|ENSG00000007038	-0.0200780196760187	0.951879700582467	160	Control	AD
HOXA11|ENSG00000005073	-0.722593248314641	1.0	160	Control	AD
CX3CL1|ENSG00000006210	-0.081052111942628	0.580539586309044	160	Control	AD
PRR5|ENSG00000186654	-0.0503459238861836	0.685342773776385	160	Control	AD
TRAPPC6A|ENSG00000007255	-0.454729513799908	1.7989965190881e-07	160	Control	AD
SPATA20|ENSG00000006282	-0.0237943404268041	0.816014720975637	160	Control	AD
CEACAM7|ENSG00000280501	-0.228837477462499	1.0	160	Control	AD
CD79B|ENSG00000007312	0.150853186278513	0.356005046290769	160	Control	AD
RHBDD2|ENSG00000005486	-0.198718530821812	0.0700225818361757	160	Control	AD
RPUSD1|ENSG00000007376	-0.0013721262518657	0.990272916897736	160	Control	AD
TSR3|ENSG00000007520	-0.155266959285553	0.0225671560005861	160	Control	AD
OSBPL7|ENSG00000006025	-0.14589460910455	0.166054427555187	160	Control	AD
ARHGAP33|ENSG00000004777	-0.329688689636018	1.37888033199619e-07	160	Control	AD
NDUFAB1|ENSG00000004779	-0.176564893255805	0.0210085861479381	160	Control	AD
YBX2|ENSG00000288504	-0.115881377002305	0.437379835406283	160	Control	AD
PDK2|ENSG00000005882	-0.0644641239234937	0.460323884263158	160	Control	AD
ITGA3|ENSG00000005884	0.0573797111391759	0.57397299762762	160	Control	AD
KRT33A|ENSG00000261986	-0.286137432419826	1.0	160	Control	AD
LRRC23|ENSG00000010626	-0.135476679959591	0.0693361190374523	160	Control	AD
IL32|ENSG00000008517	0.0453034389563935	0.848548711820161	160	Control	AD
TFAP2D|ENSG00000008197	-1.16202385809036	0.0420021938633993	160	Control	AD
SPRTN|ENSG00000010072	0.214333017529709	0.0001719120869763	160	Control	AD
CRY1|ENSG00000008405	0.347503412809053	1.95134743765819e-06	160	Control	AD
MAPK8IP2|ENSG00000008735	-0.160938315132403	0.0933333080099854	160	Control	AD
PGLYRP1|ENSG00000008438	-0.341763475426283	0.0462847211701912	160	Control	AD
