gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
A1BG-AS1|ENSG00000268895	-0.032	0.662	106	Control	AD
A2M-AS1|ENSG00000245105	-0.007	0.84	106	Control	AD
A2ML1-AS1|ENSG00000256661	0.06	0.779	106	Control	AD
AAAS|ENSG00000291836	0.03	0.494	106	Control	AD
AACS|ENSG00000081760	-0.022	0.899	106	Control	AD
AADAT|ENSG00000109576	-0.01	0.94	106	Control	AD
PRXL2C|ENSG00000158122	0.001	0.93	106	Control	AD
AAGAB|ENSG00000103591	-0.062	0.757	106	Control	AD
AAK1|ENSG00000115977	-0.072	0.663	106	Control	AD
AAMDC|ENSG00000087884	-0.106	0.719	106	Control	AD
AAMP|ENSG00000127837	0.029	0.855	106	Control	AD
AAR2|ENSG00000131043	0.015	0.865	106	Control	AD
AARS1|ENSG00000090861	-0.003	0.991	106	Control	AD
AARS2|ENSG00000124608	0.035	0.961	106	Control	AD
PTGES3L-AARSD1|ENSG00000108825	-0.033	0.748	106	Control	AD
AASDH|ENSG00000157426	-0.061	0.494	106	Control	AD
AASDHPPT|ENSG00000149313	-0.064	0.626	106	Control	AD
AASS|ENSG00000008311	-0.034	0.735	106	Control	AD
AATF|ENSG00000275700	0.028	0.779	106	Control	AD
AATK|ENSG00000181409	0.346	0.2	106	Control	AD
ABAT|ENSG00000183044	-0.074	0.421	106	Control	AD
ABCA1|ENSG00000165029	0.029	0.836	106	Control	AD
ABCA10|ENSG00000154263	-0.069	0.302	106	Control	AD
ABCA11P|ENSG00000251595	-0.055	0.335	106	Control	AD
ABCA2|ENSG00000107331	0.27	0.201	106	Control	AD
ABCA3|ENSG00000167972	0.149	0.28	106	Control	AD
ABCA5|ENSG00000154265	-0.165	0.187	106	Control	AD
ABCA6|ENSG00000154262	0.027	0.842	106	Control	AD
ABCA7|ENSG00000064687	0.151	0.349	106	Control	AD
ABCA8|ENSG00000141338	0.102	0.707	106	Control	AD
ABCA9-AS1|ENSG00000231749	-0.017	0.951	106	Control	AD
ABCB1|ENSG00000085563	0.004	0.931	106	Control	AD
ABCB10|ENSG00000135776	-0.088	0.198	106	Control	AD
ABCB5|ENSG00000004846	-0.022	0.943	106	Control	AD
ABCB6|ENSG00000115657	0.009	0.967	106	Control	AD
ABCB7|ENSG00000131269	-0.023	0.981	106	Control	AD
ABCB8|ENSG00000197150	0.086	0.501	106	Control	AD
ABCB9|ENSG00000150967	0.142	0.253	106	Control	AD
ABCC1|ENSG00000278183	0.054	0.268	106	Control	AD
ABCC10|ENSG00000124574	0.208	0.193	106	Control	AD
ABCC4|ENSG00000125257	-0.092	0.394	106	Control	AD
ABCC5-AS1|ENSG00000223882	-0.05	0.62	106	Control	AD
ABCC8|ENSG00000006071	-0.02	0.657	106	Control	AD
ABCC9|ENSG00000069431	-0.044	0.628	106	Control	AD
ABCD2|ENSG00000173208	-0.093	0.42	106	Control	AD
ABCD3|ENSG00000117528	-0.055	0.586	106	Control	AD
ABCD4|ENSG00000119688	0.042	0.934	106	Control	AD
ABCE1|ENSG00000164163	-0.051	0.431	106	Control	AD
	0.036	0.709	106	Control	AD
ABCF2-H2BK1|ENSG00000285292	-0.005	0.997	106	Control	AD
ABCF3|ENSG00000161204	-0.043	0.751	106	Control	AD
ABCG1|ENSG00000160179	0.086	0.231	106	Control	AD
ABCG2|ENSG00000118777	-0.05	0.68	106	Control	AD
ABCG4|ENSG00000172350	0.025	0.924	106	Control	AD
ABHD10|ENSG00000144827	-0.089	0.612	106	Control	AD
ABHD11|ENSG00000106077	0.046	0.751	106	Control	AD
ABHD12|ENSG00000100997	0.0	0.802	106	Control	AD
ABHD12B|ENSG00000131969	0.01	0.968	106	Control	AD
ABHD13|ENSG00000139826	-0.1	0.495	106	Control	AD
ABHD14A-ACY1|ENSG00000114786	-0.055	0.938	106	Control	AD
ABHD14B|ENSG00000114779	0.042	0.533	106	Control	AD
ABHD15|ENSG00000168792	0.046	0.337	106	Control	AD
ABHD16A|ENSG00000224552	0.076	0.345	106	Control	AD
ABHD17A|ENSG00000129968	0.304	0.302	106	Control	AD
ABHD17B|ENSG00000107362	0.037	0.642	106	Control	AD
ABHD17C|ENSG00000136379	0.018	0.82	106	Control	AD
ABHD2|ENSG00000140526	-0.029	0.484	106	Control	AD
ABHD3|ENSG00000158201	-0.004	0.819	106	Control	AD
ABHD4|ENSG00000100439	0.032	0.777	106	Control	AD
ABHD5|ENSG00000011198	-0.025	0.88	106	Control	AD
ABHD6|ENSG00000163686	0.088	0.233	106	Control	AD
ABHD8|ENSG00000127220	0.222	0.295	106	Control	AD
ABI1|ENSG00000136754	-0.115	0.198	106	Control	AD
ABI2|ENSG00000138443	-0.106	0.205	106	Control	AD
ABI3|ENSG00000108798	0.115	0.359	106	Control	AD
ABI3BP|ENSG00000154175	-0.009	0.692	106	Control	AD
ABL1|ENSG00000097007	0.128	0.201	106	Control	AD
ABL2|ENSG00000143322	-0.032	0.973	106	Control	AD
ABLIM1|ENSG00000099204	0.017	0.598	106	Control	AD
ABLIM2|ENSG00000163995	0.02	0.954	106	Control	AD
ABLIM3|ENSG00000173210	-0.044	0.678	106	Control	AD
ABR|ENSG00000159842	0.015	0.921	106	Control	AD
