MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
PLCG1-AS1|ENSG00000226648	ad	control	576.0	-1.765	0.07751	?????+--------	0.34931391003460205
ZNF625|ENSG00000257591	ad	control	235.0	1.858	0.06313	++++-++++?????	0.3099675254015077
FAM43A|ENSG00000185112	ad	control	687.0	-2.666	0.007679	--------+-----	0.08845139561707036
USP17L9P|ENSG00000251694	ad	control	424.0	-0.911	0.3625	?????????----?	0.8101954786241885
SGCE|ENSG00000127990	ad	control	687.0	-0.587	0.5572	++++-+--+-+++-	0.9767422653873158
GGTA2P|ENSG00000237766	ad	control	124.0	0.153	0.8783	?????--++?????	0.9992687041810332
ARID4A|ENSG00000032219	ad	control	687.0	1.777	0.07561	----++++++--++	0.3442731661346709
SIGLEC10-AS2|ENSG00000254760	ad	control	31.0	-0.181	0.8565	??????-???????	0.9992687041810332
IRGM|ENSG00000237693	ad	control	517.0	-0.056	0.955	?????--?-++++?	0.9992687041810332
EXOC6|ENSG00000138190	ad	control	687.0	2.222	0.02627	+++++----++-++	0.18703817533856024
AANAT|ENSG00000129673	ad	control	152.0	-2.006	0.04481	?????-+--????-	0.2534129431753823
SYNGR3|ENSG00000127561	ad	control	687.0	1.698	0.08957	+++++----+---+	0.3805899177304965
LINC00960|ENSG00000242516	ad	control	134.0	0.994	0.3201	++++?+-???????	0.7621137815927516
REV1|ENSG00000135945	ad	control	687.0	0.067	0.9468	--+-+++++---+-	0.9992687041810332
PPT2-EGFL8|ENSG00000258388	ad	control	615.0	-2.113	0.03462	????---++-----	0.217964842370744
GPR180|ENSG00000152749	ad	control	687.0	0.466	0.6412	+++++----++-+-	0.9992687041810332
IFNA12P|ENSG00000235108	ad	control	424.0	0.104	0.9174	?????????-+++?	0.9992687041810332
MYLK-AS2|ENSG00000250174	ad	control	576.0	0.187	0.8515	?????--++-+++-	0.9992687041810332
LRRC27|ENSG00000148814	ad	control	687.0	-0.186	0.8521	-----+++-----+	0.9992687041810332
S100A3|ENSG00000188015	ad	control	121.0	-2.759	0.00579	??????---????-	0.07453598624838847
GABRB1|ENSG00000163288	ad	control	687.0	-0.381	0.7028	++++-----++-++	0.9992687041810332
TSSK4|ENSG00000139908	ad	control	235.0	-2.66	0.00782	----+++--?????	0.08927435975609757
RN7SL582P|ENSG00000241156	ad	control	93.0	0.437	0.6618	?????-+?+?????	0.9992687041810332
NRIP1|ENSG00000180530	ad	control	687.0	1.068	0.2854	+++++----+++++	0.7172952764493665
RFESDP1|ENSG00000231650	ad	control	31.0	-0.052	0.9585	???????-??????	0.9992687041810332
GSC2|ENSG00000063515	ad	control	31.0	-0.064	0.9492	???????-??????	0.9992687041810332
GRIP1|ENSG00000155974	ad	control	235.0	2.222	0.02629	+++++----?????	0.1870649026128266
RN7SKP105|ENSG00000253001	ad	control	31.0	0.438	0.6612	????????+?????	0.9992687041810332
FUT11|ENSG00000196968	ad	control	687.0	-2.978	0.002897	------+----+--	0.049760626146788986
GHITM|ENSG00000165678	ad	control	687.0	2.168	0.03014	+++++----++-++	0.2024834806010316
LOC105372281|ENSG00000267424	ad	control	62.0	0.175	0.861	??????+?-?????	0.9992687041810332
H1-7|ENSG00000187166	ad	control	62.0	0.006	0.9953	??????-?+?????	0.9992687041810332
MTCO1P1|ENSG00000280243	ad	control	424.0	1.0	0.3175	?????????++++?	0.7589395148420045
GALP|ENSG00000197487	ad	control	124.0	-0.093	0.926	?????+---?????	0.9992687041810332
SOX10|ENSG00000100146	ad	control	687.0	0.04	0.9679	----+++++--+--	0.9992687041810332
SSR3|ENSG00000114850	ad	control	687.0	0.549	0.5833	++-++----+++++	0.9913386361057529
Y_RNA|ENSG00000200170	ad	control	124.0	1.827	0.06771	?????++++?????	0.3225188042614089
