MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
PLCG1-AS1|ENSG00000226648	ad	control	168.00	-1.319	0.1873	?????---
ZNF625|ENSG00000257591	ad	control	173.00	1.996	0.04595	++++-++?
FAM43A|ENSG00000185112	ad	control	279.00	-1.975	0.04828	------+-
USP17L9P|ENSG00000251694	ad	control	106.00	-0.152	0.879	???????-
SGCE|ENSG00000127990	ad	control	279.00	-0.412	0.6803	++++--++
GGTA2P|ENSG00000237766	ad	control	62.00	1.698	0.08945	?????++?
ARID4A|ENSG00000032219	ad	control	279.00	1.610	0.1074	----++++
IRGM|ENSG00000237693	ad	control	137.00	-0.140	0.8885	??????-+
EXOC6|ENSG00000138190	ad	control	279.00	1.961	0.04992	+++++--+
AANAT|ENSG00000129673	ad	control	62.00	-1.980	0.04773	?????--?
SYNGR3|ENSG00000127561	ad	control	279.00	1.768	0.07698	+++++---
LINC00960|ENSG00000242516	ad	control	72.00	1.638	0.1014	++++????
REV1|ENSG00000135945	ad	control	279.00	0.549	0.5829	--+-++++
PPT2-EGFL8|ENSG00000258388	ad	control	207.00	-0.791	0.429	????-++-
GPR180|ENSG00000152749	ad	control	279.00	1.362	0.1734	+++++--+
IFNA12P|ENSG00000235108	ad	control	106.00	0.055	0.956	???????+
MYLK-AS2|ENSG00000250174	ad	control	168.00	0.391	0.6956	?????+++
LRRC27|ENSG00000148814	ad	control	279.00	-0.705	0.481	-----+--
S100A3|ENSG00000188015	ad	control	62.00	-1.666	0.09574	?????--?
GABRB1|ENSG00000163288	ad	control	279.00	0.750	0.4532	++++---+
TSSK4|ENSG00000139908	ad	control	173.00	-3.183	0.001455	----+--?
RN7SL582P|ENSG00000241156	ad	control	31.00	0.803	0.422	??????+?
NRIP1|ENSG00000180530	ad	control	279.00	1.282	0.1998	+++++--+
RFESDP1|ENSG00000231650	ad	control	31.00	-0.052	0.9585	?????-??
GSC2|ENSG00000063515	ad	control	31.00	-0.064	0.9492	?????-??
GRIP1|ENSG00000155974	ad	control	173.00	2.869	0.004117	+++++--?
RN7SKP105|ENSG00000253001	ad	control	31.00	0.438	0.6612	??????+?
FUT11|ENSG00000196968	ad	control	279.00	-2.780	0.005441	--------
GHITM|ENSG00000165678	ad	control	279.00	2.069	0.03857	+++++--+
