MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
PLCG1-AS1|ENSG00000226648	ad	control	137.00	-1.454	0.1458	?--
ZNF625|ENSG00000257591	ad	control	70.00	-0.484	0.6282	-+?
FAM43A|ENSG00000185112	ad	control	176.00	-0.399	0.6902	-+-
USP17L9P|ENSG00000251694	ad	control	106.00	-0.152	0.879	??-
SGCE|ENSG00000127990	ad	control	176.00	-1.834	0.06662	-++
GGTA2P|ENSG00000237766	ad	control	31.00	2.032	0.04218	?+?
ARID4A|ENSG00000032219	ad	control	176.00	2.306	0.02113	+++
IRGM|ENSG00000237693	ad	control	137.00	-0.140	0.8885	?-+
EXOC6|ENSG00000138190	ad	control	176.00	1.127	0.2599	+-+
AANAT|ENSG00000129673	ad	control	31.00	-2.653	0.007975	?-?
SYNGR3|ENSG00000127561	ad	control	176.00	0.109	0.9135	+--
REV1|ENSG00000135945	ad	control	176.00	1.218	0.2231	+++
PPT2-EGFL8|ENSG00000258388	ad	control	176.00	-0.873	0.3826	-+-
GPR180|ENSG00000152749	ad	control	176.00	0.042	0.9661	+-+
IFNA12P|ENSG00000235108	ad	control	106.00	0.055	0.956	??+
MYLK-AS2|ENSG00000250174	ad	control	137.00	0.086	0.9318	?++
LRRC27|ENSG00000148814	ad	control	176.00	-0.568	0.5702	---
S100A3|ENSG00000188015	ad	control	31.00	-1.159	0.2464	?-?
GABRB1|ENSG00000163288	ad	control	176.00	-0.272	0.7858	--+
TSSK4|ENSG00000139908	ad	control	70.00	0.318	0.7506	+-?
RN7SL582P|ENSG00000241156	ad	control	31.00	0.803	0.422	?+?
NRIP1|ENSG00000180530	ad	control	176.00	0.218	0.8271	+-+
GRIP1|ENSG00000155974	ad	control	70.00	0.598	0.5498	+-?
RN7SKP105|ENSG00000253001	ad	control	31.00	0.438	0.6612	?+?
FUT11|ENSG00000196968	ad	control	176.00	-1.267	0.2051	---
GHITM|ENSG00000165678	ad	control	176.00	-0.111	0.9119	+-+
LOC105372281|ENSG00000267424	ad	control	31.00	-0.063	0.9499	?-?
H1-7|ENSG00000187166	ad	control	31.00	0.139	0.8892	?+?
MTCO1P1|ENSG00000280243	ad	control	106.00	0.371	0.711	??+
GALP|ENSG00000197487	ad	control	31.00	-0.366	0.7142	?-?
SOX10|ENSG00000100146	ad	control	176.00	0.376	0.7067	++-
SSR3|ENSG00000114850	ad	control	176.00	0.519	0.604	+-+
Y_RNA|ENSG00000200170	ad	control	31.00	1.063	0.2877	?+?
LOC101928016|ENSG00000253550	ad	control	106.00	0.050	0.96	??+
FAM86EP|ENSG00000251669	ad	control	176.00	-0.190	0.8491	+--
ADSL|ENSG00000239900	ad	control	176.00	-0.788	0.4306	-+-
LINC03049|ENSG00000271109	ad	control	31.00	-0.846	0.3977	?-?
LOC105379699|ENSG00000226454	ad	control	31.00	-1.431	0.1525	?-?
MTND6P25|ENSG00000255316	ad	control	31.00	0.216	0.829	?+?
CD300H|ENSG00000291925	ad	control	31.00	-0.254	0.7998	?-?
TICAM2|ENSG00000243414	ad	control	70.00	-0.394	0.6938	-+?
VPREB3|ENSG00000128218	ad	control	31.00	0.290	0.7716	?+?
RAB9AP5|ENSG00000231423	ad	control	106.00	0.020	0.984	??+
ELOVL5|ENSG00000012660	ad	control	176.00	-2.094	0.03622	---
FUNDC1|ENSG00000069509	ad	control	176.00	0.496	0.6198	+-+
MIR5010|ENSG00000283929	ad	control	31.00	0.559	0.5758	?+?
RNU6-39P|ENSG00000207072	ad	control	31.00	0.214	0.8307	?+?
IGLV3-21|ENSG00000211662	ad	control	31.00	-0.143	0.8865	?-?
