MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
PLCG1-AS1|ENSG00000226648	ad	control	137.0	-1.454	0.1458	?--	0.9500803030303031
ZNF625|ENSG00000257591	ad	control	70.0	-0.484	0.6282	-+?	0.9998788475304222
FAM43A|ENSG00000185112	ad	control	176.0	-0.399	0.6902	-+-	0.9998788475304222
USP17L9P|ENSG00000251694	ad	control	106.0	-0.152	0.879	??-	0.9998788475304222
SGCE|ENSG00000127990	ad	control	176.0	-1.834	0.06662	-++	0.7998526826142673
GGTA2P|ENSG00000237766	ad	control	31.0	2.032	0.04218	?+?	0.6950046126760564
ARID4A|ENSG00000032219	ad	control	176.0	2.306	0.02113	+++	0.5710576271186442
IRGM|ENSG00000237693	ad	control	137.0	-0.14	0.8885	?-+	0.9998788475304222
EXOC6|ENSG00000138190	ad	control	176.0	1.127	0.2599	+-+	0.9998788475304222
AANAT|ENSG00000129673	ad	control	31.0	-2.653	0.007975	?-?	0.41329550828729283
SYNGR3|ENSG00000127561	ad	control	176.0	0.109	0.9135	+--	0.9998788475304222
REV1|ENSG00000135945	ad	control	176.0	1.218	0.2231	+++	0.9998788475304222
PPT2-EGFL8|ENSG00000258388	ad	control	176.0	-0.873	0.3826	-+-	0.9998788475304222
GPR180|ENSG00000152749	ad	control	176.0	0.042	0.9661	+-+	0.9998788475304222
IFNA12P|ENSG00000235108	ad	control	106.0	0.055	0.956	??+	0.9998788475304222
MYLK-AS2|ENSG00000250174	ad	control	137.0	0.086	0.9318	?++	0.9998788475304222
LRRC27|ENSG00000148814	ad	control	176.0	-0.568	0.5702	---	0.9998788475304222
S100A3|ENSG00000188015	ad	control	31.0	-1.159	0.2464	?-?	0.9998788475304222
GABRB1|ENSG00000163288	ad	control	176.0	-0.272	0.7858	--+	0.9998788475304222
TSSK4|ENSG00000139908	ad	control	70.0	0.318	0.7506	+-?	0.9998788475304222
RN7SL582P|ENSG00000241156	ad	control	31.0	0.803	0.422	?+?	0.9998788475304222
NRIP1|ENSG00000180530	ad	control	176.0	0.218	0.8271	+-+	0.9998788475304222
GRIP1|ENSG00000155974	ad	control	70.0	0.598	0.5498	+-?	0.9998788475304222
RN7SKP105|ENSG00000253001	ad	control	31.0	0.438	0.6612	?+?	0.9998788475304222
FUT11|ENSG00000196968	ad	control	176.0	-1.267	0.2051	---	0.9984120955182557
GHITM|ENSG00000165678	ad	control	176.0	-0.111	0.9119	+-+	0.9998788475304222
LOC105372281|ENSG00000267424	ad	control	31.0	-0.063	0.9499	?-?	0.9998788475304222
H1-7|ENSG00000187166	ad	control	31.0	0.139	0.8892	?+?	0.9998788475304222
MTCO1P1|ENSG00000280243	ad	control	106.0	0.371	0.711	??+	0.9998788475304222
GALP|ENSG00000197487	ad	control	31.0	-0.366	0.7142	?-?	0.9998788475304222
SOX10|ENSG00000100146	ad	control	176.0	0.376	0.7067	++-	0.9998788475304222
SSR3|ENSG00000114850	ad	control	176.0	0.519	0.604	+-+	0.9998788475304222
Y_RNA|ENSG00000200170	ad	control	31.0	1.063	0.2877	?+?	0.9998788475304222
LOC101928016|ENSG00000253550	ad	control	106.0	0.05	0.96	??+	0.9998788475304222
FAM86EP|ENSG00000251669	ad	control	176.0	-0.19	0.8491	+--	0.9998788475304222
ADSL|ENSG00000239900	ad	control	176.0	-0.788	0.4306	-+-	0.9998788475304222
LINC03049|ENSG00000271109	ad	control	31.0	-0.846	0.3977	?-?	0.9998788475304222
LOC105379699|ENSG00000226454	ad	control	31.0	-1.431	0.1525	?-?	0.9534051436205745
MTND6P25|ENSG00000255316	ad	control	31.0	0.216	0.829	?+?	0.9998788475304222
CD300H|ENSG00000291925	ad	control	31.0	-0.254	0.7998	?-?	0.9998788475304222
TICAM2|ENSG00000243414	ad	control	70.0	-0.394	0.6938	-+?	0.9998788475304222
VPREB3|ENSG00000128218	ad	control	31.0	0.29	0.7716	?+?	0.9998788475304222
RAB9AP5|ENSG00000231423	ad	control	106.0	0.02	0.984	??+	0.9998788475304222
ELOVL5|ENSG00000012660	ad	control	176.0	-2.094	0.03622	---	0.6632761315280464
FUNDC1|ENSG00000069509	ad	control	176.0	0.496	0.6198	+-+	0.9998788475304222
MIR5010|ENSG00000283929	ad	control	31.0	0.559	0.5758	?+?	0.9998788475304222
RNU6-39P|ENSG00000207072	ad	control	31.0	0.214	0.8307	?+?	0.9998788475304222
IGLV3-21|ENSG00000211662	ad	control	31.0	-0.143	0.8865	?-?	0.9998788475304222
ZDBF2|ENSG00000283649	ad	control	176.0	2.049	0.04046	+-+	0.6864020664652568
PGLS-DT|ENSG00000269439	ad	control	176.0	-1.134	0.2568	-+-	0.9998788475304222
AKAP17BP|ENSG00000214992	ad	control	31.0	-0.141	0.8878	?-?	0.9998788475304222
PITHD1|ENSG00000057757	ad	control	176.0	0.188	0.8508	+-+	0.9998788475304222
PCDHGA12|ENSG00000253159	ad	control	176.0	-3.229	0.001243	---	0.20173243352601156
ME3|ENSG00000151376	ad	control	70.0	1.593	0.1112	+-?	0.8970492985971945
CMAS|ENSG00000111726	ad	control	176.0	1.202	0.2292	+++	0.9998788475304222
ANKRD20A19P|ENSG00000196593	ad	control	137.0	0.15	0.8807	?-+	0.9998788475304222
ATP8B5P|ENSG00000179766	ad	control	31.0	1.181	0.2375	?+?	0.9998788475304222
TMEM109|ENSG00000110108	ad	control	70.0	-0.826	0.4088	-+?	0.9998788475304222
TNIP3|ENSG00000050730	ad	control	31.0	-1.315	0.1884	?-?	0.9884570708955225
ADIRF|ENSG00000148671	ad	control	70.0	0.12	0.9042	+-?	0.9998788475304222
PAGE2B|ENSG00000238269	ad	control	31.0	-0.296	0.7669	?-?	0.9998788475304222
