gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
VWC2,ENSG00000188730,VWC2,False,Temporal Lobe,Felsky_et_al,1.7
DUSP5,ENSG00000138166,DUSP5,False,Temporal Lobe,Felsky_et_al,1.7
GABPB1,ENSG00000104064,GABPB1,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000257386,ENSG00000257386,,False,Temporal Lobe,Felsky_et_al,1.7
KATNB1,ENSG00000140854,KATNB1,False,Temporal Lobe,Felsky_et_al,1.7
ZNRD2,ENSG00000173465,ZNRD2,False,Temporal Lobe,Felsky_et_al,1.7
MIR4458HG,ENSG00000247516,MIR4458HG,False,Temporal Lobe,Felsky_et_al,1.7
BDNF-AS,ENSG00000245573,BDNF-AS,False,Temporal Lobe,Felsky_et_al,1.7
VSNL1,ENSG00000163032,VSNL1,False,Temporal Lobe,Felsky_et_al,1.7
PSPC1,ENSG00000121390,PSPC1,False,Temporal Lobe,Felsky_et_al,1.7
TMEM201,ENSG00000188807,TMEM201,False,Temporal Lobe,Felsky_et_al,1.7
GRIK1,ENSG00000171189,GRIK1,False,Temporal Lobe,Felsky_et_al,1.7
GRIPAP1,ENSG00000068400,GRIPAP1,False,Temporal Lobe,Felsky_et_al,1.7
ADGRA1,ENSG00000197177,ADGRA1,False,Temporal Lobe,Felsky_et_al,1.7
BEAN1,ENSG00000166546,BEAN1,False,Temporal Lobe,Felsky_et_al,1.7
H2AC21,ENSG00000184270,H2AC21,False,Temporal Lobe,Felsky_et_al,1.7
MOBP,ENSG00000168314,MOBP,False,Temporal Lobe,Felsky_et_al,1.7
CDHR18P,ENSG00000224479,CDHR18P,False,Temporal Lobe,Felsky_et_al,1.7
PFDN2,ENSG00000143256,PFDN2,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000272341,ENSG00000272341,,False,Temporal Lobe,Felsky_et_al,1.7
GPR137C,ENSG00000180998,GPR137C,False,Temporal Lobe,Felsky_et_al,1.7
NRSN2,ENSG00000125841,NRSN2,False,Temporal Lobe,Felsky_et_al,1.7
NAP1L5,ENSG00000177432,NAP1L5,False,Temporal Lobe,Felsky_et_al,1.7
CALY,ENSG00000130643,CALY,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000282057,ENSG00000282057,,False,Temporal Lobe,Felsky_et_al,1.7
TSHZ2,ENSG00000182463,TSHZ2,False,Temporal Lobe,Felsky_et_al,1.7
H2AC8,ENSG00000277075,H2AC8,False,Temporal Lobe,Felsky_et_al,1.7
TSC2,ENSG00000103197,TSC2,False,Temporal Lobe,Felsky_et_al,1.7
TIMP4,ENSG00000157150,TIMP4,False,Temporal Lobe,Felsky_et_al,1.7
SLC8A3,ENSG00000100678,SLC8A3,False,Temporal Lobe,Felsky_et_al,1.7
GUSBP5,ENSG00000251600,GUSBP5,False,Temporal Lobe,Felsky_et_al,1.7
DTX2P1-UPK3BP1-PMS2P11,ENSG00000265479,DTX2P1-UPK3BP1-PMS2P11,False,Temporal Lobe,Felsky_et_al,1.7
IQGAP3,ENSG00000291754,IQGAP3,False,Temporal Lobe,Felsky_et_al,1.7
SLC44A5,ENSG00000137968,SLC44A5,False,Temporal Lobe,Felsky_et_al,1.7
ASPHD1,ENSG00000174939,ASPHD1,False,Temporal Lobe,Felsky_et_al,1.7
