gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
A1BG-AS1,ENSG00000268895,A1BG-AS1,False,Hippocampus,Luo_et_al,1.7
AASDHPPT,ENSG00000149313,AASDHPPT,False,Hippocampus,Luo_et_al,1.7
LOC114803472,,LOC114803472,False,Hippocampus,Luo_et_al,1.7
ABCD2,ENSG00000173208,ABCD2,False,Hippocampus,Luo_et_al,1.7
ACER3,ENSG00000078124,ACER3,False,Hippocampus,Luo_et_al,1.7
ACP5,ENSG00000102575,ACP5,False,Hippocampus,Luo_et_al,1.7
ACTG2,ENSG00000163017,ACTG2,False,Hippocampus,Luo_et_al,1.7
ACTR3C,ENSG00000106526,ACTR3C,False,Hippocampus,Luo_et_al,1.7
ADAD2,ENSG00000140955,ADAD2,False,Hippocampus,Luo_et_al,1.7
ADAMTSL5,ENSG00000185761,ADAMTSL5,False,Hippocampus,Luo_et_al,1.7
ADAT2,ENSG00000189007,ADAT2,False,Hippocampus,Luo_et_al,1.7
ADGRB2,ENSG00000121753,ADGRB2,False,Hippocampus,Luo_et_al,1.7
ADM5,ENSG00000224420,ADM5,False,Hippocampus,Luo_et_al,1.7
ADRA1B,ENSG00000170214,ADRA1B,False,Hippocampus,Luo_et_al,1.7
AFTPH-DT,ENSG00000260101,AFTPH-DT,False,Hippocampus,Luo_et_al,1.7
AGL,ENSG00000162688,AGL,False,Hippocampus,Luo_et_al,1.7
AGMO,ENSG00000187546,AGMO,False,Hippocampus,Luo_et_al,1.7
AGO3,ENSG00000126070,AGO3,False,Hippocampus,Luo_et_al,1.7
AGRN,ENSG00000188157,AGRN,False,Hippocampus,Luo_et_al,1.7
AKT1S1,ENSG00000204673,AKT1S1,False,Hippocampus,Luo_et_al,1.7
LOC112694756,ENSG00000285043,LOC112694756,False,Hippocampus,Luo_et_al,1.7
AMY2B,ENSG00000240038,AMY2B,False,Hippocampus,Luo_et_al,1.7
ANKRD18A,ENSG00000180071,ANKRD18A,False,Hippocampus,Luo_et_al,1.7
ANP32E,ENSG00000143401,ANP32E,False,Hippocampus,Luo_et_al,1.7
ANAPC2,ENSG00000176248,ANAPC2,False,Hippocampus,Luo_et_al,1.7
