gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
FOXJ1,ENSG00000129654,FOXJ1,False,Hippocampus,Magistry_et_al,1.9
SLC26A9-AS1,,SLC26A9-AS1,False,Hippocampus,Magistry_et_al,1.9
ULBP1,ENSG00000111981,ULBP1,False,Hippocampus,Magistry_et_al,1.9
SLC35F4,ENSG00000151812,SLC35F4,False,Hippocampus,Magistry_et_al,1.9
KDM5D,ENSG00000012817,KDM5D,False,Hippocampus,Magistry_et_al,1.9
DDX3Y,ENSG00000067048,DDX3Y,False,Hippocampus,Magistry_et_al,1.9
PKD1L2,ENSG00000166473,PKD1L2,False,Hippocampus,Magistry_et_al,1.9
CABP7-DT,ENSG00000232396,CABP7-DT,False,Hippocampus,Magistry_et_al,1.9
MYO1G,ENSG00000136286,MYO1G,False,Hippocampus,Magistry_et_al,1.9
EIF1AY,ENSG00000198692,EIF1AY,False,Hippocampus,Magistry_et_al,1.9
IRF6,ENSG00000117595,IRF6,False,Hippocampus,Magistry_et_al,1.9
RPS4Y1,ENSG00000129824,RPS4Y1,False,Hippocampus,Magistry_et_al,1.9
CDRT15L2,ENSG00000214819,CDRT15L2,False,Hippocampus,Magistry_et_al,1.9
CHRNA3,ENSG00000080644,CHRNA3,False,Hippocampus,Magistry_et_al,1.9
GCH1,ENSG00000131979,GCH1,False,Hippocampus,Magistry_et_al,1.9
TRHR,ENSG00000174417,TRHR,False,Hippocampus,Magistry_et_al,1.9
DLK1,ENSG00000185559,DLK1,False,Hippocampus,Magistry_et_al,1.9
WNT11,ENSG00000085741,WNT11,False,Hippocampus,Magistry_et_al,1.9
CFAP77,ENSG00000188523,CFAP77,False,Hippocampus,Magistry_et_al,1.9
LAMC2,ENSG00000058085,LAMC2,False,Hippocampus,Magistry_et_al,1.9
FNDC1-AS1,ENSG00000233682,FNDC1-AS1,False,Hippocampus,Magistry_et_al,1.9
DNAI3,ENSG00000162643,DNAI3,False,Hippocampus,Magistry_et_al,1.9
IL15RA,ENSG00000134470,IL15RA,False,Hippocampus,Magistry_et_al,1.9
UCMA,ENSG00000165623,UCMA,False,Hippocampus,Magistry_et_al,1.9
SCGN,ENSG00000079689,SCGN,False,Hippocampus,Magistry_et_al,1.9
TAC1,ENSG00000006128,TAC1,False,Hippocampus,Magistry_et_al,1.9
LGALS13,ENSG00000105198,LGALS13,False,Hippocampus,Magistry_et_al,1.9
F13A1,ENSG00000124491,F13A1,False,Hippocampus,Magistry_et_al,1.9
ADRA1D,ENSG00000171873,ADRA1D,False,Hippocampus,Magistry_et_al,1.9
SKAP1-AS1,ENSG00000263787,SKAP1-AS1,False,Hippocampus,Magistry_et_al,1.9
BCHE,ENSG00000114200,BCHE,False,Hippocampus,Magistry_et_al,1.9
TRIM72,ENSG00000177238,TRIM72,False,Hippocampus,Magistry_et_al,1.9
S100A9,ENSG00000163220,S100A9,False,Hippocampus,Magistry_et_al,1.9
GHSR,ENSG00000121853,GHSR,False,Hippocampus,Magistry_et_al,1.9
GPRIN2,ENSG00000204175,GPRIN2,False,Hippocampus,Magistry_et_al,1.9
VGLL3,ENSG00000206538,VGLL3,False,Hippocampus,Magistry_et_al,1.9
ANO1-AS1,ENSG00000254902,ANO1-AS1,False,Hippocampus,Magistry_et_al,1.9
ADRB3,ENSG00000188778,ADRB3,False,Hippocampus,Magistry_et_al,1.9
S100A8,ENSG00000143546,S100A8,False,Hippocampus,Magistry_et_al,1.9
DTHD1,ENSG00000197057,DTHD1,False,Hippocampus,Magistry_et_al,1.9
SLC5A7,ENSG00000115665,SLC5A7,False,Hippocampus,Magistry_et_al,1.9
KIF23,ENSG00000137807,KIF23,False,Hippocampus,Magistry_et_al,1.9
SFTPC,ENSG00000168484,SFTPC,False,Hippocampus,Magistry_et_al,1.9
NPSR1-AS1,ENSG00000197085,NPSR1-AS1,False,Hippocampus,Magistry_et_al,1.9
SMTNL2,ENSG00000188176,SMTNL2,False,Hippocampus,Magistry_et_al,1.9
DHRS2,ENSG00000100867,DHRS2,False,Hippocampus,Magistry_et_al,1.9
ARHGAP36,ENSG00000147256,ARHGAP36,False,Hippocampus,Magistry_et_al,1.9
SLC1A7,ENSG00000162383,SLC1A7,False,Hippocampus,Magistry_et_al,1.9
TH,ENSG00000180176,TH,False,Hippocampus,Magistry_et_al,1.9
IL1R2,ENSG00000115590,IL1R2,False,Hippocampus,Magistry_et_al,1.9
LIPC-AS1,ENSG00000259293,LIPC-AS1,False,Hippocampus,Magistry_et_al,1.9
PAGE4,ENSG00000101951,PAGE4,False,Hippocampus,Magistry_et_al,1.9
KRT19,ENSG00000171345,KRT19,False,Hippocampus,Magistry_et_al,1.9
EGR2,ENSG00000122877,EGR2,False,Hippocampus,Magistry_et_al,1.9
MCOLN3,ENSG00000055732,MCOLN3,False,Hippocampus,Magistry_et_al,1.9
SLC18A2-AS1,ENSG00000225936,SLC18A2-AS1,False,Hippocampus,Magistry_et_al,1.9
P2RX2,ENSG00000187848,P2RX2,False,Hippocampus,Magistry_et_al,1.9
MOV10L1,ENSG00000073146,MOV10L1,False,Hippocampus,Magistry_et_al,1.9
MRGPRF-AS1,ENSG00000256508,MRGPRF-AS1,False,Hippocampus,Magistry_et_al,1.9
SULT1B1,ENSG00000173597,SULT1B1,False,Hippocampus,Magistry_et_al,1.9
GUCA1C,ENSG00000138472,GUCA1C,False,Hippocampus,Magistry_et_al,1.9
TPTEP1,ENSG00000100181,TPTEP1,False,Hippocampus,Magistry_et_al,1.9
IFNAR1,ENSG00000142166,IFNAR1,True,Hippocampus,Magistry_et_al,1.9
CHIT1,ENSG00000133063,CHIT1,True,Hippocampus,Magistry_et_al,1.9
SPEF2,ENSG00000152582,SPEF2,True,Hippocampus,Magistry_et_al,1.9
CPA4,ENSG00000128510,CPA4,True,Hippocampus,Magistry_et_al,1.9
ZNG1E,ENSG00000147996,ZNG1E,True,Hippocampus,Magistry_et_al,1.9
SLC5A5,ENSG00000105641,SLC5A5,True,Hippocampus,Magistry_et_al,1.9
KRT5,ENSG00000186081,KRT5,True,Hippocampus,Magistry_et_al,1.9
SGCG,ENSG00000102683,SGCG,True,Hippocampus,Magistry_et_al,1.9
HSBP1,ENSG00000230989,HSBP1,True,Hippocampus,Magistry_et_al,1.9
OTX1,ENSG00000115507,OTX1,True,Hippocampus,Magistry_et_al,1.9
GRK7,ENSG00000114124,GRK7,True,Hippocampus,Magistry_et_al,1.9
LTK,ENSG00000062524,LTK,True,Hippocampus,Magistry_et_al,1.9
MCHR2-AS1,ENSG00000229315,MCHR2-AS1,True,Hippocampus,Magistry_et_al,1.9
RFESD,ENSG00000175449,RFESD,True,Hippocampus,Magistry_et_al,1.9
