gene,gene_name,BA17_SNp_HA_vs_AD.l2fc,BA17_SNp_HA_vs_AD.pval,BA17_SNp_HA_vs_AD.padj,BA17_SNp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000196850,PPTC7,0.107633575,0.648308639,0.999804227,0.117791838,,,,,
ENSG00000186501,TMEM222,0.228206296,0.170347128,0.999804227,0.253722072,,,,,
ENSG00000100916,BRMS1L,-0.090620009,0.688500324,0.999804227,-0.148848387,,,,,
ENSG00000175497,DPP10,-0.10895793,0.70148866,0.999804227,-0.165453866,,,,,
ENSG00000123091,RNF11,-0.027846336,0.887964934,0.999804227,-0.056797724,,,,,
ENSG00000173918,C1QTNF1,0.499685694,0.066569297,0.999804227,0.692135527,,,,,
ENSG00000233621,LINC01137,0.001152567,0.996750732,0.999804227,-0.234469342,,,,,
ENSG00000179456,ZBTB18,-0.167803123,0.537087682,0.999804227,-0.218857645,,,,,
ENSG00000106723,SPIN1,-0.299495065,0.104749377,0.999804227,-0.323008803,,,,,
ENSG00000262246,CORO7,-0.060699784,0.789331954,0.999804227,-0.068241363,,,,,
ENSG00000164830,OXR1,0.201751964,0.468805345,0.999804227,0.24682221,,,,,
ENSG00000139410,SDSL,0.676116984,0.020517555,0.999804227,1.002580868,,,,,
ENSG00000113805,CNTN3,0.308076019,0.323498735,0.999804227,0.525539775,,,,,
ENSG00000152822,GRM1,0.078186205,0.802003813,0.999804227,0.084173737,,,,,
ENSG00000152332,UHMK1,-0.162436736,0.466639494,0.999804227,-0.180638083,,,,,
ENSG00000134909,ARHGAP32,-0.058527692,0.830396035,0.999804227,-0.071017865,,,,,
ENSG00000185774,KCNIP4,0.169229227,0.569845697,0.999804227,0.218715347,,,,,
ENSG00000149599,DUSP15,0.260519076,0.364429713,0.999804227,0.358168753,,,,,
ENSG00000145715,RASA1,0.043654708,0.867412342,0.999804227,0.041290529,,,,,
ENSG00000228971,LINC02607,-0.080510877,0.798731899,0.999804227,-0.241698227,,,,,
ENSG00000152503,TRIM36,0.051018248,0.865605181,0.999804227,0.045872817,,,,,
ENSG00000171502,COL24A1,-0.050851968,0.858648167,0.999804227,-0.057617955,,,,,
ENSG00000187479,C11orf96,0.499931158,0.111380927,0.999804227,0.989362873,,,,,
ENSG00000142192,APP,0.111675043,0.564331374,0.999804227,0.124647073,,,,,
ENSG00000100280,AP1B1,0.376452201,0.039185407,0.999804227,0.415871249,,,,,
ENSG00000167470,MIDN,0.785204532,0.002451161,0.999804227,1.019034275,,,,,
ENSG00000179403,VWA1,0.339143714,0.171256652,0.999804227,0.411944875,,,,,
ENSG00000165688,PMPCA,0.22332979,0.217365619,0.999804227,0.250757955,,,,,
ENSG00000024422,EHD2,0.203026297,0.31480159,0.999804227,0.222288291,,,,,
ENSG00000144290,SLC4A10,0.351465159,0.255913828,0.999804227,0.856788504,,,,,
ENSG00000041353,RAB27B,0.424842907,0.178212526,0.999804227,0.87694336,,,,,
