gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
GYPC|ENSG00000136732	1.325095946	4.77e-12	39	Control	AD
VWC2|ENSG00000188730	-1.038693764	2.54e-09	39	Control	AD
DUSP5|ENSG00000138166	-1.364506183	2.56e-09	39	Control	AD
LYVE1|ENSG00000133800	1.669596325	4.83e-09	39	Control	AD
GABPB1|ENSG00000104064	-0.404433283	5.71e-09	39	Control	AD
	-1.105401507	5.96e-09	39	Control	AD
RASGRP4|ENSG00000171777	0.899544995	9.53e-09	39	Control	AD
KATNB1|ENSG00000140854	-0.625078071	1.21e-08	39	Control	AD
SEMA3D|ENSG00000153993	1.126739401	1.35e-08	39	Control	AD
ZNRD2|ENSG00000173465	-0.531709909	1.58e-08	39	Control	AD
RAB29|ENSG00000117280	0.824398229	1.94e-08	39	Control	AD
GEM|ENSG00000164949	1.443941499	2e-08	39	Control	AD
MIR4458HG|ENSG00000247516	-0.612776724	2.87e-08	39	Control	AD
BDNF-AS|ENSG00000245573	-0.789103129	3.29e-08	39	Control	AD
ZBED6|ENSG00000257315	0.79955219	3.42e-08	39	Control	AD
BACE2|ENSG00000182240	0.952705158	3.7e-08	39	Control	AD
FREM2|ENSG00000150893	0.884336748	4.97e-08	39	Control	AD
PARD3B|ENSG00000116117	0.534108638	5.16e-08	39	Control	AD
GRTP1|ENSG00000139835	1.019504129	5.21e-08	39	Control	AD
RASA4|ENSG00000105808	0.564665952	6.24e-08	39	Control	AD
S1PR3|ENSG00000213694	0.914328758	6.6e-08	39	Control	AD
ST6GALNAC3|ENSG00000184005	0.711852502	6.88e-08	39	Control	AD
VSNL1|ENSG00000163032	-1.270124225	7.39e-08	39	Control	AD
LINC00598|ENSG00000215483	1.034181488	7.91e-08	39	Control	AD
PSPC1|ENSG00000121390	-0.438665742	8.36e-08	39	Control	AD
TMEM201|ENSG00000188807	-0.436001209	8.42e-08	39	Control	AD
GRIK1|ENSG00000171189	-0.918680387	8.77e-08	39	Control	AD
RAB32|ENSG00000118508	1.117531032	9.1e-08	39	Control	AD
GRIPAP1|ENSG00000068400	-0.517047152	9.84e-08	39	Control	AD
ADGRA1|ENSG00000197177	-0.68708246	1.25e-07	39	Control	AD
EEF1A1P6|ENSG00000233476	0.649301855	1.34e-07	39	Control	AD
LINC02762|ENSG00000250303	0.712038191	1.39e-07	39	Control	AD
BEAN1|ENSG00000166546	-0.895930656	1.54e-07	39	Control	AD
H2AC21|ENSG00000184270	-0.540978209	1.68e-07	39	Control	AD
ANO6|ENSG00000177119	0.992780492	1.79e-07	39	Control	AD
CD33|ENSG00000105383	1.108648135	1.84e-07	39	Control	AD
MYOF|ENSG00000138119	1.02821941	1.95e-07	39	Control	AD
PCOLCE|ENSG00000106333	1.073948375	2.01e-07	39	Control	AD
STON2|ENSG00000140022	0.811440122	2.1e-07	39	Control	AD
LAMA3|ENSG00000053747	0.690090116	2.11e-07	39	Control	AD
MOBP|ENSG00000168314	-1.030327086	2.11e-07	39	Control	AD
ENTPD1|ENSG00000138185	0.355289168	2.17e-07	39	Control	AD
CDHR18P|ENSG00000224479	-1.326888825	2.29e-07	39	Control	AD
ZIC4|ENSG00000174963	1.156286894	2.35e-07	39	Control	AD
MMP14|ENSG00000157227	1.101653013	2.44e-07	39	Control	AD
TLR5|ENSG00000187554	1.665084658	2.75e-07	39	Control	AD
PFDN2|ENSG00000143256	-0.472369445	2.93e-07	39	Control	AD
EGF|ENSG00000138798	0.879562999	2.96e-07	39	Control	AD
	-1.08475676	3.02e-07	39	Control	AD
GPR137C|ENSG00000180998	-0.507846734	3.04e-07	39	Control	AD
NRSN2|ENSG00000125841	-0.570924663	3.15e-07	39	Control	AD
NAP1L5|ENSG00000177432	-1.162298101	3.5e-07	39	Control	AD
FAM89A|ENSG00000182118	0.893249118	3.53e-07	39	Control	AD
CALY|ENSG00000130643	-0.892771109	3.56e-07	39	Control	AD
	-1.171576454	3.83e-07	39	Control	AD
TSHZ2|ENSG00000182463	-0.653294166	4.28e-07	39	Control	AD
OLFML1|ENSG00000183801	1.060043532	4.35e-07	39	Control	AD
PABPC4L|ENSG00000254535	1.189177037	4.36e-07	39	Control	AD
MAML2|ENSG00000184384	0.542019326	4.79e-07	39	Control	AD
KLHDC8B|ENSG00000185909	0.428340355	4.88e-07	39	Control	AD
ANGPT1|ENSG00000154188	1.217086854	5.02e-07	39	Control	AD
PDE5A|ENSG00000138735	0.552962516	5.02e-07	39	Control	AD
IPO8|ENSG00000133704	0.371747404	5.16e-07	39	Control	AD
NPNT|ENSG00000168743	1.382338083	5.17e-07	39	Control	AD
H2AC8|ENSG00000277075	-0.880299716	5.33e-07	39	Control	AD
CSK|ENSG00000103653	0.460877044	5.39e-07	39	Control	AD
ZFP36L2|ENSG00000152518	0.548517851	5.59e-07	39	Control	AD
VAC14-AS1|ENSG00000214353	1.060767639	5.7e-07	39	Control	AD
WNT4|ENSG00000162552	0.626193101	6.25e-07	39	Control	AD
TSC2|ENSG00000103197	-0.400229726	6.58e-07	39	Control	AD
RPS10-NUDT3|ENSG00000270800	0.543427879	6.59e-07	39	Control	AD
NR1H3|ENSG00000025434	0.580882598	6.67e-07	39	Control	AD
TIMP4|ENSG00000157150	-0.558217432	7.35e-07	39	Control	AD
SLC8A3|ENSG00000100678	-0.694094666	7.52e-07	39	Control	AD
GUSBP5|ENSG00000251600	-0.730841593	7.61e-07	39	Control	AD
DTX2P1-UPK3BP1-PMS2P11|ENSG00000265479	-0.56301924	8.14e-07	39	Control	AD
CD74|ENSG00000019582	1.116640616	8.19e-07	39	Control	AD
VSTM4|ENSG00000165633	0.698165067	8.61e-07	39	Control	AD
DGCR6|ENSG00000183628	0.784697672	8.65e-07	39	Control	AD
SLC16A4|ENSG00000168679	0.646954956	8.73e-07	39	Control	AD
EFNB1|ENSG00000090776	0.790526771	9.77e-07	39	Control	AD
B3GALT5-AS1|ENSG00000184809	1.002801571	1.02e-06	39	Control	AD
