gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
CHID1|ENSG00000177830	-0.4616922	1.9e-07	29	Control	AD
ITGB8|ENSG00000105855	1.02291542	4.07e-07	29	Control	AD
ZC3H12C|ENSG00000149289	0.72217753	5.79e-07	29	Control	AD
CEP350|ENSG00000135837	0.64634743	7.23e-07	29	Control	AD
MKLN1|ENSG00000128585	0.52612716	9.57e-07	29	Control	AD
STAG1|ENSG00000118007	0.48540813	1.23e-06	29	Control	AD
DBNL|ENSG00000136279	-0.3960194	1.78e-06	29	Control	AD
PTCH1|ENSG00000185920	0.77377313	2.08e-06	29	Control	AD
HIF3A|ENSG00000124440	1.52000157	2.27e-06	29	Control	AD
TM7SF2|ENSG00000149809	-0.7257325	2.31e-06	29	Control	AD
FKBP5|ENSG00000096060	1.48133116	2.33e-06	29	Control	AD
ZHX3|ENSG00000174306	0.55864798	2.68e-06	29	Control	AD
ZCCHC17|ENSG00000121766	-0.4193796	2.69e-06	29	Control	AD
MPI|ENSG00000178802	-0.3582541	3.05e-06	29	Control	AD
BTBD7|ENSG00000011114	0.61794495	3.23e-06	29	Control	AD
LIFR|ENSG00000113594	0.7909503	3.23e-06	29	Control	AD
TOR1AIP1|ENSG00000143337	0.39964639	3.27e-06	29	Control	AD
ACOT8|ENSG00000101473	-0.4262798	3.38e-06	29	Control	AD
SP3|ENSG00000172845	0.31693609	3.4e-06	29	Control	AD
NFKBIA|ENSG00000100906	0.90450629	3.45e-06	29	Control	AD
SASH1|ENSG00000111961	0.83454825	3.75e-06	29	Control	AD
XRN1|ENSG00000114127	0.42191793	4.2e-06	29	Control	AD
LPIN1|ENSG00000134324	0.48360315	4.44e-06	29	Control	AD
DENND4C|ENSG00000137145	0.67273449	5.52e-06	29	Control	AD
PPP1CC|ENSG00000186298	0.45507805	5.87e-06	29	Control	AD
KMT2C|ENSG00000055609	0.66230893	6.98e-06	29	Control	AD
NBPF14|ENSG00000270629	0.89754596	7.08e-06	29	Control	AD
GRAMD1C|ENSG00000178075	1.03287604	7.51e-06	29	Control	AD
OSBPL11|ENSG00000144909	0.7301763	7.52e-06	29	Control	AD
PKN2|ENSG00000065243	0.52621956	8.24e-06	29	Control	AD
FKBP14|ENSG00000106080	0.56582704	8.72e-06	29	Control	AD
SLC25A11|ENSG00000108528	-0.3868909	9.62e-06	29	Control	AD
UBR5|ENSG00000104517	0.47199385	9.83e-06	29	Control	AD
AFF1|ENSG00000172493	0.67216986	9.85e-06	29	Control	AD
EP300|ENSG00000100393	0.54723896	1.04e-05	29	Control	AD
NOTCH2|ENSG00000134250	1.29816418	1.08e-05	29	Control	AD
BRD9|ENSG00000028310	-0.4680741	1.17e-05	29	Control	AD
TMEM141|ENSG00000244187	-0.5320878	1.18e-05	29	Control	AD
NDUFA10|ENSG00000130414	-0.3024031	1.32e-05	29	Control	AD
BCL2|ENSG00000171791	0.58730464	1.37e-05	29	Control	AD
SON|ENSG00000159140	0.38382899	1.5e-05	29	Control	AD
EEF2K|ENSG00000103319	0.60216477	1.53e-05	29	Control	AD
DCAF4|ENSG00000119599	-0.4862274	1.67e-05	29	Control	AD
TBX3|ENSG00000135111	0.94656703	1.69e-05	29	Control	AD
ZDHHC2|ENSG00000104219	0.52808965	1.8e-05	29	Control	AD
VCAN|ENSG00000038427	0.97284079	1.99e-05	29	Control	AD
NIN|ENSG00000100503	0.39359755	2.04e-05	29	Control	AD
LRP6|ENSG00000281324	0.48822388	2.05e-05	29	Control	AD
SMIM10L1|ENSG00000256537	-0.4047977	2.09e-05	29	Control	AD
ASXL2|ENSG00000143970	0.53982235	2.13e-05	29	Control	AD
PATL1|ENSG00000166889	0.31973641	2.33e-05	29	Control	AD
ELF1|ENSG00000120690	0.76058211	2.4e-05	29	Control	AD
SST|ENSG00000157005	-1.9512466	2.44e-05	29	Control	AD
RANBP3L|ENSG00000164188	1.20072593	2.47e-05	29	Control	AD
SLC15A2|ENSG00000163406	1.03053332	2.48e-05	29	Control	AD
USP53|ENSG00000145390	0.74732001	2.5e-05	29	Control	AD
ARHGAP31|ENSG00000031081	0.88413891	2.51e-05	29	Control	AD
NBPF10|ENSG00000271425	0.93216988	2.56e-05	29	Control	AD
ABCA1|ENSG00000165029	0.94418204	2.93e-05	29	Control	AD
PRKX|ENSG00000183943	0.92383428	2.95e-05	29	Control	AD
AHNAK|ENSG00000124942	1.11195113	3.15e-05	29	Control	AD
PKD2|ENSG00000118762	0.46442632	3.34e-05	29	Control	AD
REV3L|ENSG00000009413	0.39793619	3.38e-05	29	Control	AD
TRAP1|ENSG00000126602	-0.3982317	3.43e-05	29	Control	AD
TCEAL4|ENSG00000133142	-0.3288037	3.5e-05	29	Control	AD
MID1|ENSG00000101871	0.7833199	3.57e-05	29	Control	AD
PARD3|ENSG00000148498	0.94541741	3.69e-05	29	Control	AD
MRPS18A|ENSG00000096080	-0.3109087	3.71e-05	29	Control	AD
TFCP2L1|ENSG00000115112	1.99593437	3.81e-05	29	Control	AD
BCKDK|ENSG00000103507	-0.5403221	3.82e-05	29	Control	AD
ATP11C|ENSG00000101974	0.81411297	3.87e-05	29	Control	AD
TEAD1|ENSG00000187079	0.77445699	4.04e-05	29	Control	AD
CHST11|ENSG00000171310	0.63742647	4.18e-05	29	Control	AD
KIAA1958|ENSG00000165185	0.71207679	4.29e-05	29	Control	AD
GFUS|ENSG00000278243	-0.4506825	4.53e-05	29	Control	AD
CHD1|ENSG00000153922	0.42024591	4.65e-05	29	Control	AD
SLC41A1|ENSG00000133065	0.52688321	4.75e-05	29	Control	AD
KCNN3|ENSG00000143603	0.87245437	5e-05	29	Control	AD
ARHGAP5|ENSG00000100852	0.53474615	5.04e-05	29	Control	AD
IL6ST|ENSG00000134352	0.5147829	5.07e-05	29	Control	AD
MAP1LC3A|ENSG00000101460	-0.5722414	5.3e-05	29	Control	AD
HEATR5A|ENSG00000129493	0.67585345	5.31e-05	29	Control	AD
S100PBP|ENSG00000116497	0.47541917	5.59e-05	29	Control	AD
AHCYL2|ENSG00000158467	0.66279254	5.61e-05	29	Control	AD
ATAD2B|ENSG00000119778	0.48377557	5.63e-05	29	Control	AD
SYNC|ENSG00000162520	0.80124788	5.7e-05	29	Control	AD
CDH20|ENSG00000101542	0.74263495	5.88e-05	29	Control	AD
COMMD9|ENSG00000110442	-0.2780075	5.99e-05	29	Control	AD
MEX3C|ENSG00000176624	0.40432249	6.18e-05	29	Control	AD
MEIS3|ENSG00000105419	-0.7217111	6.21e-05	29	Control	AD
MRPL9|ENSG00000143436	-0.2646762	6.32e-05	29	Control	AD
ATOX1|ENSG00000177556	-0.4639797	6.38e-05	29	Control	AD
IRAK3|ENSG00000090376	1.17526266	6.53e-05	29	Control	AD
SYNRG|ENSG00000275066	0.3084214	6.56e-05	29	Control	AD
NEU1|ENSG00000204386	-0.3013819	6.67e-05	29	Control	AD
FRMPD2|ENSG00000170324	-1.3685892	6.93e-05	29	Control	AD
SBF2|ENSG00000133812	0.55813567	7.05e-05	29	Control	AD
ZNF107|ENSG00000196247	0.57582313	7.07e-05	29	Control	AD
PDCD6|ENSG00000249915	-0.294452	7.12e-05	29	Control	AD
ATP10D|ENSG00000145246	0.73056014	7.45e-05	29	Control	AD
PAPSS2|ENSG00000198682	1.02882645	7.57e-05	29	Control	AD
PRR13|ENSG00000205352	-0.4466218	7.62e-05	29	Control	AD
KANK1|ENSG00000107104	0.64354905	8.05e-05	29	Control	AD
