gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ARF5|ENSG00000004059	-0.263953528744035	0.0317657864857517	233	Control	AD
M6PR|ENSG00000003056	-0.205219960995679	0.0132966845098034	233	Control	AD
ESRRA|ENSG00000173153	-0.0671053251373974	0.38372256676039	233	Control	AD
FKBP4|ENSG00000004478	0.021265109758636	0.837232311583757	233	Control	AD
CYP26B1|ENSG00000003137	0.0151812074779634	0.91844344673554	233	Control	AD
NDUFAF7|ENSG00000003509	-0.171238300208991	0.0428675598951677	233	Control	AD
FUCA2|ENSG00000001036	0.0159946633302348	0.7466509696222	233	Control	AD
DBNDD1|ENSG00000003249	0.129767682561834	0.235273059243054	233	Control	AD
HS3ST1|ENSG00000002587	-0.0632431414227063	0.574905811668704	233	Control	AD
SEMA3F|ENSG00000001617	0.368340615892821	0.0337549470506384	233	Control	AD
CFTR|ENSG00000001626	-0.004424838216107	0.968835636406075	233	Control	AD
CYP51A1|ENSG00000001630	-0.186171912968367	0.091781111787297	233	Control	AD
USP28|ENSG00000048028	-0.0731296837045409	0.287011614494706	233	Control	AD
STPG1|ENSG00000001460	0.0228191188295926	0.606623367275789	233	Control	AD
NIPAL3|ENSG00000001461	-0.0025512376061515	0.966209699407492	233	Control	AD
TMEM176A|ENSG00000002933	0.333604832906691	0.0193461724462144	233	Control	AD
SLC7A2|ENSG00000003989	0.376432951482049	0.0138510427827978	233	Control	AD
HSPB6|ENSG00000004776	0.227521217589022	0.215025486104595	233	Control	AD
ZNF195|ENSG00000005801	-0.112825511085494	0.0443150905406229	233	Control	AD
PDK4|ENSG00000004799	0.0071830913872768	0.971562272330628	233	Control	AD
CCL26|ENSG00000006606	-0.0679648091550881	1.0	233	Control	AD
USH1C|ENSG00000006611	-0.0784675744639947	0.617392383921913	233	Control	AD
RALA|ENSG00000006451	0.0171878109911925	0.727614478817216	233	Control	AD
BCAP29|ENSG00000075790	-0.138312063794955	0.0641937917828818	233	Control	AD
BAIAP2L1|ENSG00000006453	0.0898222041333372	0.480898673541267	233	Control	AD
CACNG3|ENSG00000006116	0.0238938893685832	0.854295519390372	233	Control	AD
TMEM132A|ENSG00000006118	0.0524188041287268	0.602286146395316	233	Control	AD
DVL2|ENSG00000004975	0.200067137512268	0.0248812496345071	233	Control	AD
GGCT|ENSG00000006625	-0.258768024593582	0.0311189443953349	233	Control	AD
RPAP3|ENSG00000005175	0.0067145021013032	0.911089101656165	233	Control	AD
IFRD1|ENSG00000006652	-0.0956623004599406	0.288654772847812	233	Control	AD
UPP2|ENSG00000007001	0.0205409562379884	0.837737064362352	233	Control	AD
PRSS21|ENSG00000007038	-0.201369337058051	1.0	233	Control	AD
HOXA11|ENSG00000005073	-0.716174924615647	1.0	233	Control	AD
CX3CL1|ENSG00000006210	0.0520790705426774	0.620486300235747	233	Control	AD
PRR5|ENSG00000186654	0.167261338950699	0.120582425815961	233	Control	AD
TRAPPC6A|ENSG00000007255	-0.0967606067074606	0.378921465264975	233	Control	AD
SPATA20|ENSG00000006282	-0.0195646066688271	0.813957612947933	233	Control	AD
CEACAM7|ENSG00000280501	-0.644387603848176	1.0	233	Control	AD
CD79B|ENSG00000007312	-0.169300377141729	1.0	233	Control	AD
RHBDD2|ENSG00000005486	0.162782740070218	0.13248067702195	233	Control	AD
RPUSD1|ENSG00000007376	0.0233283049711379	0.796205382753322	233	Control	AD
TSR3|ENSG00000007520	0.0713592356052201	0.319724191543695	233	Control	AD
OSBPL7|ENSG00000006025	0.20902051046959	0.0579612642235108	233	Control	AD
ARHGAP33|ENSG00000004777	0.213774474101239	0.192157806850968	233	Control	AD
NDUFAB1|ENSG00000004779	-0.15245195020366	0.249186210894539	233	Control	AD
YBX2|ENSG00000288504	-0.0175704431558311	0.938907210480967	233	Control	AD
PDK2|ENSG00000005882	0.133730246229282	0.174862705909093	233	Control	AD
ITGA3|ENSG00000005884	0.0730788653248832	0.300368040301042	233	Control	AD
KRT33A|ENSG00000261986	-0.138470495122531	1.0	233	Control	AD
LRRC23|ENSG00000010626	0.116272742298797	0.120183164275222	233	Control	AD
IL32|ENSG00000008517	0.325765173802461	0.0213149315482413	233	Control	AD
TFAP2D|ENSG00000008197	-0.141817921770221	1.0	233	Control	AD
SPRTN|ENSG00000010072	-0.0372304740373187	0.546822143242953	233	Control	AD
CRY1|ENSG00000008405	0.0330997407915608	0.705346780189308	233	Control	AD
MAPK8IP2|ENSG00000008735	-0.0242174807805268	0.836348823610658	233	Control	AD
PGLYRP1|ENSG00000008438	0.0554056662101146	0.6989123854402	233	Control	AD
STARD3NL|ENSG00000010270	-0.0788406498369021	0.20377044442066	233	Control	AD
CAMK1G|ENSG00000008118	-0.145186980315701	0.246871323032897	233	Control	AD
CD9|ENSG00000010278	0.0808340873956261	0.513074243712573	233	Control	AD
CD74|ENSG00000019582	0.521975411612108	0.0040729018190612	233	Control	AD
RPS20|ENSG00000008988	-0.15697419210191	0.0399156190314986	233	Control	AD
DYRK4|ENSG00000010219	-0.170423260372656	0.0206167266502748	233	Control	AD
FAM76A|ENSG00000009780	-0.0304994775661579	0.554395620797641	233	Control	AD
MGST1|ENSG00000008394	0.148696601771586	0.169174346296634	233	Control	AD
CPA1|ENSG00000091704	-0.0523780558809024	1.0	233	Control	AD
SYPL1|ENSG00000008282	0.12329646632466	0.0896005363065523	233	Control	AD
RANBP9|ENSG00000010017	-0.102747595803634	0.133275904352436	233	Control	AD
CD4|ENSG00000010610	0.2033892636708	0.0376234659890445	233	Control	AD
PLEKHG6|ENSG00000008323	0.18587958577571	0.111232309247148	233	Control	AD
SS18L2|ENSG00000008324	-0.0156421759621344	0.86995575104452	233	Control	AD
VPS13D|ENSG00000048707	0.0379095319308435	0.506978139778302	233	Control	AD
TSPAN9|ENSG00000011105	0.0926056677422061	0.236119884712286	233	Control	AD
CYP4F2|ENSG00000186115	-0.343631922465819	1.0	233	Control	AD
QPCTL|ENSG00000011478	0.154338650049553	0.0300809897613803	233	Control	AD
HIVEP2|ENSG00000010818	-0.0126268262965718	0.859028001068363	233	Control	AD
PPP5C|ENSG00000011485	0.0627961257918045	0.280137824072904	233	Control	AD
NME1|ENSG00000239672	-0.312221069228889	0.0399776873812397	233	Control	AD
UBR7|ENSG00000278787	0.0709874270286239	0.393890185652437	233	Control	AD
MAP4K5|ENSG00000012983	0.0133552668087049	0.861812139740893	233	Control	AD
INMT|ENSG00000241644	-0.0158886328792962	0.884722563417299	233	Control	AD
ERCC1|ENSG00000012061	0.0066783131043648	0.872623767969171	233	Control	AD
ABHD5|ENSG00000011198	-0.0983841530948743	0.107452816998655	233	Control	AD
GPRC5A|ENSG00000013588	0.167149486439747	0.177512573932154	233	Control	AD
