gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ARF5|ENSG00000004059	-0.26063788333323	0.0506464310294662	238	Control	AD
M6PR|ENSG00000003056	-0.154369424894631	0.0675122977647737	238	Control	AD
ESRRA|ENSG00000173153	0.0535043500766309	0.503835320901997	238	Control	AD
FKBP4|ENSG00000004478	0.133967026595043	0.257243226622324	238	Control	AD
CYP26B1|ENSG00000003137	-0.319848479784533	0.0204487477250683	238	Control	AD
NDUFAF7|ENSG00000003509	-0.207537271136314	0.0545856087500142	238	Control	AD
FUCA2|ENSG00000001036	-0.0051555854022797	0.945787855480226	238	Control	AD
DBNDD1|ENSG00000003249	-0.0617110756443143	0.533298317213986	238	Control	AD
HS3ST1|ENSG00000002587	0.0218556873529582	0.890629865013025	238	Control	AD
SEMA3F|ENSG00000001617	0.547159259760893	0.0059364000941306	238	Control	AD
CFTR|ENSG00000001626	0.0863506195188886	0.529154553435045	238	Control	AD
CYP51A1|ENSG00000001630	-0.0770147894918625	0.615484178260507	238	Control	AD
USP28|ENSG00000048028	-0.0752502979806528	0.392407787457403	238	Control	AD
STPG1|ENSG00000001460	0.020199574121927	0.770170405496888	238	Control	AD
NIPAL3|ENSG00000001461	0.0211929200699302	0.799187685700987	238	Control	AD
TMEM176A|ENSG00000002933	0.386681444748441	0.014273815468741	238	Control	AD
SLC7A2|ENSG00000003989	0.382851280234853	0.0146247300065345	238	Control	AD
HSPB6|ENSG00000004776	0.161640416758808	0.493024991905632	238	Control	AD
ZNF195|ENSG00000005801	-0.0618658807742269	0.400992510700568	238	Control	AD
PDK4|ENSG00000004799	0.195411119366972	0.23359229176827	238	Control	AD
CCL26|ENSG00000006606	0.16766249672006	1.0	238	Control	AD
USH1C|ENSG00000006611	0.120355929050522	0.47623148415512	238	Control	AD
RALA|ENSG00000006451	-0.0342671960181181	0.577873411624655	238	Control	AD
BCAP29|ENSG00000075790	-0.187361777255606	0.0886692163638743	238	Control	AD
BAIAP2L1|ENSG00000006453	0.213255086974823	0.157165874871011	238	Control	AD
CACNG3|ENSG00000006116	-0.294714777679644	0.0353887719956573	238	Control	AD
TMEM132A|ENSG00000006118	-0.0103748012645407	0.9233489624301	238	Control	AD
DVL2|ENSG00000004975	0.0861763583869369	0.407549536258677	238	Control	AD
GGCT|ENSG00000006625	-0.376757672111652	0.0067746160945798	238	Control	AD
RPAP3|ENSG00000005175	-0.0391814392395758	0.416458541366741	238	Control	AD
IFRD1|ENSG00000006652	0.0797277322505446	0.419045781691391	238	Control	AD
UPP2|ENSG00000007001	-0.013354662490116	0.923598084400446	238	Control	AD
PRSS21|ENSG00000007038	0.170964393861781	1.0	238	Control	AD
HOXA11|ENSG00000005073	0.589497073256801	1.0	238	Control	AD
CX3CL1|ENSG00000006210	-0.193738117555364	0.0355794108887691	238	Control	AD
PRR5|ENSG00000186654	0.0441869079981279	0.732292079068769	238	Control	AD
TRAPPC6A|ENSG00000007255	-0.0608192230480367	0.631426885577393	238	Control	AD
SPATA20|ENSG00000006282	-0.0426210030335605	0.577525704963145	238	Control	AD
CEACAM7|ENSG00000280501	0.261637534811611	1.0	238	Control	AD
CD79B|ENSG00000007312	0.0905317776136955	0.730441977035786	238	Control	AD
RHBDD2|ENSG00000005486	-0.151482549762728	0.255171667547554	238	Control	AD
RPUSD1|ENSG00000007376	-0.0991451928105881	0.167600327925691	238	Control	AD
TSR3|ENSG00000007520	-0.0071264733967321	0.944781802026888	238	Control	AD
OSBPL7|ENSG00000006025	0.0827513078084517	0.532221971067315	238	Control	AD
ARHGAP33|ENSG00000004777	0.0177056175750315	0.925156223458282	238	Control	AD
NDUFAB1|ENSG00000004779	-0.403246314772635	0.0043483294124233	238	Control	AD
YBX2|ENSG00000288504	-0.0495266419318529	0.796860058917999	238	Control	AD
PDK2|ENSG00000005882	-0.0833634055251654	0.468864185594638	238	Control	AD
ITGA3|ENSG00000005884	0.0322525378425541	0.714282118280896	238	Control	AD
KRT33A|ENSG00000261986	0.168944658440397	1.0	238	Control	AD
LRRC23|ENSG00000010626	0.0145347869080402	0.885743785026396	238	Control	AD
IL32|ENSG00000008517	0.756039418224127	0.0003974044947244	238	Control	AD
TFAP2D|ENSG00000008197	0.294019629942662	1.0	238	Control	AD
SPRTN|ENSG00000010072	-0.0692884351636234	0.307502140384944	238	Control	AD
CRY1|ENSG00000008405	0.198048386657743	0.0274442089013624	238	Control	AD
MAPK8IP2|ENSG00000008735	-0.273534676315347	0.0016727618574493	238	Control	AD
PGLYRP1|ENSG00000008438	0.0019784322733833	0.992844521046168	238	Control	AD
STARD3NL|ENSG00000010270	-0.0469595015998004	0.56668807200996	238	Control	AD
CAMK1G|ENSG00000008118	-0.432544390022507	0.012047437917485	238	Control	AD
CD9|ENSG00000010278	0.287041522957767	0.0672012831523268	238	Control	AD
CD74|ENSG00000019582	0.651237511008783	0.0012926204927528	238	Control	AD
RPS20|ENSG00000008988	0.0649410066489087	0.479979573679691	238	Control	AD
DYRK4|ENSG00000010219	-0.0579500487372458	0.530205321981972	238	Control	AD
FAM76A|ENSG00000009780	0.0808533191786845	0.17004331024167	238	Control	AD
MGST1|ENSG00000008394	0.20239323178004	0.0823107709165708	238	Control	AD
CPA1|ENSG00000091704	0.274640991388459	0.390099750079863	238	Control	AD
SYPL1|ENSG00000008282	0.246300972812135	0.0078997094766221	238	Control	AD
RANBP9|ENSG00000010017	-0.160375874788833	0.0747512443863276	238	Control	AD
CD4|ENSG00000010610	0.307098453960095	0.0046055763169863	238	Control	AD
PLEKHG6|ENSG00000008323	0.210818583847061	0.164797773091542	238	Control	AD
SS18L2|ENSG00000008324	-0.0659232111996898	0.526345210586574	238	Control	AD
VPS13D|ENSG00000048707	-0.0448410273410079	0.527281902693982	238	Control	AD
TSPAN9|ENSG00000011105	0.0088487172137465	0.942710917958692	238	Control	AD
CYP4F2|ENSG00000186115	0.0387491316033193	0.911070488547373	238	Control	AD
QPCTL|ENSG00000011478	0.0316375825874476	0.721036030340038	238	Control	AD
HIVEP2|ENSG00000010818	-0.220220406352997	0.0036650019696535	238	Control	AD
PPP5C|ENSG00000011485	-0.0543080320516167	0.410117984859848	238	Control	AD
NME1|ENSG00000239672	-0.350636489108239	0.0398420468718939	238	Control	AD
UBR7|ENSG00000278787	-0.0701993524017994	0.489965034799485	238	Control	AD
MAP4K5|ENSG00000012983	0.179469524264217	0.0074504741488552	238	Control	AD
INMT|ENSG00000241644	0.372946522452457	0.0070976975588158	238	Control	AD
ERCC1|ENSG00000012061	0.0184811370341943	0.635766349853216	238	Control	AD
ABHD5|ENSG00000011198	0.0278618442653762	0.730610884842289	238	Control	AD
GPRC5A|ENSG00000013588	0.323495266125262	0.0155578475873368	238	Control	AD
HEBP1|ENSG00000013583	0.131883640843338	0.0300341317146635	238	Control	AD
DNASE1L1|ENSG00000013563	0.0376590965201378	0.710817116049007	238	Control	AD
COX15|ENSG00000014919	-0.0762420375800965	0.162286531990161	238	Control	AD
MS4A12|ENSG00000071203	1.01763244083404	1.0	238	Control	AD
RGPD5|ENSG00000015568	-0.0660839321438575	0.57079629614737	238	Control	AD
XYLT2|ENSG00000015532	0.156267459157964	0.113250558463041	238	Control	AD
FTSJ1|ENSG00000068438	0.0024488756591661	0.980443936093085	238	Control	AD
SCTR|ENSG00000080293	0.167307426144879	0.378263352626424	238	Control	AD
RALBP1|ENSG00000017797	0.0053631494164488	0.921333784006573	238	Control	AD
PSD|ENSG00000059915	-0.217262790112143	0.0101615744812217	238	Control	AD
SYT13|ENSG00000019505	-0.39128602284743	0.0129571950043666	238	Control	AD
SNAI2|ENSG00000019549	0.0926812630352773	0.504809342632398	238	Control	AD
VDAC3|ENSG00000078668	-0.319870516604226	0.0565479876415021	238	Control	AD
SLC7A9|ENSG00000021488	0.238583732090607	0.118669711546453	238	Control	AD
GABRA1|ENSG00000022355	-0.41712481681508	0.0515152036179502	238	Control	AD
RTF2|ENSG00000022277	-0.044591461573757	0.587829869332866	238	Control	AD
SLC45A4|ENSG00000022567	-0.0615038023915394	0.612408328692469	238	Control	AD
RB1CC1|ENSG00000023287	-0.245123164248819	0.0038827907860177	238	Control	AD
AKAP11|ENSG00000023516	-0.256343681590957	0.0136531288336474	238	Control	AD
STRAP|ENSG00000023734	-0.28445869798803	0.0353604640074008	238	Control	AD
PIGQ|ENSG00000007541	0.171015660597852	0.060205616340798	238	Control	AD
CDH17|ENSG00000079112	0.181699521960489	0.129293820856131	238	Control	AD
RNASET2|ENSG00000026297	0.153996859232427	0.133743691684267	238	Control	AD
B4GALT7|ENSG00000027847	-0.0192338155885654	0.751100174481418	238	Control	AD
SLC39A9|ENSG00000029364	-0.0974684959324175	0.243403683827503	238	Control	AD
FAM13B|ENSG00000031003	-0.0171852687075462	0.777837482940247	238	Control	AD
RANBP3|ENSG00000031823	0.129133540126463	0.081617834449173	238	Control	AD
CHPF2|ENSG00000033100	-0.0756826587877149	0.196809733555553	238	Control	AD
LRRC7|ENSG00000033122	-0.267007078077064	0.0107873825939448	238	Control	AD
GABARAPL2|ENSG00000034713	-0.0712124650153265	0.497704883037242	238	Control	AD
MYOC|ENSG00000034971	0.553742745208006	1.0	238	Control	AD
FAM136A|ENSG00000035141	-0.158121943853764	0.0363024707865481	238	Control	AD
NSMAF|ENSG00000035681	-0.0568181022066114	0.564868438216696	238	Control	AD
OTC|ENSG00000036473	-0.0221886562946066	0.948275020698919	238	Control	AD
TTC17|ENSG00000052841	0.0107674934935501	0.909266721639302	238	Control	AD
HOXC8|ENSG00000037965	1.29007723811805	1.0	238	Control	AD
MRI1|ENSG00000037757	0.0609683024106318	0.388734517868284	238	Control	AD
BOD1L1|ENSG00000038219	-0.0766199683780426	0.0834814181029633	238	Control	AD
TARBP1|ENSG00000059588	-0.374264627518017	0.0094809030697247	238	Control	AD
RIPOR1|ENSG00000039523	0.0311794739723013	0.72382883162917	238	Control	AD
BEST2|ENSG00000039987	0.0910076072057921	0.453040171039893	238	Control	AD
RTN4R|ENSG00000040608	-0.294280315350201	0.0056826846613872	238	Control	AD
PSMA4|ENSG00000041357	-0.203191409890433	0.100778071909029	238	Control	AD
RIPOR3|ENSG00000042062	0.301938400962597	0.0722364138495289	238	Control	AD
SPATA7|ENSG00000042317	-0.0998623491362896	0.141600911204932	238	Control	AD
ZPBP|ENSG00000042813	-0.183274297655741	0.357155681592683	238	Control	AD
CTNS|ENSG00000040531	0.216199960825049	0.0319724319483751	238	Control	AD
LCP2|ENSG00000043462	0.279821074669122	0.062837288880098	238	Control	AD
GOPC|ENSG00000047932	-0.210622656358586	0.0350007335551425	238	Control	AD
DCN|ENSG00000011465	0.250842186687706	0.0702248040978445	238	Control	AD
TNFRSF17|ENSG00000048462	0.341560335827445	0.112114494369271	238	Control	AD
MRPS10|ENSG00000048544	-0.198180083797327	0.0227371281806593	238	Control	AD
GUCA1A|ENSG00000048545	-0.104321542065697	0.672734516409107	238	Control	AD
GRN|ENSG00000030582	0.30121036744671	0.004515546180092	238	Control	AD
THAP3|ENSG00000041988	0.104950774733786	0.0764575932726471	238	Control	AD
VAMP3|ENSG00000049245	0.224133818327043	0.0014908803307044	238	Control	AD
UTS2|ENSG00000049247	-0.176776827907913	1.0	238	Control	AD
RCN1|ENSG00000049449	-0.0881441164608255	0.435496162492939	238	Control	AD
RFC2|ENSG00000049541	0.0225684987733664	0.811858556628437	238	Control	AD
PPP1R3F|ENSG00000049769	-0.046233465864502	0.488780506785227	238	Control	AD
NEXMIF|ENSG00000050030	-0.330434235765577	0.0082541123759744	238	Control	AD
ARHGEF5|ENSG00000050327	0.251652025772801	0.336735592301762	238	Control	AD
NFE2L3|ENSG00000050344	0.0940863853614451	0.473613679325499	238	Control	AD
TNIP3|ENSG00000050730	0.100463341700226	0.400806429342687	238	Control	AD
SIKE1|ENSG00000052723	-0.173785723680947	0.0383011931064636	238	Control	AD
TLL1|ENSG00000038295	-0.227719679813296	0.0645643983114087	238	Control	AD
NNAT|ENSG00000053438	-0.408920613652593	0.0050416568724262	238	Control	AD
CBLN4|ENSG00000054803	-0.58511455116356	0.0039922232934918	238	Control	AD
CLDN11|ENSG00000013297	0.181332197869153	0.220679010262547	238	Control	AD
FAM168A|ENSG00000054965	-0.0239727201916179	0.592131482820972	238	Control	AD
RELT|ENSG00000054967	0.0824247640779455	0.444579408704687	238	Control	AD
CDC27|ENSG00000004897	-0.0529502373679731	0.583199698603722	238	Control	AD
PKP2|ENSG00000057294	0.0268740084459644	0.822067630520222	238	Control	AD
