gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ARF5|ENSG00000004059	-0.138413536136366	0.0039638787227151	403	Control	AD
M6PR|ENSG00000003056	-0.0622757396563603	0.116972931024113	403	Control	AD
ESRRA|ENSG00000173153	0.0306444620883639	0.557020599225256	403	Control	AD
FKBP4|ENSG00000004478	0.0248968616950838	0.821888776799639	403	Control	AD
CYP26B1|ENSG00000003137	-0.262429638642085	0.0049853609111619	403	Control	AD
NDUFAF7|ENSG00000003509	-0.0930558034601675	0.0027186010989769	403	Control	AD
FUCA2|ENSG00000001036	0.0234966862683518	0.519356459875366	403	Control	AD
DBNDD1|ENSG00000003249	-0.0484768397860486	0.435980659253168	403	Control	AD
HS3ST1|ENSG00000002587	0.000761552053148	0.992370614538354	403	Control	AD
SEMA3F|ENSG00000001617	0.275236106391833	0.0027067116704387	403	Control	AD
CFTR|ENSG00000001626	0.0249549011785339	0.817620474443034	403	Control	AD
CYP51A1|ENSG00000001630	-0.0436677399460394	0.54903529524814	403	Control	AD
USP28|ENSG00000048028	-0.0413052006341784	0.417823123584776	403	Control	AD
STPG1|ENSG00000001460	-0.0643595816984445	0.0373286396244858	403	Control	AD
NIPAL3|ENSG00000001461	0.0136174969992626	0.762094276358059	403	Control	AD
TMEM176A|ENSG00000002933	0.212180652257438	0.0064125147835195	403	Control	AD
SLC7A2|ENSG00000003989	0.313811638962886	0.0020419364341971	403	Control	AD
HSPB6|ENSG00000004776	0.004472071541284	0.972200659064219	403	Control	AD
ZNF195|ENSG00000005801	0.0007237069313526	0.989790633852417	403	Control	AD
PDK4|ENSG00000004799	0.219414930930739	0.0672513451858826	403	Control	AD
CCL26|ENSG00000006606	0.0051835018361291	0.991902553729717	403	Control	AD
USH1C|ENSG00000006611	-0.005574117533666	0.977472144301918	403	Control	AD
RALA|ENSG00000006451	0.0120524658743541	0.824368096095308	403	Control	AD
BCAP29|ENSG00000075790	-0.0613214661723041	0.143623887978451	403	Control	AD
BAIAP2L1|ENSG00000006453	0.0687482963246338	0.400496550014761	403	Control	AD
CACNG3|ENSG00000006116	-0.266692893492901	0.0005054663418251	403	Control	AD
TMEM132A|ENSG00000006118	0.0022110330855682	0.982423019369909	403	Control	AD
DVL2|ENSG00000004975	0.024470686987691	0.587459440150114	403	Control	AD
GGCT|ENSG00000006625	-0.121439777505257	0.0157446785934808	403	Control	AD
RPAP3|ENSG00000005175	-0.0224604198106092	0.730017851180274	403	Control	AD
IFRD1|ENSG00000006652	0.0690046900296495	0.38739617814496	403	Control	AD
UPP2|ENSG00000007001	-0.0798150018240089	0.218542624387404	403	Control	AD
PRSS21|ENSG00000007038	-0.108892110605489	0.685131015385857	403	Control	AD
HOXA11|ENSG00000005073	0.0669145254835797	1.0	403	Control	AD
CX3CL1|ENSG00000006210	-0.155781116829173	0.0148307995359725	403	Control	AD
PRR5|ENSG00000186654	0.0551234339666106	0.425755819111342	403	Control	AD
TRAPPC6A|ENSG00000007255	-0.031829405470263	0.656903421254362	403	Control	AD
SPATA20|ENSG00000006282	0.0062336397960238	0.928604396280774	403	Control	AD
CEACAM7|ENSG00000280501	-0.119710701003108	1.0	403	Control	AD
CD79B|ENSG00000007312	0.215661939696356	0.0618603084032246	403	Control	AD
RHBDD2|ENSG00000005486	-0.119239400436716	0.0137500060213241	403	Control	AD
RPUSD1|ENSG00000007376	-0.0065947117950569	0.937746880820963	403	Control	AD
TSR3|ENSG00000007520	0.0210562435511467	0.769051488200933	403	Control	AD
