gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
CYCS,ENSG00000172115,CYCS,False,Hippocampus,Annese_et_al,1.9
PRKAA2,ENSG00000162409,PRKAA2,False,Hippocampus,Annese_et_al,1.9
NCAN,ENSG00000130287,NCAN,False,Hippocampus,Annese_et_al,1.9
UBE2N,ENSG00000177889,UBE2N,False,Hippocampus,Annese_et_al,1.9
IARS1,ENSG00000291356,IARS1,False,Hippocampus,Annese_et_al,1.9
KLHDC3,ENSG00000124702,KLHDC3,False,Hippocampus,Annese_et_al,1.9
EHD3,ENSG00000013016,EHD3,False,Hippocampus,Annese_et_al,1.9
SLC30A9,ENSG00000014824,SLC30A9,False,Hippocampus,Annese_et_al,1.9
GPCPD1,ENSG00000125772,GPCPD1,False,Hippocampus,Annese_et_al,1.9
ECPAS,ENSG00000136813,ECPAS,False,Hippocampus,Annese_et_al,1.9
PRICKLE2-DT,ENSG00000244564,PRICKLE2-DT,False,Hippocampus,Annese_et_al,1.9
SCN2B,ENSG00000149575,SCN2B,False,Hippocampus,Annese_et_al,1.9
PITPNA-AS1,ENSG00000236618,PITPNA-AS1,False,Hippocampus,Annese_et_al,1.9
WDR7-OT1,ENSG00000267225,WDR7-OT1,False,Hippocampus,Annese_et_al,1.9
H4C5,ENSG00000276966,H4C5,False,Hippocampus,Annese_et_al,1.9
AREL1,ENSG00000119682,AREL1,False,Hippocampus,Annese_et_al,1.9
FARSA-AS1,ENSG00000266975,FARSA-AS1,False,Hippocampus,Annese_et_al,1.9
YPEL5,ENSG00000119801,YPEL5,False,Hippocampus,Annese_et_al,1.9
WDR17,ENSG00000150627,WDR17,False,Hippocampus,Annese_et_al,1.9
BRD8,ENSG00000112983,BRD8,False,Hippocampus,Annese_et_al,1.9
DDX41,ENSG00000183258,DDX41,False,Hippocampus,Annese_et_al,1.9
ATP13A2,ENSG00000159363,ATP13A2,False,Hippocampus,Annese_et_al,1.9
SHISA7,ENSG00000187902,SHISA7,False,Hippocampus,Annese_et_al,1.9
DDX24,ENSG00000089737,DDX24,False,Hippocampus,Annese_et_al,1.9
SDHA,ENSG00000073578,SDHA,False,Hippocampus,Annese_et_al,1.9
LRRN2,ENSG00000170382,LRRN2,False,Hippocampus,Annese_et_al,1.9
COX8A,ENSG00000176340,COX8A,False,Hippocampus,Annese_et_al,1.9
BASP1-AS1,ENSG00000215196,BASP1-AS1,False,Hippocampus,Annese_et_al,1.9
DYRK2,ENSG00000127334,DYRK2,False,Hippocampus,Annese_et_al,1.9
PSMC3IP,ENSG00000131470,PSMC3IP,False,Hippocampus,Annese_et_al,1.9
VAMP2,ENSG00000220205,VAMP2,False,Hippocampus,Annese_et_al,1.9
ATP6AP1-DT,ENSG00000197180,ATP6AP1-DT,False,Hippocampus,Annese_et_al,1.9
TSPYL2,ENSG00000184205,TSPYL2,False,Hippocampus,Annese_et_al,1.9
P4HTM,ENSG00000178467,P4HTM,False,Hippocampus,Annese_et_al,1.9
SCAMP5,ENSG00000198794,SCAMP5,False,Hippocampus,Annese_et_al,1.9
ZDBF2,ENSG00000283649,ZDBF2,False,Hippocampus,Annese_et_al,1.9
PRDX3,ENSG00000165672,PRDX3,False,Hippocampus,Annese_et_al,1.9
COX6B1,ENSG00000126267,COX6B1,False,Hippocampus,Annese_et_al,1.9
TMEM9,ENSG00000116857,TMEM9,False,Hippocampus,Annese_et_al,1.9
HIGD1A,ENSG00000181061,HIGD1A,False,Hippocampus,Annese_et_al,1.9
NDUFS1,ENSG00000023228,NDUFS1,False,Hippocampus,Annese_et_al,1.9
SSTR2,ENSG00000180616,SSTR2,False,Hippocampus,Annese_et_al,1.9
GPRIN1,ENSG00000169258,GPRIN1,False,Hippocampus,Annese_et_al,1.9
COX5B,ENSG00000291596,COX5B,False,Hippocampus,Annese_et_al,1.9
DDX1,ENSG00000079785,DDX1,False,Hippocampus,Annese_et_al,1.9
NEDD8,ENSG00000129559,NEDD8,False,Hippocampus,Annese_et_al,1.9
PGAP1,ENSG00000197121,PGAP1,False,Hippocampus,Annese_et_al,1.9
CSRNP3,ENSG00000178662,CSRNP3,False,Hippocampus,Annese_et_al,1.9
PIN1-DT,ENSG00000267289,PIN1-DT,False,Hippocampus,Annese_et_al,1.9
CACNG4,ENSG00000075461,CACNG4,False,Hippocampus,Annese_et_al,1.9
OCRL,ENSG00000122126,OCRL,False,Hippocampus,Annese_et_al,1.9
REPS2,ENSG00000169891,REPS2,False,Hippocampus,Annese_et_al,1.9
SCOC-AS1,ENSG00000196951,SCOC-AS1,False,Hippocampus,Annese_et_al,1.9
TMEM246-AS1,ENSG00000225376,TMEM246-AS1,False,Hippocampus,Annese_et_al,1.9
NDUFB9,ENSG00000147684,NDUFB9,False,Hippocampus,Annese_et_al,1.9
IMMT,ENSG00000132305,IMMT,False,Hippocampus,Annese_et_al,1.9
RTF1,ENSG00000137815,RTF1,False,Hippocampus,Annese_et_al,1.9
MAPK8IP2,ENSG00000008735,MAPK8IP2,False,Hippocampus,Annese_et_al,1.9
NDUFB8,ENSG00000166136,NDUFB8,False,Hippocampus,Annese_et_al,1.9
USP5,ENSG00000111667,USP5,False,Hippocampus,Annese_et_al,1.9
MAP3K9-DT,ENSG00000259153,MAP3K9-DT,False,Hippocampus,Annese_et_al,1.9
SCAI,ENSG00000173611,SCAI,False,Hippocampus,Annese_et_al,1.9
STMN3,ENSG00000197457,STMN3,False,Hippocampus,Annese_et_al,1.9
ELAPOR1,ENSG00000116299,ELAPOR1,False,Hippocampus,Annese_et_al,1.9
BEX4,ENSG00000102409,BEX4,False,Hippocampus,Annese_et_al,1.9
