gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
CRH,ENSG00000147571,CRH,False,Frontal Lobe,Fischer_et_al,1.9
SST,ENSG00000157005,SST,False,Frontal Lobe,Fischer_et_al,1.9
VGF,ENSG00000128564,VGF,False,Frontal Lobe,Fischer_et_al,1.9
PSORS1C1,ENSG00000233734,PSORS1C1,False,Frontal Lobe,Fischer_et_al,1.9
IQGAP3,ENSG00000291754,IQGAP3,False,Frontal Lobe,Fischer_et_al,1.9
NUTM2A,ENSG00000184923,NUTM2A,False,Frontal Lobe,Fischer_et_al,1.9
PPEF1,ENSG00000086717,PPEF1,False,Frontal Lobe,Fischer_et_al,1.9
OSTN,ENSG00000188729,OSTN,False,Frontal Lobe,Fischer_et_al,1.9
FRMPD2,ENSG00000170324,FRMPD2,False,Frontal Lobe,Fischer_et_al,1.9
PNOC,ENSG00000168081,PNOC,False,Frontal Lobe,Fischer_et_al,1.9
ADCYAP1,ENSG00000141433,ADCYAP1,False,Frontal Lobe,Fischer_et_al,1.9
TAC1,ENSG00000006128,TAC1,False,Frontal Lobe,Fischer_et_al,1.9
HCRTR2,ENSG00000137252,HCRTR2,False,Frontal Lobe,Fischer_et_al,1.9
OLFM4,ENSG00000102837,OLFM4,False,Frontal Lobe,Fischer_et_al,1.9
OBSCN-AS1,ENSG00000162913,OBSCN-AS1,False,Frontal Lobe,Fischer_et_al,1.9
PPDPF,ENSG00000125534,PPDPF,False,Frontal Lobe,Fischer_et_al,1.9
RHOV,ENSG00000104140,RHOV,False,Frontal Lobe,Fischer_et_al,1.9
PNMA5,ENSG00000292194,PNMA5,False,Frontal Lobe,Fischer_et_al,1.9
KNCN,ENSG00000162456,KNCN,False,Frontal Lobe,Fischer_et_al,1.9
NPHS1,ENSG00000161270,NPHS1,False,Frontal Lobe,Fischer_et_al,1.9
TMEM88,ENSG00000167874,TMEM88,False,Frontal Lobe,Fischer_et_al,1.9
ADAD2,ENSG00000140955,ADAD2,False,Frontal Lobe,Fischer_et_al,1.9
SPEF1,ENSG00000101222,SPEF1,False,Frontal Lobe,Fischer_et_al,1.9
ICAM5,ENSG00000105376,ICAM5,False,Frontal Lobe,Fischer_et_al,1.9
RAB7B,ENSG00000276600,RAB7B,False,Frontal Lobe,Fischer_et_al,1.9
SPON2,ENSG00000159674,SPON2,False,Frontal Lobe,Fischer_et_al,1.9
GPR3,ENSG00000181773,GPR3,False,Frontal Lobe,Fischer_et_al,1.9
CCDC78,ENSG00000162004,CCDC78,False,Frontal Lobe,Fischer_et_al,1.9
KIRREL2,ENSG00000126259,KIRREL2,False,Frontal Lobe,Fischer_et_al,1.9
CRHBP,ENSG00000145708,CRHBP,False,Frontal Lobe,Fischer_et_al,1.9
SPDEF,ENSG00000124664,SPDEF,False,Frontal Lobe,Fischer_et_al,1.9
FAM182B,ENSG00000175170,FAM182B,False,Frontal Lobe,Fischer_et_al,1.9
TACR2,ENSG00000075073,TACR2,False,Frontal Lobe,Fischer_et_al,1.9
SVOP,ENSG00000166111,SVOP,False,Frontal Lobe,Fischer_et_al,1.9
YBX2,ENSG00000288504,YBX2,False,Frontal Lobe,Fischer_et_al,1.9
MYL5,ENSG00000215375,MYL5,False,Frontal Lobe,Fischer_et_al,1.9
CDT1,ENSG00000167513,CDT1,False,Frontal Lobe,Fischer_et_al,1.9
PYCR3,ENSG00000276657,PYCR3,False,Frontal Lobe,Fischer_et_al,1.9
SPRED3,ENSG00000188766,SPRED3,False,Frontal Lobe,Fischer_et_al,1.9
GPCPD1,ENSG00000125772,GPCPD1,False,Frontal Lobe,Fischer_et_al,1.9
SLC30A3,ENSG00000115194,SLC30A3,False,Frontal Lobe,Fischer_et_al,1.9
PRKCG,ENSG00000126583,PRKCG,False,Frontal Lobe,Fischer_et_al,1.9
PNPLA5,ENSG00000100341,PNPLA5,False,Frontal Lobe,Fischer_et_al,1.9
PKMYT1,ENSG00000127564,PKMYT1,False,Frontal Lobe,Fischer_et_al,1.9
CTXN1,ENSG00000178531,CTXN1,False,Frontal Lobe,Fischer_et_al,1.9
EXTL1,ENSG00000158008,EXTL1,False,Frontal Lobe,Fischer_et_al,1.9
STUM,ENSG00000203685,STUM,False,Frontal Lobe,Fischer_et_al,1.9
MARCHF4,ENSG00000144583,MARCHF4,False,Frontal Lobe,Fischer_et_al,1.9
PLCH2,ENSG00000149527,PLCH2,False,Frontal Lobe,Fischer_et_al,1.9
