gene_name	Annese_et_al	Magistry_et_al	Luo_et_al	van_Rooij_et_al	upregulated_count	downregulated_count
A1BG-AS1	missing	missing	downregulated	missing	0	1
A4GALT	upregulated	missing	missing	upregulated	2	0
AACS	missing	missing	missing	downregulated	0	1
AAGAB	missing	missing	missing	downregulated	0	1
AAK1	missing	missing	missing	downregulated	0	1
AASDHPPT	missing	missing	downregulated	downregulated	0	2
AATK	missing	missing	upregulated	missing	1	0
ABCA1	upregulated	missing	missing	missing	1	0
ABCA10	missing	missing	upregulated	missing	1	0
ABCA12	missing	missing	upregulated	missing	1	0
ABCA13	downregulated	missing	missing	missing	0	1
ABCA2	missing	missing	upregulated	missing	1	0
ABCA3	missing	missing	missing	downregulated	0	1
ABCA4	downregulated	missing	upregulated	missing	1	1
ABCA6	upregulated	missing	missing	upregulated	2	0
ABCA8	upregulated	missing	missing	missing	1	0
ABCA9-AS1	upregulated	missing	missing	missing	1	0
ABCB9	missing	missing	missing	downregulated	0	1
ABCC12	downregulated	missing	missing	downregulated	0	2
ABCC2	upregulated	missing	missing	upregulated	2	0
ABCC8	missing	missing	missing	downregulated	0	1
ABCD2	missing	missing	downregulated	downregulated	0	2
ABCG4	missing	missing	missing	downregulated	0	1
ABHD12	missing	missing	upregulated	missing	1	0
ABHD14A-ACY1	missing	missing	upregulated	downregulated	1	1
ABHD17A	missing	missing	upregulated	missing	1	0
ABHD17B	missing	missing	upregulated	missing	1	0
ABHD4	missing	missing	upregulated	missing	1	0
ABI3	upregulated	missing	missing	missing	1	0
ABLIM2	missing	missing	missing	downregulated	0	1
ABRACL	downregulated	missing	missing	downregulated	0	2
ABRAXAS1	missing	missing	upregulated	missing	1	0
ABTB3	missing	missing	missing	downregulated	0	1
ACACB	upregulated	missing	missing	missing	1	0
ACADSB	downregulated	missing	missing	downregulated	0	2
ACAN	missing	missing	upregulated	upregulated	2	0
ACAP1	missing	missing	upregulated	missing	1	0
ACBD7-DCLRE1CP1	missing	missing	missing	downregulated	0	1
ACD	missing	missing	upregulated	missing	1	0
ACE	missing	missing	missing	downregulated	0	1
ACER3	missing	missing	downregulated	missing	0	1
ACHE	missing	missing	missing	downregulated	0	1
ACKR1	upregulated	missing	missing	missing	1	0
ACKR3	missing	upregulated	missing	missing	1	0
ACO2	missing	missing	missing	downregulated	0	1
ACOT4	missing	missing	missing	downregulated	0	1
ACOT7	downregulated	missing	missing	downregulated	0	2
ACOX2	missing	missing	upregulated	missing	1	0
ACP2	downregulated	missing	missing	downregulated	0	2
ACP5	missing	upregulated	downregulated	missing	1	1
ACRBP	missing	upregulated	missing	missing	1	0
ACSBG1	missing	missing	missing	downregulated	0	1
ACSF2	missing	missing	upregulated	missing	1	0
ACSL3-AS1	missing	missing	missing	downregulated	0	1
ACSL4	downregulated	missing	missing	missing	0	1
ACSL5	upregulated	missing	missing	missing	1	0
ACSL6-AS1	downregulated	missing	missing	downregulated	0	2
ACSM5	upregulated	missing	missing	missing	1	0
ACTA1	missing	missing	upregulated	missing	1	0
ACTA2-AS1	missing	missing	upregulated	upregulated	2	0
ACTG1	missing	missing	missing	downregulated	0	1
ACTG2	missing	missing	downregulated	missing	0	1
ACTL6A	missing	missing	missing	upregulated	1	0
ACTL6B	downregulated	missing	missing	downregulated	0	2
ACTN2	missing	missing	missing	downregulated	0	1
ACTN4	missing	missing	upregulated	missing	1	0
ACTR10	downregulated	missing	missing	downregulated	0	2
ACTR1B	downregulated	missing	missing	missing	0	1
ACTR3B	downregulated	missing	missing	downregulated	0	2
ACTR3C	missing	missing	downregulated	missing	0	1
ACVR1B	missing	missing	missing	downregulated	0	1
ACVR1C	downregulated	missing	missing	downregulated	0	2
ADAD2	missing	missing	downregulated	missing	0	1
ADAM11	downregulated	missing	missing	downregulated	0	2
ADAM22	downregulated	missing	missing	missing	0	1
ADAM23	downregulated	missing	missing	downregulated	0	2
ADAM32	missing	missing	upregulated	missing	1	0
ADAM33	upregulated	missing	missing	upregulated	2	0
ADAM7-AS1	upregulated	missing	upregulated	missing	2	0
ADAMTS1	upregulated	missing	missing	missing	1	0
ADAMTS10	upregulated	missing	missing	upregulated	2	0
ADAMTS16-DT	downregulated	missing	missing	downregulated	0	2
ADAMTS2	missing	missing	upregulated	missing	1	0
ADAMTS3	downregulated	missing	missing	missing	0	1
ADAMTS7	missing	missing	missing	upregulated	1	0
ADAMTS9-AS2	upregulated	missing	missing	missing	1	0
ADAMTSL1	missing	missing	missing	downregulated	0	1
ADAMTSL3	missing	missing	missing	upregulated	1	0
ADAMTSL5	missing	missing	downregulated	missing	0	1
ADARB2-AS1	upregulated	missing	missing	missing	1	0
ADAT2	missing	missing	downregulated	missing	0	1
ADAT3	missing	missing	upregulated	missing	1	0
ADCK5	missing	missing	upregulated	missing	1	0
ADCY1	missing	missing	missing	downregulated	0	1
