gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
A1BG	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
A1BG-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
A2M	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
A2ML1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
A2ML1-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
A2MP1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
A4GALT	missing	missing	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	4	0
AACSP1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AADACP1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AAK1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AAMP	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
AARD	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
AARSD1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AASDHPPT	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AATBC	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABCA1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ABCA11P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCA17P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ABCA2	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ABCA3	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
ABCA5	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABCA6	missing	missing	missing	missing	missing	missing	downregulated	missing	upregulated	1	1
ABCA8	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ABCB1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ABCB7	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ABCB8	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABCC12	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
ABCC2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABCC4	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ABCC6	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ABCC8	missing	missing	missing	missing	missing	downregulated	upregulated	missing	downregulated	1	2
ABCC9	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ABCD1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCD4	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ABCE1	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
ABCF2P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCG2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCG4	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
ABHD10	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ABHD11	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	1	1
ABHD14A	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ABHD15	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ABHD16A	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ABHD16B	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABHD17C	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ABHD2	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
ABHD3	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	4	0
ABHD4	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ABHD5	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABI2	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
ABI3	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ABI3BP	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABL1	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	2	0
ABLIM2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ABR	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ABRACL	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	0	2
ABTB2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABTB3	missing	missing	missing	upregulated	missing	downregulated	missing	missing	downregulated	1	2
ACAA2P1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ACACA	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
ACAD8	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACADL	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ACADSB	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
ACADVL	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ACAN	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACAP2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ACAP2-IT1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACAP3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACAT2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACBD5	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ACD	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	2
ACER2	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ACHE	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACIN1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ACKR3	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ACLY	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ACO2	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
ACOT4	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACOT6	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ACOT7	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
ACOT8	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ACOX2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ACOX3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACOXL-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACP1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACP2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACP3	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACP5	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ACRBP	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACRV1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACSBG1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ACSL1	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACSL4	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
ACSL5	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
ACSL6	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACSL6-AS1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ACSM5	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACSS3	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ACTA2	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ACTBP7	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
ACTG1	missing	missing	missing	missing	downregulated	missing	upregulated	missing	missing	1	1
ACTG1P10	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ACTG1P12	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACTG1P15	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ACTG1P17	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ACTG1P22	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTG2	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ACTL10	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTL6A	upregulated	missing	upregulated	missing	upregulated	missing	missing	missing	upregulated	4	0
ACTL6B	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ACTN2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACTR10	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
