ensembl_id,symbol,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000125089.16,SH3TC1,2.057846921,1.532866544,2.582827297,-0.046350086,7.890064131,4.2708E-10,2.21374E-06,12.83019153
ENSG00000140678.16,ITGAX,2.812545472,2.085269779,3.539821165,-0.157847438,7.784146801,6.12785E-10,2.21374E-06,12.49150008
ENSG00000197471.11,SPN,2.85119074,2.113009188,3.589372292,-0.13328839,7.774520664,6.33252E-10,2.21374E-06,12.46066906
ENSG00000105366.15,SIGLEC8,2.960135722,2.189039664,3.73123178,-0.069409905,7.72704923,7.44704E-10,2.21374E-06,12.30850801
ENSG00000160255.17,ITGB2,2.359774167,1.742611339,2.976936995,-0.039535488,7.696286389,8.27268E-10,2.21374E-06,12.20980072
ENSG00000138964.16,PARVG,2.875450062,2.123340272,3.627559852,-0.000556675,7.695469584,8.29582E-10,2.21374E-06,12.20717879
ENSG00000108798.8,ABI3,2.179909516,1.596179413,2.763639619,-0.03788471,7.516867842,1.52937E-09,3.4981E-06,11.63257989
ENSG00000172578.11,KLHL6,3.21452157,2.342322872,4.086720267,-0.099879311,7.418420528,2.14443E-09,4.23751E-06,11.31482014
ENSG00000110324.10,IL10RA,2.560672261,1.862390659,3.258953863,0.035463052,7.38131833,2.43612E-09,4.23751E-06,11.19488813
ENSG00000179593.15,ALOX15B,3.645647548,2.64379028,4.647504816,0.23527949,7.324523296,2.96173E-09,4.23751E-06,11.01112158
ENSG00000123338.12,NCKAP1L,2.247806272,1.628058053,2.867554491,-0.08372079,7.300525618,3.21676E-09,4.23751E-06,10.93341197
ENSG00000059377.16,TBXAS1,2.323189437,1.682653914,2.96372496,-0.084471564,7.300488861,3.21716E-09,4.23751E-06,10.93329291
ENSG00000141506.13,PIK3R5,2.935067992,2.123661453,3.746474531,-0.003903512,7.280986087,3.44061E-09,4.23751E-06,10.87011218
ENSG00000197405.7,C5AR1,2.665233811,1.924572409,3.405895212,0.034022595,7.243127657,3.91985E-09,4.4829E-06,10.74740074
ENSG00000239998.5,LILRA2,2.846127093,2.039793201,3.652460986,0.030410617,7.104768192,6.31659E-09,6.73865E-06,10.29823828
ENSG00000167613.15,LAIR1,2.333757863,1.670853061,2.996662666,0.013733852,7.086228736,6.73402E-09,6.73865E-06,10.23797582
ENSG00000184730.10,APOBR,2.807968506,2.006922664,3.609014348,-0.183063116,7.055785993,7.48035E-09,7.04517E-06,10.13898526
ENSG00000282608.1,ADORA3,2.250660676,1.605768253,2.895553099,0.111642842,7.024789044,8.32561E-09,7.40563E-06,10.03814763
ENSG00000018280.16,SLC11A1,2.917471388,2.077571422,3.757371354,-0.084289538,6.991809385,9.33039E-09,7.86257E-06,9.930812358
ENSG00000128604.19,IRF5,1.662462517,1.179763269,2.145161764,0.151711034,6.932434552,1.14558E-08,8.85175E-06,9.737455521
ENSG00000163694.14,RBM47,2.513230948,1.78310231,3.243359586,-0.020330555,6.928569118,1.16099E-08,8.85175E-06,9.724862654
ENSG00000136235.16,GPNMB,2.324152707,1.637999265,3.01030615,0.17927376,6.817952188,1.70213E-08,1.21209E-05,9.364264789
ENSG00000166928.10,MS4A14,3.32578176,2.342975014,4.308588506,0.042930148,6.811396415,1.74118E-08,1.21209E-05,9.342881013
ENSG00000116701.14,NCF2,2.402452704,1.688952988,3.11595242,0.051879137,6.777532051,1.95767E-08,1.30601E-05,9.232401241
ENSG00000104972.15,LILRB1,2.321781567,1.627397818,3.016165316,-0.032200487,6.730267851,2.30563E-08,1.42982E-05,9.078153174
ENSG00000023892.10,DEF6,1.486235795,1.04160793,1.93086366,-0.084872046,6.728241603,2.32186E-08,1.42982E-05,9.071539197
ENSG00000196209.12,SIRPB2,2.664611309,1.859697892,3.469524725,-0.066171838,6.663390087,2.90636E-08,1.72347E-05,8.859805659
ENSG00000198286.9,CARD11,2.163538171,1.506180525,2.820895818,-0.036536952,6.624809289,3.32178E-08,1.89947E-05,8.733804229
ENSG00000245848.2,CEBPA,2.0432282,1.41871045,2.66774595,0.09520248,6.585407068,3.80744E-08,2.1006E-05,8.605095797
ENSG00000196154.11,S100A4,2.921652335,2.027340732,3.815963938,-0.076882661,6.575824412,3.93592E-08,2.1006E-05,8.573790626
ENSG00000077420.15,APBB1IP,2.106969704,1.453005634,2.760933774,-0.14496578,6.485074073,5.38952E-08,2.7836E-05,8.277278265
ENSG00000015285.10,WAS,1.649736076,1.1346331,2.164839051,-0.005497071,6.446603371,6.15765E-08,3.04176E-05,8.151566965
ENSG00000026297.15,RNASET2,1.462166232,1.00467726,1.919655204,0.014510234,6.433194154,6.45036E-08,3.04176E-05,8.107748855
ENSG00000038945.14,MSR1,2.901338071,1.993498264,3.809177879,0.056709882,6.432794131,6.4593E-08,3.04176E-05,8.106441674
ENSG00000166927.12,MS4A7,2.727433607,1.862062207,3.592805008,0.098528106,6.343985584,8.78507E-08,3.68692E-05,7.816247394
ENSG00000104894.11,CD37,2.12867112,1.452773258,2.804568982,0.001279405,6.339252249,8.93023E-08,3.68692E-05,7.800781787
ENSG00000005844.17,ITGAL,2.608646277,1.779386308,3.437906246,-0.126129727,6.331914345,9.16001E-08,3.68692E-05,7.776806442
ENSG00000011600.11,TYROBP,2.368527784,1.614415258,3.12264031,-0.008818955,6.32197635,9.48067E-08,3.68692E-05,7.744336539
ENSG00000165025.14,SYK,2.203909339,1.50214469,2.905673987,-0.082038248,6.321392785,9.49984E-08,3.68692E-05,7.742429914
ENSG00000086730.16,LAT2,1.979975099,1.348706432,2.611243766,-0.055931265,6.313294268,9.76996E-08,3.68692E-05,7.715970818
ENSG00000172349.17,IL16,1.41899459,0.965904421,1.872084759,0.036584038,6.303861153,1.00943E-07,3.68692E-05,7.685152288
ENSG00000129667.12,RHBDF2,2.195019471,1.493288407,2.896750534,-0.081346008,6.29619562,1.03657E-07,3.68692E-05,7.660109308
ENSG00000179583.19,CIITA,1.739279065,1.182920654,2.295637476,-0.089265921,6.292527891,1.04982E-07,3.68692E-05,7.648127247
ENSG00000145685.13,LHFPL2,1.286198675,0.874576676,1.697820674,0.019657611,6.289556437,1.06067E-07,3.68692E-05,7.638419962
ENSG00000174600.13,CMKLR1,1.923054382,1.307563627,2.538545137,0.074129552,6.288985157,1.06277E-07,3.68692E-05,7.636553691
ENSG00000115107.19,STEAP3,1.79830463,1.22266358,2.37394568,-0.105180589,6.288137703,1.06589E-07,3.68692E-05,7.633785217
ENSG00000161921.14,CXCL16,1.904922044,1.294724575,2.515119512,-0.078478056,6.283727514,1.08229E-07,3.68692E-05,7.6193781
ENSG00000129226.13,CD68,2.013683398,1.365158409,2.662208387,-0.085724839,6.249927972,1.2166E-07,4.05813E-05,7.508971774
ENSG00000145703.15,IQGAP2,2.465360688,1.667358012,3.263363365,0.010517672,6.218514575,1.35631E-07,4.39256E-05,7.406376823
ENSG00000136732.15,GYPC,2.154734664,1.456353706,2.853115622,-0.153704867,6.210290946,1.39546E-07,4.39256E-05,7.379521853
ENSG00000134516.16,DOCK2,2.181442436,1.474317677,2.888567196,-0.156292424,6.20952316,1.39917E-07,4.39256E-05,7.377014648
ENSG00000187554.12,TLR5,2.153901328,1.452801458,2.855001198,0.004301947,6.183814529,1.52931E-07,4.70881E-05,7.293070478
ENSG00000169403.11,PTAFR,2.234435413,1.500848859,2.968021967,-0.013198887,6.130938801,1.83618E-07,5.54699E-05,7.120469495
ENSG00000128815.19,WDFY4,2.120684416,1.420579849,2.820788984,-0.111346684,6.097104969,2.06402E-07,6.07131E-05,7.010066878
ENSG00000095970.16,TREM2,2.482947674,1.662844201,3.303051146,-0.112293599,6.094098287,2.08558E-07,6.07131E-05,7.000257511
