Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
A1BG-AS1,-0.032,8.73E-01
A2M,-0.119,3.12E-01
A2M-AS1,-0.020,9.04E-01
A2ML1,0.063,5.08E-01
AAAS,-0.025,4.33E-01
AACS,0.159,3.34E-01
AADAT,-0.013,6.95E-01
AAED1,-0.038,7.02E-01
AAGAB,-0.057,8.08E-01
AAK1,0.211,1.11E-01
AAMDC,-0.140,2.01E-01
AAMP,-0.028,4.33E-01
AAR2,-0.041,3.94E-01
AARS,0.079,2.11E-01
AARS2,0.038,6.73E-01
AARSD1,-0.006,9.70E-01
AASDH,-0.013,8.85E-01
AASDHPPT,-0.004,7.87E-01
AASS,-0.236,8.69E-02
AATF,-0.093,2.22E-01
AATK,-0.155,2.70E-01
ABAT,0.176,1.63E-01
ABCA1,-0.093,6.55E-01
ABCA10,0.102,4.16E-01
ABCA11P,-0.007,5.12E-01
ABCA2,-0.308,1.42E-01
ABCA3,0.268,7.53E-02
ABCA5,0.006,8.19E-01
ABCA6,-0.239,7.48E-01
ABCA7,0.201,6.87E-02
ABCA8,-0.393,1.40E-01
ABCA9,0.114,1.48E-01
ABCB1,-0.006,6.64E-01
ABCB10,-0.075,2.67E-01
ABCB5,-0.029,5.57E-01
ABCB6,0.068,2.01E-01
ABCB7,-0.006,9.67E-01
ABCB8,0.006,6.78E-01
ABCB9,0.198,6.98E-02
ABCC1,0.086,2.10E-01
ABCC10,0.090,2.92E-01
ABCC4,-0.227,8.96E-02
ABCC5,0.041,5.19E-01
ABCC8,0.187,2.74E-01
ABCC9,-0.029,9.68E-01
ABCD2,0.169,2.67E-01
ABCD3,-0.116,1.42E-01
ABCD4,-0.069,3.55E-01
ABCE1,-0.134,1.39E-01
ABCF1,-0.034,5.05E-01
ABCF2,0.072,3.15E-01
ABCF3,0.080,4.09E-01
ABCG1,-0.006,7.06E-01
ABCG2,-0.056,5.22E-01
ABCG4,0.404,6.70E-02
ABHD10,-0.076,5.92E-01
ABHD11,-0.006,8.55E-01
ABHD12,-0.063,4.48E-01
ABHD12B,0.028,7.56E-01
ABHD13,-0.008,9.15E-01
ABHD14A,0.141,2.36E-01
ABHD14B,-0.044,3.85E-01
ABHD15,-0.090,3.93E-01
ABHD16A,0.045,3.09E-01
ABHD17A,0.151,4.82E-01
ABHD17B,-0.416,5.83E-02
ABHD17C,0.046,1.45E-01
ABHD2,0.079,3.64E-01
ABHD3,-0.008,9.09E-01
ABHD4,-0.062,7.48E-01
ABHD5,-0.216,1.40E-01
ABHD6,-0.108,3.50E-01
ABHD8,0.525,6.37E-02
ABI1,-0.013,6.29E-01
ABI2,0.022,7.26E-01
ABI3,-0.071,8.43E-01
ABI3BP,-0.220,1.75E-01
ABL1,-0.103,2.43E-01
ABL2,0.048,2.24E-01
ABLIM1,0.108,9.86E-02
ABLIM2,0.397,9.79E-02
ABLIM3,-0.016,9.17E-01
ABR,0.227,1.22E-01
ABRACL,0.049,7.29E-01
ABT1,-0.025,6.54E-01
ABTB1,0.151,2.08E-01
ABTB2,-0.010,8.31E-01
ACAA1,-0.047,2.68E-01
ACAA2,-0.155,1.65E-01
ACACA,0.044,3.15E-01
ACACB,-0.146,1.37E-01
ACAD10,-0.018,5.15E-01
ACAD11,-0.127,3.08E-01
ACAD8,0.035,4.20E-01
ACAD9,-0.037,6.16E-01
ACADL,0.031,7.90E-01
ACADM,-0.022,9.12E-01
ACADS,-0.112,3.15E-01
ACADSB,-0.016,9.20E-01
ACADVL,0.034,6.99E-01
ACAP2,-0.095,2.25E-01
ACAP3,0.152,3.07E-01
