gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000004059|ARF5	-0.263953529	9.74172e-07	AD	Control	233
ENSG00000003056|M6PR	-0.205219961	4.07774e-07	AD	Control	233
ENSG00000173153|ESRRA	-0.067105325	1.17677e-05	AD	Control	233
ENSG00000004478|FKBP4	0.02126511	2.56757e-05	AD	Control	233
ENSG00000003137|CYP26B1	0.015181207	2.81662e-05	AD	Control	233
ENSG00000003509|NDUFAF7	-0.1712383	1.31463e-06	AD	Control	233
ENSG00000001036|FUCA2	0.015994663	2.28978e-05	AD	Control	233
ENSG00000003249|DBNDD1	0.129767683	7.21519e-06	AD	Control	233
ENSG00000002587|HS3ST1	-0.063243141	1.76308e-05	AD	Control	233
ENSG00000001617|SEMA3F	0.368340616	1.03517e-06	AD	Control	233
ENSG00000001626|CFTR	-0.004424838	2.97116e-05	AD	Control	233
ENSG00000001630|CYP51A1	-0.186171913	2.81468e-06	AD	Control	233
ENSG00000048028|USP28	-0.073129684	8.80188e-06	AD	Control	233
ENSG00000001460|STPG1	0.022819119	1.86035e-05	AD	Control	233
ENSG00000001461|NIPAL3	-0.002551238	2.96311e-05	AD	Control	233
ENSG00000002933|TMEM176A	0.333604833	5.93295e-07	AD	Control	233
ENSG00000003989|SLC7A2	0.376432951	4.24774e-07	AD	Control	233
ENSG00000004776|HSPB6	0.227521218	6.59426e-06	AD	Control	233
ENSG00000005801|ZNF195	-0.112825511	1.35903e-06	AD	Control	233
ENSG00000004799|PDK4	0.007183091	2.97952e-05	AD	Control	233
ENSG00000006606|CCL26	-0.067964809	3.06673e-05	AD	Control	233
ENSG00000006611|USH1C	-0.078467574	1.89338e-05	AD	Control	233
ENSG00000006451|RALA	0.017187811	2.2314e-05	AD	Control	233
ENSG00000075790|BCAP29	-0.138312064	1.96865e-06	AD	Control	233
ENSG00000006453|BAIAP2L1	0.089822204	1.47479e-05	AD	Control	233
ENSG00000006116|CACNG3	0.023893889	2.6199e-05	AD	Control	233
ENSG00000006118|TMEM132A	0.052418804	1.84705e-05	AD	Control	233
ENSG00000004975|DVL2	0.200067138	7.63041e-07	AD	Control	233
ENSG00000006625|GGCT	-0.258768025	9.54335e-07	AD	Control	233
ENSG00000005175|RPAP3	0.006714502	2.79407e-05	AD	Control	233
ENSG00000006652|IFRD1	-0.0956623	8.85227e-06	AD	Control	233
ENSG00000007001|UPP2	0.020540956	2.56912e-05	AD	Control	233
ENSG00000007038|PRSS21	-0.201369337	3.06673e-05	AD	Control	233
ENSG00000005073|HOXA11	-0.716174925	3.06673e-05	AD	Control	233
ENSG00000006210|CX3CL1	0.052079071	1.90287e-05	AD	Control	233
ENSG00000186654|PRR5	0.167261339	3.69794e-06	AD	Control	233
ENSG00000007255|TRAPPC6A	-0.096760607	1.16205e-05	AD	Control	233
ENSG00000006282|SPATA20	-0.019564607	2.49619e-05	AD	Control	233
ENSG00000007306|CEACAM7	-0.644387604	3.06673e-05	AD	Control	233
ENSG00000007312|CD79B	-0.169300377	3.06673e-05	AD	Control	233
ENSG00000005486|RHBDD2	0.16278274	4.06283e-06	AD	Control	233
