gene_name	log2_fold_change	FDR_adjusted_p_value	ref_allele	non_ref_allele	sample_size
ENSG00000004059|ARF5	-0.138413536136366	0.0039638787227151	AD	Control	423
ENSG00000003056|M6PR	-0.0622757396563603	0.116972931024113	AD	Control	423
ENSG00000173153|ESRRA	0.0306444620883639	0.557020599225256	AD	Control	423
ENSG00000004478|FKBP4	0.0248968616950838	0.821888776799639	AD	Control	423
ENSG00000003137|CYP26B1	-0.262429638642085	0.0049853609111619	AD	Control	423
ENSG00000003509|NDUFAF7	-0.0930558034601675	0.0027186010989769	AD	Control	423
ENSG00000001036|FUCA2	0.0234966862683518	0.519356459875366	AD	Control	423
ENSG00000003249|DBNDD1	-0.0484768397860486	0.435980659253168	AD	Control	423
ENSG00000002587|HS3ST1	0.000761552053148	0.992370614538354	AD	Control	423
ENSG00000001617|SEMA3F	0.275236106391833	0.0027067116704387	AD	Control	423
ENSG00000001626|CFTR	0.0249549011785339	0.817620474443034	AD	Control	423
ENSG00000001630|CYP51A1	-0.0436677399460394	0.54903529524814	AD	Control	423
ENSG00000048028|USP28	-0.0413052006341784	0.417823123584776	AD	Control	423
ENSG00000001460|STPG1	-0.0643595816984445	0.0373286396244858	AD	Control	423
ENSG00000001461|NIPAL3	0.0136174969992626	0.762094276358059	AD	Control	423
ENSG00000002933|TMEM176A	0.212180652257438	0.0064125147835195	AD	Control	423
ENSG00000003989|SLC7A2	0.313811638962886	0.0020419364341971	AD	Control	423
ENSG00000004776|HSPB6	0.004472071541284	0.972200659064219	AD	Control	423
ENSG00000005801|ZNF195	0.0007237069313526	0.989790633852417	AD	Control	423
ENSG00000004799|PDK4	0.219414930930739	0.0672513451858826	AD	Control	423
ENSG00000006606|CCL26	0.0051835018361291	0.991902553729717	AD	Control	423
ENSG00000006611|USH1C	-0.005574117533666	0.977472144301918	AD	Control	423
ENSG00000006451|RALA	0.0120524658743541	0.824368096095308	AD	Control	423
ENSG00000075790|BCAP29	-0.0613214661723041	0.143623887978451	AD	Control	423
ENSG00000006453|BAIAP2L1	0.0687482963246338	0.400496550014761	AD	Control	423
ENSG00000006116|CACNG3	-0.266692893492901	0.0005054663418251	AD	Control	423
ENSG00000006118|TMEM132A	0.0022110330855682	0.982423019369909	AD	Control	423
ENSG00000004975|DVL2	0.024470686987691	0.587459440150114	AD	Control	423
ENSG00000006625|GGCT	-0.121439777505257	0.0157446785934808	AD	Control	423
ENSG00000005175|RPAP3	-0.0224604198106092	0.730017851180274	AD	Control	423
ENSG00000006652|IFRD1	0.0690046900296495	0.38739617814496	AD	Control	423
ENSG00000007001|UPP2	-0.0798150018240089	0.218542624387404	AD	Control	423
ENSG00000007038|PRSS21	-0.108892110605489	0.685131015385857	AD	Control	423
ENSG00000005073|HOXA11	0.0669145254835797	1.0	AD	Control	423
ENSG00000006210|CX3CL1	-0.155781116829173	0.0148307995359725	AD	Control	423
ENSG00000186654|PRR5	0.0551234339666106	0.425755819111342	AD	Control	423
ENSG00000007255|TRAPPC6A	-0.031829405470263	0.656903421254362	AD	Control	423
ENSG00000006282|SPATA20	0.0062336397960238	0.928604396280774	AD	Control	423
ENSG00000007306|CEACAM7	-0.119710701003108	1.0	AD	Control	423
ENSG00000007312|CD79B	0.215661939696356	0.0618603084032246	AD	Control	423
ENSG00000005486|RHBDD2	-0.119239400436716	0.0137500060213241	AD	Control	423
ENSG00000007376|RPUSD1	-0.0065947117950569	0.937746880820963	AD	Control	423
ENSG00000007520|TSR3	0.0210562435511467	0.769051488200933	AD	Control	423
ENSG00000006025|OSBPL7	0.0433897721099795	0.380556591651755	AD	Control	423
ENSG00000004777|ARHGAP33	-0.0677989647193062	0.27729986643038	AD	Control	423
ENSG00000004779|NDUFAB1	-0.110159581444622	0.085460969539587	AD	Control	423
ENSG00000006047|YBX2	-0.215251981484904	0.0002911287878513	AD	Control	423
ENSG00000005882|PDK2	-0.0971977997867317	0.0516387330209663	AD	Control	423
ENSG00000005884|ITGA3	-0.0409349469220135	0.309909705022883	AD	Control	423
ENSG00000006059|KRT33A	-0.102255680399519	1.0	AD	Control	423
ENSG00000010626|LRRC23	0.0451649351423585	0.35452415117172	AD	Control	423
ENSG00000008517|IL32	0.0478558700787514	0.805775951314767	AD	Control	423
ENSG00000008197|TFAP2D	-0.0590372565511404	0.798835992768899	AD	Control	423
ENSG00000010072|SPRTN	0.0482046093877468	0.381616386017066	AD	Control	423
ENSG00000008405|CRY1	0.135953245890839	0.0359699636758857	AD	Control	423
ENSG00000008735|MAPK8IP2	-0.0878485282976445	0.126530273294949	AD	Control	423
ENSG00000008438|PGLYRP1	-0.145504624788592	0.062359530168612	AD	Control	423
ENSG00000010270|STARD3NL	-0.0137763642584228	0.801363998376174	AD	Control	423
ENSG00000008118|CAMK1G	-0.216139200383004	0.0035048954464548	AD	Control	423
ENSG00000010278|CD9	0.111017512278673	0.10943043695356	AD	Control	423
ENSG00000019582|CD74	0.159875691295704	0.143493314439955	AD	Control	423
ENSG00000008988|RPS20	0.0272385138173848	0.59455687387168	AD	Control	423
ENSG00000010219|DYRK4	-0.0334407875773206	0.547790765563652	AD	Control	423
ENSG00000009780|FAM76A	-0.0257063418836459	0.709558221883874	AD	Control	423
ENSG00000008394|MGST1	0.016125612398935	0.913013904928063	AD	Control	423
ENSG00000091704|CPA1	0.0818233063592992	0.784690352749624	AD	Control	423
ENSG00000008282|SYPL1	0.124063147991817	0.0779115651737912	AD	Control	423
ENSG00000010017|RANBP9	-0.0348931873992651	0.611685898139221	AD	Control	423
ENSG00000010610|CD4	0.0947482897165098	0.225829864006843	AD	Control	423
ENSG00000008323|PLEKHG6	0.0385265837186161	0.788956884666255	AD	Control	423
ENSG00000008324|SS18L2	-0.024409949530242	0.696752089486621	AD	Control	423
ENSG00000048707|VPS13D	0.0177438023809056	0.769349234528959	AD	Control	423
ENSG00000011105|TSPAN9	-0.009427513023244	0.868251686980643	AD	Control	423
ENSG00000186115|CYP4F2	-0.264022388834283	0.0162346525154285	AD	Control	423
ENSG00000011478|QPCTL	-0.0793405462780928	0.18896113847954	AD	Control	423
ENSG00000010818|HIVEP2	-0.117909378463846	0.0184358191609877	AD	Control	423
ENSG00000011485|PPP5C	-0.0935253406518049	0.0216628842800428	AD	Control	423
ENSG00000239672|NME1	-0.112721160614076	0.133856314909329	AD	Control	423
ENSG00000012963|UBR7	0.0019324309246268	0.978507628335235	AD	Control	423
ENSG00000012983|MAP4K5	0.0920268200712534	0.027915504302239	AD	Control	423
ENSG00000241644|INMT	0.0899113982252513	0.420253174986723	AD	Control	423
ENSG00000012061|ERCC1	-0.0382241619097221	0.153698608511772	AD	Control	423
ENSG00000011198|ABHD5	0.0468855682675246	0.354596218261104	AD	Control	423
ENSG00000013588|GPRC5A	0.141719979520904	0.291661625300879	AD	Control	423
ENSG00000013583|HEBP1	0.0839369594115066	0.0016659264510062	AD	Control	423
ENSG00000013563|DNASE1L1	-0.0214340744869604	0.750142953549053	AD	Control	423
ENSG00000014919|COX15	-0.101327241939421	0.0041719395430171	AD	Control	423
ENSG00000071203|MS4A12	-0.0095388172584212	1.0	AD	Control	423
ENSG00000015568|RGPD5	-0.0905092823628236	0.165463136874582	AD	Control	423
ENSG00000015532|XYLT2	-0.0382449642992003	0.490431669585071	AD	Control	423
ENSG00000068438|FTSJ1	0.0062947309392017	0.907579759660734	AD	Control	423
ENSG00000080293|SCTR	-0.153349297290378	0.107731393443069	AD	Control	423
ENSG00000017797|RALBP1	0.0130489592402128	0.893304871840211	AD	Control	423
ENSG00000059915|PSD	-0.0702077861871056	0.237331552254192	AD	Control	423
ENSG00000019505|SYT13	-0.207132061687075	0.0186296999547741	AD	Control	423
ENSG00000019549|SNAI2	0.0728853343560195	0.489980367817086	AD	Control	423
ENSG00000078668|VDAC3	-0.0777123530172533	0.283165435049911	AD	Control	423
ENSG00000021488|SLC7A9	0.0743162512000048	0.519402316669155	AD	Control	423
ENSG00000022355|GABRA1	-0.144304279231625	0.0254745473210945	AD	Control	423
ENSG00000022277|RTF2	0.0243990825819654	0.6176400517324	AD	Control	423
ENSG00000022567|SLC45A4	-0.0673057582879929	0.297361724161445	AD	Control	423
ENSG00000023287|RB1CC1	0.0186562595798211	0.782094234037846	AD	Control	423
ENSG00000023516|AKAP11	-0.139967199895778	0.0455802671118572	AD	Control	423
ENSG00000023734|STRAP	-0.0436731064500502	0.411934713268388	AD	Control	423
ENSG00000007541|PIGQ	-0.0142344751937412	0.861271689033151	AD	Control	423
ENSG00000079112|CDH17	-0.0256819563508811	0.861978602833259	AD	Control	423
ENSG00000026297|RNASET2	0.113389838550808	0.0477515693914162	AD	Control	423
ENSG00000027847|B4GALT7	-0.059141868670737	0.248335651779645	AD	Control	423
ENSG00000029364|SLC39A9	-0.0222116923623795	0.555914942776629	AD	Control	423
ENSG00000031003|FAM13B	0.0246315166100707	0.664481074141992	AD	Control	423
ENSG00000031823|RANBP3	0.0438555973294333	0.0707334373857155	AD	Control	423
ENSG00000033100|CHPF2	0.0181862451453529	0.796303558825696	AD	Control	423
ENSG00000033122|LRRC7	-0.137655086920554	0.0257936781580097	AD	Control	423
ENSG00000034713|GABARAPL2	-0.0506524935401179	0.306548665721309	AD	Control	423
ENSG00000034971|MYOC	-0.212255206949216	1.0	AD	Control	423
ENSG00000035141|FAM136A	-0.0337291665142957	0.375762831097353	AD	Control	423
ENSG00000035681|NSMAF	-0.0486689403247162	0.312853447487341	AD	Control	423
ENSG00000036473|OTC	-0.102864844744125	0.551374529950009	AD	Control	423
ENSG00000052841|TTC17	-0.0319551356989531	0.437648712438124	AD	Control	423
ENSG00000037965|HOXC8	-0.0653782093461583	1.0	AD	Control	423
ENSG00000037757|MRI1	-0.0901759351053048	0.0941148607582196	AD	Control	423
ENSG00000038219|BOD1L1	-0.0722544115742589	0.122100068484639	AD	Control	423
ENSG00000059588|TARBP1	-0.25603378735587	0.006705852717297	AD	Control	423
ENSG00000039523|RIPOR1	-0.0384761489593026	0.400895765547494	AD	Control	423
ENSG00000039987|BEST2	0.0009567608796491	0.993096882956374	AD	Control	423
ENSG00000040608|RTN4R	-0.136479651804709	0.126988161294149	AD	Control	423
ENSG00000041357|PSMA4	-0.0289935568382344	0.534091264839906	AD	Control	423
ENSG00000042062|RIPOR3	0.411892860263974	9.73693286277131e-07	AD	Control	423
ENSG00000042317|SPATA7	-0.127405679671099	0.0038603836671325	AD	Control	423
ENSG00000042813|ZPBP	-0.0456009191378646	0.841339480326988	AD	Control	423
ENSG00000040531|CTNS	0.0934942899349052	0.0248496409574576	AD	Control	423
ENSG00000043462|LCP2	0.0331474645879435	0.698025461704744	AD	Control	423
ENSG00000047932|GOPC	-0.108158934654337	0.0139269552626913	AD	Control	423
ENSG00000011465|DCN	0.21319629402346	0.0097355702867575	AD	Control	423
ENSG00000048462|TNFRSF17	-0.0066286659466953	0.979758327795186	AD	Control	423
ENSG00000048544|MRPS10	-0.0969383653694719	0.0003352556989623	AD	Control	423
ENSG00000048545|GUCA1A	-0.198724558200106	0.0411967530958686	AD	Control	423
ENSG00000030582|GRN	0.0973846442580114	0.029983303946653	AD	Control	423
ENSG00000041988|THAP3	0.0029203039426497	0.974435821439543	AD	Control	423
ENSG00000049245|VAMP3	0.112693569177598	0.0266566333544693	AD	Control	423
ENSG00000049247|UTS2	0.0715530948202537	0.824368096095308	AD	Control	423
ENSG00000049449|RCN1	-0.0815490765508208	0.0906741456288498	AD	Control	423
ENSG00000049541|RFC2	-0.0716758451731263	0.0141305404794683	AD	Control	423
ENSG00000049769|PPP1R3F	-0.0795162179931083	0.206001468403435	AD	Control	423
ENSG00000050030|NEXMIF	-0.0916260900486938	0.125181117420742	AD	Control	423
ENSG00000050327|ARHGEF5	0.309025268241686	0.0010484911391737	AD	Control	423
ENSG00000050344|NFE2L3	0.0536890082897476	0.252373001386356	AD	Control	423
ENSG00000050730|TNIP3	0.0921618010498546	0.454401627805256	AD	Control	423
ENSG00000052723|SIKE1	-0.0188525437379289	0.70422315065352	AD	Control	423
ENSG00000038295|TLL1	-0.203105528127012	0.0068007997291417	AD	Control	423
ENSG00000053438|NNAT	-0.165758463332325	0.133396613519047	AD	Control	423
ENSG00000054803|CBLN4	-0.386514454972752	0.0010837532805849	AD	Control	423
ENSG00000013297|CLDN11	0.223490479211829	0.0038596758969732	AD	Control	423
ENSG00000054965|FAM168A	0.014155172337813	0.80046204299294	AD	Control	423
ENSG00000054967|RELT	0.0214882853672582	0.796303558825696	AD	Control	423
ENSG00000004897|CDC27	-0.0548554080914154	0.199988110785271	AD	Control	423
ENSG00000057294|PKP2	-0.0783111261155847	0.225199751575867	AD	Control	423
ENSG00000196083|IL1RAP	-0.0406264133538337	0.669894365745097	AD	Control	423
ENSG00000058799|YIPF1	-0.0246680734445733	0.662072563867641	AD	Control	423
ENSG00000133597|ADCK2	-0.0891363341017531	0.0295676607946829	AD	Control	423
ENSG00000040933|INPP4A	-0.146627437872727	0.0017526899396652	AD	Control	423
ENSG00000059804|SLC2A3	0.0020319131909112	0.985189894396467	AD	Control	423
ENSG00000136960|ENPP2	0.172404626203086	0.0596993739420716	AD	Control	423
ENSG00000060069|CTDP1	0.0251108251887006	0.61400822298512	AD	Control	423
ENSG00000060140|STYK1	-0.141785519108732	0.0248486455609509	AD	Control	423
ENSG00000088256|GNA11	0.0271342780735304	0.655117616271277	AD	Control	423
ENSG00000060566|CREB3L3	-0.015314438643042	0.900808802089105	AD	Control	423
ENSG00000060642|PIGV	0.0688890007708812	0.11542274551722	AD	Control	423
ENSG00000061273|HDAC7	0.0674997120832749	0.106605117917236	AD	Control	423
ENSG00000061794|MRPS35	-0.112443267393026	0.0275901187975633	AD	Control	423
ENSG00000026950|BTN3A1	0.0737173691324315	0.243228873495118	AD	Control	423
ENSG00000062725|APPBP2	0.005738486312692	0.902646256335223	AD	Control	423
ENSG00000063177|RPL18	0.024857057699145	0.697500453983703	AD	Control	423
ENSG00000063180|CA11	-0.0432704948013345	0.367875631122396	AD	Control	423
ENSG00000063241|ISOC2	-0.0409741004677088	0.394151642454753	AD	Control	423
ENSG00000063245|EPN1	-0.0295526979031549	0.757834816815075	AD	Control	423
ENSG00000012124|CD22	0.198182057096595	0.0104423166313352	AD	Control	423
ENSG00000063515|GSC2	-0.127553705999659	1.0	AD	Control	423
ENSG00000067646|ZFY	-0.237927115178976	0.730877399900713	AD	Control	423
ENSG00000069998|HDHD5	-0.0081972876093959	0.880532220202599	AD	Control	423
ENSG00000053918|KCNQ1	0.296423768273842	0.000466834330794	AD	Control	423
ENSG00000070985|TRPM5	-0.113486834058619	0.540960937754416	AD	Control	423
ENSG00000071575|TRIB2	0.144694567481311	0.0032470092556394	AD	Control	423
ENSG00000068308|OTUD5	-0.101885017162903	0.0063200403557343	AD	Control	423
ENSG00000068394|GPKOW	-0.0333604150446966	0.534812416825823	AD	Control	423
ENSG00000021776|AQR	0.0330250986118519	0.42606721878825	AD	Control	423
ENSG00000167759|KLK13	0.193932159247658	1.0	AD	Control	423
ENSG00000129437|KLK14	0.0263766970457705	0.817086008659186	AD	Control	423
ENSG00000070526|ST6GALNAC1	0.0313306291394218	0.770793188487264	AD	Control	423
ENSG00000071655|MBD3	0.128949184566723	0.0183560558578813	AD	Control	423
ENSG00000071282|LMCD1	0.0325534515122794	0.802941830163807	AD	Control	423
ENSG00000013275|PSMC4	-0.0325800344365667	0.461401812906655	AD	Control	423
ENSG00000073598|FNDC8	-0.243732301446144	0.162717335586305	AD	Control	423
ENSG00000004660|CAMKK1	-0.189850696196404	0.019839084412118	AD	Control	423
ENSG00000071859|FAM50A	0.0519831208936339	0.126974560602393	AD	Control	423
ENSG00000072818|ACAP1	0.0915605024063775	0.24608769511813	AD	Control	423
ENSG00000072849|DERL2	0.0112619531488173	0.889735947523949	AD	Control	423
ENSG00000074771|NOX3	-0.234288604579523	0.37847724703057	AD	Control	423
ENSG00000074855|ANO8	0.0141222864677547	0.86919842856458	AD	Control	423
ENSG00000127663|KDM4B	0.0030409612907562	0.962583590373675	AD	Control	423
ENSG00000073150|PANX2	-0.0098305549829541	0.931150346787061	AD	Control	423
ENSG00000076662|ICAM3	-0.0147756321795916	0.823454826569169	AD	Control	423
ENSG00000076826|CAMSAP3	-0.0739065422377723	0.245835989996188	AD	Control	423
ENSG00000077063|CTTNBP2	0.0146735714806833	0.81446782183821	AD	Control	423
ENSG00000077080|ACTL6B	-0.121315445037288	0.0800636673957512	AD	Control	423
ENSG00000147724|FAM135B	-0.0312682139131401	0.696752089486621	AD	Control	423
ENSG00000079432|CIC	0.123225767665475	0.0021807270515673	AD	Control	423
ENSG00000079616|KIF22	-0.0655564941326067	0.0964758840137658	AD	Control	423
ENSG00000079385|CEACAM1	-0.0026592933461434	0.987983698974529	AD	Control	423
ENSG00000047188|YTHDC2	-0.0463328077887535	0.533733970076853	AD	Control	423
ENSG00000064545|TMEM161A	-0.0472305539505296	0.359643064227687	AD	Control	423
ENSG00000050820|BCAR1	0.004849574452845	0.961399152793741	AD	Control	423
ENSG00000065970|FOXJ2	-0.0042099985831677	0.943324328195254	AD	Control	423
ENSG00000067182|TNFRSF1A	0.108389699956564	0.224415131416042	AD	Control	423
ENSG00000066455|GOLGA5	-0.0130033175331368	0.855239341368851	AD	Control	423
ENSG00000067365|METTL22	-0.0685453851779123	0.219669741093024	AD	Control	423
ENSG00000008300|CELSR3	0.0214265143490417	0.82348732566784	AD	Control	423
ENSG00000068971|PPP2R5B	-0.0503624091870995	0.217054974530476	AD	Control	423
ENSG00000068976|PYGM	0.24697087189618	0.0009998159351792	AD	Control	423
ENSG00000069399|BCL3	0.0848896779346525	0.401140010618964	AD	Control	423
ENSG00000069424|KCNAB2	-0.148338302424166	0.0161449122594245	AD	Control	423
ENSG00000069943|PIGB	0.0442464485101294	0.593842217357991	AD	Control	423
ENSG00000067840|PDZD4	-0.111067811786198	0.0384469529857379	AD	Control	423
ENSG00000185864|NPIPB4	-0.0542269403300615	0.520494702372344	AD	Control	423
ENSG00000071677|PRLH	-0.048936165980168	1.0	AD	Control	423
ENSG00000068615|REEP1	-0.19268456099789	0.0143078980999749	AD	Control	423
ENSG00000070404|FSTL3	0.116125906709764	0.0665186485398917	AD	Control	423
ENSG00000070886|EPHA8	-0.0216024732485701	0.867883271667998	AD	Control	423
ENSG00000071539|TRIP13	-0.0936650800798606	0.0829845224276668	AD	Control	423
ENSG00000072682|P4HA2	0.118449083573394	0.118170771052603	AD	Control	423
ENSG00000071246|VASH1	0.144524784114095	0.0003923554032894	AD	Control	423
ENSG00000071994|PDCD2	-0.0655878624007376	0.146742555244355	AD	Control	423
ENSG00000073350|LLGL2	0.212932515469279	0.0028658280142687	AD	Control	423
ENSG00000186847|KRT14	-0.17310362460623	1.0	AD	Control	423
ENSG00000171431|KRT20	-0.0527412745401265	1.0	AD	Control	423
ENSG00000074964|ARHGEF10L	0.147557309159744	1.66561426663439e-05	AD	Control	423
ENSG00000072506|HSD17B10	0.0921020802606687	0.0653113657722869	AD	Control	423
ENSG00000076344|RGS11	-0.0518428589207141	0.383569726824051	AD	Control	423
ENSG00000077009|NMRK2	-0.0943197762045435	0.622546140116177	AD	Control	423
ENSG00000127241|MASP1	-0.013373320443356	0.91540883970029	AD	Control	423
ENSG00000073849|ST6GAL1	0.0641902887323303	0.2187306069864	AD	Control	423
ENSG00000075336|TIMM21	-0.0162132065752764	0.789167987306438	AD	Control	423
ENSG00000078898|BPIFB2	0.109985422863478	1.0	AD	Control	423
ENSG00000079313|REXO1	-0.0180324113872172	0.766684584686144	AD	Control	423
ENSG00000075975|MKRN2	-0.0751426886379951	0.157568932898644	AD	Control	423
ENSG00000076650|GPATCH1	-0.0294724593290044	0.410704294032876	AD	Control	423
ENSG00000077238|IL4R	0.0772554337512881	0.591053623724716	AD	Control	423
ENSG00000079999|KEAP1	0.106434945248931	0.0008761801081455	AD	Control	423
ENSG00000078589|P2RY10	0.161887366428242	1.0	AD	Control	423
ENSG00000079308|TNS1	0.257821388355973	2.40733348778103e-05	AD	Control	423
ENSG00000064300|NGFR	0.127766350117466	0.469663201161997	AD	Control	423
ENSG00000183091|NEB	0.0325546021926286	0.625540675992962	AD	Control	423
ENSG00000065320|NTN1	0.165719476558354	0.0188333621969951	AD	Control	423
ENSG00000066583|ISOC1	0.0732730386750281	0.24833075184981	AD	Control	423
ENSG00000067082|KLF6	0.0753252826189987	0.221803184713335	AD	Control	423
ENSG00000067445|TRO	-0.0903836858599186	0.0320190875920916	AD	Control	423
ENSG00000070444|MNT	-0.0771010824636325	0.101114564300109	AD	Control	423
ENSG00000070718|AP3M2	-0.151475488335036	0.0004978704269449	AD	Control	423
ENSG00000068697|LAPTM4A	0.0875053903882172	0.170634361964724	AD	Control	423
ENSG00000069206|ADAM7	-0.0225689391688566	0.941008247967737	AD	Control	423
ENSG00000070669|ASNS	-0.0899175201427313	0.0733908868300958	AD	Control	423
ENSG00000072135|PTPN18	-0.0532991929162214	0.0774058420630882	AD	Control	423
ENSG00000069696|DRD4	-0.0673547100945831	0.758607629993081	AD	Control	423
ENSG00000070031|SCT	-0.161847730378663	0.325449454322125	AD	Control	423
ENSG00000072210|ALDH3A2	-0.0226405928080626	0.701358534741155	AD	Control	423
ENSG00000072786|STK10	0.152569230753462	0.0156660576509653	AD	Control	423
ENSG00000073331|ALPK1	0.0298445466121421	0.846811642898677	AD	Control	423
ENSG00000073861|TBX21	0.204791218912323	0.372654239806765	AD	Control	423
ENSG00000074071|MRPS34	-0.0080793355525183	0.904618439885467	AD	Control	423
ENSG00000074410|CA12	-0.392345065203174	0.0008120856946152	AD	Control	423
ENSG00000137764|MAP2K5	-0.0915705014321403	0.0218340881939617	AD	Control	423
ENSG00000078237|TIGAR	0.040650497584582	0.47206511342506	AD	Control	423
ENSG00000078579|FGF20	0.036092668602334	0.841422348688623	AD	Control	423
ENSG00000003987|MTMR7	-0.176706110109672	0.011263547227147	AD	Control	423
ENSG00000080618|CPB2	-0.0507733964500063	0.685131015385857	AD	Control	423
ENSG00000065809|FAM107B	0.344585189310794	1.94129171659489e-06	AD	Control	423
ENSG00000065883|CDK13	0.0022032026732571	0.976162612092522	AD	Control	423
ENSG00000064201|TSPAN32	0.129817207938096	0.150498142681138	AD	Control	423
ENSG00000064763|FAR2	-0.0924456055733942	0.040318558278409	AD	Control	423
ENSG00000065308|TRAM2	0.0729524392534187	0.0514028845883338	AD	Control	423
ENSG00000066405|CLDN18	0.0358045099471141	0.696978069994978	AD	Control	423
ENSG00000065371|ROPN1	-0.217366525528356	0.0785725563724441	AD	Control	423
ENSG00000065518|NDUFB4	-0.0103487073830486	0.899658953206711	AD	Control	423
ENSG00000068097|HEATR6	0.0307046742156056	0.565095173444697	AD	Control	423
ENSG00000068912|ERLEC1	-0.193496947294267	0.0015809478808476	AD	Control	423
ENSG00000112782|CLIC5	-0.0245596545365493	0.866338370865075	AD	Control	423
ENSG00000075568|TMEM131	-0.0658810856430436	0.241189990806847	AD	Control	423
ENSG00000172995|ARPP21	-0.141170863831563	0.0113680727952485	AD	Control	423
ENSG00000007129|CEACAM21	-0.0072853278155927	0.973631524261981	AD	Control	423
ENSG00000072954|TMEM38A	-0.164759489568331	0.0004317105128755	AD	Control	423
ENSG00000073008|PVR	-0.0820083693717059	0.0527823211164226	AD	Control	423
ENSG00000159885|ZNF222	-0.0661649792622325	0.374726947285146	AD	Control	423
ENSG00000170848|PSG6	-0.150724951109751	0.334193472370652	AD	Control	423
ENSG00000075089|ACTR6	-0.0671850953686428	0.115510926917571	AD	Control	423
ENSG00000075415|SLC25A3	-0.0999783612324879	0.0320889120218387	AD	Control	423
ENSG00000012504|NR1H4	0.145424874140098	0.222451061520244	AD	Control	423
ENSG00000078098|FAP	0.150356310523914	0.0416013992528633	AD	Control	423
ENSG00000077150|NFKB2	0.258398724202882	0.0186655971390423	AD	Control	423
ENSG00000030304|MUSK	0.0688173097127557	0.768186732578064	AD	Control	423
ENSG00000064218|DMRT3	-0.288498032746211	0.0328853119655917	AD	Control	423
ENSG00000079156|OSBPL6	-0.0974649731400944	0.0112715800868737	AD	Control	423
ENSG00000064205|WISP2	0.0185212147344573	0.885290670917904	AD	Control	423
ENSG00000064601|CTSA	-0.0680947718414542	0.030448282890206	AD	Control	423
ENSG00000134461|ANKRD16	-0.0778772065840042	0.0400620201863498	AD	Control	423
ENSG00000154252|GAL3ST2	0.0412852653565179	0.962234865165528	AD	Control	423
ENSG00000065060|UHRF1BP1	-0.0076942480029047	0.875643436750035	AD	Control	423
ENSG00000081087|OSTM1	0.0243974646269741	0.66121784069646	AD	Control	423
ENSG00000081148|IMPG2	0.0428717196778864	0.628772498511346	AD	Control	423
ENSG00000072110|ACTN1	-0.0600644691968352	0.282546849462113	AD	Control	423
ENSG00000249437|NAIP	0.147080197144831	0.075964234069354	AD	Control	423
ENSG00000081791|DELE1	-0.0234377039090663	0.562195342621221	AD	Control	423
ENSG00000081800|SLC13A1	-0.0253321059143019	0.907215212599198	AD	Control	423
ENSG00000081818|PCDHB4	0.0971116724396517	0.300243133777266	AD	Control	423
ENSG00000112852|PCDHB2	-0.112433401064594	0.0745241386330198	AD	Control	423
ENSG00000081870|HSPB11	-0.0416966558069878	0.305410774399338	AD	Control	423
ENSG00000082146|STRADB	0.0684169000888419	0.256466698655766	AD	Control	423
ENSG00000082269|FAM135A	0.007064602771106	0.936719175261851	AD	Control	423
ENSG00000082458|DLG3	-0.194610550364873	0.0032339955291147	AD	Control	423
ENSG00000082684|SEMA5B	-0.12761878779906	0.019926184606044	AD	Control	423
ENSG00000065609|SNAP91	-0.157202209397757	0.0549113186899777	AD	Control	423
ENSG00000083444|PLOD1	0.0991739357494972	0.133697592820547	AD	Control	423
ENSG00000083544|TDRD3	-0.0033031676284513	0.957714520920783	AD	Control	423
ENSG00000083720|OXCT1	-0.180003894372382	0.0148470971468735	AD	Control	423
ENSG00000083812|ZNF324	-0.0580755289677011	0.165684284082496	AD	Control	423
ENSG00000083817|ZNF416	-0.0039009706080881	0.964062947778714	AD	Control	423
ENSG00000083845|RPS5	-0.0111337234129518	0.869582877444391	AD	Control	423
ENSG00000084444|FAM234B	-0.193155362388296	0.0057849354196892	AD	Control	423
ENSG00000085514|PILRA	0.0077616355043155	0.93163013546913	AD	Control	423
ENSG00000085721|RRN3	-0.0336320588469545	0.536139467744644	AD	Control	423
ENSG00000166391|MOGAT2	-0.223220148389599	0.531827398843959	AD	Control	423
ENSG00000085872|CHERP	-0.0151017422344285	0.68575729631416	AD	Control	423
ENSG00000167580|AQP2	-0.606779891275763	0.183580525769858	AD	Control	423
ENSG00000086189|DIMT1	0.0473617895540798	0.244227288419113	AD	Control	423
ENSG00000086232|EIF2AK1	-0.0085803185990834	0.856666592289292	AD	Control	423
ENSG00000086288|NME8	0.222693910642631	0.214277897459224	AD	Control	423
ENSG00000086289|EPDR1	-0.119681896981552	0.233533844432457	AD	Control	423
ENSG00000086504|MRPL28	-0.0724968546762265	0.0834812748556821	AD	Control	423
ENSG00000086506|HBQ1	-0.199512524710383	0.0837790016727521	AD	Control	423
ENSG00000086548|CEACAM6	-0.0018165638921016	0.993951883182888	AD	Control	423
ENSG00000086589|RBM22	0.0053927821298528	0.931327965396058	AD	Control	423
ENSG00000086696|HSD17B2	0.0240181865762804	0.86174488168699	AD	Control	423
ENSG00000078018|MAP2	-0.13398927449005	0.0523202814830051	AD	Control	423
ENSG00000086827|ZW10	-0.075745075543174	0.209144523391956	AD	Control	423
