chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
3	ENSG00000250796	AC112484.2	0.988	0.015	00+	Not differentially expressed	0.0	0.0	2	0.9999
10	ENSG00000107537	PHYH	0.1062	-1.616	---	Not differentially expressed	0.0	0.619	2	0.7339
7	ENSG00000258227	CLEC5A	0.08655	1.714	+++	Not differentially expressed	0.0	0.081	2	0.9601
6	ENSG00000228727	SAPCD1	0.9487	0.064	00+	Not differentially expressed	0.0	0.005	2	0.9976
22	ENSG00000100027	YPEL1	0.03529	-2.105	+--	Not differentially expressed	70.8	6.844	2	0.03265
13	ENSG00000080618	CPB2	0.4915	0.688	-+-	Not differentially expressed	50.9	4.077	2	0.1303
19	ENSG00000282059	CICP19	0.9531	0.059	0-+	Not differentially expressed	0.0	0.028	2	0.9859
10	ENSG00000228997	AL136452.1	0.5326	-0.624	+--	Not differentially expressed	0.0	0.538	2	0.7642
16	ENSG00000198931	APRT	0.02437	-2.251	---	Not differentially expressed	0.0	0.621	2	0.7332
1	ENSG00000149527	PLCH2	0.6633	-0.435	+--	Not differentially expressed	0.0	0.335	2	0.8458
7	ENSG00000106351	AGFG2	8.15e-05	3.94	+++	Not differentially expressed	0.0	0.249	2	0.8832
17	ENSG00000262085	OR1P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
21	ENSG00000228861	RPL23AP12	0.5752	0.56	00+	Not differentially expressed	0.0	0.359	2	0.8359
11	ENSG00000183560	IZUMO1R	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000151498	ACAD8	0.002111	-3.074	---	Not differentially expressed	0.0	1.077	2	0.5837
10	ENSG00000235687	LINC00993	0.8307	-0.214	0--	Not differentially expressed	0.0	0.018	2	0.9909
4	ENSG00000134852	CLOCK	0.4617	-0.736	---	Not differentially expressed	0.0	0.462	2	0.7937
7	ENSG00000077454	LRCH4	6.709e-05	3.986	+++	Not differentially expressed	0.0	0.095	2	0.9536
9	ENSG00000137055	PLAA	0.02232	-2.285	+--	Not differentially expressed	12.4	2.284	2	0.3192
8	ENSG00000132554	RGS22	0.5183	0.646	++-	Not differentially expressed	0.0	0.878	2	0.6448
X	ENSG00000196632	WNK3	0.1018	-1.636	---	Not differentially expressed	0.0	0.306	2	0.858
10	ENSG00000096717	SIRT1	0.01343	2.472	+++	Not differentially expressed	0.0	0.655	2	0.7209
X	ENSG00000233984	RPSAP14	0.6917	0.397	-++	Not differentially expressed	0.0	0.405	2	0.8168
17	ENSG00000161944	ASGR2	0.7543	0.313	0-+	Not differentially expressed	0.0	0.92	2	0.6312
7	ENSG00000136231	IGF2BP3	0.4196	0.807	++-	Not differentially expressed	14.0	2.326	2	0.3126
21	ENSG00000160191	PDE9A	0.008704	2.623	+++	Not differentially expressed	0.0	1.903	2	0.3862
1	ENSG00000143740	SNAP47	0.01004	-2.575	---	Not differentially expressed	0.0	0.993	2	0.6085
X	ENSG00000234969	AL627389.1	0.6655	-0.432	-+-	Not differentially expressed	0.0	0.979	2	0.613
11	ENSG00000154127	UBASH3B	0.4671	-0.727	---	Not differentially expressed	0.0	0.098	2	0.9521
16	ENSG00000127585	FBXL16	0.04035	-2.05	+--	Not differentially expressed	70.8	6.844	2	0.03265
9	ENSG00000165283	STOML2	0.02935	-2.179	---	Not differentially expressed	0.0	0.779	2	0.6774
21	ENSG00000215317	THUMPD1P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000094841	UPRT	0.00286	-2.982	---	Not differentially expressed	0.0	0.899	2	0.6379
7	ENSG00000256646	AC010132.3	0.2763	-1.089	--+	Not differentially expressed	0.0	1.746	2	0.4177
3	ENSG00000075711	DLG1	0.5621	0.58	+++	Not differentially expressed	0.0	0.097	2	0.9528
19	ENSG00000105366	SIGLEC8	0.0004783	3.493	+++	Not differentially expressed	0.0	0.955	2	0.6202
3	ENSG00000228868	MYLKP1	0.7802	-0.279	00-	Not differentially expressed	0.0	0.089	2	0.9565
16	ENSG00000204991	SPIRE2	0.7505	-0.318	++-	Not differentially expressed	67.2	6.097	2	0.04742
6	ENSG00000111961	SASH1	8.427e-08	5.358	+++	Upregulated in AD	0.0	1.706	2	0.4261
1	ENSG00000162734	PEA15	0.8472	0.193	+-+	Not differentially expressed	80.5	10.257	2	0.005926
5	ENSG00000270225	MTCO2P22	0.7161	-0.364	00-	Not differentially expressed	0.0	0.151	2	0.9273
11	ENSG00000154143	PANX3	0.6548	-0.447	0+-	Not differentially expressed	6.3	2.135	2	0.3439
15	ENSG00000255346	NOX5	0.5409	-0.611	---	Not differentially expressed	0.0	0.114	2	0.9447
16	ENSG00000167207	NOD2	0.0002459	3.667	+++	Not differentially expressed	0.0	0.36	2	0.8351
19	ENSG00000234906	APOC2	0.283	1.074	+++	Not differentially expressed	21.3	2.54	2	0.2809
2	ENSG00000243147	MRPL33	0.03568	-2.101	---	Not differentially expressed	26.3	2.713	2	0.2576
20	ENSG00000226188	HNRNPA1P3	0.2318	1.196	+++	Not differentially expressed	0.0	0.973	2	0.6146
9	ENSG00000240791	MTND4LP7	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
18	ENSG00000134759	ELP2	0.0001769	-3.75	-+-	Not differentially expressed	80.4	10.221	2	0.006033
1	ENSG00000244020	MT1HL1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
16	ENSG00000185164	NOMO2	0.0009308	-3.311	---	Not differentially expressed	0.0	1.361	2	0.5063
21	ENSG00000142168	SOD1	0.006959	-2.699	---	Not differentially expressed	0.0	0.341	2	0.8433
2	ENSG00000180398	MCFD2	0.04563	-1.999	-+-	Not differentially expressed	18.5	2.453	2	0.2932
12	ENSG00000139193	CD27	0.2406	-1.174	-+-	Not differentially expressed	0.0	1.799	2	0.4068
11	ENSG00000135378	PRRG4	0.01344	2.472	+++	Not differentially expressed	0.0	1.239	2	0.5382
15	ENSG00000166821	PEX11A	0.1683	1.378	+++	Not differentially expressed	0.0	0.183	2	0.9127
X	ENSG00000235636	NUS1P1	0.6986	0.387	0+0	Not differentially expressed	0.0	0.42	2	0.8106
11	ENSG00000179431	FJX1	0.211	-1.251	--+	Not differentially expressed	47.7	3.823	2	0.1478
