gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
UCKL1|ENSG00000198276	0.735465575	9.55857e-07	18	Control	AD
LINC00484|ENSG00000235641	1.396044444	7.12527e-06	18	Control	AD
AKR1C2|ENSG00000151632	1.974885816	1.33005e-05	18	Control	AD
TRPV3|ENSG00000167723	0.764143194	1.82356e-05	18	Control	AD
ADAMTS2|ENSG00000087116	1.354489233	2.07252e-05	18	Control	AD
	1.755241081	6.82275e-05	18	Control	AD
KIAA0930|ENSG00000100364	0.717917415	8.29372e-05	18	Control	AD
ITGA11|ENSG00000137809	0.96862253	8.94605e-05	18	Control	AD
DDIT4|ENSG00000168209	1.280684868	0.000108834	18	Control	AD
UHRF1|ENSG00000276043	1.410308802	0.000126253	18	Control	AD
	1.458604921	0.000131429	18	Control	AD
SAFB2|ENSG00000130254	0.498256192	0.00014077	18	Control	AD
FIBCD1|ENSG00000130720	1.972997305	0.000154526	18	Control	AD
GSAP|ENSG00000186088	-0.775996755	0.000170367	18	Control	AD
IDI1|ENSG00000067064	-0.693956812	0.00017333	18	Control	AD
SPIDR|ENSG00000164808	0.381912752	0.000178064	18	Control	AD
TMEM255B|ENSG00000184497	0.953696541	0.000193542	18	Control	AD
SUSD1|ENSG00000106868	-0.897917518	0.000209324	18	Control	AD
EHMT1|ENSG00000181090	0.543169901	0.000210505	18	Control	AD
TRIM11|ENSG00000154370	0.708954112	0.000216596	18	Control	AD
ARHGAP33|ENSG00000004777	0.573520638	0.000227046	18	Control	AD
GALM|ENSG00000143891	0.810460193	0.000232056	18	Control	AD
ZNF750|ENSG00000141579	0.816053599	0.000242344	18	Control	AD
NUP210L|ENSG00000143552	1.432633727	0.000244115	18	Control	AD
KANSL1|ENSG00000275867	0.414098747	0.000257097	18	Control	AD
KIAA1958|ENSG00000165185	0.537386978	0.000279953	18	Control	AD
ZRSR2|ENSG00000169249	0.659357424	0.000294837	18	Control	AD
INVS|ENSG00000119509	0.442804378	0.00029735	18	Control	AD
ZFP37|ENSG00000136866	-0.682222723	0.000297599	18	Control	AD
GET1|ENSG00000182093	-0.483056321	0.000303794	18	Control	AD
