gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
AKR1C2|ENSG00000151632	2.009802926	9.96957e-06	18	Control	AD
DDIT4|ENSG00000168209	1.389513313	3.39136e-05	18	Control	AD
DGKD|ENSG00000077044	0.608158591	3.72964e-05	18	Control	AD
ZNF750|ENSG00000141579	0.934216097	3.82448e-05	18	Control	AD
FOXD1|ENSG00000251493	1.867758329	3.9499e-05	18	Control	AD
ADAMTS2|ENSG00000087116	1.297738073	3.98697e-05	18	Control	AD
ITGA11|ENSG00000137809	1.024117698	4.0283e-05	18	Control	AD
LINC00484|ENSG00000235641	1.247611948	4.25494e-05	18	Control	AD
LRCH4|ENSG00000077454	0.724689521	4.63908e-05	18	Control	AD
SWT1|ENSG00000116668	0.51040657	6.06852e-05	18	Control	AD
RDH11|ENSG00000072042	-0.423170988	7.62175e-05	18	Control	AD
UHRF1|ENSG00000276043	1.448483324	8.78568e-05	18	Control	AD
TP53I13|ENSG00000167543	1.069666581	9.20871e-05	18	Control	AD
C5AR1|ENSG00000197405	1.564012129	0.000103019	18	Control	AD
NRSN2|ENSG00000125841	-0.629999375	0.00011453	18	Control	AD
SAFB2|ENSG00000130254	0.503697716	0.000121859	18	Control	AD
	1.164380186	0.000122764	18	Control	AD
GALM|ENSG00000143891	0.848590352	0.000128245	18	Control	AD
PPT1|ENSG00000131238	-0.541634047	0.000140006	18	Control	AD
IDI1|ENSG00000067064	-0.701003852	0.000152014	18	Control	AD
EPHA3|ENSG00000044524	-0.642349715	0.000157741	18	Control	AD
STOML1|ENSG00000067221	-0.627063266	0.000170691	18	Control	AD
CENPF|ENSG00000117724	-0.959703722	0.000176518	18	Control	AD
DPY19L1|ENSG00000173852	-0.607005608	0.000183574	18	Control	AD
CCDC17|ENSG00000159588	1.312680336	0.000184807	18	Control	AD
PGLS-DT|ENSG00000269439	1.235573208	0.000190852	18	Control	AD
ATP6V1G1|ENSG00000136888	-0.536487838	0.00021406	18	Control	AD
DNLZ|ENSG00000213221	1.114474697	0.000217838	18	Control	AD
TLE2|ENSG00000065717	0.666485031	0.000232711	18	Control	AD
UCKL1|ENSG00000198276	0.518879626	0.000236554	18	Control	AD
PLEKHH3|ENSG00000068137	0.833790621	0.000242438	18	Control	AD
TRMT61A|ENSG00000166166	0.82757583	0.000248604	18	Control	AD
ATP5PB|ENSG00000116459	-0.626208264	0.000254253	18	Control	AD
STX10|ENSG00000104915	0.518048459	0.000267088	18	Control	AD
EHMT1|ENSG00000181090	0.532638794	0.00026866	18	Control	AD
PHETA1|ENSG00000198324	1.000120317	0.000269459	18	Control	AD
NUP210L|ENSG00000143552	1.419914586	0.000272529	18	Control	AD
KIAA0930|ENSG00000100364	0.653546306	0.000282525	18	Control	AD
COL27A1|ENSG00000196739	1.26094333	0.00028717	18	Control	AD
CROCC|ENSG00000058453	0.842634435	0.000306376	18	Control	AD
MBTPS2|ENSG00000012174	-0.804386286	0.000306461	18	Control	AD
LINC02427|ENSG00000271538	-1.548144573	0.000306523	18	Control	AD
	1.556413565	0.000328176	18	Control	AD
MSC|ENSG00000178860	-1.175669753	0.000329024	18	Control	AD
PRDX2|ENSG00000167815	-0.791092645	0.000331859	18	Control	AD
GTF2IRD1|ENSG00000006704	0.595859826	0.000332786	18	Control	AD
RUFY1|ENSG00000176783	0.465383028	0.000334609	18	Control	AD
PPEF1|ENSG00000086717	-1.683037837	0.000337564	18	Control	AD
	1.346439913	0.00037088	18	Control	AD
ACTG1|ENSG00000184009	-0.51943231	0.000394477	18	Control	AD
IQCD|ENSG00000166578	0.943968291	0.000395815	18	Control	AD
ALOX15B|ENSG00000179593	1.899532217	0.000402357	18	Control	AD
ZNF552|ENSG00000178935	0.906833811	0.000404411	18	Control	AD
CHCHD2|ENSG00000106153	-0.62706507	0.000409947	18	Control	AD
TBX6|ENSG00000149922	1.268173865	0.000410291	18	Control	AD
PSMB4|ENSG00000159377	-0.497538082	0.000425247	18	Control	AD
NDOR1|ENSG00000188566	0.682240825	0.000430867	18	Control	AD
SPECC1|ENSG00000128487	0.346336532	0.000431881	18	Control	AD
KYAT1|ENSG00000286112	0.474466367	0.000433566	18	Control	AD
WARS1|ENSG00000140105	-0.71808793	0.000441907	18	Control	AD
ELN|ENSG00000049540	1.290541392	0.000444823	18	Control	AD
CLASRP|ENSG00000104859	0.665125327	0.000453648	18	Control	AD
ARHGAP10|ENSG00000071205	0.593784516	0.000470297	18	Control	AD
PPFIBP2|ENSG00000166387	0.960094297	0.000478519	18	Control	AD
SPHK1|ENSG00000176170	1.492498997	0.000493617	18	Control	AD
S100A4|ENSG00000196154	1.665293736	0.000495826	18	Control	AD
HRC|ENSG00000130528	1.288783419	0.000497092	18	Control	AD
IGFBP5|ENSG00000115461	1.241787066	0.00050134	18	Control	AD
SNED1|ENSG00000162804	0.635290216	0.000503501	18	Control	AD
ARF5|ENSG00000004059	-0.692822629	0.000512783	18	Control	AD
SAV1|ENSG00000151748	0.429752902	0.000512862	18	Control	AD
SPOUT1|ENSG00000198917	0.617987221	0.000529702	18	Control	AD
	0.897534005	0.000532147	18	Control	AD
DIDO1|ENSG00000101191	0.346227036	0.000540277	18	Control	AD
MDH2|ENSG00000146701	-0.661081274	0.000543118	18	Control	AD
KANSL1|ENSG00000275867	0.386084968	0.000586005	18	Control	AD
TRIM62|ENSG00000116525	0.653579774	0.000592063	18	Control	AD
CAPS|ENSG00000105519	1.331056207	0.000595449	18	Control	AD
NPM3|ENSG00000107833	-0.914390516	0.000605453	18	Control	AD
ATP5PO|ENSG00000241837	-0.65688335	0.00060696	18	Control	AD
RHPN1|ENSG00000158106	0.489913984	0.000607669	18	Control	AD
SOX12|ENSG00000177732	0.558609416	0.000624946	18	Control	AD
RGS12|ENSG00000159788	0.533953987	0.000631984	18	Control	AD
BMP1|ENSG00000168487	0.807930547	0.000636941	18	Control	AD
HSD17B1|ENSG00000108786	0.584084319	0.000644716	18	Control	AD
HIGD1B|ENSG00000131097	1.311509794	0.000645958	18	Control	AD
TSSK3|ENSG00000162526	0.928038328	0.000646567	18	Control	AD
SLC25A3|ENSG00000075415	-0.601559724	0.000650444	18	Control	AD
BCAR1|ENSG00000050820	0.520358946	0.000654144	18	Control	AD
TPM2|ENSG00000198467	1.027062416	0.000654627	18	Control	AD
PBX3|ENSG00000167081	0.576512741	0.000669066	18	Control	AD
FAM193A|ENSG00000125386	0.423056263	0.000688926	18	Control	AD
PAGR1|ENSG00000280789	0.617924588	0.000692432	18	Control	AD
RGS5|ENSG00000143248	0.677146704	0.000692497	18	Control	AD
P2RX7|ENSG00000089041	0.912401178	0.000701256	18	Control	AD
FLII|ENSG00000284571	0.439670481	0.000701857	18	Control	AD
CCDC146|ENSG00000135205	0.534024089	0.000714729	18	Control	AD
CSPP1|ENSG00000104218	0.388360741	0.000729412	18	Control	AD
	1.476687308	0.000739889	18	Control	AD
U2AF2|ENSG00000063244	0.355698759	0.000741107	18	Control	AD
NPNT|ENSG00000168743	1.090790651	0.000742016	18	Control	AD
ZBTB17|ENSG00000116809	0.412685844	0.000747788	18	Control	AD
TRIM11|ENSG00000154370	0.6367079	0.000760378	18	Control	AD
METTL25B|ENSG00000143303	0.523261799	0.000785419	18	Control	AD
ATP5F1A|ENSG00000152234	-0.814755629	0.000807252	18	Control	AD
PER1|ENSG00000179094	0.636990756	0.000834443	18	Control	AD
ANKRD11|ENSG00000167522	0.42826437	0.000836216	18	Control	AD
JMJD8|ENSG00000161999	0.55367724	0.000838834	18	Control	AD
E2F4|ENSG00000205250	0.396422744	0.000859212	18	Control	AD
ADAM33|ENSG00000149451	1.308073523	0.000862923	18	Control	AD
PHF1|ENSG00000225553	0.399804721	0.000867769	18	Control	AD
TJP3|ENSG00000105289	1.342985556	0.000889781	18	Control	AD
IGF2|ENSG00000167244	1.894095954	0.000890696	18	Control	AD
LINC01561|ENSG00000177234	1.065712574	0.00089149	18	Control	AD
DGAT1|ENSG00000285482	0.52827524	0.000899998	18	Control	AD
ARHGAP39|ENSG00000147799	0.454145478	0.000900872	18	Control	AD
SETD1A|ENSG00000099381	0.470818504	0.000904369	18	Control	AD
HMGCS1|ENSG00000112972	-1.123899354	0.000918604	18	Control	AD
LINC02615|ENSG00000251432	0.754966065	0.000922267	18	Control	AD
SLC6A9|ENSG00000196517	0.900806953	0.000926239	18	Control	AD
CFAP100|ENSG00000163885	1.239548769	0.000937824	18	Control	AD
KATNB1|ENSG00000140854	-0.534942771	0.000944903	18	Control	AD
MALAT1|ENSG00000251562	0.477944794	0.000948599	18	Control	AD
PLAGL1|ENSG00000118495	-0.76000441	0.000967467	18	Control	AD
TRPV1|ENSG00000196689	0.7316442	0.000977901	18	Control	AD
UAP1L1|ENSG00000197355	0.711401188	0.000978534	18	Control	AD
RIOK3|ENSG00000101782	-0.361802131	0.00098706	18	Control	AD
MRPL20-DT|ENSG00000272455	1.19096876	0.000996728	18	Control	AD
SLC12A9|ENSG00000146828	0.679276508	0.000997916	18	Control	AD
GTPBP8|ENSG00000163607	-0.589197064	0.001000704	18	Control	AD
MRPS23|ENSG00000181610	-0.499753615	0.001006311	18	Control	AD
LRRC45|ENSG00000169683	0.735086475	0.001007743	18	Control	AD
BCL6|ENSG00000113916	0.8060876	0.001009091	18	Control	AD
PKM|ENSG00000067225	-0.582656732	0.00101198	18	Control	AD
CYP51A1|ENSG00000001630	-0.734141995	0.001022007	18	Control	AD
	0.64397869	0.00103887	18	Control	AD
CCDC66|ENSG00000180376	0.411381253	0.001039004	18	Control	AD
ZMYND10|ENSG00000004838	1.288832644	0.001041641	18	Control	AD
ZGPAT|ENSG00000197114	0.53493084	0.001044551	18	Control	AD
CLDN18|ENSG00000066405	0.929045006	0.001055988	18	Control	AD
PSMD14|ENSG00000115233	-0.64426121	0.00106448	18	Control	AD
GSTO1|ENSG00000148834	-0.603300395	0.001074458	18	Control	AD
	1.264409081	0.001080764	18	Control	AD
CCDC18|ENSG00000122483	0.632583641	0.001089316	18	Control	AD
PPP4R2|ENSG00000163605	0.418963326	0.001106874	18	Control	AD
ATG5|ENSG00000057663	-0.483960323	0.001112549	18	Control	AD
TNRC6C|ENSG00000078687	0.324801084	0.001113127	18	Control	AD
INTS6|ENSG00000102786	0.380032087	0.001119113	18	Control	AD
DDB1|ENSG00000167986	-0.40459885	0.001139995	18	Control	AD
PLCE1|ENSG00000138193	0.95178318	0.001148741	18	Control	AD
PSMA5|ENSG00000143106	-0.904237646	0.001161329	18	Control	AD
DHX34|ENSG00000134815	0.663701872	0.001162062	18	Control	AD
SPAG7|ENSG00000091640	-0.431229363	0.001163339	18	Control	AD
GEM|ENSG00000164949	1.379824123	0.001168481	18	Control	AD
ZBTB1|ENSG00000126804	0.451172128	0.001177114	18	Control	AD
AEBP1|ENSG00000106624	1.537071094	0.001186604	18	Control	AD
ANAPC13|ENSG00000129055	-0.540297563	0.001221237	18	Control	AD
EIF6|ENSG00000242372	-0.520915109	0.001221496	18	Control	AD
