gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
SH3TC1|ENSG00000125089	2.057846921	4.2708e-10	18	Control	AD
ITGAX|ENSG00000140678	2.812545472	6.12785e-10	18	Control	AD
SPN|ENSG00000197471	2.85119074	6.33252e-10	18	Control	AD
SIGLEC8|ENSG00000105366	2.960135722	7.44704e-10	18	Control	AD
ITGB2|ENSG00000160255	2.359774167	8.27268e-10	18	Control	AD
PARVG|ENSG00000138964	2.875450062	8.29582e-10	18	Control	AD
ABI3|ENSG00000108798	2.179909516	1.52937e-09	18	Control	AD
KLHL6|ENSG00000172578	3.21452157	2.14443e-09	18	Control	AD
IL10RA|ENSG00000110324	2.560672261	2.43612e-09	18	Control	AD
ALOX15B|ENSG00000179593	3.645647548	2.96173e-09	18	Control	AD
NCKAP1L|ENSG00000123338	2.247806272	3.21676e-09	18	Control	AD
TBXAS1|ENSG00000059377	2.323189437	3.21716e-09	18	Control	AD
PIK3R5|ENSG00000141506	2.935067992	3.44061e-09	18	Control	AD
C5AR1|ENSG00000197405	2.665233811	3.91985e-09	18	Control	AD
LILRA2|ENSG00000278634	2.846127093	6.31659e-09	18	Control	AD
LAIR1|ENSG00000278154	2.333757863	6.73402e-09	18	Control	AD
APOBR|ENSG00000184730	2.807968506	7.48035e-09	18	Control	AD
ADORA3|ENSG00000282608	2.250660676	8.32561e-09	18	Control	AD
SLC11A1|ENSG00000018280	2.917471388	9.33039e-09	18	Control	AD
IRF5|ENSG00000128604	1.662462517	1.14558e-08	18	Control	AD
RBM47|ENSG00000163694	2.513230948	1.16099e-08	18	Control	AD
GPNMB|ENSG00000136235	2.324152707	1.70213e-08	18	Control	AD
MS4A14|ENSG00000166928	3.32578176	1.74118e-08	18	Control	AD
NCF2|ENSG00000116701	2.402452704	1.95767e-08	18	Control	AD
LILRB1|ENSG00000276452	2.321781567	2.30563e-08	18	Control	AD
DEF6|ENSG00000023892	1.486235795	2.32186e-08	18	Control	AD
SIRPB2|ENSG00000196209	2.664611309	2.90636e-08	18	Control	AD
