gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ADAMTS2|ENSG00000087116	1.33000174	2.75126e-05	18	Control	AD
	1.795367881	4.93015e-05	18	Control	AD
AKR1C2|ENSG00000151632	1.791970632	5.88501e-05	18	Control	AD
PRSS53|ENSG00000151006	1.015682656	7.09252e-05	18	Control	AD
ITGA11|ENSG00000137809	0.98482538	7.09765e-05	18	Control	AD
UCKL1|ENSG00000198276	0.559387125	8.81317e-05	18	Control	AD
ZC3H11A|ENSG00000058673	1.488987197	9.30792e-05	18	Control	AD
S100A4|ENSG00000196154	1.886413775	0.000104554	18	Control	AD
LRCH4|ENSG00000077454	0.680250768	0.000113011	18	Control	AD
KIAA0930|ENSG00000100364	0.699302712	0.000118728	18	Control	AD
CHCHD2|ENSG00000106153	-0.69000887	0.000123844	18	Control	AD
DDIT4|ENSG00000168209	1.250050475	0.000150226	18	Control	AD
ZFP41|ENSG00000181638	0.593274413	0.000180355	18	Control	AD
PSMA5|ENSG00000143106	-1.038779912	0.000242732	18	Control	AD
	1.214484098	0.000243276	18	Control	AD
NUP210L|ENSG00000143552	1.430799989	0.000248027	18	Control	AD
STX10|ENSG00000104915	0.519456945	0.0002583	18	Control	AD
	1.376949059	0.000274196	18	Control	AD
TOP3B|ENSG00000100038	0.567562753	0.000294482	18	Control	AD
DGAT1|ENSG00000285482	0.579347017	0.000317234	18	Control	AD
GNAL|ENSG00000141404	-0.625628767	0.00033271	18	Control	AD
STAT1|ENSG00000115415	-0.627304962	0.00034423	18	Control	AD
FXYD2|ENSG00000137731	1.464593702	0.000351397	18	Control	AD
GOLGA3|ENSG00000090615	0.3956706	0.000357813	18	Control	AD
KANSL1|ENSG00000275867	0.401263403	0.000376119	18	Control	AD
GALM|ENSG00000143891	0.776745961	0.000388535	18	Control	AD
MFSD8|ENSG00000164073	-0.57046944	0.000391432	18	Control	AD
UHRF1|ENSG00000276043	1.286995241	0.000397124	18	Control	AD
ZBTB17|ENSG00000116809	0.43626408	0.000399601	18	Control	AD
