gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
PPTC7|ENSG00000196850	0.107633575	0.648308639	31	Control	AD
TMEM222|ENSG00000186501	0.228206296	0.170347128	31	Control	AD
BRMS1L|ENSG00000100916	-0.090620009	0.688500324	31	Control	AD
DPP10|ENSG00000175497	-0.10895793	0.70148866	31	Control	AD
RNF11|ENSG00000123091	-0.027846336	0.887964934	31	Control	AD
C1QTNF1|ENSG00000173918	0.499685694	0.066569297	31	Control	AD
LITATS1|ENSG00000233621	0.001152567	0.996750732	31	Control	AD
ZBTB18|ENSG00000179456	-0.167803123	0.537087682	31	Control	AD
SPIN1|ENSG00000106723	-0.299495065	0.104749377	31	Control	AD
CORO7|ENSG00000262246	-0.060699784	0.789331954	31	Control	AD
OXR1|ENSG00000164830	0.201751964	0.468805345	31	Control	AD
SDSL|ENSG00000139410	0.676116984	0.020517555	31	Control	AD
CNTN3|ENSG00000113805	0.308076019	0.323498735	31	Control	AD
GRM1|ENSG00000152822	0.078186205	0.802003813	31	Control	AD
UHMK1|ENSG00000152332	-0.162436736	0.466639494	31	Control	AD
ARHGAP32|ENSG00000134909	-0.058527692	0.830396035	31	Control	AD
KCNIP4|ENSG00000281758	0.169229227	0.569845697	31	Control	AD
DUSP15|ENSG00000149599	0.260519076	0.364429713	31	Control	AD
RASA1|ENSG00000145715	0.043654708	0.867412342	31	Control	AD
LINC02607|ENSG00000228971	-0.080510877	0.798731899	31	Control	AD
TRIM36|ENSG00000152503	0.051018248	0.865605181	31	Control	AD
COL24A1|ENSG00000171502	-0.050851968	0.858648167	31	Control	AD
C11orf96|ENSG00000187479	0.499931158	0.111380927	31	Control	AD
APP|ENSG00000142192	0.111675043	0.564331374	31	Control	AD
AP1B1|ENSG00000100280	0.376452201	0.039185407	31	Control	AD
MIDN|ENSG00000167470	0.785204532	0.002451161	31	Control	AD
VWA1|ENSG00000179403	0.339143714	0.171256652	31	Control	AD
PMPCA|ENSG00000165688	0.22332979	0.217365619	31	Control	AD
EHD2|ENSG00000024422	0.203026297	0.31480159	31	Control	AD
SLC4A10|ENSG00000144290	0.351465159	0.255913828	31	Control	AD
RAB27B|ENSG00000041353	0.424842907	0.178212526	31	Control	AD
BAK1|ENSG00000030110	0.504381692	0.054040822	31	Control	AD
TEK|ENSG00000120156	0.036515327	0.888396383	31	Control	AD
SEC14L2|ENSG00000100003	0.11637779	0.660927709	31	Control	AD
	0.190505762	0.542606488	31	Control	AD
C3orf80|ENSG00000180044	0.28596981	0.361479496	31	Control	AD
CHN1|ENSG00000128656	0.192930668	0.526077373	31	Control	AD
SLC39A10|ENSG00000196950	0.410946853	0.192160833	31	Control	AD
MAGI3|ENSG00000081026	0.090814735	0.752679398	31	Control	AD
CHL1|ENSG00000134121	0.239694236	0.435174819	31	Control	AD
SRD5A1|ENSG00000145545	0.213607506	0.441433932	31	Control	AD
DACH2|ENSG00000126733	-0.036585742	0.907111691	31	Control	AD
ST6GALNAC5|ENSG00000117069	0.093537676	0.763201159	31	Control	AD
	0.182714917	0.547690081	31	Control	AD
RGS7BP|ENSG00000186479	0.06762796	0.828191862	31	Control	AD
GLRA2|ENSG00000101958	0.292395694	0.350747162	31	Control	AD
TPD52|ENSG00000076554	-0.18953905	0.411369225	31	Control	AD
TAFA2|ENSG00000198673	0.052073615	0.868881558	31	Control	AD
SLC1A6|ENSG00000105143	0.09788028	0.754689459	31	Control	AD
FOXG1|ENSG00000176165	-0.274924117	0.295673969	31	Control	AD
PKIA|ENSG00000171033	-0.06842585	0.753090201	31	Control	AD
IL17RC|ENSG00000163702	0.390544445	0.139325494	31	Control	AD
ECE1|ENSG00000117298	0.286843859	0.195244357	31	Control	AD
CCDC85A|ENSG00000055813	0.198656337		31	Control	AD
	0.106246844	0.736168662	31	Control	AD
PNMA6F|ENSG00000225110	0.192612529	0.523764519	31	Control	AD
	-0.145120569	0.584937546	31	Control	AD
