gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
A1BG-AS1|ENSG00000268895	-0.032	0.873	106	Control	AD
A2M-AS1|ENSG00000245105	-0.119	0.312	106	Control	AD
A2ML1-AS1|ENSG00000256661	0.063	0.508	106	Control	AD
AAAS|ENSG00000291836	-0.025	0.433	106	Control	AD
AACS|ENSG00000081760	0.159	0.334	106	Control	AD
AADAT|ENSG00000109576	-0.013	0.695	106	Control	AD
PRXL2C|ENSG00000158122	-0.038	0.702	106	Control	AD
AAGAB|ENSG00000103591	-0.057	0.808	106	Control	AD
AAK1|ENSG00000115977	0.211	0.111	106	Control	AD
AAMDC|ENSG00000087884	-0.14	0.201	106	Control	AD
AAMP|ENSG00000127837	-0.028	0.433	106	Control	AD
AAR2|ENSG00000131043	-0.041	0.394	106	Control	AD
AARS1|ENSG00000090861	0.079	0.211	106	Control	AD
AARS2|ENSG00000124608	0.038	0.673	106	Control	AD
PTGES3L-AARSD1|ENSG00000108825	-0.006	0.97	106	Control	AD
AASDH|ENSG00000157426	-0.013	0.885	106	Control	AD
AASDHPPT|ENSG00000149313	-0.004	0.787	106	Control	AD
AASS|ENSG00000008311	-0.236	0.0869	106	Control	AD
AATF|ENSG00000275700	-0.093	0.222	106	Control	AD
AATK|ENSG00000181409	-0.155	0.27	106	Control	AD
ABAT|ENSG00000183044	0.176	0.163	106	Control	AD
ABCA1|ENSG00000165029	-0.093	0.655	106	Control	AD
ABCA10|ENSG00000154263	0.102	0.416	106	Control	AD
ABCA11P|ENSG00000251595	-0.007	0.512	106	Control	AD
ABCA2|ENSG00000107331	-0.308	0.142	106	Control	AD
ABCA3|ENSG00000167972	0.268	0.0753	106	Control	AD
ABCA5|ENSG00000154265	0.006	0.819	106	Control	AD
ABCA6|ENSG00000154262	-0.239	0.748	106	Control	AD
ABCA7|ENSG00000064687	0.201	0.0687	106	Control	AD
ABCA8|ENSG00000141338	-0.393	0.14	106	Control	AD
ABCA9-AS1|ENSG00000231749	0.114	0.148	106	Control	AD
ABCB1|ENSG00000085563	-0.006	0.664	106	Control	AD
ABCB10|ENSG00000135776	-0.075	0.267	106	Control	AD
ABCB5|ENSG00000004846	-0.029	0.557	106	Control	AD
ABCB6|ENSG00000115657	0.068	0.201	106	Control	AD
ABCB7|ENSG00000131269	-0.006	0.967	106	Control	AD
ABCB8|ENSG00000197150	0.006	0.678	106	Control	AD
ABCB9|ENSG00000150967	0.198	0.0698	106	Control	AD
ABCC1|ENSG00000278183	0.086	0.21	106	Control	AD
ABCC10|ENSG00000124574	0.09	0.292	106	Control	AD
ABCC4|ENSG00000125257	-0.227	0.0896	106	Control	AD
ABCC5-AS1|ENSG00000223882	0.041	0.519	106	Control	AD
ABCC8|ENSG00000006071	0.187	0.274	106	Control	AD
ABCC9|ENSG00000069431	-0.029	0.968	106	Control	AD
ABCD2|ENSG00000173208	0.169	0.267	106	Control	AD
ABCD3|ENSG00000117528	-0.116	0.142	106	Control	AD
ABCD4|ENSG00000119688	-0.069	0.355	106	Control	AD
ABCE1|ENSG00000164163	-0.134	0.139	106	Control	AD
	-0.034	0.505	106	Control	AD
ABCF2-H2BK1|ENSG00000285292	0.072	0.315	106	Control	AD
ABCF3|ENSG00000161204	0.08	0.409	106	Control	AD
ABCG1|ENSG00000160179	-0.006	0.706	106	Control	AD
ABCG2|ENSG00000118777	-0.056	0.522	106	Control	AD
ABCG4|ENSG00000172350	0.404	0.067	106	Control	AD
ABHD10|ENSG00000144827	-0.076	0.592	106	Control	AD
ABHD11|ENSG00000106077	-0.006	0.855	106	Control	AD
ABHD12|ENSG00000100997	-0.063	0.448	106	Control	AD
ABHD12B|ENSG00000131969	0.028	0.756	106	Control	AD
ABHD13|ENSG00000139826	-0.008	0.915	106	Control	AD
ABHD14A-ACY1|ENSG00000114786	0.141	0.236	106	Control	AD
ABHD14B|ENSG00000114779	-0.044	0.385	106	Control	AD
ABHD15|ENSG00000168792	-0.09	0.393	106	Control	AD
ABHD16A|ENSG00000224552	0.045	0.309	106	Control	AD
ABHD17A|ENSG00000129968	0.151	0.482	106	Control	AD
ABHD17B|ENSG00000107362	-0.416	0.0583	106	Control	AD
ABHD17C|ENSG00000136379	0.046	0.145	106	Control	AD
ABHD2|ENSG00000140526	0.079	0.364	106	Control	AD
ABHD3|ENSG00000158201	-0.008	0.909	106	Control	AD
ABHD4|ENSG00000100439	-0.062	0.748	106	Control	AD
ABHD5|ENSG00000011198	-0.216	0.14	106	Control	AD
ABHD6|ENSG00000163686	-0.108	0.35	106	Control	AD
ABHD8|ENSG00000127220	0.525	0.0637	106	Control	AD
ABI1|ENSG00000136754	-0.013	0.629	106	Control	AD
ABI2|ENSG00000138443	0.022	0.726	106	Control	AD
ABI3|ENSG00000108798	-0.071	0.843	106	Control	AD
ABI3BP|ENSG00000154175	-0.22	0.175	106	Control	AD
ABL1|ENSG00000097007	-0.103	0.243	106	Control	AD
ABL2|ENSG00000143322	0.048	0.224	106	Control	AD
ABLIM1|ENSG00000099204	0.108	0.0986	106	Control	AD
ABLIM2|ENSG00000163995	0.397	0.0979	106	Control	AD
ABLIM3|ENSG00000173210	-0.016	0.917	106	Control	AD
ABR|ENSG00000159842	0.227	0.122	106	Control	AD
ABRACL|ENSG00000146386	0.049	0.729	106	Control	AD
ABT1|ENSG00000292169	-0.025	0.654	106	Control	AD
ABTB1|ENSG00000114626	0.151	0.208	106	Control	AD
ABTB2|ENSG00000166016	-0.01	0.831	106	Control	AD
ACAA1|ENSG00000060971	-0.047	0.268	106	Control	AD
ACAA2|ENSG00000167315	-0.155	0.165	106	Control	AD
ACACA|ENSG00000278540	0.044	0.315	106	Control	AD
ACACB|ENSG00000076555	-0.146	0.137	106	Control	AD
ACAD10|ENSG00000111271	-0.018	0.515	106	Control	AD
NPHP3-ACAD11|ENSG00000274810	-0.127	0.308	106	Control	AD
ACAD8|ENSG00000151498	0.035	0.42	106	Control	AD
ACAD9-DT|ENSG00000287110	-0.037	0.616	106	Control	AD
ACADL|ENSG00000115361	0.031	0.79	106	Control	AD
ACADM|ENSG00000117054	-0.022	0.912	106	Control	AD
ACADS|ENSG00000122971	-0.112	0.315	106	Control	AD
ACADSB|ENSG00000196177	-0.016	0.92	106	Control	AD
ACADVL|ENSG00000072778	0.034	0.699	106	Control	AD
ACAP2-IT1|ENSG00000229325	-0.095	0.225	106	Control	AD
ACAP3|ENSG00000131584	0.152	0.307	106	Control	AD
SOAT1|ENSG00000057252	-0.031	0.817	106	Control	AD
SOAT2|ENSG00000167780	-0.038	0.501	106	Control	AD
ACBD3-AS1|ENSG00000234478	-0.137	0.0622	106	Control	AD
ACBD4|ENSG00000181513	0.034	0.617	106	Control	AD
ACBD5|ENSG00000107897	-0.109	0.186	106	Control	AD
ACBD6|ENSG00000230124	0.002	0.63	106	Control	AD
	0.014	0.377	106	Control	AD
ACCS|ENSG00000110455	-0.029	0.557	106	Control	AD
ACD|ENSG00000102977	0.086	0.335	106	Control	AD
ACER1|ENSG00000167769	0.029	0.899	106	Control	AD
ACER2|ENSG00000177076	0.048	0.898	106	Control	AD
ACER3|ENSG00000078124	-0.136	0.224	106	Control	AD
ACHE|ENSG00000087085	0.251	0.13	106	Control	AD
ACIN1|ENSG00000100813	-0.007	0.801	106	Control	AD
ACKR1|ENSG00000213088	-0.15	0.603	106	Control	AD
ACKR3|ENSG00000144476	0.087	0.108	106	Control	AD
ACKR4|ENSG00000129048	-0.079	0.42	106	Control	AD
ACLY|ENSG00000131473	-0.038	0.602	106	Control	AD
ACO1|ENSG00000122729	0.016	0.265	106	Control	AD
ACO2|ENSG00000100412	-0.057	0.758	106	Control	AD
ACOT1|ENSG00000184227	0.16	0.349	106	Control	AD
ACOT11|ENSG00000162390	0.01	0.723	106	Control	AD
ACOT13|ENSG00000112304	0.017	0.319	106	Control	AD
ACOT2|ENSG00000119673	0.082	0.403	106	Control	AD
ACOT4|ENSG00000177465	0.143	0.208	106	Control	AD
ACOT6|ENSG00000205669	0.232	0.0685	106	Control	AD
