MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
PLCG1-AS1|ENSG00000226648	ad	control	576.00	-1.765	0.07751	?????+--------
ZNF625|ENSG00000257591	ad	control	235.00	1.858	0.06313	++++-++++?????
FAM43A|ENSG00000185112	ad	control	687.00	-2.666	0.007679	--------+-----
USP17L9P|ENSG00000251694	ad	control	424.00	-0.911	0.3625	?????????----?
SGCE|ENSG00000127990	ad	control	687.00	-0.587	0.5572	++++-+--+-+++-
GGTA2P|ENSG00000237766	ad	control	124.00	0.153	0.8783	?????--++?????
ARID4A|ENSG00000032219	ad	control	687.00	1.777	0.07561	----++++++--++
SIGLEC10-AS2|ENSG00000254760	ad	control	31.00	-0.181	0.8565	??????-???????
IRGM|ENSG00000237693	ad	control	517.00	-0.056	0.955	?????--?-++++?
EXOC6|ENSG00000138190	ad	control	687.00	2.222	0.02627	+++++----++-++
AANAT|ENSG00000129673	ad	control	152.00	-2.006	0.04481	?????-+--????-
SYNGR3|ENSG00000127561	ad	control	687.00	1.698	0.08957	+++++----+---+
LINC00960|ENSG00000242516	ad	control	134.00	0.994	0.3201	++++?+-???????
REV1|ENSG00000135945	ad	control	687.00	0.067	0.9468	--+-+++++---+-
PPT2-EGFL8|ENSG00000258388	ad	control	615.00	-2.113	0.03462	????---++-----
GPR180|ENSG00000152749	ad	control	687.00	0.466	0.6412	+++++----++-+-
IFNA12P|ENSG00000235108	ad	control	424.00	0.104	0.9174	?????????-+++?
MYLK-AS2|ENSG00000250174	ad	control	576.00	0.187	0.8515	?????--++-+++-
LRRC27|ENSG00000148814	ad	control	687.00	-0.186	0.8521	-----+++-----+
S100A3|ENSG00000188015	ad	control	121.00	-2.759	0.00579	??????---????-
GABRB1|ENSG00000163288	ad	control	687.00	-0.381	0.7028	++++-----++-++
TSSK4|ENSG00000139908	ad	control	235.00	-2.660	0.00782	----+++--?????
RN7SL582P|ENSG00000241156	ad	control	93.00	0.437	0.6618	?????-+?+?????
NRIP1|ENSG00000180530	ad	control	687.00	1.068	0.2854	+++++----+++++
RFESDP1|ENSG00000231650	ad	control	31.00	-0.052	0.9585	???????-??????
GSC2|ENSG00000063515	ad	control	31.00	-0.064	0.9492	???????-??????
GRIP1|ENSG00000155974	ad	control	235.00	2.222	0.02629	+++++----?????
RN7SKP105|ENSG00000253001	ad	control	31.00	0.438	0.6612	????????+?????
FUT11|ENSG00000196968	ad	control	687.00	-2.978	0.002897	------+----+--
GHITM|ENSG00000165678	ad	control	687.00	2.168	0.03014	+++++----++-++
