MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
FUT11|ENSG00000196968	ad	control	687.0	-2.978	0.002897	------+----+--	0.049760626146788986
CMAS|ENSG00000111726	ad	control	687.0	4.196	2.717e-05	++++++-+++++++	0.0027517014864864866
PCDHGA12|ENSG00000253159	ad	control	687.0	-4.149	3.341e-05	------+------+	0.0031374477258566975
TRAPPC11|ENSG00000168538	ad	control	687.0	3.498	0.0004682	+++++----+++++	0.01620598845265589
EPB41L3|ENSG00000082397	ad	control	687.0	3.054	0.002258	++++++---+++++	0.04304745801526717
ACTR10|ENSG00000131966	ad	control	687.0	3.215	0.001304	+++++----+++++	0.030422604361370717
GAS6|ENSG00000183087	ad	control	235.0	-3.445	0.0005701	---------?????	0.01834001459227468
IRF2BPL|ENSG00000119669	ad	control	687.0	-3.632	0.0002808	--------------	0.012072654806312769
FAM186B|ENSG00000135436	ad	control	235.0	-3.181	0.001469	---------?????	0.03286434951456311
OLA1|ENSG00000138430	ad	control	687.0	3.161	0.001573	+++++----+++++	0.03449545241581259
A4GALT|ENSG00000128274	ad	control	263.0	-4.527	5.995e-06	-------++????-	0.001058094970760234
ADGRF5|ENSG00000069122	ad	control	263.0	-5.32	1.038e-07	--------+????-	6.0969270588235295e-05
LOC105371855|ENSG00000265702	ad	control	124.0	3.763	0.0001678	?????++++?????	0.008834124428822497
MSR1|ENSG00000038945	ad	control	687.0	-3.583	0.0003401	+-----------+-	0.013423568709256845
KIF5C|ENSG00000168280	ad	control	235.0	4.207	2.583e-05	-++++++++?????	0.0026681499310344825
TMEM123|ENSG00000152558	ad	control	235.0	-3.433	0.000597	--------+?????	0.01884298548895899
AKR1C3|ENSG00000196139	ad	control	687.0	-3.492	0.0004798	------+-+---+-	0.016482670642201835
TMEM200B|ENSG00000253304	ad	control	263.0	-4.691	2.724e-06	+-------+????-	0.0006089562985074627
TRGV9|ENSG00000211695	ad	control	124.0	4.3	1.71e-05	?????++++?????	0.0020738769230769227
HCG23|ENSG00000225834	ad	control	163.0	5.685	1.307e-08	????+++++?????	1.3934704827586207e-05
HNRNPUL2|ENSG00000214753	ad	control	235.0	3.021	0.002523	++-++++++?????	0.04611286638194021
BCAR3|ENSG00000137936	ad	control	687.0	-3.101	0.00193	-----++++-----	0.038802067114093966
PIK3C3|ENSG00000078142	ad	control	687.0	2.98	0.002883	+++++--+++++++	0.04966253479010926
ZBTB16|ENSG00000109906	ad	control	687.0	-3.516	0.0004387	-------++-----	0.015626274910820453
MAML2|ENSG00000184384	ad	control	235.0	-4.239	2.244e-05	-----+++-?????	0.0024355530434782605
AIRE|ENSG00000160224	ad	control	224.0	-3.112	0.00186	----?----????+	0.03799596185286104
SYNGR4|ENSG00000105467	ad	control	124.0	-3.498	0.0004696	?????----?????	0.01622386589861751
GAD1|ENSG00000128683	ad	control	687.0	3.695	0.0002202	+++++----+++++	0.010537238338658148
RB1|ENSG00000139687	ad	control	235.0	-3.158	0.001586	+----+---?????	0.034628437317784255
SLC30A9|ENSG00000014824	ad	control	687.0	4.179	2.931e-05	+++++-++++++++	0.0029098706578947367
ARHGDIB|ENSG00000111348	ad	control	687.0	-3.111	0.001865	-----------+--	0.0380312729748128
SPATA7|ENSG00000042317	ad	control	687.0	3.155	0.001604	++++--++++++++	0.034890696661828736
RNF216|ENSG00000011275	ad	control	235.0	-4.229	2.343e-05	------+--?????	0.0024995201418439718
DHX35|ENSG00000101452	ad	control	235.0	3.59	0.0003313	+++++-+-+?????	0.013226910252996004
LAMC1|ENSG00000135862	ad	control	687.0	-4.829	1.37e-06	--------------	0.0003781601467889908
NIF3L1|ENSG00000196290	ad	control	687.0	3.101	0.001927	+++++--+++++-+	0.0387938252688172
ISYNA1|ENSG00000105655	ad	control	687.0	-4.539	5.665e-06	-----++++-----	0.0010222936144578315
C2orf49-DT|ENSG00000272994	ad	control	235.0	4.143	3.429e-05	+++++-+++?????	0.0031490331707317073
IBTK|ENSG00000005700	ad	control	687.0	3.55	0.0003846	+++++--+++++++	0.014329698507462687
HS6ST1|ENSG00000136720	ad	control	687.0	-3.788	0.0001517	------+------+	0.008364552205882354
DCAF8|ENSG00000132716	ad	control	235.0	4.736	2.183e-06	+++++++++?????	0.00051276246875
WWTR1-AS1|ENSG00000241313	ad	control	576.0	-3.003	0.002672	?????------+--	0.04756671258907364
TSPYL5|ENSG00000180543	ad	control	687.0	3.332	0.0008634	+++++----+++++	0.023881819390581715
ACSL3P1|ENSG00000244062	ad	control	163.0	3.036	0.002401	????+++++?????	0.04474770646766169
USP32|ENSG00000170832	ad	control	687.0	4.188	2.815e-05	++++++++++++++	0.002829736241610738
OTULINL|ENSG00000145569	ad	control	687.0	-3.185	0.001446	---+---------+	0.03256870375939849
TMED7|ENSG00000134970	ad	control	235.0	-3.738	0.0001852	---------?????	0.009403137627118644
