MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
TSSK4|ENSG00000139908	ad	control	173.0	-3.183	0.001455	----+--?	0.02457828134196586
GRIP1|ENSG00000155974	ad	control	173.0	2.869	0.004117	+++++--?	0.048949048800661706
ZDBF2|ENSG00000283649	ad	control	279.0	3.284	0.001023	+++++--+	0.019665170797052912
PGLS-DT|ENSG00000269439	ad	control	279.0	-4.472	7.733e-06	------+-	0.0008971064516129032
CMAS|ENSG00000111726	ad	control	279.0	3.714	0.0002038	++++++++	0.0068012325581395345
ME3|ENSG00000151376	ad	control	173.0	2.996	0.002738	+++++--?	0.03741933333333333
PCDHGA12|ENSG00000253159	ad	control	279.0	-4.745	2.08e-06	--------	0.00040926986301369867
TRAPPC11|ENSG00000168538	ad	control	279.0	3.746	0.00018	+++++--+	0.006296606060606061
ZFP90|ENSG00000184939	ad	control	279.0	3.301	0.0009643	--++++++	0.01892473684210526
GET4|ENSG00000239857	ad	control	279.0	-3.546	0.0003911	----+---	0.010564731890874883
ACTR10|ENSG00000131966	ad	control	279.0	3.219	0.001285	+++++--+	0.022695076923076922
GAS6|ENSG00000183087	ad	control	173.0	-3.476	0.0005087	-------?	0.012464419795221844
IRF2BPL|ENSG00000119669	ad	control	279.0	-4.021	5.803e-05	--------	0.003148319470699433
FAM186B|ENSG00000135436	ad	control	173.0	-2.867	0.004137	-------?	0.04906276859504133
FBXW2|ENSG00000119402	ad	control	279.0	2.907	0.003651	++++++++	0.04506825806451613
OLA1|ENSG00000138430	ad	control	279.0	2.956	0.003112	+++++--+	0.04061591632560255
ZGPAT|ENSG00000197114	ad	control	279.0	-3.313	0.0009235	----++--	0.018462268615170495
ADGRF5|ENSG00000069122	ad	control	173.0	-3.146	0.001656	------+?	0.02670067415730337
MSR1|ENSG00000038945	ad	control	279.0	-3.722	0.0001979	+------+	0.006674183313748532
KIF5C|ENSG00000168280	ad	control	173.0	3.709	0.0002081	-++++++?	0.0068919723183390996
TMEM123|ENSG00000152558	ad	control	173.0	-3.284	0.001024	------+?	0.019671218206157966
TMEM200B|ENSG00000253304	ad	control	173.0	-2.993	0.002763	+-----+?	0.037582037914691946
ENTREP1|ENSG00000135063	ad	control	279.0	-3.114	0.001846	--------	0.02890354609929078
TRGV9|ENSG00000211695	ad	control	62.0	3.071	0.002133	?????++?	0.031571480144404335
HCG23|ENSG00000225834	ad	control	101.0	4.448	8.686e-06	????+++?	0.0009551272030651341
RPS27AP16|ENSG00000224631	ad	control	62.0	3.025	0.002483	?????++?	0.034932401960784315
PIK3C3|ENSG00000078142	ad	control	279.0	4.039	5.358e-05	++++++++	0.00300341015625
ATP13A1|ENSG00000105726	ad	control	279.0	-3.016	0.002559	--------	0.03568673469387755
