MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
PLCG1-AS1|ENSG00000226648	ad	control	168.0	-1.319	0.1873	?????---	0.5370676391247877
ZNF625|ENSG00000257591	ad	control	173.0	1.996	0.04595	++++-++?	0.22663086440969238
FAM43A|ENSG00000185112	ad	control	279.0	-1.975	0.04828	------+-	0.23398108747044918
USP17L9P|ENSG00000251694	ad	control	106.0	-0.152	0.879	???????-	0.9991427871662993
SGCE|ENSG00000127990	ad	control	279.0	-0.412	0.6803	++++--++	0.9991427871662993
GGTA2P|ENSG00000237766	ad	control	62.0	1.698	0.08945	?????++?	0.34584601912973195
ARID4A|ENSG00000032219	ad	control	279.0	1.61	0.1074	----++++	0.3870877809870652
IRGM|ENSG00000237693	ad	control	137.0	-0.14	0.8885	??????-+	0.9991427871662993
EXOC6|ENSG00000138190	ad	control	279.0	1.961	0.04992	+++++--+	0.2395663435828877
AANAT|ENSG00000129673	ad	control	62.0	-1.98	0.04773	?????--?	0.23225686673448628
SYNGR3|ENSG00000127561	ad	control	279.0	1.768	0.07698	+++++---	0.31605290248784673
LINC00960|ENSG00000242516	ad	control	72.0	1.638	0.1014	++++????	0.3732435552135437
REV1|ENSG00000135945	ad	control	279.0	0.549	0.5829	--+-++++	0.9532330655728365
PPT2-EGFL8|ENSG00000258388	ad	control	207.0	-0.791	0.429	????-++-	0.8418666666666667
GPR180|ENSG00000152749	ad	control	279.0	1.362	0.1734	+++++--+	0.5139502220386244
IFNA12P|ENSG00000235108	ad	control	106.0	0.055	0.956	???????+	0.9991427871662993
MYLK-AS2|ENSG00000250174	ad	control	168.0	0.391	0.6956	?????+++	0.9991427871662993
LRRC27|ENSG00000148814	ad	control	279.0	-0.705	0.481	-----+--	0.8841232227488152
S100A3|ENSG00000188015	ad	control	62.0	-1.666	0.09574	?????--?	0.360302215812246
GABRB1|ENSG00000163288	ad	control	279.0	0.75	0.4532	++++---+	0.8604683778777454
TSSK4|ENSG00000139908	ad	control	173.0	-3.183	0.001455	----+--?	0.02457828134196586
RN7SL582P|ENSG00000241156	ad	control	31.0	0.803	0.422	??????+?	0.8350062034739453
NRIP1|ENSG00000180530	ad	control	279.0	1.282	0.1998	+++++--+	0.5568323946397359
RFESDP1|ENSG00000231650	ad	control	31.0	-0.052	0.9585	?????-??	0.9991427871662993
GSC2|ENSG00000063515	ad	control	31.0	-0.064	0.9492	?????-??	0.9991427871662993
GRIP1|ENSG00000155974	ad	control	173.0	2.869	0.004117	+++++--?	0.048949048800661706
RN7SKP105|ENSG00000253001	ad	control	31.0	0.438	0.6612	??????+?	0.9935251007695126
FUT11|ENSG00000196968	ad	control	279.0	-2.78	0.005441	--------	0.05847369996258886
