gene_id	gene_symbol	count	studies	regulation
ENSG00000111087	GLI1	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000121966	CXCR4	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000125733	TRIP10	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000157833	GAREM2	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000175287	PHYHD1	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000188783	PRELP	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000197256	KANK2	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000011426	ANLN	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000012223	LTF	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000018408	WWTR1	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000042062	RIPOR3	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000071054	MAP4K4	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000074219	TEAD2	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000086159	AQP6	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000088836	SLC4A11	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000100227	POLDIP3	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000100906	NFKBIA	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000101096	NFATC2	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000101187	SLCO4A1	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000104415	WISP1	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000105643	ARRDC2	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000105655	ISYNA1	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000111961	SASH1	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000113721	PDGFRB	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000124942	AHNAK	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000131095	GFAP	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000132688	NES	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000133789	SWAP70	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000135736	CCDC102A	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000137076	TLN1	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000142227	EMP3	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000143127	ITGA10	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000143409	MINDY1	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000143772	ITPKB	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
