ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000147571,False,Frontal Lobe,Fisher_et_al
ENSG00000157005,False,Frontal Lobe,Fisher_et_al
ENSG00000128564,False,Frontal Lobe,Fisher_et_al
ENSG00000204540,False,Frontal Lobe,Fisher_et_al
ENSG00000183856,False,Frontal Lobe,Fisher_et_al
ENSG00000184923,False,Frontal Lobe,Fisher_et_al
ENSG00000086717,False,Frontal Lobe,Fisher_et_al
ENSG00000188729,False,Frontal Lobe,Fisher_et_al
ENSG00000170324,False,Frontal Lobe,Fisher_et_al
ENSG00000168081,False,Frontal Lobe,Fisher_et_al
ENSG00000141433,False,Frontal Lobe,Fisher_et_al
ENSG00000006128,False,Frontal Lobe,Fisher_et_al
ENSG00000137252,False,Frontal Lobe,Fisher_et_al
ENSG00000102837,False,Frontal Lobe,Fisher_et_al
ENSG00000162913,False,Frontal Lobe,Fisher_et_al
ENSG00000125534,False,Frontal Lobe,Fisher_et_al
ENSG00000104140,False,Frontal Lobe,Fisher_et_al
ENSG00000198883,False,Frontal Lobe,Fisher_et_al
ENSG00000162456,False,Frontal Lobe,Fisher_et_al
ENSG00000161270,False,Frontal Lobe,Fisher_et_al
ENSG00000167874,False,Frontal Lobe,Fisher_et_al
ENSG00000140955,False,Frontal Lobe,Fisher_et_al
ENSG00000101222,False,Frontal Lobe,Fisher_et_al
ENSG00000105376,False,Frontal Lobe,Fisher_et_al
ENSG00000276600,False,Frontal Lobe,Fisher_et_al
ENSG00000159674,False,Frontal Lobe,Fisher_et_al
ENSG00000181773,False,Frontal Lobe,Fisher_et_al
ENSG00000162004,False,Frontal Lobe,Fisher_et_al
ENSG00000126259,False,Frontal Lobe,Fisher_et_al
ENSG00000145708,False,Frontal Lobe,Fisher_et_al
ENSG00000124664,False,Frontal Lobe,Fisher_et_al
ENSG00000175170,False,Frontal Lobe,Fisher_et_al
ENSG00000075073,False,Frontal Lobe,Fisher_et_al
ENSG00000166111,False,Frontal Lobe,Fisher_et_al
ENSG00000006047,False,Frontal Lobe,Fisher_et_al
ENSG00000215375,False,Frontal Lobe,Fisher_et_al
ENSG00000167513,False,Frontal Lobe,Fisher_et_al
ENSG00000104524,False,Frontal Lobe,Fisher_et_al
ENSG00000188766,False,Frontal Lobe,Fisher_et_al
ENSG00000125772,False,Frontal Lobe,Fisher_et_al
ENSG00000115194,False,Frontal Lobe,Fisher_et_al
ENSG00000126583,False,Frontal Lobe,Fisher_et_al
ENSG00000100341,False,Frontal Lobe,Fisher_et_al
ENSG00000127564,False,Frontal Lobe,Fisher_et_al
ENSG00000178531,False,Frontal Lobe,Fisher_et_al
ENSG00000158008,False,Frontal Lobe,Fisher_et_al
ENSG00000203685,False,Frontal Lobe,Fisher_et_al
ENSG00000144583,False,Frontal Lobe,Fisher_et_al
ENSG00000149527,False,Frontal Lobe,Fisher_et_al
ENSG00000146221,False,Frontal Lobe,Fisher_et_al
ENSG00000149809,False,Frontal Lobe,Fisher_et_al
ENSG00000105419,False,Frontal Lobe,Fisher_et_al
ENSG00000145882,False,Frontal Lobe,Fisher_et_al
ENSG00000189410,False,Frontal Lobe,Fisher_et_al
ENSG00000149654,False,Frontal Lobe,Fisher_et_al
ENSG00000162975,False,Frontal Lobe,Fisher_et_al
ENSG00000139410,False,Frontal Lobe,Fisher_et_al
ENSG00000146540,False,Frontal Lobe,Fisher_et_al
ENSG00000129990,False,Frontal Lobe,Fisher_et_al
ENSG00000128228,False,Frontal Lobe,Fisher_et_al
ENSG00000146700,False,Frontal Lobe,Fisher_et_al
ENSG00000175206,False,Frontal Lobe,Fisher_et_al
ENSG00000111344,False,Frontal Lobe,Fisher_et_al
ENSG00000158792,False,Frontal Lobe,Fisher_et_al
ENSG00000196972,False,Frontal Lobe,Fisher_et_al
ENSG00000176410,False,Frontal Lobe,Fisher_et_al
ENSG00000106852,False,Frontal Lobe,Fisher_et_al
ENSG00000167771,False,Frontal Lobe,Fisher_et_al
ENSG00000089123,False,Frontal Lobe,Fisher_et_al
ENSG00000275074,False,Frontal Lobe,Fisher_et_al
ENSG00000174939,False,Frontal Lobe,Fisher_et_al
ENSG00000214756,False,Frontal Lobe,Fisher_et_al
ENSG00000175906,False,Frontal Lobe,Fisher_et_al
ENSG00000142530,False,Frontal Lobe,Fisher_et_al
ENSG00000110148,False,Frontal Lobe,Fisher_et_al
ENSG00000106089,False,Frontal Lobe,Fisher_et_al
ENSG00000178947,False,Frontal Lobe,Fisher_et_al
ENSG00000230510,False,Frontal Lobe,Fisher_et_al
ENSG00000203772,False,Frontal Lobe,Fisher_et_al
ENSG00000103154,False,Frontal Lobe,Fisher_et_al
ENSG00000236279,False,Frontal Lobe,Fisher_et_al
ENSG00000119283,False,Frontal Lobe,Fisher_et_al
ENSG00000178773,False,Frontal Lobe,Fisher_et_al
ENSG00000173404,False,Frontal Lobe,Fisher_et_al
ENSG00000122035,False,Frontal Lobe,Fisher_et_al
ENSG00000124785,False,Frontal Lobe,Fisher_et_al
ENSG00000175691,False,Frontal Lobe,Fisher_et_al
ENSG00000081692,False,Frontal Lobe,Fisher_et_al
ENSG00000101460,False,Frontal Lobe,Fisher_et_al
ENSG00000100276,False,Frontal Lobe,Fisher_et_al
ENSG00000214309,False,Frontal Lobe,Fisher_et_al
ENSG00000127445,False,Frontal Lobe,Fisher_et_al
ENSG00000175787,False,Frontal Lobe,Fisher_et_al
ENSG00000160014,False,Frontal Lobe,Fisher_et_al
ENSG00000175182,False,Frontal Lobe,Fisher_et_al
ENSG00000178896,False,Frontal Lobe,Fisher_et_al
ENSG00000140104,False,Frontal Lobe,Fisher_et_al
ENSG00000198830,False,Frontal Lobe,Fisher_et_al
ENSG00000162910,False,Frontal Lobe,Fisher_et_al
ENSG00000106153,False,Frontal Lobe,Fisher_et_al
ENSG00000137267,False,Frontal Lobe,Fisher_et_al
ENSG00000171224,False,Frontal Lobe,Fisher_et_al
ENSG00000103507,False,Frontal Lobe,Fisher_et_al
ENSG00000091651,False,Frontal Lobe,Fisher_et_al
ENSG00000171462,False,Frontal Lobe,Fisher_et_al
ENSG00000187566,False,Frontal Lobe,Fisher_et_al
ENSG00000174938,False,Frontal Lobe,Fisher_et_al
ENSG00000167508,False,Frontal Lobe,Fisher_et_al
ENSG00000116353,False,Frontal Lobe,Fisher_et_al
ENSG00000244187,False,Frontal Lobe,Fisher_et_al
