gene_id	gene_symbol	Direction	regulation	P-value
ENSG00000165175	MID1IP1	++	Upregulated in AD	2.683e-07
ENSG00000117298	ECE1	++	Upregulated in AD	1.405e-07
ENSG00000196814	MVB12B	++	Upregulated in AD	6.582e-09
ENSG00000140750	ARHGAP17	++	Upregulated in AD	7.98e-07
ENSG00000154783	FGD5	++	Upregulated in AD	2.984e-07
ENSG00000180891	CUEDC1	++	Upregulated in AD	5.483e-07
ENSG00000129250	KIF1C	++	Upregulated in AD	5.348e-07
ENSG00000115468	EFHD1	++	Upregulated in AD	1.449e-06
ENSG00000051128	HOMER3	++	Upregulated in AD	3.608e-08
ENSG00000100139	MICALL1	++	Upregulated in AD	2.538e-07
ENSG00000186635	ARAP1	++	Upregulated in AD	6.086e-07
ENSG00000128917	DLL4	++	Upregulated in AD	1.491e-06
ENSG00000154945	ANKRD40	++	Upregulated in AD	1.66e-07
ENSG00000282034	AC106886.5	++	Upregulated in AD	4.618e-08
ENSG00000189058	APOD	++	Upregulated in AD	1.577e-06
ENSG00000108828	VAT1	++	Upregulated in AD	4.547e-08
ENSG00000079308	TNS1	++	Upregulated in AD	9.938e-07
ENSG00000176463	SLCO3A1	++	Upregulated in AD	2.849e-06
ENSG00000204219	TCEA3	++	Upregulated in AD	3.525e-08
ENSG00000072864	NDE1	++	Upregulated in AD	3.102e-06
ENSG00000116786	PLEKHM2	++	Upregulated in AD	3.95e-07
ENSG00000140545	MFGE8	++	Upregulated in AD	2.638e-06
ENSG00000131899	LLGL1	++	Upregulated in AD	4.016e-07
ENSG00000183111	ARHGEF37	++	Upregulated in AD	3.746e-07
ENSG00000148841	ITPRIP	++	Upregulated in AD	3.465e-07
ENSG00000020577	SAMD4A	++	Upregulated in AD	1.244e-08
ENSG00000149564	ESAM	++	Upregulated in AD	2.052e-06
ENSG00000147421	HMBOX1	++	Upregulated in AD	1.598e-07
ENSG00000167693	NXN	++	Upregulated in AD	6.978e-07
ENSG00000170276	HSPB2	++	Upregulated in AD	1.631e-08
ENSG00000133069	TMCC2	++	Upregulated in AD	8.269e-09
ENSG00000153048	CARHSP1	++	Upregulated in AD	3.844e-07
ENSG00000104112	SCG3	--	Downregulated in AD	2.142e-06
ENSG00000101746	NOL4	--	Downregulated in AD	1.013e-06
ENSG00000186094	AGBL4	--	Downregulated in AD	2.269e-06
ENSG00000170153	RNF150	--	Downregulated in AD	1.225e-06
ENSG00000160886	LY6K	--	Downregulated in AD	3.259e-07
ENSG00000141655	TNFRSF11A	--	Downregulated in AD	2.537e-06
ENSG00000144057	ST6GAL2	--	Downregulated in AD	9.906e-07
