gene_id	gene_symbol	count	studies	regulation
ENSG00000107779	BMPR1A	5	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000115107	STEAP3	5	Cho_et_al, Felsky_et_al, Li_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000119681	LTBP2	5	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000163132	MSX1	5	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000188783	PRELP	5	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000196154	S100A4	5	Cho_et_al, Das_et_al, Li_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000197256	KANK2	5	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000003989	SLC7A2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000026025	VIM	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000074219	TEAD2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000087116	ADAMTS2	4	Das_et_al, Li_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000088836	SLC4A11	4	Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000092969	TGFB2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000100906	NFKBIA	4	Cho_et_al, Das_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000106351	AGFG2	4	Das_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000106624	AEBP1	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000111181	SLC6A12	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000111907	TPD52L1	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000119729	RHOQ	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000122986	HVCN1	4	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000123094	RASSF8	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000125733	TRIP10	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000128602	SMO	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000131095	GFAP	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000133195	SLC39A11	4	Cho_et_al, Das_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000134769	DTNA	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000135736	CCDC102A	4	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000137198	GMPR	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000142173	COL6A2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000142227	EMP3	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000143127	ITGA10	4	Cho_et_al, Das_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000143772	ITPKB	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000145358	DDIT4L	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000146233	CYP39A1	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000149451	ADAM33	4	Felsky_et_al, Li_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000157833	GAREM2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000158186	MRAS	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000159176	CSRP1	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000162645	GBP2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000162944	RFTN2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000163297	ANTXR2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000164692	COL1A2	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000164949	GEM	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000166483	WEE1	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000166592	RRAD	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000168743	NPNT	4	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000172935	MRGPRF	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000173641	HSPB7	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000175287	PHYHD1	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000182253	SYNM	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000183255	PTTG1IP	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000184005	ST6GALNAC3	4	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al, Piras_et_al	Upregulated in AD
ENSG00000186298	PPP1CC	4	Cho_et_al, Das_et_al, Felsky_et_al, Piras_et_al	Upregulated in AD
ENSG00000188039	NWD1	4	Cho_et_al, Das_et_al, Felsky_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000000003	TSPAN6	3	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000011465	DCN	3	Cho_et_al, Felsky_et_al, Marques-Coelho_et_al	Upregulated in AD
