ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000105516,False,Temporal Lobe,Cho_et_al
ENSG00000177465,False,Temporal Lobe,Cho_et_al
ENSG00000155744,False,Temporal Lobe,Cho_et_al
ENSG00000131067,False,Temporal Lobe,Cho_et_al
ENSG00000188735,False,Temporal Lobe,Cho_et_al
ENSG00000171703,False,Temporal Lobe,Cho_et_al
ENSG00000102977,False,Temporal Lobe,Cho_et_al
ENSG00000006625,False,Temporal Lobe,Cho_et_al
ENSG00000068366,False,Temporal Lobe,Cho_et_al
ENSG00000116141,False,Temporal Lobe,Cho_et_al
ENSG00000126067,False,Temporal Lobe,Cho_et_al
ENSG00000168781,False,Temporal Lobe,Cho_et_al
ENSG00000187446,False,Temporal Lobe,Cho_et_al
ENSG00000197283,False,Temporal Lobe,Cho_et_al
ENSG00000258959,False,Temporal Lobe,Cho_et_al
ENSG00000214357,False,Temporal Lobe,Cho_et_al
ENSG00000182220,False,Temporal Lobe,Cho_et_al
ENSG00000121680,False,Temporal Lobe,Cho_et_al
ENSG00000159915,False,Temporal Lobe,Cho_et_al
ENSG00000125166,False,Temporal Lobe,Cho_et_al
ENSG00000267254,False,Temporal Lobe,Cho_et_al
ENSG00000117682,False,Temporal Lobe,Cho_et_al
ENSG00000143420,False,Temporal Lobe,Cho_et_al
ENSG00000184117,False,Temporal Lobe,Cho_et_al
ENSG00000198961,False,Temporal Lobe,Cho_et_al
ENSG00000127415,False,Temporal Lobe,Cho_et_al
ENSG00000186648,False,Temporal Lobe,Cho_et_al
ENSG00000230733,False,Temporal Lobe,Cho_et_al
ENSG00000235261,False,Temporal Lobe,Cho_et_al
ENSG00000143367,False,Temporal Lobe,Cho_et_al
ENSG00000141385,False,Temporal Lobe,Cho_et_al
ENSG00000213123,False,Temporal Lobe,Cho_et_al
ENSG00000146826,False,Temporal Lobe,Cho_et_al
ENSG00000063660,False,Temporal Lobe,Cho_et_al
ENSG00000139318,False,Temporal Lobe,Cho_et_al
ENSG00000260565,False,Temporal Lobe,Cho_et_al
ENSG00000158526,False,Temporal Lobe,Cho_et_al
ENSG00000262429,False,Temporal Lobe,Cho_et_al
ENSG00000132382,False,Temporal Lobe,Cho_et_al
ENSG00000213619,False,Temporal Lobe,Cho_et_al
ENSG00000213585,False,Temporal Lobe,Cho_et_al
ENSG00000174842,False,Temporal Lobe,Cho_et_al
ENSG00000175416,False,Temporal Lobe,Cho_et_al
ENSG00000069966,False,Temporal Lobe,Cho_et_al
ENSG00000103269,False,Temporal Lobe,Cho_et_al
ENSG00000160214,False,Temporal Lobe,Cho_et_al
ENSG00000170004,False,Temporal Lobe,Cho_et_al
ENSG00000089091,False,Temporal Lobe,Cho_et_al
ENSG00000156873,False,Temporal Lobe,Cho_et_al
ENSG00000109927,False,Temporal Lobe,Cho_et_al
ENSG00000145214,False,Temporal Lobe,Cho_et_al
ENSG00000197372,False,Temporal Lobe,Cho_et_al
ENSG00000130830,False,Temporal Lobe,Cho_et_al
ENSG00000166669,False,Temporal Lobe,Cho_et_al
ENSG00000082213,False,Temporal Lobe,Cho_et_al
ENSG00000113387,False,Temporal Lobe,Cho_et_al
ENSG00000204394,False,Temporal Lobe,Cho_et_al
ENSG00000129993,False,Temporal Lobe,Cho_et_al
ENSG00000060491,False,Temporal Lobe,Cho_et_al
ENSG00000156253,False,Temporal Lobe,Cho_et_al
ENSG00000126005,False,Temporal Lobe,Cho_et_al
ENSG00000128524,False,Temporal Lobe,Cho_et_al
ENSG00000162373,False,Temporal Lobe,Cho_et_al
ENSG00000158882,False,Temporal Lobe,Cho_et_al
ENSG00000185818,False,Temporal Lobe,Cho_et_al
ENSG00000116793,False,Temporal Lobe,Cho_et_al
ENSG00000139637,False,Temporal Lobe,Cho_et_al
ENSG00000139180,False,Temporal Lobe,Cho_et_al
ENSG00000160469,False,Temporal Lobe,Cho_et_al
ENSG00000123416,False,Temporal Lobe,Cho_et_al
ENSG00000112149,False,Temporal Lobe,Cho_et_al
ENSG00000185345,False,Temporal Lobe,Cho_et_al
ENSG00000197386,False,Temporal Lobe,Cho_et_al
ENSG00000039650,False,Temporal Lobe,Cho_et_al
ENSG00000178127,False,Temporal Lobe,Cho_et_al
ENSG00000186710,False,Temporal Lobe,Cho_et_al
ENSG00000188760,False,Temporal Lobe,Cho_et_al
ENSG00000145916,False,Temporal Lobe,Cho_et_al
ENSG00000188827,False,Temporal Lobe,Cho_et_al
ENSG00000120645,False,Temporal Lobe,Cho_et_al
ENSG00000100320,False,Temporal Lobe,Cho_et_al
ENSG00000197860,False,Temporal Lobe,Cho_et_al
ENSG00000173581,False,Temporal Lobe,Cho_et_al
ENSG00000069345,False,Temporal Lobe,Cho_et_al
ENSG00000137216,False,Temporal Lobe,Cho_et_al
ENSG00000169288,False,Temporal Lobe,Cho_et_al
ENSG00000166685,False,Temporal Lobe,Cho_et_al
ENSG00000173013,False,Temporal Lobe,Cho_et_al
ENSG00000186665,False,Temporal Lobe,Cho_et_al
ENSG00000073008,False,Temporal Lobe,Cho_et_al
ENSG00000270069,False,Temporal Lobe,Cho_et_al
ENSG00000110955,False,Temporal Lobe,Cho_et_al
ENSG00000241769,False,Temporal Lobe,Cho_et_al
ENSG00000076554,False,Temporal Lobe,Cho_et_al
ENSG00000168952,False,Temporal Lobe,Cho_et_al
ENSG00000185721,False,Temporal Lobe,Cho_et_al
ENSG00000170899,False,Temporal Lobe,Cho_et_al
ENSG00000063245,False,Temporal Lobe,Cho_et_al
ENSG00000151090,False,Temporal Lobe,Cho_et_al
ENSG00000182247,False,Temporal Lobe,Cho_et_al
ENSG00000170382,False,Temporal Lobe,Cho_et_al
ENSG00000110987,False,Temporal Lobe,Cho_et_al
ENSG00000106683,False,Temporal Lobe,Cho_et_al
ENSG00000112981,False,Temporal Lobe,Cho_et_al
ENSG00000197872,False,Temporal Lobe,Cho_et_al
ENSG00000068912,False,Temporal Lobe,Cho_et_al
ENSG00000180543,False,Temporal Lobe,Cho_et_al
ENSG00000104142,False,Temporal Lobe,Cho_et_al
ENSG00000244187,False,Temporal Lobe,Cho_et_al
ENSG00000187860,False,Temporal Lobe,Cho_et_al
ENSG00000143434,False,Temporal Lobe,Cho_et_al
ENSG00000091592,False,Temporal Lobe,Cho_et_al
ENSG00000155846,False,Temporal Lobe,Cho_et_al
ENSG00000102409,False,Temporal Lobe,Cho_et_al
ENSG00000167113,False,Temporal Lobe,Cho_et_al
ENSG00000243710,False,Temporal Lobe,Cho_et_al
ENSG00000136490,False,Temporal Lobe,Cho_et_al
ENSG00000072062,False,Temporal Lobe,Cho_et_al
ENSG00000140104,False,Temporal Lobe,Cho_et_al
ENSG00000160051,False,Temporal Lobe,Cho_et_al
ENSG00000131797,False,Temporal Lobe,Cho_et_al
ENSG00000165716,False,Temporal Lobe,Cho_et_al
ENSG00000061337,False,Temporal Lobe,Cho_et_al
ENSG00000111110,False,Temporal Lobe,Cho_et_al
ENSG00000174437,False,Temporal Lobe,Cho_et_al
ENSG00000126461,False,Temporal Lobe,Cho_et_al
ENSG00000133958,False,Temporal Lobe,Cho_et_al
ENSG00000101146,False,Temporal Lobe,Cho_et_al
ENSG00000161395,False,Temporal Lobe,Cho_et_al
ENSG00000068400,False,Temporal Lobe,Cho_et_al
ENSG00000104967,False,Temporal Lobe,Cho_et_al
ENSG00000182195,False,Temporal Lobe,Cho_et_al
ENSG00000177239,False,Temporal Lobe,Cho_et_al
ENSG00000143318,False,Temporal Lobe,Cho_et_al
ENSG00000188229,False,Temporal Lobe,Cho_et_al
