ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000226278,True,Temporal Lobe,Cho_et_al
ENSG00000270641,True,Temporal Lobe,Cho_et_al
ENSG00000204894,True,Temporal Lobe,Cho_et_al
ENSG00000270405,True,Temporal Lobe,Cho_et_al
ENSG00000157330,True,Temporal Lobe,Cho_et_al
ENSG00000229807,True,Temporal Lobe,Cho_et_al
ENSG00000134762,True,Temporal Lobe,Cho_et_al
ENSG00000198774,True,Temporal Lobe,Cho_et_al
ENSG00000233840,True,Temporal Lobe,Cho_et_al
ENSG00000226673,True,Temporal Lobe,Cho_et_al
ENSG00000234358,True,Temporal Lobe,Cho_et_al
ENSG00000231865,True,Temporal Lobe,Cho_et_al
ENSG00000185031,True,Temporal Lobe,Cho_et_al
ENSG00000237351,True,Temporal Lobe,Cho_et_al
ENSG00000073754,True,Temporal Lobe,Cho_et_al
ENSG00000224315,True,Temporal Lobe,Cho_et_al
ENSG00000202150,True,Temporal Lobe,Cho_et_al
ENSG00000269907,True,Temporal Lobe,Cho_et_al
ENSG00000012223,True,Temporal Lobe,Cho_et_al
ENSG00000257221,True,Temporal Lobe,Cho_et_al
ENSG00000260733,True,Temporal Lobe,Cho_et_al
ENSG00000231114,True,Temporal Lobe,Cho_et_al
ENSG00000112175,True,Temporal Lobe,Cho_et_al
ENSG00000258116,True,Temporal Lobe,Cho_et_al
ENSG00000168229,True,Temporal Lobe,Cho_et_al
ENSG00000259358,True,Temporal Lobe,Cho_et_al
ENSG00000227705,True,Temporal Lobe,Cho_et_al
ENSG00000170577,True,Temporal Lobe,Cho_et_al
ENSG00000196787,True,Temporal Lobe,Cho_et_al
ENSG00000230894,True,Temporal Lobe,Cho_et_al
ENSG00000171989,True,Temporal Lobe,Cho_et_al
ENSG00000230069,True,Temporal Lobe,Cho_et_al
ENSG00000183644,True,Temporal Lobe,Cho_et_al
ENSG00000242795,True,Temporal Lobe,Cho_et_al
ENSG00000172215,True,Temporal Lobe,Cho_et_al
ENSG00000224259,True,Temporal Lobe,Cho_et_al
ENSG00000163554,True,Temporal Lobe,Cho_et_al
ENSG00000258615,True,Temporal Lobe,Cho_et_al
ENSG00000235008,True,Temporal Lobe,Cho_et_al
ENSG00000069011,True,Temporal Lobe,Cho_et_al
ENSG00000171658,True,Temporal Lobe,Cho_et_al
ENSG00000268759,True,Temporal Lobe,Cho_et_al
ENSG00000229989,True,Temporal Lobe,Cho_et_al
ENSG00000271500,True,Temporal Lobe,Cho_et_al
ENSG00000225937,True,Temporal Lobe,Cho_et_al
ENSG00000183421,True,Temporal Lobe,Cho_et_al
ENSG00000221962,True,Temporal Lobe,Cho_et_al
ENSG00000256762,True,Temporal Lobe,Cho_et_al
ENSG00000153789,True,Temporal Lobe,Cho_et_al
ENSG00000225345,True,Temporal Lobe,Cho_et_al
ENSG00000236643,True,Temporal Lobe,Cho_et_al
ENSG00000248152,True,Temporal Lobe,Cho_et_al
ENSG00000241155,True,Temporal Lobe,Cho_et_al
ENSG00000267461,True,Temporal Lobe,Cho_et_al
ENSG00000264895,True,Temporal Lobe,Cho_et_al
ENSG00000133636,True,Temporal Lobe,Cho_et_al
ENSG00000272609,True,Temporal Lobe,Cho_et_al
ENSG00000261208,True,Temporal Lobe,Cho_et_al
ENSG00000236591,True,Temporal Lobe,Cho_et_al
ENSG00000126778,True,Temporal Lobe,Cho_et_al
ENSG00000254314,True,Temporal Lobe,Cho_et_al
ENSG00000255004,True,Temporal Lobe,Cho_et_al
ENSG00000197846,True,Temporal Lobe,Cho_et_al
ENSG00000264630,True,Temporal Lobe,Cho_et_al
ENSG00000004939,True,Temporal Lobe,Cho_et_al
ENSG00000186451,True,Temporal Lobe,Cho_et_al
ENSG00000267078,True,Temporal Lobe,Cho_et_al
ENSG00000206937,True,Temporal Lobe,Cho_et_al
ENSG00000199676,True,Temporal Lobe,Cho_et_al
ENSG00000225928,True,Temporal Lobe,Cho_et_al
ENSG00000255399,True,Temporal Lobe,Cho_et_al
ENSG00000125735,True,Temporal Lobe,Cho_et_al
ENSG00000167914,True,Temporal Lobe,Cho_et_al
ENSG00000173237,True,Temporal Lobe,Cho_et_al
ENSG00000212579,True,Temporal Lobe,Cho_et_al
ENSG00000267491,True,Temporal Lobe,Cho_et_al
ENSG00000148346,True,Temporal Lobe,Cho_et_al
ENSG00000249621,True,Temporal Lobe,Cho_et_al
ENSG00000115363,True,Temporal Lobe,Cho_et_al
ENSG00000235899,True,Temporal Lobe,Cho_et_al
ENSG00000261158,True,Temporal Lobe,Cho_et_al
ENSG00000237757,True,Temporal Lobe,Cho_et_al
ENSG00000226484,True,Temporal Lobe,Cho_et_al
ENSG00000250069,True,Temporal Lobe,Cho_et_al
ENSG00000113088,True,Temporal Lobe,Cho_et_al
ENSG00000270230,True,Temporal Lobe,Cho_et_al
ENSG00000114638,True,Temporal Lobe,Cho_et_al
ENSG00000163687,True,Temporal Lobe,Cho_et_al
ENSG00000228634,True,Temporal Lobe,Cho_et_al
ENSG00000211892,True,Temporal Lobe,Cho_et_al
ENSG00000267690,True,Temporal Lobe,Cho_et_al
ENSG00000260776,True,Temporal Lobe,Cho_et_al
ENSG00000265293,True,Temporal Lobe,Cho_et_al
ENSG00000261787,True,Temporal Lobe,Cho_et_al
ENSG00000258904,True,Temporal Lobe,Cho_et_al
ENSG00000233783,True,Temporal Lobe,Cho_et_al
ENSG00000233264,True,Temporal Lobe,Cho_et_al
ENSG00000179023,True,Temporal Lobe,Cho_et_al
ENSG00000156869,True,Temporal Lobe,Cho_et_al
ENSG00000204010,True,Temporal Lobe,Cho_et_al
ENSG00000235121,True,Temporal Lobe,Cho_et_al
ENSG00000262769,True,Temporal Lobe,Cho_et_al
ENSG00000271596,True,Temporal Lobe,Cho_et_al
ENSG00000213214,True,Temporal Lobe,Cho_et_al
ENSG00000107485,True,Temporal Lobe,Cho_et_al
ENSG00000229240,True,Temporal Lobe,Cho_et_al
ENSG00000260198,True,Temporal Lobe,Cho_et_al
ENSG00000258483,True,Temporal Lobe,Cho_et_al
ENSG00000227456,True,Temporal Lobe,Cho_et_al
ENSG00000168079,True,Temporal Lobe,Cho_et_al
ENSG00000267136,True,Temporal Lobe,Cho_et_al
ENSG00000230630,True,Temporal Lobe,Cho_et_al
ENSG00000153347,True,Temporal Lobe,Cho_et_al
ENSG00000225606,True,Temporal Lobe,Cho_et_al
ENSG00000187037,True,Temporal Lobe,Cho_et_al
ENSG00000213152,True,Temporal Lobe,Cho_et_al
ENSG00000225924,True,Temporal Lobe,Cho_et_al
ENSG00000258730,True,Temporal Lobe,Cho_et_al
ENSG00000243836,True,Temporal Lobe,Cho_et_al
ENSG00000248971,True,Temporal Lobe,Cho_et_al
ENSG00000176692,True,Temporal Lobe,Cho_et_al
