gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
PSPHP1,ENSG00000226278,PSPHP1,True,Temporal Lobe,Cho_et_al,1.6
TSIX,ENSG00000270641,TSIX,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000204894,ENSG00000204894,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000270405,ENSG00000270405,,True,Temporal Lobe,Cho_et_al,1.6
CFAP107,ENSG00000157330,CFAP107,True,Temporal Lobe,Cho_et_al,1.6
XIST,ENSG00000229807,XIST,True,Temporal Lobe,Cho_et_al,1.6
DSC3,ENSG00000134762,DSC3,True,Temporal Lobe,Cho_et_al,1.6
RASSF9,ENSG00000198774,RASSF9,True,Temporal Lobe,Cho_et_al,1.6
PCDH9-AS4,ENSG00000233840,PCDH9-AS4,True,Temporal Lobe,Cho_et_al,1.6
LINC01108,ENSG00000226673,LINC01108,True,Temporal Lobe,Cho_et_al,1.6
RPL7AP42,ENSG00000234358,RPL7AP42,True,Temporal Lobe,Cho_et_al,1.6
SIK3-IT1,,SIK3-IT1,True,Temporal Lobe,Cho_et_al,1.6
SLC2A3P2,ENSG00000185031,SLC2A3P2,True,Temporal Lobe,Cho_et_al,1.6
ITPK1P1,ENSG00000237351,ITPK1P1,True,Temporal Lobe,Cho_et_al,1.6
CD5L,ENSG00000073754,CD5L,True,Temporal Lobe,Cho_et_al,1.6
RPL7P7,ENSG00000224315,RPL7P7,True,Temporal Lobe,Cho_et_al,1.6
RNU6-407P,ENSG00000202150,RNU6-407P,True,Temporal Lobe,Cho_et_al,1.6
PTMAP11,ENSG00000269907,PTMAP11,True,Temporal Lobe,Cho_et_al,1.6
LTF,ENSG00000012223,LTF,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000257221,ENSG00000257221,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000260733,ENSG00000260733,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000231114,ENSG00000231114,,True,Temporal Lobe,Cho_et_al,1.6
BMP5,ENSG00000112175,BMP5,True,Temporal Lobe,Cho_et_al,1.6
PPIAP45,ENSG00000258116,PPIAP45,True,Temporal Lobe,Cho_et_al,1.6
PTGDR,ENSG00000168229,PTGDR,True,Temporal Lobe,Cho_et_al,1.6
DEPDC1P1,ENSG00000259358,DEPDC1P1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000227705,ENSG00000227705,,True,Temporal Lobe,Cho_et_al,1.6
SIX2,ENSG00000170577,SIX2,True,Temporal Lobe,Cho_et_al,1.6
H2AC11,ENSG00000196787,H2AC11,True,Temporal Lobe,Cho_et_al,1.6
LOC107987014,ENSG00000230894,LOC107987014,True,Temporal Lobe,Cho_et_al,1.6
LDHAL6B,ENSG00000171989,LDHAL6B,True,Temporal Lobe,Cho_et_al,1.6
LRRC37A15P,ENSG00000230069,LRRC37A15P,True,Temporal Lobe,Cho_et_al,1.6
HOATZ,ENSG00000183644,HOATZ,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000242795,ENSG00000242795,,True,Temporal Lobe,Cho_et_al,1.6
CXCR6,ENSG00000172215,CXCR6,True,Temporal Lobe,Cho_et_al,1.6
LINC01133,ENSG00000224259,LINC01133,True,Temporal Lobe,Cho_et_al,1.6
SPTA1,ENSG00000163554,SPTA1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000258615,ENSG00000258615,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000235008,ENSG00000235008,,True,Temporal Lobe,Cho_et_al,1.6
PITX1,ENSG00000069011,PITX1,True,Temporal Lobe,Cho_et_al,1.6
NMRAL2P,ENSG00000171658,NMRAL2P,True,Temporal Lobe,Cho_et_al,1.6
MIR181A1HG,ENSG00000229989,MIR181A1HG,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000271500,ENSG00000271500,,True,Temporal Lobe,Cho_et_al,1.6
PCA3,ENSG00000225937,PCA3,True,Temporal Lobe,Cho_et_al,1.6
RIPK4,ENSG00000183421,RIPK4,True,Temporal Lobe,Cho_et_al,1.6
TMEM14EP,ENSG00000221962,TMEM14EP,True,Temporal Lobe,Cho_et_al,1.6
STH,ENSG00000281139,STH,True,Temporal Lobe,Cho_et_al,1.6
CIBAR2,ENSG00000153789,CIBAR2,True,Temporal Lobe,Cho_et_al,1.6
SNX18P3,ENSG00000225345,SNX18P3,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000236643,ENSG00000236643,,True,Temporal Lobe,Cho_et_al,1.6
ANK2-AS1,ENSG00000248152,ANK2-AS1,True,Temporal Lobe,Cho_et_al,1.6
ARHGAP31-AS1,ENSG00000241155,ARHGAP31-AS1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267461,ENSG00000267461,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000264895,ENSG00000264895,,True,Temporal Lobe,Cho_et_al,1.6
NTS,ENSG00000133636,NTS,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000272609,ENSG00000272609,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000261208,ENSG00000261208,,True,Temporal Lobe,Cho_et_al,1.6
UST-AS2,ENSG00000236591,UST-AS2,True,Temporal Lobe,Cho_et_al,1.6
SIX1,ENSG00000126778,SIX1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000254314,ENSG00000254314,,True,Temporal Lobe,Cho_et_al,1.6
SLC1A2-AS1,ENSG00000255004,SLC1A2-AS1,True,Temporal Lobe,Cho_et_al,1.6
H2BC5,ENSG00000158373,H2BC5,True,Temporal Lobe,Cho_et_al,1.6
PRKCA-AS1,ENSG00000264630,PRKCA-AS1,True,Temporal Lobe,Cho_et_al,1.6
SLC4A1,ENSG00000004939,SLC4A1,True,Temporal Lobe,Cho_et_al,1.6
SPATA12,ENSG00000186451,SPATA12,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267078,ENSG00000267078,,True,Temporal Lobe,Cho_et_al,1.6
SNORA70B,ENSG00000206937,SNORA70B,True,Temporal Lobe,Cho_et_al,1.6
Y_RNA,ENSG00000199676,Y_RNA,True,Temporal Lobe,Cho_et_al,1.6
CACYBPP1,ENSG00000225928,CACYBPP1,True,Temporal Lobe,Cho_et_al,1.6
TBX5-AS1,ENSG00000255399,TBX5-AS1,True,Temporal Lobe,Cho_et_al,1.6
TNFSF14,ENSG00000125735,TNFSF14,True,Temporal Lobe,Cho_et_al,1.6
GSDMA,ENSG00000167914,GSDMA,True,Temporal Lobe,Cho_et_al,1.6
C11orf86,ENSG00000173237,C11orf86,True,Temporal Lobe,Cho_et_al,1.6
LOC124900228,ENSG00000212579,LOC124900228,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267491,ENSG00000267491,,True,Temporal Lobe,Cho_et_al,1.6
LCN2,ENSG00000148346,LCN2,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000249621,ENSG00000249621,,True,Temporal Lobe,Cho_et_al,1.6
EVA1A,ENSG00000115363,EVA1A,True,Temporal Lobe,Cho_et_al,1.6
LINC01564,ENSG00000235899,LINC01564,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000261158,ENSG00000261158,,True,Temporal Lobe,Cho_et_al,1.6
EEF1A1P30,ENSG00000237757,EEF1A1P30,True,Temporal Lobe,Cho_et_al,1.6
LOC101928627,ENSG00000226484,LOC101928627,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000250069,ENSG00000250069,,True,Temporal Lobe,Cho_et_al,1.6
GZMK,ENSG00000113088,GZMK,True,Temporal Lobe,Cho_et_al,1.6
MTND6P22,ENSG00000270230,MTND6P22,True,Temporal Lobe,Cho_et_al,1.6
UPK1B,ENSG00000114638,UPK1B,True,Temporal Lobe,Cho_et_al,1.6
DNASE1L3,ENSG00000163687,DNASE1L3,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000228634,ENSG00000228634,,True,Temporal Lobe,Cho_et_al,1.6
IGHG4,ENSG00000211892,IGHG4,True,Temporal Lobe,Cho_et_al,1.6
LDLRAD4-AS1,ENSG00000267690,LDLRAD4-AS1,True,Temporal Lobe,Cho_et_al,1.6
GOLGA6FP,ENSG00000260776,GOLGA6FP,True,Temporal Lobe,Cho_et_al,1.6
ARGFXP2,ENSG00000265293,ARGFXP2,True,Temporal Lobe,Cho_et_al,1.6
TCF24,ENSG00000261787,TCF24,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000258904,ENSG00000258904,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000233783,ENSG00000233783,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000233264,ENSG00000233264,,True,Temporal Lobe,Cho_et_al,1.6
KLHDC7A,ENSG00000179023,KLHDC7A,True,Temporal Lobe,Cho_et_al,1.6
FRRS1,ENSG00000156869,FRRS1,True,Temporal Lobe,Cho_et_al,1.6
IFIT1B,ENSG00000204010,IFIT1B,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000235121,ENSG00000235121,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000262769,ENSG00000262769,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000271596,ENSG00000271596,,True,Temporal Lobe,Cho_et_al,1.6
ARHGEF35,ENSG00000213214,ARHGEF35,True,Temporal Lobe,Cho_et_al,1.6
GATA3,ENSG00000107485,GATA3,True,Temporal Lobe,Cho_et_al,1.6
LINC00710,ENSG00000229240,LINC00710,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000260198,ENSG00000260198,,True,Temporal Lobe,Cho_et_al,1.6
LINC02251,ENSG00000258483,LINC02251,True,Temporal Lobe,Cho_et_al,1.6
LINC00310,ENSG00000227456,LINC00310,True,Temporal Lobe,Cho_et_al,1.6
SCARA5,ENSG00000168079,SCARA5,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267136,ENSG00000267136,,True,Temporal Lobe,Cho_et_al,1.6
DNM3OS,ENSG00000230630,DNM3OS,True,Temporal Lobe,Cho_et_al,1.6
FAM81B,ENSG00000153347,FAM81B,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000225606,ENSG00000225606,,True,Temporal Lobe,Cho_et_al,1.6
GPR141,ENSG00000187037,GPR141,True,Temporal Lobe,Cho_et_al,1.6
RPL7AP60,ENSG00000213152,RPL7AP60,True,Temporal Lobe,Cho_et_al,1.6
TAB2-AS1,ENSG00000225924,TAB2-AS1,True,Temporal Lobe,Cho_et_al,1.6
ITPK1-AS1,ENSG00000280802,ITPK1-AS1,True,Temporal Lobe,Cho_et_al,1.6
WDR86-AS1,ENSG00000243836,WDR86-AS1,True,Temporal Lobe,Cho_et_al,1.6
KRT8P46,ENSG00000248971,KRT8P46,True,Temporal Lobe,Cho_et_al,1.6
FOXC2,ENSG00000176692,FOXC2,True,Temporal Lobe,Cho_et_al,1.6
CFAP47,ENSG00000165164,CFAP47,True,Temporal Lobe,Cho_et_al,1.6
OGN,ENSG00000291350,OGN,True,Temporal Lobe,Cho_et_al,1.6
RN7SKP203,ENSG00000200488,RN7SKP203,True,Temporal Lobe,Cho_et_al,1.6
FAM20A,ENSG00000108950,FAM20A,True,Temporal Lobe,Cho_et_al,1.6
GCGR,ENSG00000215644,GCGR,True,Temporal Lobe,Cho_et_al,1.6
SLC47A2,ENSG00000180638,SLC47A2,True,Temporal Lobe,Cho_et_al,1.6
CEACAM16-AS1,ENSG00000266903,CEACAM16-AS1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000231713,ENSG00000231713,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000227512,ENSG00000227512,,True,Temporal Lobe,Cho_et_al,1.6
IQCJ-SCHIP1-AS1,ENSG00000241211,IQCJ-SCHIP1-AS1,True,Temporal Lobe,Cho_et_al,1.6
NTRK3-AS1,ENSG00000260305,NTRK3-AS1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000234937,ENSG00000234937,,True,Temporal Lobe,Cho_et_al,1.6
ECEL1,ENSG00000171551,ECEL1,True,Temporal Lobe,Cho_et_al,1.6
SREK1IP1P1,ENSG00000229336,SREK1IP1P1,True,Temporal Lobe,Cho_et_al,1.6
PTCSC3,ENSG00000259104,PTCSC3,True,Temporal Lobe,Cho_et_al,1.6
RPL37P17,ENSG00000224797,RPL37P17,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000228408,ENSG00000228408,,True,Temporal Lobe,Cho_et_al,1.6
GPR82,ENSG00000171657,GPR82,True,Temporal Lobe,Cho_et_al,1.6
ZBTB20-AS1,ENSG00000241560,ZBTB20-AS1,True,Temporal Lobe,Cho_et_al,1.6
CLEC12A,ENSG00000172322,CLEC12A,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000261529,ENSG00000261529,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000272209,ENSG00000272209,,True,Temporal Lobe,Cho_et_al,1.6
RNU6-758P,ENSG00000252101,RNU6-758P,True,Temporal Lobe,Cho_et_al,1.6
CXCR1,ENSG00000163464,CXCR1,True,Temporal Lobe,Cho_et_al,1.6
KCNJ15,ENSG00000157551,KCNJ15,True,Temporal Lobe,Cho_et_al,1.6
LINC01508,ENSG00000231107,LINC01508,True,Temporal Lobe,Cho_et_al,1.6
MTND4P35,ENSG00000270906,MTND4P35,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000255775,ENSG00000255775,,True,Temporal Lobe,Cho_et_al,1.6
CD44-DT,ENSG00000255521,CD44-DT,True,Temporal Lobe,Cho_et_al,1.6
PLN,ENSG00000198523,PLN,True,Temporal Lobe,Cho_et_al,1.6
CFAP77,ENSG00000188523,CFAP77,True,Temporal Lobe,Cho_et_al,1.6
H3C6,ENSG00000274750,H3C6,True,Temporal Lobe,Cho_et_al,1.6
BEST2,ENSG00000039987,BEST2,True,Temporal Lobe,Cho_et_al,1.6
ZNF33BP1,ENSG00000225192,ZNF33BP1,True,Temporal Lobe,Cho_et_al,1.6
PCDHGB8P,ENSG00000248449,PCDHGB8P,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000256609,ENSG00000256609,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000258407,ENSG00000258407,,True,Temporal Lobe,Cho_et_al,1.6
CFAP144,ENSG00000186973,CFAP144,True,Temporal Lobe,Cho_et_al,1.6
SOAT2,ENSG00000167780,SOAT2,True,Temporal Lobe,Cho_et_al,1.6
Y_RNA,ENSG00000207480,Y_RNA,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000226455,ENSG00000226455,,True,Temporal Lobe,Cho_et_al,1.6
SERPINA5,ENSG00000188488,SERPINA5,True,Temporal Lobe,Cho_et_al,1.6
BCYRN1,ENSG00000236824,BCYRN1,True,Temporal Lobe,Cho_et_al,1.6
TPRG1-AS1,ENSG00000234076,TPRG1-AS1,True,Temporal Lobe,Cho_et_al,1.6
CKM,ENSG00000104879,CKM,True,Temporal Lobe,Cho_et_al,1.6
CLIC6,ENSG00000159212,CLIC6,True,Temporal Lobe,Cho_et_al,1.6
VNN1,ENSG00000112299,VNN1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000248100,ENSG00000248100,,True,Temporal Lobe,Cho_et_al,1.6
TLR8,ENSG00000101916,TLR8,True,Temporal Lobe,Cho_et_al,1.6
SNX5P2,ENSG00000258033,SNX5P2,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000260269,ENSG00000260269,,True,Temporal Lobe,Cho_et_al,1.6
DLG2-AS2,ENSG00000255311,DLG2-AS2,True,Temporal Lobe,Cho_et_al,1.6
DSG2,ENSG00000046604,DSG2,True,Temporal Lobe,Cho_et_al,1.6
LCK,ENSG00000182866,LCK,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000213279,ENSG00000213279,,True,Temporal Lobe,Cho_et_al,1.6
Y_RNA,ENSG00000251812,Y_RNA,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000259793,ENSG00000259793,,True,Temporal Lobe,Cho_et_al,1.6
ECM2,ENSG00000106823,ECM2,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000217078,ENSG00000217078,,True,Temporal Lobe,Cho_et_al,1.6
EBF2,ENSG00000221818,EBF2,True,Temporal Lobe,Cho_et_al,1.6
C6,ENSG00000039537,C6,True,Temporal Lobe,Cho_et_al,1.6
FABP4,ENSG00000170323,FABP4,True,Temporal Lobe,Cho_et_al,1.6
LINC02397,ENSG00000205056,LINC02397,True,Temporal Lobe,Cho_et_al,1.6
NOX3,ENSG00000074771,NOX3,True,Temporal Lobe,Cho_et_al,1.6
IL18RAP,ENSG00000115607,IL18RAP,True,Temporal Lobe,Cho_et_al,1.6
HNRNPKP3,ENSG00000251557,HNRNPKP3,True,Temporal Lobe,Cho_et_al,1.6
PDE9A-AS1,ENSG00000225731,PDE9A-AS1,True,Temporal Lobe,Cho_et_al,1.6
RPL3P6,ENSG00000213891,RPL3P6,True,Temporal Lobe,Cho_et_al,1.6
APOL4,ENSG00000100336,APOL4,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000215156,ENSG00000215156,,True,Temporal Lobe,Cho_et_al,1.6
RANP8,ENSG00000233524,RANP8,True,Temporal Lobe,Cho_et_al,1.6
CXCL6,ENSG00000124875,CXCL6,True,Temporal Lobe,Cho_et_al,1.6
GPX8,ENSG00000164294,GPX8,True,Temporal Lobe,Cho_et_al,1.6
COL3A1,ENSG00000168542,COL3A1,True,Temporal Lobe,Cho_et_al,1.6
BPI,ENSG00000101425,BPI,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000268845,ENSG00000268845,,True,Temporal Lobe,Cho_et_al,1.6
SERPINA3,ENSG00000196136,SERPINA3,True,Temporal Lobe,Cho_et_al,1.6
FOXD2,ENSG00000186564,FOXD2,True,Temporal Lobe,Cho_et_al,1.6
C1orf87,ENSG00000162598,C1orf87,True,Temporal Lobe,Cho_et_al,1.6
SULT1C2,ENSG00000198203,SULT1C2,True,Temporal Lobe,Cho_et_al,1.6
TP63,ENSG00000073282,TP63,True,Temporal Lobe,Cho_et_al,1.6
SCARNA5,ENSG00000252010,SCARNA5,True,Temporal Lobe,Cho_et_al,1.6
TREM1,ENSG00000124731,TREM1,True,Temporal Lobe,Cho_et_al,1.6
E2F2,ENSG00000007968,E2F2,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000225282,ENSG00000225282,,True,Temporal Lobe,Cho_et_al,1.6
TMEM30B,ENSG00000182107,TMEM30B,True,Temporal Lobe,Cho_et_al,1.6
SLC26A7,ENSG00000147606,SLC26A7,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000273319,ENSG00000273319,,True,Temporal Lobe,Cho_et_al,1.6
CCT4P2,ENSG00000225569,CCT4P2,True,Temporal Lobe,Cho_et_al,1.6
DNAI2,ENSG00000171595,DNAI2,True,Temporal Lobe,Cho_et_al,1.6
ANGPTL5,ENSG00000187151,ANGPTL5,True,Temporal Lobe,Cho_et_al,1.6
PYHIN1,ENSG00000163564,PYHIN1,True,Temporal Lobe,Cho_et_al,1.6
GATA6,ENSG00000141448,GATA6,True,Temporal Lobe,Cho_et_al,1.6
MLANA,ENSG00000120215,MLANA,True,Temporal Lobe,Cho_et_al,1.6
GMNC,ENSG00000205835,GMNC,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000258068,ENSG00000258068,,True,Temporal Lobe,Cho_et_al,1.6
CXCL8,ENSG00000169429,CXCL8,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000225279,ENSG00000225279,,True,Temporal Lobe,Cho_et_al,1.6
HSP90AA5P,ENSG00000205955,HSP90AA5P,True,Temporal Lobe,Cho_et_al,1.6
MMRN1,ENSG00000138722,MMRN1,True,Temporal Lobe,Cho_et_al,1.6
FGF14-IT1,ENSG00000243319,FGF14-IT1,True,Temporal Lobe,Cho_et_al,1.6
ZBTB20,ENSG00000181722,ZBTB20,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267089,ENSG00000267089,,True,Temporal Lobe,Cho_et_al,1.6
TSLP,ENSG00000145777,TSLP,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000258500,ENSG00000258500,,True,Temporal Lobe,Cho_et_al,1.6
APOBEC3A,ENSG00000262156,APOBEC3A,True,Temporal Lobe,Cho_et_al,1.6
PPIAP39,ENSG00000230018,PPIAP39,True,Temporal Lobe,Cho_et_al,1.6
SLC26A5-AS1,ENSG00000234715,SLC26A5-AS1,True,Temporal Lobe,Cho_et_al,1.6
SAT1-DT,ENSG00000233785,SAT1-DT,True,Temporal Lobe,Cho_et_al,1.6
SGO1-AS1,ENSG00000231304,SGO1-AS1,True,Temporal Lobe,Cho_et_al,1.6
REV3L-IT1,ENSG00000229276,REV3L-IT1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000260971,ENSG00000260971,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000269967,ENSG00000269967,,True,Temporal Lobe,Cho_et_al,1.6
GPC5-AS1,ENSG00000235984,GPC5-AS1,True,Temporal Lobe,Cho_et_al,1.6
BCRP1,ENSG00000225098,BCRP1,True,Temporal Lobe,Cho_et_al,1.6
LILRA5,ENSG00000275404,LILRA5,True,Temporal Lobe,Cho_et_al,1.6
PZP,ENSG00000126838,PZP,True,Temporal Lobe,Cho_et_al,1.6
TNFRSF8,ENSG00000120949,TNFRSF8,True,Temporal Lobe,Cho_et_al,1.6
MKI67,ENSG00000148773,MKI67,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000248585,ENSG00000248585,,True,Temporal Lobe,Cho_et_al,1.6
BMX,ENSG00000102010,BMX,True,Temporal Lobe,Cho_et_al,1.6
COL8A1,ENSG00000144810,COL8A1,True,Temporal Lobe,Cho_et_al,1.6
LINC02279,ENSG00000258933,LINC02279,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000241180,ENSG00000241180,,True,Temporal Lobe,Cho_et_al,1.6
ACTG1P10,ENSG00000231340,ACTG1P10,True,Temporal Lobe,Cho_et_al,1.6
BNIP3P5,ENSG00000260571,BNIP3P5,True,Temporal Lobe,Cho_et_al,1.6
VNN2,ENSG00000112303,VNN2,True,Temporal Lobe,Cho_et_al,1.6
TEKT1,ENSG00000167858,TEKT1,True,Temporal Lobe,Cho_et_al,1.6
C2CD4A,ENSG00000198535,C2CD4A,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000234638,ENSG00000234638,,True,Temporal Lobe,Cho_et_al,1.6
SNORA73B,ENSG00000200087,SNORA73B,True,Temporal Lobe,Cho_et_al,1.6
LOC100288001,ENSG00000253223,LOC100288001,True,Temporal Lobe,Cho_et_al,1.6
CCL2,ENSG00000108691,CCL2,True,Temporal Lobe,Cho_et_al,1.6
FPR2,ENSG00000171049,FPR2,True,Temporal Lobe,Cho_et_al,1.6
DSP,ENSG00000096696,DSP,True,Temporal Lobe,Cho_et_al,1.6
