gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
UCKL1-AS1,ENSG00000280213,UCKL1-AS1,True,Temporal Lobe,Das_et_al,2.0
LINC00484,ENSG00000235641,LINC00484,True,Temporal Lobe,Das_et_al,2.0
AKR1C2,ENSG00000151632,AKR1C2,True,Temporal Lobe,Das_et_al,2.0
TRPV3,ENSG00000167723,TRPV3,True,Temporal Lobe,Das_et_al,2.0
ADAMTS2,ENSG00000087116,ADAMTS2,True,Temporal Lobe,Das_et_al,2.0
KIAA0930,ENSG00000100364,KIAA0930,True,Temporal Lobe,Das_et_al,2.0
ITGA11,ENSG00000137809,ITGA11,True,Temporal Lobe,Das_et_al,2.0
DDIT4-AS1,,DDIT4-AS1,True,Temporal Lobe,Das_et_al,2.0
UHRF1,ENSG00000276043,UHRF1,True,Temporal Lobe,Das_et_al,2.0
SAFB2,ENSG00000130254,SAFB2,True,Temporal Lobe,Das_et_al,2.0
FIBCD1-AS1,ENSG00000236658,FIBCD1-AS1,True,Temporal Lobe,Das_et_al,2.0
SPIDR,ENSG00000164808,SPIDR,True,Temporal Lobe,Das_et_al,2.0
TMEM255B,ENSG00000184497,TMEM255B,True,Temporal Lobe,Das_et_al,2.0
EHMT1,ENSG00000181090,EHMT1,True,Temporal Lobe,Das_et_al,2.0
TRIM11,ENSG00000154370,TRIM11,True,Temporal Lobe,Das_et_al,2.0
ARHGAP33,ENSG00000004777,ARHGAP33,True,Temporal Lobe,Das_et_al,2.0
GALM,ENSG00000143891,GALM,True,Temporal Lobe,Das_et_al,2.0
ZNF750,ENSG00000141579,ZNF750,True,Temporal Lobe,Das_et_al,2.0
NUP210L,ENSG00000143552,NUP210L,True,Temporal Lobe,Das_et_al,2.0
KANSL1-AS1,ENSG00000281569,KANSL1-AS1,True,Temporal Lobe,Das_et_al,2.0
ZRSR2,ENSG00000169249,ZRSR2,True,Temporal Lobe,Das_et_al,2.0
INVS,ENSG00000119509,INVS,True,Temporal Lobe,Das_et_al,2.0
TBX6,ENSG00000149922,TBX6,True,Temporal Lobe,Das_et_al,2.0
SWT1,ENSG00000116668,SWT1,True,Temporal Lobe,Das_et_al,2.0
CCDC66,ENSG00000180376,CCDC66,True,Temporal Lobe,Das_et_al,2.0
CENPJ,ENSG00000151849,CENPJ,True,Temporal Lobe,Das_et_al,2.0
LRCH4,ENSG00000077454,LRCH4,True,Temporal Lobe,Das_et_al,2.0
RNASE3,ENSG00000169397,RNASE3,True,Temporal Lobe,Das_et_al,2.0
HIGD1B,ENSG00000131097,HIGD1B,True,Temporal Lobe,Das_et_al,2.0
RUFY1-AS1,ENSG00000283808,RUFY1-AS1,True,Temporal Lobe,Das_et_al,2.0
AGAP1-IT1,ENSG00000235529,AGAP1-IT1,True,Temporal Lobe,Das_et_al,2.0
MAMDC4,ENSG00000177943,MAMDC4,True,Temporal Lobe,Das_et_al,2.0
SRSF4,ENSG00000116350,SRSF4,True,Temporal Lobe,Das_et_al,2.0
PRSS53,ENSG00000151006,PRSS53,True,Temporal Lobe,Das_et_al,2.0
