gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
TBC1D3F,ENSG00000275954,TBC1D3F,False,Parietal Lobe,Guennewig_et_al,1.9
SMG1P4,ENSG00000185710,SMG1P4,False,Parietal Lobe,Guennewig_et_al,1.9
NLRP4,ENSG00000160505,NLRP4,False,Parietal Lobe,Guennewig_et_al,1.9
PINX1,ENSG00000254093,PINX1,False,Parietal Lobe,Guennewig_et_al,1.9
MYH4,ENSG00000264424,MYH4,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000256861,ENSG00000256861,,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000197550,ENSG00000197550,,False,Parietal Lobe,Guennewig_et_al,1.9
TRIM6-TRIM34,ENSG00000258588,TRIM6-TRIM34,False,Parietal Lobe,Guennewig_et_al,1.9
IL17REL,ENSG00000188263,IL17REL,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000204003,ENSG00000204003,,False,Parietal Lobe,Guennewig_et_al,1.9
RPL27AP8,ENSG00000229423,RPL27AP8,False,Parietal Lobe,Guennewig_et_al,1.9
CLEC4F,ENSG00000152672,CLEC4F,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000261459,ENSG00000261459,,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000235833,ENSG00000235833,,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000261513,ENSG00000261513,,False,Parietal Lobe,Guennewig_et_al,1.9
LINC02210-CRHR1,ENSG00000263715,LINC02210-CRHR1,False,Parietal Lobe,Guennewig_et_al,1.9
TMPRSS9,ENSG00000178297,TMPRSS9,False,Parietal Lobe,Guennewig_et_al,1.9
MYOG,ENSG00000122180,MYOG,False,Parietal Lobe,Guennewig_et_al,1.9
CD207,ENSG00000116031,CD207,False,Parietal Lobe,Guennewig_et_al,1.9
LERFS,ENSG00000234665,LERFS,False,Parietal Lobe,Guennewig_et_al,1.9
DLK1,ENSG00000185559,DLK1,False,Parietal Lobe,Guennewig_et_al,1.9
LOC102723996,ENSG00000277117,LOC102723996,False,Parietal Lobe,Guennewig_et_al,1.9
LINC00636,ENSG00000240423,LINC00636,False,Parietal Lobe,Guennewig_et_al,1.9
NUTM2E,ENSG00000228570,NUTM2E,False,Parietal Lobe,Guennewig_et_al,1.9
ATP12A,ENSG00000075673,ATP12A,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000266456,ENSG00000266456,,False,Parietal Lobe,Guennewig_et_al,1.9
CLUL1,ENSG00000079101,CLUL1,False,Parietal Lobe,Guennewig_et_al,1.9
KRT5,ENSG00000186081,KRT5,False,Parietal Lobe,Guennewig_et_al,1.9
LINC01844,ENSG00000236714,LINC01844,False,Parietal Lobe,Guennewig_et_al,1.9
LRRC37A2,ENSG00000238083,LRRC37A2,False,Parietal Lobe,Guennewig_et_al,1.9
BAAT,ENSG00000276559,BAAT,False,Parietal Lobe,Guennewig_et_al,1.9
CRH,ENSG00000147571,CRH,False,Parietal Lobe,Guennewig_et_al,1.9
SST,ENSG00000157005,SST,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000265179,ENSG00000265179,,False,Parietal Lobe,Guennewig_et_al,1.9
PYDC2-AS1,ENSG00000223812,PYDC2-AS1,False,Parietal Lobe,Guennewig_et_al,1.9
NOC2LP1,ENSG00000213225,NOC2LP1,False,Parietal Lobe,Guennewig_et_al,1.9
HBQ1,ENSG00000086506,HBQ1,False,Parietal Lobe,Guennewig_et_al,1.9
PCSK1,ENSG00000175426,PCSK1,False,Parietal Lobe,Guennewig_et_al,1.9
LINC02458,ENSG00000246363,LINC02458,False,Parietal Lobe,Guennewig_et_al,1.9
ADRA1D,ENSG00000171873,ADRA1D,False,Parietal Lobe,Guennewig_et_al,1.9
NEUROD6,ENSG00000164600,NEUROD6,False,Parietal Lobe,Guennewig_et_al,1.9
PVALB,ENSG00000274665,PVALB,False,Parietal Lobe,Guennewig_et_al,1.9
VGF,ENSG00000128564,VGF,False,Parietal Lobe,Guennewig_et_al,1.9
SYT2,ENSG00000143858,SYT2,False,Parietal Lobe,Guennewig_et_al,1.9
OXGR1,ENSG00000165621,OXGR1,False,Parietal Lobe,Guennewig_et_al,1.9
RPH3A,ENSG00000089169,RPH3A,False,Parietal Lobe,Guennewig_et_al,1.9
ADCYAP1,ENSG00000141433,ADCYAP1,False,Parietal Lobe,Guennewig_et_al,1.9
LINC02427,ENSG00000271538,LINC02427,False,Parietal Lobe,Guennewig_et_al,1.9
ABCF2P1,ENSG00000242159,ABCF2P1,False,Parietal Lobe,Guennewig_et_al,1.9
LINC00898,ENSG00000205634,LINC00898,False,Parietal Lobe,Guennewig_et_al,1.9
SLC17A6,ENSG00000091664,SLC17A6,False,Parietal Lobe,Guennewig_et_al,1.9
LINC01310,ENSG00000205632,LINC01310,False,Parietal Lobe,Guennewig_et_al,1.9
TMEM132E-DT,ENSG00000197322,TMEM132E-DT,False,Parietal Lobe,Guennewig_et_al,1.9
LOC101928266,ENSG00000262966,LOC101928266,False,Parietal Lobe,Guennewig_et_al,1.9
PPEF1,ENSG00000086717,PPEF1,False,Parietal Lobe,Guennewig_et_al,1.9
HAR1B,ENSG00000231133,HAR1B,False,Parietal Lobe,Guennewig_et_al,1.9
SPTSSB,ENSG00000196542,SPTSSB,False,Parietal Lobe,Guennewig_et_al,1.9
CKMT1B,ENSG00000237289,CKMT1B,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000267629,ENSG00000267629,,False,Parietal Lobe,Guennewig_et_al,1.9
INHA,ENSG00000123999,INHA,False,Parietal Lobe,Guennewig_et_al,1.9
VIP,ENSG00000146469,VIP,False,Parietal Lobe,Guennewig_et_al,1.9
CRHBP,ENSG00000145708,CRHBP,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000250770,ENSG00000250770,,False,Parietal Lobe,Guennewig_et_al,1.9
SCN5A,ENSG00000183873,SCN5A,False,Parietal Lobe,Guennewig_et_al,1.9
PCP4,ENSG00000291560,PCP4,False,Parietal Lobe,Guennewig_et_al,1.9
F7,ENSG00000057593,F7,False,Parietal Lobe,Guennewig_et_al,1.9
LOC100506274,ENSG00000229727,LOC100506274,False,Parietal Lobe,Guennewig_et_al,1.9
MAS1,ENSG00000130368,MAS1,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000215869,ENSG00000215869,,False,Parietal Lobe,Guennewig_et_al,1.9
STAT4,ENSG00000138378,STAT4,False,Parietal Lobe,Guennewig_et_al,1.9
SLC16A6,ENSG00000108932,SLC16A6,False,Parietal Lobe,Guennewig_et_al,1.9
ENSG00000260000,ENSG00000260000,,False,Parietal Lobe,Guennewig_et_al,1.9
GPR149,ENSG00000174948,GPR149,False,Parietal Lobe,Guennewig_et_al,1.9
VAMP1,ENSG00000139190,VAMP1,False,Parietal Lobe,Guennewig_et_al,1.9
ACOT4,ENSG00000177465,ACOT4,False,Parietal Lobe,Guennewig_et_al,1.9
PTGES3L,ENSG00000267060,PTGES3L,False,Parietal Lobe,Guennewig_et_al,1.9
BEX5,ENSG00000291824,BEX5,False,Parietal Lobe,Guennewig_et_al,1.9
NCALD,ENSG00000104490,NCALD,False,Parietal Lobe,Guennewig_et_al,1.9
RGS4,ENSG00000117152,RGS4,False,Parietal Lobe,Guennewig_et_al,1.9
RIT2,ENSG00000152214,RIT2,False,Parietal Lobe,Guennewig_et_al,1.9
CCDC184,ENSG00000177875,CCDC184,False,Parietal Lobe,Guennewig_et_al,1.9
RAB3B,ENSG00000169213,RAB3B,False,Parietal Lobe,Guennewig_et_al,1.9
NAP1L5,ENSG00000177432,NAP1L5,False,Parietal Lobe,Guennewig_et_al,1.9
SNAP25,ENSG00000132639,SNAP25,False,Parietal Lobe,Guennewig_et_al,1.9
CAP2,ENSG00000112186,CAP2,False,Parietal Lobe,Guennewig_et_al,1.9
DHRS11,ENSG00000275397,DHRS11,False,Parietal Lobe,Guennewig_et_al,1.9
INA,ENSG00000148798,INA,False,Parietal Lobe,Guennewig_et_al,1.9
TUBB3,ENSG00000258947,TUBB3,False,Parietal Lobe,Guennewig_et_al,1.9
