gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
CLCA4,ENSG00000016602,CLCA4,False,Temporal Lobe,King_et_al,1.8
CYLD,ENSG00000083799,CYLD,False,Temporal Lobe,King_et_al,1.8
LINC01094,ENSG00000251442,LINC01094,False,Temporal Lobe,King_et_al,1.8
ZNF471,ENSG00000196263,ZNF471,False,Temporal Lobe,King_et_al,1.8
CEDORA,ENSG00000260788,CEDORA,False,Temporal Lobe,King_et_al,1.8
TMC6,ENSG00000141524,TMC6,False,Temporal Lobe,King_et_al,1.8
LRRC1,ENSG00000137269,LRRC1,False,Temporal Lobe,King_et_al,1.8
PTK2,ENSG00000169398,PTK2,False,Temporal Lobe,King_et_al,1.8
ACACA,ENSG00000278540,ACACA,False,Temporal Lobe,King_et_al,1.8
CAPS,ENSG00000105519,CAPS,False,Temporal Lobe,King_et_al,1.8
BOD1L1,ENSG00000038219,BOD1L1,False,Temporal Lobe,King_et_al,1.8
LINC02199,ENSG00000250198,LINC02199,False,Temporal Lobe,King_et_al,1.8
FNIP2,ENSG00000052795,FNIP2,False,Temporal Lobe,King_et_al,1.8
MAN2A1,ENSG00000112893,MAN2A1,False,Temporal Lobe,King_et_al,1.8
ADAMTSL3,ENSG00000291606,ADAMTSL3,False,Temporal Lobe,King_et_al,1.8
MYLIP,ENSG00000007944,MYLIP,False,Temporal Lobe,King_et_al,1.8
TCHP,ENSG00000139437,TCHP,False,Temporal Lobe,King_et_al,1.8
DIP2C,ENSG00000151240,DIP2C,False,Temporal Lobe,King_et_al,1.8
HIP1,ENSG00000127946,HIP1,False,Temporal Lobe,King_et_al,1.8
ZNF143,ENSG00000166478,ZNF143,False,Temporal Lobe,King_et_al,1.8
ARHGAP21,ENSG00000107863,ARHGAP21,False,Temporal Lobe,King_et_al,1.8
CPS1,ENSG00000021826,CPS1,False,Temporal Lobe,King_et_al,1.8
RFFL,ENSG00000092871,RFFL,False,Temporal Lobe,King_et_al,1.8
ZFX,ENSG00000005889,ZFX,False,Temporal Lobe,King_et_al,1.8
CPQ,ENSG00000104324,CPQ,False,Temporal Lobe,King_et_al,1.8
DEK,ENSG00000124795,DEK,False,Temporal Lobe,King_et_al,1.8
OPTN,ENSG00000123240,OPTN,False,Temporal Lobe,King_et_al,1.8
LARP6,ENSG00000166173,LARP6,False,Temporal Lobe,King_et_al,1.8
LDLRAP1,ENSG00000157978,LDLRAP1,False,Temporal Lobe,King_et_al,1.8
LRP2,ENSG00000081479,LRP2,False,Temporal Lobe,King_et_al,1.8
ASH1L,ENSG00000116539,ASH1L,False,Temporal Lobe,King_et_al,1.8
ARAP2,ENSG00000047365,ARAP2,False,Temporal Lobe,King_et_al,1.8
KLHL32,ENSG00000186231,KLHL32,False,Temporal Lobe,King_et_al,1.8
CEP63,ENSG00000182923,CEP63,False,Temporal Lobe,King_et_al,1.8
CCP110,ENSG00000103540,CCP110,False,Temporal Lobe,King_et_al,1.8
INO80,ENSG00000128908,INO80,False,Temporal Lobe,King_et_al,1.8
CLDN15,ENSG00000106404,CLDN15,False,Temporal Lobe,King_et_al,1.8
C10orf90,ENSG00000154493,C10orf90,False,Temporal Lobe,King_et_al,1.8
CLMN,ENSG00000165959,CLMN,False,Temporal Lobe,King_et_al,1.8
MYO1E,ENSG00000157483,MYO1E,False,Temporal Lobe,King_et_al,1.8
ARID4B,ENSG00000054267,ARID4B,False,Temporal Lobe,King_et_al,1.8
DDX46,ENSG00000145833,DDX46,False,Temporal Lobe,King_et_al,1.8
LARP7,ENSG00000174720,LARP7,False,Temporal Lobe,King_et_al,1.8
TBC1D15,ENSG00000121749,TBC1D15,False,Temporal Lobe,King_et_al,1.8
PACRG-AS3,ENSG00000225683,PACRG-AS3,False,Temporal Lobe,King_et_al,1.8
DICER1,ENSG00000100697,DICER1,False,Temporal Lobe,King_et_al,1.8
JAKMIP2,ENSG00000176049,JAKMIP2,False,Temporal Lobe,King_et_al,1.8
SELENOP,ENSG00000250722,SELENOP,False,Temporal Lobe,King_et_al,1.8
SUN2,ENSG00000100242,SUN2,False,Temporal Lobe,King_et_al,1.8
NFXL1,ENSG00000170448,NFXL1,False,Temporal Lobe,King_et_al,1.8
PIEZO2,ENSG00000154864,PIEZO2,False,Temporal Lobe,King_et_al,1.8
ZNF641,ENSG00000167528,ZNF641,False,Temporal Lobe,King_et_al,1.8
MTRF1L,ENSG00000112031,MTRF1L,False,Temporal Lobe,King_et_al,1.8
ANKRD13A,ENSG00000076513,ANKRD13A,False,Temporal Lobe,King_et_al,1.8
MPDZ,ENSG00000107186,MPDZ,False,Temporal Lobe,King_et_al,1.8
MBTD1,ENSG00000011258,MBTD1,False,Temporal Lobe,King_et_al,1.8
DOCK5,ENSG00000147459,DOCK5,False,Temporal Lobe,King_et_al,1.8
FAN1,ENSG00000198690,FAN1,False,Temporal Lobe,King_et_al,1.8
FRYL,ENSG00000075539,FRYL,False,Temporal Lobe,King_et_al,1.8
RFLNB,ENSG00000283979,RFLNB,False,Temporal Lobe,King_et_al,1.8
KCNMB4,ENSG00000135643,KCNMB4,False,Temporal Lobe,King_et_al,1.8
NCAPG2,ENSG00000146918,NCAPG2,False,Temporal Lobe,King_et_al,1.8
ANKRD28,ENSG00000206560,ANKRD28,False,Temporal Lobe,King_et_al,1.8
PTPN21,ENSG00000070778,PTPN21,False,Temporal Lobe,King_et_al,1.8
TMEM74,ENSG00000164841,TMEM74,False,Temporal Lobe,King_et_al,1.8
BRD10,ENSG00000183354,BRD10,False,Temporal Lobe,King_et_al,1.8
TTLL7,ENSG00000137941,TTLL7,False,Temporal Lobe,King_et_al,1.8
HEXD,ENSG00000169660,HEXD,False,Temporal Lobe,King_et_al,1.8
WWC2,ENSG00000151718,WWC2,False,Temporal Lobe,King_et_al,1.8
GAB1,ENSG00000109458,GAB1,False,Temporal Lobe,King_et_al,1.8
PAXBP1,ENSG00000263141,PAXBP1,False,Temporal Lobe,King_et_al,1.8
QDPR,ENSG00000151552,QDPR,False,Temporal Lobe,King_et_al,1.8
SIN3A,ENSG00000169375,SIN3A,False,Temporal Lobe,King_et_al,1.8
ZNF37A,ENSG00000075407,ZNF37A,False,Temporal Lobe,King_et_al,1.8
NOL8,ENSG00000291347,NOL8,False,Temporal Lobe,King_et_al,1.8
SETD2,ENSG00000181555,SETD2,False,Temporal Lobe,King_et_al,1.8
DIP2B,ENSG00000066084,DIP2B,False,Temporal Lobe,King_et_al,1.8
PDE1C,ENSG00000154678,PDE1C,False,Temporal Lobe,King_et_al,1.8
ENSG00000286220,ENSG00000286220,,False,Temporal Lobe,King_et_al,1.8
KIF2A,ENSG00000068796,KIF2A,False,Temporal Lobe,King_et_al,1.8
ZZZ3,ENSG00000036549,ZZZ3,False,Temporal Lobe,King_et_al,1.8
SAP30L,ENSG00000164576,SAP30L,False,Temporal Lobe,King_et_al,1.8
NCKAP5,ENSG00000176771,NCKAP5,False,Temporal Lobe,King_et_al,1.8
BPTF,ENSG00000171634,BPTF,False,Temporal Lobe,King_et_al,1.8
FAM13B,ENSG00000031003,FAM13B,False,Temporal Lobe,King_et_al,1.8
THRAP3,ENSG00000054118,THRAP3,False,Temporal Lobe,King_et_al,1.8
PTPN13,ENSG00000163629,PTPN13,False,Temporal Lobe,King_et_al,1.8
USP47,ENSG00000170242,USP47,False,Temporal Lobe,King_et_al,1.8
TPM3P9,ENSG00000241015,TPM3P9,False,Temporal Lobe,King_et_al,1.8
ZFYVE9,ENSG00000157077,ZFYVE9,False,Temporal Lobe,King_et_al,1.8
ZNF592,ENSG00000166716,ZNF592,False,Temporal Lobe,King_et_al,1.8
SENP2,ENSG00000163904,SENP2,False,Temporal Lobe,King_et_al,1.8
AGAP1,ENSG00000157985,AGAP1,False,Temporal Lobe,King_et_al,1.8
ZNF488,ENSG00000265763,ZNF488,False,Temporal Lobe,King_et_al,1.8
TDRD7,ENSG00000196116,TDRD7,False,Temporal Lobe,King_et_al,1.8
GIGYF1,ENSG00000146830,GIGYF1,False,Temporal Lobe,King_et_al,1.8
ZSCAN29,ENSG00000140265,ZSCAN29,False,Temporal Lobe,King_et_al,1.8
AHNAK,ENSG00000124942,AHNAK,False,Temporal Lobe,King_et_al,1.8
ENSG00000228408,ENSG00000228408,,False,Temporal Lobe,King_et_al,1.8
BIRC3,ENSG00000023445,BIRC3,False,Temporal Lobe,King_et_al,1.8
CAB39L,ENSG00000102547,CAB39L,False,Temporal Lobe,King_et_al,1.8
HCG18,ENSG00000224619,HCG18,False,Temporal Lobe,King_et_al,1.8
LCAT,ENSG00000213398,LCAT,False,Temporal Lobe,King_et_al,1.8
SF3B1,ENSG00000115524,SF3B1,False,Temporal Lobe,King_et_al,1.8
SH3D19,ENSG00000109686,SH3D19,False,Temporal Lobe,King_et_al,1.8
ZNF397,ENSG00000186812,ZNF397,False,Temporal Lobe,King_et_al,1.8
TPTEP1,ENSG00000100181,TPTEP1,False,Temporal Lobe,King_et_al,1.8
MORC4,ENSG00000133131,MORC4,False,Temporal Lobe,King_et_al,1.8
ZNF704,ENSG00000164684,ZNF704,False,Temporal Lobe,King_et_al,1.8
SYNE3,ENSG00000176438,SYNE3,False,Temporal Lobe,King_et_al,1.8
DUSP16,ENSG00000111266,DUSP16,False,Temporal Lobe,King_et_al,1.8
ZBTB44,ENSG00000196323,ZBTB44,False,Temporal Lobe,King_et_al,1.8
SHROOM4,ENSG00000158352,SHROOM4,False,Temporal Lobe,King_et_al,1.8
VEZF1,ENSG00000136451,VEZF1,False,Temporal Lobe,King_et_al,1.8
ZNF300,ENSG00000145908,ZNF300,False,Temporal Lobe,King_et_al,1.8
ITPRID2,ENSG00000138434,ITPRID2,False,Temporal Lobe,King_et_al,1.8
CHD7,ENSG00000171316,CHD7,False,Temporal Lobe,King_et_al,1.8
CNKSR3,ENSG00000153721,CNKSR3,False,Temporal Lobe,King_et_al,1.8
P2RX7,ENSG00000089041,P2RX7,False,Temporal Lobe,King_et_al,1.8
PIGM,ENSG00000143315,PIGM,False,Temporal Lobe,King_et_al,1.8
WASHC2A,ENSG00000099290,WASHC2A,False,Temporal Lobe,King_et_al,1.8
SLC45A3,ENSG00000158715,SLC45A3,False,Temporal Lobe,King_et_al,1.8
CC2D1B,ENSG00000154222,CC2D1B,False,Temporal Lobe,King_et_al,1.8
CEP128,ENSG00000100629,CEP128,False,Temporal Lobe,King_et_al,1.8
CNTNAP4,ENSG00000152910,CNTNAP4,False,Temporal Lobe,King_et_al,1.8
UHRF2,ENSG00000147854,UHRF2,False,Temporal Lobe,King_et_al,1.8
CD22,ENSG00000012124,CD22,False,Temporal Lobe,King_et_al,1.8
DHX40,ENSG00000108406,DHX40,False,Temporal Lobe,King_et_al,1.8
SRPK3,ENSG00000184343,SRPK3,False,Temporal Lobe,King_et_al,1.8
RELN,ENSG00000189056,RELN,False,Temporal Lobe,King_et_al,1.8
USP16,ENSG00000291527,USP16,False,Temporal Lobe,King_et_al,1.8
ENSG00000269940,ENSG00000269940,,False,Temporal Lobe,King_et_al,1.8
FAM124A,ENSG00000150510,FAM124A,False,Temporal Lobe,King_et_al,1.8
TASOR,ENSG00000163946,TASOR,False,Temporal Lobe,King_et_al,1.8
ZNF761,ENSG00000160336,ZNF761,False,Temporal Lobe,King_et_al,1.8
ENSG00000261710,ENSG00000261710,,False,Temporal Lobe,King_et_al,1.8
WWP1,ENSG00000123124,WWP1,False,Temporal Lobe,King_et_al,1.8
PLPP2,ENSG00000141934,PLPP2,False,Temporal Lobe,King_et_al,1.8
KLHL3,ENSG00000146021,KLHL3,False,Temporal Lobe,King_et_al,1.8
AKAP8,ENSG00000105127,AKAP8,False,Temporal Lobe,King_et_al,1.8
PABIR2,ENSG00000156504,PABIR2,False,Temporal Lobe,King_et_al,1.8
ATOH8,ENSG00000168874,ATOH8,False,Temporal Lobe,King_et_al,1.8
SLC38A2,ENSG00000134294,SLC38A2,False,Temporal Lobe,King_et_al,1.8
BACE1-AS,ENSG00000278768,BACE1-AS,False,Temporal Lobe,King_et_al,1.8
NFE2L1,ENSG00000082641,NFE2L1,False,Temporal Lobe,King_et_al,1.8
OMA1,ENSG00000162600,OMA1,False,Temporal Lobe,King_et_al,1.8
LOC105371115,ENSG00000261195,LOC105371115,False,Temporal Lobe,King_et_al,1.8
FRMD4B,ENSG00000114541,FRMD4B,False,Temporal Lobe,King_et_al,1.8
ICE2,ENSG00000128915,ICE2,False,Temporal Lobe,King_et_al,1.8
PLD1,ENSG00000075651,PLD1,False,Temporal Lobe,King_et_al,1.8
SNX30,ENSG00000148158,SNX30,False,Temporal Lobe,King_et_al,1.8
ARNT2-DT,ENSG00000259495,ARNT2-DT,False,Temporal Lobe,King_et_al,1.8
KMT2E,ENSG00000005483,KMT2E,False,Temporal Lobe,King_et_al,1.8
GALNT6,ENSG00000139629,GALNT6,False,Temporal Lobe,King_et_al,1.8
JADE3,ENSG00000102221,JADE3,False,Temporal Lobe,King_et_al,1.8
ENSG00000267317,ENSG00000267317,,False,Temporal Lobe,King_et_al,1.8
ENSG00000260418,ENSG00000260418,,False,Temporal Lobe,King_et_al,1.8
