gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MFSD14CP,ENSG00000290770,MFSD14CP,False,Temporal Lobe,Li_et_al,1.9
ASXL2,ENSG00000143970,ASXL2,False,Temporal Lobe,Li_et_al,1.9
TENM1,ENSG00000009694,TENM1,False,Temporal Lobe,Li_et_al,1.9
SEPT5-GP1BB,,SEPT5-GP1BB,False,Temporal Lobe,Li_et_al,1.9
MR1,ENSG00000153029,MR1,False,Temporal Lobe,Li_et_al,1.9
NCOA2,ENSG00000140396,NCOA2,False,Temporal Lobe,Li_et_al,1.9
PRECSIT,ENSG00000255874,PRECSIT,False,Temporal Lobe,Li_et_al,1.9
EPHB4,ENSG00000196411,EPHB4,False,Temporal Lobe,Li_et_al,1.9
CRYBG3,ENSG00000080200,CRYBG3,False,Temporal Lobe,Li_et_al,1.9
GLI3,ENSG00000106571,GLI3,False,Temporal Lobe,Li_et_al,1.9
CACNA1H,ENSG00000196557,CACNA1H,False,Temporal Lobe,Li_et_al,1.9
PEX5L-AS2,ENSG00000244302,PEX5L-AS2,False,Temporal Lobe,Li_et_al,1.9
APCDD1,ENSG00000154856,APCDD1,False,Temporal Lobe,Li_et_al,1.9
ADIRF,ENSG00000148671,ADIRF,False,Temporal Lobe,Li_et_al,1.9
GRM8-AS1,ENSG00000236340,GRM8-AS1,False,Temporal Lobe,Li_et_al,1.9
ENTPD5,ENSG00000187097,ENTPD5,False,Temporal Lobe,Li_et_al,1.9
KIF5B,ENSG00000170759,KIF5B,False,Temporal Lobe,Li_et_al,1.9
YAP1,ENSG00000137693,YAP1,False,Temporal Lobe,Li_et_al,1.9
TEK,ENSG00000120156,TEK,False,Temporal Lobe,Li_et_al,1.9
NQO1-DT,ENSG00000262136,NQO1-DT,False,Temporal Lobe,Li_et_al,1.9
PTAR1,ENSG00000188647,PTAR1,False,Temporal Lobe,Li_et_al,1.9
OLFM3,ENSG00000118733,OLFM3,False,Temporal Lobe,Li_et_al,1.9
CSPG4,ENSG00000173546,CSPG4,False,Temporal Lobe,Li_et_al,1.9
MTURN,ENSG00000180354,MTURN,False,Temporal Lobe,Li_et_al,1.9
GALP,ENSG00000197487,GALP,False,Temporal Lobe,Li_et_al,1.9
ZNF772,ENSG00000197128,ZNF772,False,Temporal Lobe,Li_et_al,1.9
WNT6,ENSG00000115596,WNT6,False,Temporal Lobe,Li_et_al,1.9
PDE1C,ENSG00000154678,PDE1C,False,Temporal Lobe,Li_et_al,1.9
DCUN1D1,ENSG00000043093,DCUN1D1,False,Temporal Lobe,Li_et_al,1.9
CHRNA4,ENSG00000101204,CHRNA4,False,Temporal Lobe,Li_et_al,1.9
KLF15,ENSG00000163884,KLF15,False,Temporal Lobe,Li_et_al,1.9
ALG11,ENSG00000253710,ALG11,False,Temporal Lobe,Li_et_al,1.9
POC1B-GALNT4,ENSG00000259075,POC1B-GALNT4,False,Temporal Lobe,Li_et_al,1.9
GGT5,ENSG00000099998,GGT5,False,Temporal Lobe,Li_et_al,1.9
C2CD4C,ENSG00000183186,C2CD4C,False,Temporal Lobe,Li_et_al,1.9
GPR27,ENSG00000170837,GPR27,False,Temporal Lobe,Li_et_al,1.9
ATP8A1-DT,ENSG00000260519,ATP8A1-DT,False,Temporal Lobe,Li_et_al,1.9
PPP4R2,ENSG00000163605,PPP4R2,False,Temporal Lobe,Li_et_al,1.9
RUNX1T1,ENSG00000079102,RUNX1T1,False,Temporal Lobe,Li_et_al,1.9
FAM171B,ENSG00000144369,FAM171B,False,Temporal Lobe,Li_et_al,1.9
ZNF521,ENSG00000198795,ZNF521,False,Temporal Lobe,Li_et_al,1.9
ZNF844,ENSG00000223547,ZNF844,False,Temporal Lobe,Li_et_al,1.9
RGS17,ENSG00000091844,RGS17,False,Temporal Lobe,Li_et_al,1.9
ZNF320,ENSG00000182986,ZNF320,False,Temporal Lobe,Li_et_al,1.9
MFSD4B,ENSG00000173214,MFSD4B,False,Temporal Lobe,Li_et_al,1.9
GCNT1,ENSG00000187210,GCNT1,False,Temporal Lobe,Li_et_al,1.9
RPLP0P2,ENSG00000243742,RPLP0P2,False,Temporal Lobe,Li_et_al,1.9
LATS1,ENSG00000131023,LATS1,False,Temporal Lobe,Li_et_al,1.9
ADAD2,ENSG00000140955,ADAD2,False,Temporal Lobe,Li_et_al,1.9
ZNF570,ENSG00000171827,ZNF570,False,Temporal Lobe,Li_et_al,1.9
LMBRD2,ENSG00000164187,LMBRD2,False,Temporal Lobe,Li_et_al,1.9
TGFBR3,ENSG00000069702,TGFBR3,False,Temporal Lobe,Li_et_al,1.9
SEC24A,ENSG00000113615,SEC24A,False,Temporal Lobe,Li_et_al,1.9
HIF3A,ENSG00000124440,HIF3A,False,Temporal Lobe,Li_et_al,1.9
SAMD14,ENSG00000167100,SAMD14,False,Temporal Lobe,Li_et_al,1.9
TRPS1-AS1,ENSG00000227170,TRPS1-AS1,False,Temporal Lobe,Li_et_al,1.9
TSACC,ENSG00000163467,TSACC,False,Temporal Lobe,Li_et_al,1.9
PPP1R1B,ENSG00000131771,PPP1R1B,False,Temporal Lobe,Li_et_al,1.9
PPDPF,ENSG00000125534,PPDPF,False,Temporal Lobe,Li_et_al,1.9
PTPRB,ENSG00000127329,PTPRB,False,Temporal Lobe,Li_et_al,1.9
MMP28,ENSG00000271447,MMP28,False,Temporal Lobe,Li_et_al,1.9
CRIM1-DT,ENSG00000260025,CRIM1-DT,False,Temporal Lobe,Li_et_al,1.9
PRKCG,ENSG00000126583,PRKCG,False,Temporal Lobe,Li_et_al,1.9
FIGN,ENSG00000182263,FIGN,False,Temporal Lobe,Li_et_al,1.9
MYRIP,ENSG00000170011,MYRIP,False,Temporal Lobe,Li_et_al,1.9
ZBTB37,ENSG00000185278,ZBTB37,False,Temporal Lobe,Li_et_al,1.9
SHTN1,ENSG00000187164,SHTN1,False,Temporal Lobe,Li_et_al,1.9
KIF19,ENSG00000196169,KIF19,False,Temporal Lobe,Li_et_al,1.9
GABPB1,ENSG00000104064,GABPB1,False,Temporal Lobe,Li_et_al,1.9
ADAT1,ENSG00000065457,ADAT1,False,Temporal Lobe,Li_et_al,1.9
CTXN1,ENSG00000178531,CTXN1,False,Temporal Lobe,Li_et_al,1.9
SNX29,ENSG00000048471,SNX29,False,Temporal Lobe,Li_et_al,1.9
ATF7IP,ENSG00000171681,ATF7IP,False,Temporal Lobe,Li_et_al,1.9
NCR3LG1,ENSG00000188211,NCR3LG1,False,Temporal Lobe,Li_et_al,1.9
CLIC5,ENSG00000112782,CLIC5,False,Temporal Lobe,Li_et_al,1.9
ARHGAP31-AS1,ENSG00000241155,ARHGAP31-AS1,False,Temporal Lobe,Li_et_al,1.9
LPL,ENSG00000175445,LPL,False,Temporal Lobe,Li_et_al,1.9
CEP97,ENSG00000182504,CEP97,False,Temporal Lobe,Li_et_al,1.9
LIFR-AS1,ENSG00000244968,LIFR-AS1,False,Temporal Lobe,Li_et_al,1.9
MTRNR2L8,,MTRNR2L8,False,Temporal Lobe,Li_et_al,1.9
PPM1L-DT,ENSG00000260572,PPM1L-DT,False,Temporal Lobe,Li_et_al,1.9
EEA1,ENSG00000102189,EEA1,False,Temporal Lobe,Li_et_al,1.9
ENPP5,ENSG00000112796,ENPP5,False,Temporal Lobe,Li_et_al,1.9
LRCH3,ENSG00000186001,LRCH3,False,Temporal Lobe,Li_et_al,1.9
PALM2AKAP2,ENSG00000157654,PALM2AKAP2,False,Temporal Lobe,Li_et_al,1.9
ATL3,ENSG00000184743,ATL3,False,Temporal Lobe,Li_et_al,1.9
HBA1,ENSG00000206172,HBA1,False,Temporal Lobe,Li_et_al,1.9
NTNG2,ENSG00000196358,NTNG2,False,Temporal Lobe,Li_et_al,1.9
HUNK-AS1,ENSG00000237138,HUNK-AS1,False,Temporal Lobe,Li_et_al,1.9
DGKI,ENSG00000157680,DGKI,False,Temporal Lobe,Li_et_al,1.9
RO60,ENSG00000116747,RO60,False,Temporal Lobe,Li_et_al,1.9
CLOCK,ENSG00000134852,CLOCK,False,Temporal Lobe,Li_et_al,1.9
ZNF808,ENSG00000198482,ZNF808,False,Temporal Lobe,Li_et_al,1.9
WRN,ENSG00000165392,WRN,False,Temporal Lobe,Li_et_al,1.9
ZNF354C,ENSG00000177932,ZNF354C,False,Temporal Lobe,Li_et_al,1.9
SLC40A1,ENSG00000138449,SLC40A1,False,Temporal Lobe,Li_et_al,1.9
WDFY3-AS2,ENSG00000180769,WDFY3-AS2,False,Temporal Lobe,Li_et_al,1.9
NTN1,ENSG00000065320,NTN1,False,Temporal Lobe,Li_et_al,1.9
ZNF738,ENSG00000172687,ZNF738,False,Temporal Lobe,Li_et_al,1.9
JMY,ENSG00000152409,JMY,False,Temporal Lobe,Li_et_al,1.9
CDK6-AS1,ENSG00000237819,CDK6-AS1,False,Temporal Lobe,Li_et_al,1.9
MRO,ENSG00000134042,MRO,False,Temporal Lobe,Li_et_al,1.9
MECOM-AS1,ENSG00000241479,MECOM-AS1,False,Temporal Lobe,Li_et_al,1.9
PCDH17,ENSG00000118946,PCDH17,False,Temporal Lobe,Li_et_al,1.9
MEGF10,ENSG00000145794,MEGF10,False,Temporal Lobe,Li_et_al,1.9
HSPA4,ENSG00000170606,HSPA4,False,Temporal Lobe,Li_et_al,1.9
FOXO3B,ENSG00000240445,FOXO3B,False,Temporal Lobe,Li_et_al,1.9
ADARB2-AS1,ENSG00000205696,ADARB2-AS1,False,Temporal Lobe,Li_et_al,1.9
SLC30A1,ENSG00000170385,SLC30A1,False,Temporal Lobe,Li_et_al,1.9
TCEANC2,ENSG00000116205,TCEANC2,False,Temporal Lobe,Li_et_al,1.9
LOC108353814,,LOC108353814,False,Temporal Lobe,Li_et_al,1.9
SYTL2,ENSG00000137501,SYTL2,False,Temporal Lobe,Li_et_al,1.9
CECR2,ENSG00000099954,CECR2,False,Temporal Lobe,Li_et_al,1.9
