gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
EIF3EP3,ENSG00000277998,EIF3EP3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NPFF,ENSG00000139574,NPFF,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL3P4,ENSG00000232573,RPL3P4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ADI1,ENSG00000182551,ADI1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000268083,ENSG00000268083,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000282832,ENSG00000282832,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
VIL1,ENSG00000127831,VIL1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
STOML3,ENSG00000133115,STOML3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CARS1P1,ENSG00000271232,CARS1P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT16P1,ENSG00000214856,KRT16P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT16P1,ENSG00000284527,KRT16P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CTSG,ENSG00000100448,CTSG,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT16P2,ENSG00000227300,KRT16P2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HLA-A,ENSG00000206503,HLA-A,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT18P39,ENSG00000224791,KRT18P39,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SSMEM1,ENSG00000165120,SSMEM1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
YY1P2,ENSG00000229104,YY1P2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CRH,ENSG00000147571,CRH,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HLA-C,ENSG00000225691,HLA-C,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000255093,ENSG00000255093,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
DEFA1,ENSG00000206047,DEFA1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NENFP3,ENSG00000248462,NENFP3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LIPF,ENSG00000182333,LIPF,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
P2RX2,ENSG00000187848,P2RX2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
OR6V1,ENSG00000277378,OR6V1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL10P9,ENSG00000233913,RPL10P9,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
IGSF3P2,ENSG00000223703,IGSF3P2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MUC22,ENSG00000229126,MUC22,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PAICSP6,ENSG00000241136,PAICSP6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GPR42,ENSG00000126251,GPR42,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
OR2K2,ENSG00000171133,OR2K2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
REG1CP,ENSG00000204787,REG1CP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CFHR5,ENSG00000134389,CFHR5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
