gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MZB1,ENSG00000170476,MZB1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CRH,ENSG00000147571,CRH,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
VGF,ENSG00000128564,VGF,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
NPY2R,ENSG00000185149,NPY2R,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ADCYAP1,ENSG00000141433,ADCYAP1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
NEUROD6,ENSG00000164600,NEUROD6,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
TNFSF18,ENSG00000120337,TNFSF18,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
EGR4,ENSG00000135625,EGR4,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CD200R1,ENSG00000163606,CD200R1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
RGS4,ENSG00000117152,RGS4,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ENSG00000267630,ENSG00000267630,,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PCSK1,ENSG00000175426,PCSK1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ATOH7,ENSG00000179774,ATOH7,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
FRMPD2,ENSG00000170324,FRMPD2,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PPEF1,ENSG00000086717,PPEF1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
BDNF,ENSG00000176697,BDNF,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ALDH1A1,ENSG00000165092,ALDH1A1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ENSG00000267623,ENSG00000267623,,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
IL1RL2,ENSG00000115598,IL1RL2,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
OTOGL,ENSG00000165899,OTOGL,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
SLC12A1,ENSG00000074803,SLC12A1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
KLHL14,ENSG00000197705,KLHL14,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
C3orf80,ENSG00000180044,C3orf80,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
RDH12,ENSG00000139988,RDH12,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
TPTE2,ENSG00000132958,TPTE2,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
LOC730098,ENSG00000187186,LOC730098,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MEIS3,ENSG00000105419,MEIS3,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ZDHHC23,ENSG00000184307,ZDHHC23,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
TC2N,ENSG00000165929,TC2N,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
NPPA,ENSG00000175206,NPPA,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
GRB14,ENSG00000115290,GRB14,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MUC12,ENSG00000205277,MUC12,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
COX6C,ENSG00000164919,COX6C,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ADAMTSL1,ENSG00000178031,ADAMTSL1,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
C2orf80,ENSG00000188674,C2orf80,False,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CFI,ENSG00000205403,CFI,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
EPHB4,ENSG00000196411,EPHB4,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
SCAMP2,ENSG00000140497,SCAMP2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
KIF5A,ENSG00000155980,KIF5A,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MAP4K4,ENSG00000071054,MAP4K4,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ADCY9,ENSG00000162104,ADCY9,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
KANK2,ENSG00000197256,KANK2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
DDAH2,ENSG00000213722,DDAH2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ADAM33,ENSG00000149451,ADAM33,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
BAG6,ENSG00000228760,BAG6,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
TGFB1,ENSG00000105329,TGFB1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
BCL6,ENSG00000113916,BCL6,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
GNA12,ENSG00000146535,GNA12,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
INPP5D,ENSG00000168918,INPP5D,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
LDLRAP1,ENSG00000157978,LDLRAP1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
TNFRSF1B,ENSG00000028137,TNFRSF1B,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
WASF2,ENSG00000158195,WASF2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MS4A7,ENSG00000166927,MS4A7,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ABI3,ENSG00000108798,ABI3,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
SLC6A12,ENSG00000111181,SLC6A12,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
GMPR,ENSG00000137198,GMPR,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CHRAC1,ENSG00000104472,CHRAC1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MALL,ENSG00000144063,MALL,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CYTL1,ENSG00000170891,CYTL1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PECAM1,ENSG00000261371,PECAM1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CGNL1,ENSG00000128849,CGNL1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PXN,ENSG00000089159,PXN,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
NES,ENSG00000132688,NES,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ITPKB,ENSG00000143772,ITPKB,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
BANF1,ENSG00000175334,BANF1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
FBXO46,ENSG00000177051,FBXO46,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
IGFBP5,ENSG00000115461,IGFBP5,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
WWTR1,ENSG00000018408,WWTR1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
RHOG,ENSG00000177105,RHOG,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
NFATC2,ENSG00000101096,NFATC2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
LGALS9,ENSG00000168961,LGALS9,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
IL10RA,ENSG00000110324,IL10RA,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
SMC1A,ENSG00000072501,SMC1A,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
VIM,ENSG00000026025,VIM,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ENSG00000233139,ENSG00000233139,,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MSX1,ENSG00000163132,MSX1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PADI2,ENSG00000117115,PADI2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
TMT1B,ENSG00000170439,TMT1B,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
LEF1,ENSG00000138795,LEF1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
SH3BGRL3,ENSG00000142669,SH3BGRL3,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
AHNAK,ENSG00000124942,AHNAK,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PLCD3,ENSG00000161714,PLCD3,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ZFP36L1,ENSG00000185650,ZFP36L1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
GFAP,ENSG00000131095,GFAP,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PIGY,ENSG00000255072,PIGY,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CD74,ENSG00000019582,CD74,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
RPLP1,ENSG00000137818,RPLP1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ZFP36L2,ENSG00000152518,ZFP36L2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
RASSF9,ENSG00000198774,RASSF9,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
STAG2,ENSG00000101972,STAG2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
C4B,ENSG00000228454,C4B,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
LRRFIP1P1,ENSG00000240429,LRRFIP1P1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
AEBP1,ENSG00000106624,AEBP1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CRYAB,ENSG00000109846,CRYAB,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ANP32B,ENSG00000136938,ANP32B,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
C6orf118,ENSG00000112539,C6orf118,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ITPR3,ENSG00000096433,ITPR3,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
S100A11,ENSG00000163191,S100A11,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
LGR6,ENSG00000133067,LGR6,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MS4A14,ENSG00000166928,MS4A14,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
APLNR,ENSG00000134817,APLNR,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
HIPK2,ENSG00000064393,HIPK2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
FAM107A,ENSG00000168309,FAM107A,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PRRC2A,ENSG00000204469,PRRC2A,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
DPPA4,ENSG00000121570,DPPA4,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CDR1,ENSG00000288642,CDR1,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
C10orf105,ENSG00000214688,C10orf105,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
CD177,ENSG00000204936,CD177,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
FCGBP,ENSG00000275395,FCGBP,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
NPM1P40,ENSG00000236523,NPM1P40,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ND4L,ENSG00000212907,ND4L,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
ABHD16A,ENSG00000224552,ABHD16A,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
MTND2P28,ENSG00000225630,MTND2P28,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
PSG2,ENSG00000242221,PSG2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
SINHCAFP3,ENSG00000253488,SINHCAFP3,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
GOLGA2,ENSG00000167110,GOLGA2,True,Frontal Lobe,Marques-Coelho_MSSB_BA10,2.3
