gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MTND4P12,ENSG00000247627,MTND4P12,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SST,ENSG00000157005,SST,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CRH,ENSG00000147571,CRH,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
VGF,ENSG00000128564,VGF,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SELE,ENSG00000007908,SELE,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ATOH7,ENSG00000179774,ATOH7,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NEUROD6,ENSG00000164600,NEUROD6,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RPS20P20,ENSG00000241942,RPS20P20,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TAC1,ENSG00000006128,TAC1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
YWHAEP1,ENSG00000232727,YWHAEP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NPY2R,ENSG00000185149,NPY2R,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TNFRSF18,ENSG00000186891,TNFRSF18,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
OSTN,ENSG00000188729,OSTN,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
VIP,ENSG00000146469,VIP,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ADCYAP1,ENSG00000141433,ADCYAP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ENSG00000254890,ENSG00000254890,,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ENSG00000267623,ENSG00000267623,,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RGS4,ENSG00000117152,RGS4,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
GABRA6,ENSG00000145863,GABRA6,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
C3orf80,ENSG00000180044,C3orf80,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
OTOGL,ENSG00000165899,OTOGL,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SLC2A14,ENSG00000173262,SLC2A14,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SLC25A2,ENSG00000120329,SLC25A2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PNMA5,ENSG00000292194,PNMA5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PCSK1,ENSG00000175426,PCSK1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SVOP,ENSG00000166111,SVOP,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CRYM,ENSG00000103316,CRYM,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CRYM-AS1,,CRYM-AS1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CBLN4,ENSG00000054803,CBLN4,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ZCCHC12,ENSG00000174460,ZCCHC12,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
BEX5,ENSG00000291824,BEX5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SOWAHB,ENSG00000186212,SOWAHB,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SCG2,ENSG00000171951,SCG2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
YJEFN3,ENSG00000250067,YJEFN3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
HPCA,ENSG00000121905,HPCA,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SNAPC5P1,ENSG00000241216,SNAPC5P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RPRML,ENSG00000179673,RPRML,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ABCC12,ENSG00000140798,ABCC12,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
