gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
TMEM132E-DT,ENSG00000197322,TMEM132E-DT,False,Frontal Lobe,Panitch_et_al,1.8
ADCYAP1,ENSG00000141433,ADCYAP1,False,Frontal Lobe,Panitch_et_al,1.8
CRH,ENSG00000147571,CRH,False,Frontal Lobe,Panitch_et_al,1.8
CHML,ENSG00000203668,CHML,False,Frontal Lobe,Panitch_et_al,1.8
TMEM107,ENSG00000179029,TMEM107,False,Frontal Lobe,Panitch_et_al,1.8
IQGAP3,ENSG00000291754,IQGAP3,False,Frontal Lobe,Panitch_et_al,1.8
SST,ENSG00000157005,SST,False,Frontal Lobe,Panitch_et_al,1.8
PCYOX1L,ENSG00000145882,PCYOX1L,False,Frontal Lobe,Panitch_et_al,1.8
RPGRIP1L,ENSG00000103494,RPGRIP1L,False,Frontal Lobe,Panitch_et_al,1.8
BRWD1-AS1,ENSG00000238141,BRWD1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
GPRASP1,ENSG00000198932,GPRASP1,False,Frontal Lobe,Panitch_et_al,1.8
DYNC2LI1,ENSG00000138036,DYNC2LI1,False,Frontal Lobe,Panitch_et_al,1.8
ADAT2,ENSG00000189007,ADAT2,False,Frontal Lobe,Panitch_et_al,1.8
LCLAT1,ENSG00000172954,LCLAT1,False,Frontal Lobe,Panitch_et_al,1.8
TRPC1,ENSG00000144935,TRPC1,False,Frontal Lobe,Panitch_et_al,1.8
VGF,ENSG00000128564,VGF,False,Frontal Lobe,Panitch_et_al,1.8
MAP4K3-DT,ENSG00000231312,MAP4K3-DT,False,Frontal Lobe,Panitch_et_al,1.8
GSTA4,ENSG00000170899,GSTA4,False,Frontal Lobe,Panitch_et_al,1.8
OLFM4,ENSG00000102837,OLFM4,False,Frontal Lobe,Panitch_et_al,1.8
CHORDC1,ENSG00000110172,CHORDC1,False,Frontal Lobe,Panitch_et_al,1.8
PPP1R2B,ENSG00000231989,PPP1R2B,False,Frontal Lobe,Panitch_et_al,1.8
ANKRD18DP,ENSG00000291192,ANKRD18DP,False,Frontal Lobe,Panitch_et_al,1.8
DNAJC19,ENSG00000205981,DNAJC19,False,Frontal Lobe,Panitch_et_al,1.8
PPEF1-AS1,ENSG00000237221,PPEF1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
TMEM14B-DT,ENSG00000272097,TMEM14B-DT,False,Frontal Lobe,Panitch_et_al,1.8
CEP83-DT,ENSG00000278916,CEP83-DT,False,Frontal Lobe,Panitch_et_al,1.8
CHCHD7,ENSG00000170791,CHCHD7,False,Frontal Lobe,Panitch_et_al,1.8
ZNF334,ENSG00000198185,ZNF334,False,Frontal Lobe,Panitch_et_al,1.8
MRPL30,ENSG00000185414,MRPL30,False,Frontal Lobe,Panitch_et_al,1.8
TASP1,ENSG00000089123,TASP1,False,Frontal Lobe,Panitch_et_al,1.8
LETMD1,ENSG00000050426,LETMD1,False,Frontal Lobe,Panitch_et_al,1.8
PNOC,ENSG00000168081,PNOC,False,Frontal Lobe,Panitch_et_al,1.8
EID2B,ENSG00000176401,EID2B,False,Frontal Lobe,Panitch_et_al,1.8
EEF1AKMT2,ENSG00000203791,EEF1AKMT2,False,Frontal Lobe,Panitch_et_al,1.8
ZNF441,ENSG00000197044,ZNF441,False,Frontal Lobe,Panitch_et_al,1.8
SPCS1,ENSG00000114902,SPCS1,False,Frontal Lobe,Panitch_et_al,1.8
CFAP263,ENSG00000103021,CFAP263,False,Frontal Lobe,Panitch_et_al,1.8
HMGN2,ENSG00000198830,HMGN2,False,Frontal Lobe,Panitch_et_al,1.8
NAT16,ENSG00000167011,NAT16,False,Frontal Lobe,Panitch_et_al,1.8
C5orf22,ENSG00000082213,C5orf22,False,Frontal Lobe,Panitch_et_al,1.8
CYRIB,ENSG00000153310,CYRIB,False,Frontal Lobe,Panitch_et_al,1.8
ARSG,ENSG00000141337,ARSG,False,Frontal Lobe,Panitch_et_al,1.8
PENK-AS1,ENSG00000254254,PENK-AS1,False,Frontal Lobe,Panitch_et_al,1.8
AP4B1-AS1,ENSG00000226167,AP4B1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
GPCPD1,ENSG00000125772,GPCPD1,False,Frontal Lobe,Panitch_et_al,1.8
NUDT21,ENSG00000167005,NUDT21,False,Frontal Lobe,Panitch_et_al,1.8
LINC02458,ENSG00000246363,LINC02458,False,Frontal Lobe,Panitch_et_al,1.8
RUSF1,ENSG00000140688,RUSF1,False,Frontal Lobe,Panitch_et_al,1.8
PCSK1,ENSG00000175426,PCSK1,False,Frontal Lobe,Panitch_et_al,1.8
PFN2-AS1,ENSG00000242791,PFN2-AS1,False,Frontal Lobe,Panitch_et_al,1.8
APBB3,ENSG00000113108,APBB3,False,Frontal Lobe,Panitch_et_al,1.8
TAF1D,ENSG00000166012,TAF1D,False,Frontal Lobe,Panitch_et_al,1.8
MEN1,ENSG00000133895,MEN1,False,Frontal Lobe,Panitch_et_al,1.8
SUPT7L,ENSG00000119760,SUPT7L,False,Frontal Lobe,Panitch_et_al,1.8
TRMT9B,ENSG00000284872,TRMT9B,False,Frontal Lobe,Panitch_et_al,1.8
GAD1,ENSG00000128683,GAD1,False,Frontal Lobe,Panitch_et_al,1.8
OCIAD1-AS1,ENSG00000248256,OCIAD1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
KRT5,ENSG00000186081,KRT5,False,Frontal Lobe,Panitch_et_al,1.8
LIAS,ENSG00000121897,LIAS,False,Frontal Lobe,Panitch_et_al,1.8
SPON2,ENSG00000159674,SPON2,False,Frontal Lobe,Panitch_et_al,1.8
ITFG1-AS1,ENSG00000260281,ITFG1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
ABCA5,ENSG00000154265,ABCA5,False,Frontal Lobe,Panitch_et_al,1.8
