gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
ENSG00000258903,ENSG00000258903,,False,Temporal Lobe,Piras_et_al,1.9
PCDHGC5,ENSG00000240764,PCDHGC5,False,Temporal Lobe,Piras_et_al,1.9
IGFN1,ENSG00000163395,IGFN1,False,Temporal Lobe,Piras_et_al,1.9
NXPH2,ENSG00000144227,NXPH2,False,Temporal Lobe,Piras_et_al,1.9
FREM3,ENSG00000183090,FREM3,False,Temporal Lobe,Piras_et_al,1.9
CNGB1,ENSG00000070729,CNGB1,False,Temporal Lobe,Piras_et_al,1.9
MCHR2,ENSG00000152034,MCHR2,False,Temporal Lobe,Piras_et_al,1.9
HTR4,ENSG00000164270,HTR4,False,Temporal Lobe,Piras_et_al,1.9
HTR3B,ENSG00000149305,HTR3B,False,Temporal Lobe,Piras_et_al,1.9
KRT17P1,ENSG00000131885,KRT17P1,False,Temporal Lobe,Piras_et_al,1.9
PCDHA5,ENSG00000204965,PCDHA5,False,Temporal Lobe,Piras_et_al,1.9
C1QL3,ENSG00000165985,C1QL3,False,Temporal Lobe,Piras_et_al,1.9
KCNH7,ENSG00000184611,KCNH7,False,Temporal Lobe,Piras_et_al,1.9
GRM5,ENSG00000168959,GRM5,False,Temporal Lobe,Piras_et_al,1.9
KIAA0087,ENSG00000122548,KIAA0087,False,Temporal Lobe,Piras_et_al,1.9
PCDHGC4,ENSG00000242419,PCDHGC4,False,Temporal Lobe,Piras_et_al,1.9
HS6ST3,ENSG00000185352,HS6ST3,False,Temporal Lobe,Piras_et_al,1.9
PCDHAC2,ENSG00000291668,PCDHAC2,False,Temporal Lobe,Piras_et_al,1.9
KCNH5,ENSG00000140015,KCNH5,False,Temporal Lobe,Piras_et_al,1.9
SOWAHB,ENSG00000186212,SOWAHB,False,Temporal Lobe,Piras_et_al,1.9
SNRPGP15,ENSG00000224543,SNRPGP15,False,Temporal Lobe,Piras_et_al,1.9
LOC101929473,ENSG00000255087,LOC101929473,False,Temporal Lobe,Piras_et_al,1.9
CDKL5,ENSG00000008086,CDKL5,False,Temporal Lobe,Piras_et_al,1.9
ADTRP,ENSG00000111863,ADTRP,False,Temporal Lobe,Piras_et_al,1.9
LINC01476,ENSG00000265313,LINC01476,False,Temporal Lobe,Piras_et_al,1.9
GAD2,ENSG00000136750,GAD2,False,Temporal Lobe,Piras_et_al,1.9
ANKRD18EP,ENSG00000217165,ANKRD18EP,False,Temporal Lobe,Piras_et_al,1.9
PCDH11Y,ENSG00000099715,PCDH11Y,False,Temporal Lobe,Piras_et_al,1.9
HTR7P1,ENSG00000183935,HTR7P1,False,Temporal Lobe,Piras_et_al,1.9
CCBE1,ENSG00000183287,CCBE1,False,Temporal Lobe,Piras_et_al,1.9
RGS7BP,ENSG00000186479,RGS7BP,False,Temporal Lobe,Piras_et_al,1.9
ZNF215,ENSG00000149054,ZNF215,False,Temporal Lobe,Piras_et_al,1.9
YWHAZP2,ENSG00000213236,YWHAZP2,False,Temporal Lobe,Piras_et_al,1.9
COL25A1,ENSG00000188517,COL25A1,False,Temporal Lobe,Piras_et_al,1.9
SVOP,ENSG00000166111,SVOP,False,Temporal Lobe,Piras_et_al,1.9
TDO2,ENSG00000262635,TDO2,False,Temporal Lobe,Piras_et_al,1.9
DRD5,ENSG00000169676,DRD5,False,Temporal Lobe,Piras_et_al,1.9
GPRIN2,ENSG00000204175,GPRIN2,False,Temporal Lobe,Piras_et_al,1.9
INHBA-AS1,ENSG00000224116,INHBA-AS1,False,Temporal Lobe,Piras_et_al,1.9
MIR770,ENSG00000211574,MIR770,False,Temporal Lobe,Piras_et_al,1.9
PPEF1,ENSG00000086717,PPEF1,False,Temporal Lobe,Piras_et_al,1.9
CCDC144A,ENSG00000170160,CCDC144A,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000260328,ENSG00000260328,,False,Temporal Lobe,Piras_et_al,1.9
LINC02458,ENSG00000246363,LINC02458,False,Temporal Lobe,Piras_et_al,1.9
SYT16,ENSG00000139973,SYT16,False,Temporal Lobe,Piras_et_al,1.9
CNTNAP5,ENSG00000155052,CNTNAP5,False,Temporal Lobe,Piras_et_al,1.9
TMEM132E-DT,ENSG00000197322,TMEM132E-DT,False,Temporal Lobe,Piras_et_al,1.9
RPH3A,ENSG00000089169,RPH3A,False,Temporal Lobe,Piras_et_al,1.9
DCC,ENSG00000187323,DCC,False,Temporal Lobe,Piras_et_al,1.9
LINC01521,ENSG00000213888,LINC01521,False,Temporal Lobe,Piras_et_al,1.9
SLC32A1,ENSG00000101438,SLC32A1,False,Temporal Lobe,Piras_et_al,1.9
SERTAD4BP,ENSG00000186369,SERTAD4BP,False,Temporal Lobe,Piras_et_al,1.9
NOMO3,ENSG00000103226,NOMO3,False,Temporal Lobe,Piras_et_al,1.9
PPM1E,ENSG00000175175,PPM1E,False,Temporal Lobe,Piras_et_al,1.9
BCYRN1,ENSG00000236824,BCYRN1,False,Temporal Lobe,Piras_et_al,1.9
LINC02347,ENSG00000214043,LINC02347,False,Temporal Lobe,Piras_et_al,1.9
PCSK1,ENSG00000175426,PCSK1,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000258768,ENSG00000258768,,False,Temporal Lobe,Piras_et_al,1.9
IL1RL2,ENSG00000115598,IL1RL2,False,Temporal Lobe,Piras_et_al,1.9
C3orf80,ENSG00000180044,C3orf80,False,Temporal Lobe,Piras_et_al,1.9
RPS6KA6,ENSG00000072133,RPS6KA6,False,Temporal Lobe,Piras_et_al,1.9
GLTPD2,ENSG00000182327,GLTPD2,False,Temporal Lobe,Piras_et_al,1.9
RAB27B,ENSG00000041353,RAB27B,False,Temporal Lobe,Piras_et_al,1.9
CCDC85A,ENSG00000055813,CCDC85A,False,Temporal Lobe,Piras_et_al,1.9
LOC124901355,ENSG00000272008,LOC124901355,False,Temporal Lobe,Piras_et_al,1.9
HTR2C,ENSG00000147246,HTR2C,False,Temporal Lobe,Piras_et_al,1.9
SCN8A,ENSG00000196876,SCN8A,False,Temporal Lobe,Piras_et_al,1.9
EPHA6,ENSG00000080224,EPHA6,False,Temporal Lobe,Piras_et_al,1.9
LINC01511,ENSG00000281736,LINC01511,False,Temporal Lobe,Piras_et_al,1.9
RGS4,ENSG00000117152,RGS4,False,Temporal Lobe,Piras_et_al,1.9
RHCE,ENSG00000188672,RHCE,False,Temporal Lobe,Piras_et_al,1.9
ROBO2,ENSG00000185008,ROBO2,False,Temporal Lobe,Piras_et_al,1.9
SHC3,ENSG00000148082,SHC3,False,Temporal Lobe,Piras_et_al,1.9
TPBGL,ENSG00000261594,TPBGL,False,Temporal Lobe,Piras_et_al,1.9
HMGCS1,ENSG00000112972,HMGCS1,False,Temporal Lobe,Piras_et_al,1.9
PNMA6F,ENSG00000225110,PNMA6F,False,Temporal Lobe,Piras_et_al,1.9
SLC7A4,ENSG00000099960,SLC7A4,False,Temporal Lobe,Piras_et_al,1.9
LINC01007,ENSG00000233123,LINC01007,False,Temporal Lobe,Piras_et_al,1.9
NCR3LG1,ENSG00000188211,NCR3LG1,False,Temporal Lobe,Piras_et_al,1.9
GCNT4,ENSG00000176928,GCNT4,False,Temporal Lobe,Piras_et_al,1.9
SPHKAP,ENSG00000153820,SPHKAP,False,Temporal Lobe,Piras_et_al,1.9
EPHA5,ENSG00000145242,EPHA5,False,Temporal Lobe,Piras_et_al,1.9
SERTM1,ENSG00000180440,SERTM1,False,Temporal Lobe,Piras_et_al,1.9
SMIM17,ENSG00000268182,SMIM17,False,Temporal Lobe,Piras_et_al,1.9
AGBL4,ENSG00000186094,AGBL4,False,Temporal Lobe,Piras_et_al,1.9
WDR31,ENSG00000148225,WDR31,False,Temporal Lobe,Piras_et_al,1.9
MCHR1,ENSG00000128285,MCHR1,False,Temporal Lobe,Piras_et_al,1.9
NKAIN3,ENSG00000185942,NKAIN3,False,Temporal Lobe,Piras_et_al,1.9
TUBGCP5,ENSG00000276856,TUBGCP5,False,Temporal Lobe,Piras_et_al,1.9
OPN3,ENSG00000054277,OPN3,False,Temporal Lobe,Piras_et_al,1.9
GNG3,ENSG00000162188,GNG3,False,Temporal Lobe,Piras_et_al,1.9
LRTM2,ENSG00000285383,LRTM2,False,Temporal Lobe,Piras_et_al,1.9
LY86-AS1,ENSG00000216863,LY86-AS1,False,Temporal Lobe,Piras_et_al,1.9
RPSAP69,ENSG00000233487,RPSAP69,False,Temporal Lobe,Piras_et_al,1.9
CHRNB2,ENSG00000160716,CHRNB2,False,Temporal Lobe,Piras_et_al,1.9
RXFP1,ENSG00000171509,RXFP1,False,Temporal Lobe,Piras_et_al,1.9
RAB3C,ENSG00000152932,RAB3C,False,Temporal Lobe,Piras_et_al,1.9
RAB3B,ENSG00000169213,RAB3B,False,Temporal Lobe,Piras_et_al,1.9
LINC01547,ENSG00000183250,LINC01547,False,Temporal Lobe,Piras_et_al,1.9
LHFPL4,ENSG00000156959,LHFPL4,False,Temporal Lobe,Piras_et_al,1.9
LINGO2,ENSG00000174482,LINGO2,False,Temporal Lobe,Piras_et_al,1.9
OLFM3,ENSG00000118733,OLFM3,False,Temporal Lobe,Piras_et_al,1.9
PART1,ENSG00000152931,PART1,False,Temporal Lobe,Piras_et_al,1.9
ATL1,ENSG00000198513,ATL1,False,Temporal Lobe,Piras_et_al,1.9
PSMC1P1,ENSG00000241506,PSMC1P1,False,Temporal Lobe,Piras_et_al,1.9
SYTL5,ENSG00000147041,SYTL5,False,Temporal Lobe,Piras_et_al,1.9
FAM3C2P,ENSG00000174028,FAM3C2P,False,Temporal Lobe,Piras_et_al,1.9
PPM1F-AS1,ENSG00000224086,PPM1F-AS1,False,Temporal Lobe,Piras_et_al,1.9
EFR3B,ENSG00000084710,EFR3B,False,Temporal Lobe,Piras_et_al,1.9
ZCCHC12,ENSG00000174460,ZCCHC12,False,Temporal Lobe,Piras_et_al,1.9
TUBB2A,ENSG00000137267,TUBB2A,False,Temporal Lobe,Piras_et_al,1.9
ALDH1A3-AS1,ENSG00000259583,ALDH1A3-AS1,False,Temporal Lobe,Piras_et_al,1.9
BMPER,ENSG00000164619,BMPER,False,Temporal Lobe,Piras_et_al,1.9
GRM8,ENSG00000179603,GRM8,False,Temporal Lobe,Piras_et_al,1.9
SHANK1,ENSG00000161681,SHANK1,False,Temporal Lobe,Piras_et_al,1.9
GAD1,ENSG00000128683,GAD1,False,Temporal Lobe,Piras_et_al,1.9
DPY19L2P2,ENSG00000170629,DPY19L2P2,False,Temporal Lobe,Piras_et_al,1.9
TRABD-AS1,ENSG00000273253,TRABD-AS1,False,Temporal Lobe,Piras_et_al,1.9
NCALD,ENSG00000104490,NCALD,False,Temporal Lobe,Piras_et_al,1.9
PDGFD,ENSG00000170962,PDGFD,False,Temporal Lobe,Piras_et_al,1.9
NMNAT2,ENSG00000157064,NMNAT2,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000259683,ENSG00000259683,,False,Temporal Lobe,Piras_et_al,1.9
NEK10,ENSG00000163491,NEK10,False,Temporal Lobe,Piras_et_al,1.9
DOC2B,ENSG00000272636,DOC2B,False,Temporal Lobe,Piras_et_al,1.9
NELL1,ENSG00000165973,NELL1,False,Temporal Lobe,Piras_et_al,1.9
KREMEN2,ENSG00000131650,KREMEN2,False,Temporal Lobe,Piras_et_al,1.9
CDH18,ENSG00000145526,CDH18,False,Temporal Lobe,Piras_et_al,1.9
HUNK,ENSG00000142149,HUNK,False,Temporal Lobe,Piras_et_al,1.9
RIMS1,ENSG00000079841,RIMS1,False,Temporal Lobe,Piras_et_al,1.9
PARM1,ENSG00000169116,PARM1,False,Temporal Lobe,Piras_et_al,1.9
GDA,ENSG00000119125,GDA,False,Temporal Lobe,Piras_et_al,1.9
BASP1-AS1,ENSG00000215196,BASP1-AS1,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000250934,ENSG00000250934,,False,Temporal Lobe,Piras_et_al,1.9
FTCDNL1,ENSG00000226124,FTCDNL1,False,Temporal Lobe,Piras_et_al,1.9
LNCOC1,ENSG00000253741,LNCOC1,False,Temporal Lobe,Piras_et_al,1.9
ZNF382,ENSG00000161298,ZNF382,False,Temporal Lobe,Piras_et_al,1.9
MRTFB,ENSG00000186260,MRTFB,False,Temporal Lobe,Piras_et_al,1.9
MTPN,ENSG00000105887,MTPN,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000260482,ENSG00000260482,,False,Temporal Lobe,Piras_et_al,1.9
HSPB3,ENSG00000169271,HSPB3,False,Temporal Lobe,Piras_et_al,1.9
RUSF1,ENSG00000140688,RUSF1,False,Temporal Lobe,Piras_et_al,1.9
ADRA1B,ENSG00000170214,ADRA1B,False,Temporal Lobe,Piras_et_al,1.9
GPLD1,ENSG00000112293,GPLD1,False,Temporal Lobe,Piras_et_al,1.9
CDH8,ENSG00000150394,CDH8,False,Temporal Lobe,Piras_et_al,1.9
NDST3,ENSG00000164100,NDST3,False,Temporal Lobe,Piras_et_al,1.9
NPY5R,ENSG00000164129,NPY5R,False,Temporal Lobe,Piras_et_al,1.9
PAK1,ENSG00000149269,PAK1,False,Temporal Lobe,Piras_et_al,1.9
ZNF441,ENSG00000197044,ZNF441,False,Temporal Lobe,Piras_et_al,1.9
SEPHS1P6,ENSG00000213938,SEPHS1P6,False,Temporal Lobe,Piras_et_al,1.9
TAC1,ENSG00000006128,TAC1,False,Temporal Lobe,Piras_et_al,1.9
NRSN1,ENSG00000152954,NRSN1,False,Temporal Lobe,Piras_et_al,1.9
CAMK4,ENSG00000152495,CAMK4,False,Temporal Lobe,Piras_et_al,1.9
OTOGL,ENSG00000165899,OTOGL,False,Temporal Lobe,Piras_et_al,1.9
NRN1,ENSG00000124785,NRN1,False,Temporal Lobe,Piras_et_al,1.9
NXPH1,ENSG00000122584,NXPH1,False,Temporal Lobe,Piras_et_al,1.9
PTPN3,ENSG00000070159,PTPN3,False,Temporal Lobe,Piras_et_al,1.9
PHACTR1,ENSG00000112137,PHACTR1,False,Temporal Lobe,Piras_et_al,1.9
SYTL2,ENSG00000137501,SYTL2,False,Temporal Lobe,Piras_et_al,1.9
SAMD5,ENSG00000203727,SAMD5,False,Temporal Lobe,Piras_et_al,1.9
SH3D21,ENSG00000214193,SH3D21,False,Temporal Lobe,Piras_et_al,1.9
LRRC75A,ENSG00000181350,LRRC75A,False,Temporal Lobe,Piras_et_al,1.9
RTN3P1,ENSG00000251333,RTN3P1,False,Temporal Lobe,Piras_et_al,1.9
BDNF,ENSG00000176697,BDNF,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000261572,ENSG00000261572,,False,Temporal Lobe,Piras_et_al,1.9
GRIN2B,ENSG00000273079,GRIN2B,False,Temporal Lobe,Piras_et_al,1.9
NHLRC1,ENSG00000187566,NHLRC1,False,Temporal Lobe,Piras_et_al,1.9
DLX6-AS1,ENSG00000231764,DLX6-AS1,False,Temporal Lobe,Piras_et_al,1.9
LNX1,ENSG00000072201,LNX1,False,Temporal Lobe,Piras_et_al,1.9
SNRPN,ENSG00000128739,SNRPN,False,Temporal Lobe,Piras_et_al,1.9
RAB6D,ENSG00000233087,RAB6D,False,Temporal Lobe,Piras_et_al,1.9
SYP,ENSG00000102003,SYP,False,Temporal Lobe,Piras_et_al,1.9
WNT9A,ENSG00000143816,WNT9A,False,Temporal Lobe,Piras_et_al,1.9
TAGAP-AS1,ENSG00000271913,TAGAP-AS1,False,Temporal Lobe,Piras_et_al,1.9
GPR88,ENSG00000181656,GPR88,False,Temporal Lobe,Piras_et_al,1.9
FBXL18,ENSG00000155034,FBXL18,False,Temporal Lobe,Piras_et_al,1.9
GCNT1,ENSG00000187210,GCNT1,False,Temporal Lobe,Piras_et_al,1.9
MTMR7,ENSG00000003987,MTMR7,False,Temporal Lobe,Piras_et_al,1.9
