gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
ATOH7,ENSG00000179774,ATOH7,False,Hippocampus,van_Rooij_et_al,1.8
SST,ENSG00000157005,SST,False,Hippocampus,van_Rooij_et_al,1.8
CA12,ENSG00000074410,CA12,False,Hippocampus,van_Rooij_et_al,1.8
GAD2,ENSG00000136750,GAD2,False,Hippocampus,van_Rooij_et_al,1.8
CHGB,ENSG00000089199,CHGB,False,Hippocampus,van_Rooij_et_al,1.8
MEPE,ENSG00000152595,MEPE,False,Hippocampus,van_Rooij_et_al,1.8
TAC1,ENSG00000006128,TAC1,False,Hippocampus,van_Rooij_et_al,1.8
BDNF-AS,ENSG00000245573,BDNF-AS,False,Hippocampus,van_Rooij_et_al,1.8
PCSK1,ENSG00000175426,PCSK1,False,Hippocampus,van_Rooij_et_al,1.8
OLFM3,ENSG00000118733,OLFM3,False,Hippocampus,van_Rooij_et_al,1.8
CRYM-AS1,,CRYM-AS1,False,Hippocampus,van_Rooij_et_al,1.8
TDO2,ENSG00000262635,TDO2,False,Hippocampus,van_Rooij_et_al,1.8
SMIM43,ENSG00000164112,SMIM43,False,Hippocampus,van_Rooij_et_al,1.8
WIF1,ENSG00000156076,WIF1,False,Hippocampus,van_Rooij_et_al,1.8
GAD1,ENSG00000128683,GAD1,False,Hippocampus,van_Rooij_et_al,1.8
VGF,ENSG00000128564,VGF,False,Hippocampus,van_Rooij_et_al,1.8
SNAP25,ENSG00000132639,SNAP25,False,Hippocampus,van_Rooij_et_al,1.8
SLC32A1,ENSG00000101438,SLC32A1,False,Hippocampus,van_Rooij_et_al,1.8
OPRK1,ENSG00000082556,OPRK1,False,Hippocampus,van_Rooij_et_al,1.8
CDH9,ENSG00000113100,CDH9,False,Hippocampus,van_Rooij_et_al,1.8
RAB3C,ENSG00000152932,RAB3C,False,Hippocampus,van_Rooij_et_al,1.8
SYT13,ENSG00000019505,SYT13,False,Hippocampus,van_Rooij_et_al,1.8
SYT4,ENSG00000132872,SYT4,False,Hippocampus,van_Rooij_et_al,1.8
PRMT8,ENSG00000111218,PRMT8,False,Hippocampus,van_Rooij_et_al,1.8
LAMP5-AS1,ENSG00000225988,LAMP5-AS1,False,Hippocampus,van_Rooij_et_al,1.8
CRH,ENSG00000147571,CRH,False,Hippocampus,van_Rooij_et_al,1.8
NEUROD6,ENSG00000164600,NEUROD6,False,Hippocampus,van_Rooij_et_al,1.8
PCDH8,ENSG00000136099,PCDH8,False,Hippocampus,van_Rooij_et_al,1.8
KCNV1,ENSG00000164794,KCNV1,False,Hippocampus,van_Rooij_et_al,1.8
RAB27B,ENSG00000041353,RAB27B,False,Hippocampus,van_Rooij_et_al,1.8
SLC4A10,ENSG00000144290,SLC4A10,False,Hippocampus,van_Rooij_et_al,1.8
PRPH2,ENSG00000112619,PRPH2,False,Hippocampus,van_Rooij_et_al,1.8
PNOC,ENSG00000168081,PNOC,False,Hippocampus,van_Rooij_et_al,1.8
ANO3-AS1,ENSG00000254819,ANO3-AS1,False,Hippocampus,van_Rooij_et_al,1.8
HTR3A,ENSG00000166736,HTR3A,False,Hippocampus,van_Rooij_et_al,1.8
SLC7A4,ENSG00000099960,SLC7A4,False,Hippocampus,van_Rooij_et_al,1.8
UNC5D,ENSG00000156687,UNC5D,False,Hippocampus,van_Rooij_et_al,1.8
LPO,ENSG00000167419,LPO,False,Hippocampus,van_Rooij_et_al,1.8
NELL1,ENSG00000165973,NELL1,False,Hippocampus,van_Rooij_et_al,1.8
CALB1,ENSG00000104327,CALB1,False,Hippocampus,van_Rooij_et_al,1.8
SVOPL,ENSG00000157703,SVOPL,False,Hippocampus,van_Rooij_et_al,1.8
LOC108281190,,LOC108281190,False,Hippocampus,van_Rooij_et_al,1.8
LOC114803470,,LOC114803470,False,Hippocampus,van_Rooij_et_al,1.8
SLC30A3,ENSG00000115194,SLC30A3,False,Hippocampus,van_Rooij_et_al,1.8
KLK6,ENSG00000167755,KLK6,False,Hippocampus,van_Rooij_et_al,1.8
RAB3B,ENSG00000169213,RAB3B,False,Hippocampus,van_Rooij_et_al,1.8
PCDHA@,,PCDHA@,False,Hippocampus,van_Rooij_et_al,1.8
SLC25A16,ENSG00000122912,SLC25A16,False,Hippocampus,van_Rooij_et_al,1.8
PPM1E,ENSG00000175175,PPM1E,False,Hippocampus,van_Rooij_et_al,1.8
RPH3A,ENSG00000089169,RPH3A,False,Hippocampus,van_Rooij_et_al,1.8
CADPS,ENSG00000163618,CADPS,False,Hippocampus,van_Rooij_et_al,1.8
TUBB2A,ENSG00000137267,TUBB2A,False,Hippocampus,van_Rooij_et_al,1.8
ERC2-IT1,ENSG00000281708,ERC2-IT1,False,Hippocampus,van_Rooij_et_al,1.8
NETO1-DT,ENSG00000263958,NETO1-DT,False,Hippocampus,van_Rooij_et_al,1.8
PCSK2,ENSG00000125851,PCSK2,False,Hippocampus,van_Rooij_et_al,1.8
KCNC2,ENSG00000166006,KCNC2,False,Hippocampus,van_Rooij_et_al,1.8
STMN2,ENSG00000104435,STMN2,False,Hippocampus,van_Rooij_et_al,1.8
DLX1,ENSG00000292098,DLX1,False,Hippocampus,van_Rooij_et_al,1.8
DNM1,ENSG00000106976,DNM1,False,Hippocampus,van_Rooij_et_al,1.8
SCN3B,ENSG00000166257,SCN3B,False,Hippocampus,van_Rooij_et_al,1.8
PTH2R,ENSG00000144407,PTH2R,False,Hippocampus,van_Rooij_et_al,1.8
UNC13A,ENSG00000130477,UNC13A,False,Hippocampus,van_Rooij_et_al,1.8
LRTM2,ENSG00000285383,LRTM2,False,Hippocampus,van_Rooij_et_al,1.8
RET,ENSG00000165731,RET,False,Hippocampus,van_Rooij_et_al,1.8
ATP8A2,ENSG00000132932,ATP8A2,False,Hippocampus,van_Rooij_et_al,1.8
SYT1,ENSG00000067715,SYT1,False,Hippocampus,van_Rooij_et_al,1.8
CHRNB2,ENSG00000160716,CHRNB2,False,Hippocampus,van_Rooij_et_al,1.8
ELAVL2,ENSG00000107105,ELAVL2,False,Hippocampus,van_Rooij_et_al,1.8
TAFA2,ENSG00000198673,TAFA2,False,Hippocampus,van_Rooij_et_al,1.8
PCDHGC5,ENSG00000240764,PCDHGC5,False,Hippocampus,van_Rooij_et_al,1.8
RBFOX1,ENSG00000078328,RBFOX1,False,Hippocampus,van_Rooij_et_al,1.8
VSNL1,ENSG00000163032,VSNL1,False,Hippocampus,van_Rooij_et_al,1.8
MYT1L-AS1,ENSG00000225619,MYT1L-AS1,False,Hippocampus,van_Rooij_et_al,1.8
AMPH,ENSG00000078053,AMPH,False,Hippocampus,van_Rooij_et_al,1.8
CCKBR,ENSG00000110148,CCKBR,False,Hippocampus,van_Rooij_et_al,1.8
CALHM1,ENSG00000185933,CALHM1,False,Hippocampus,van_Rooij_et_al,1.8
INSM2,ENSG00000168348,INSM2,False,Hippocampus,van_Rooij_et_al,1.8
KCNQ5-DT,ENSG00000285844,KCNQ5-DT,False,Hippocampus,van_Rooij_et_al,1.8
NMNAT2,ENSG00000157064,NMNAT2,False,Hippocampus,van_Rooij_et_al,1.8
SLC17A8,ENSG00000179520,SLC17A8,False,Hippocampus,van_Rooij_et_al,1.8
NPTX1,ENSG00000171246,NPTX1,False,Hippocampus,van_Rooij_et_al,1.8
GABRD,ENSG00000187730,GABRD,False,Hippocampus,van_Rooij_et_al,1.8
TPBGL-AS1,ENSG00000255136,TPBGL-AS1,False,Hippocampus,van_Rooij_et_al,1.8
SNCB,ENSG00000074317,SNCB,False,Hippocampus,van_Rooij_et_al,1.8
ERICH3,ENSG00000178965,ERICH3,False,Hippocampus,van_Rooij_et_al,1.8
GPRIN2,ENSG00000204175,GPRIN2,False,Hippocampus,van_Rooij_et_al,1.8
RASGRP1,ENSG00000172575,RASGRP1,False,Hippocampus,van_Rooij_et_al,1.8
LNX1-AS1,ENSG00000250930,LNX1-AS1,False,Hippocampus,van_Rooij_et_al,1.8
CREG2,ENSG00000175874,CREG2,False,Hippocampus,van_Rooij_et_al,1.8
HECW1-IT1,ENSG00000181211,HECW1-IT1,False,Hippocampus,van_Rooij_et_al,1.8
ST8SIA3,ENSG00000177511,ST8SIA3,False,Hippocampus,van_Rooij_et_al,1.8
CALY,ENSG00000130643,CALY,False,Hippocampus,van_Rooij_et_al,1.8
SEPTIN9,ENSG00000282302,SEPTIN9,False,Hippocampus,van_Rooij_et_al,1.8
C1QL3,ENSG00000165985,C1QL3,False,Hippocampus,van_Rooij_et_al,1.8
SCN2A,ENSG00000136531,SCN2A,False,Hippocampus,van_Rooij_et_al,1.8
TENM2-AS1,ENSG00000253978,TENM2-AS1,False,Hippocampus,van_Rooij_et_al,1.8
GABRA4,ENSG00000109158,GABRA4,False,Hippocampus,van_Rooij_et_al,1.8
GRIN2B,ENSG00000273079,GRIN2B,False,Hippocampus,van_Rooij_et_al,1.8
ATP1A3,ENSG00000105409,ATP1A3,False,Hippocampus,van_Rooij_et_al,1.8
CACNG8,ENSG00000142408,CACNG8,False,Hippocampus,van_Rooij_et_al,1.8
DLGAP1-AS5,ENSG00000261520,DLGAP1-AS5,False,Hippocampus,van_Rooij_et_al,1.8
SLC6A7,ENSG00000011083,SLC6A7,False,Hippocampus,van_Rooij_et_al,1.8
SLC7A14-AS1,ENSG00000285051,SLC7A14-AS1,False,Hippocampus,van_Rooij_et_al,1.8
SV2B,ENSG00000185518,SV2B,False,Hippocampus,van_Rooij_et_al,1.8
NSF,ENSG00000073969,NSF,False,Hippocampus,van_Rooij_et_al,1.8
GABBR2,ENSG00000136928,GABBR2,False,Hippocampus,van_Rooij_et_al,1.8
PLPPR4,ENSG00000117600,PLPPR4,False,Hippocampus,van_Rooij_et_al,1.8
KCNA1,ENSG00000111262,KCNA1,False,Hippocampus,van_Rooij_et_al,1.8
SNAP91,ENSG00000065609,SNAP91,False,Hippocampus,van_Rooij_et_al,1.8
COL19A1,ENSG00000082293,COL19A1,False,Hippocampus,van_Rooij_et_al,1.8
RIMBP2,ENSG00000060709,RIMBP2,False,Hippocampus,van_Rooij_et_al,1.8
LRFN2,ENSG00000156564,LRFN2,False,Hippocampus,van_Rooij_et_al,1.8
KCNS2,ENSG00000156486,KCNS2,False,Hippocampus,van_Rooij_et_al,1.8
CHRM3-AS2,ENSG00000233355,CHRM3-AS2,False,Hippocampus,van_Rooij_et_al,1.8
NPTXR,ENSG00000221890,NPTXR,False,Hippocampus,van_Rooij_et_al,1.8
SUSD4,ENSG00000143502,SUSD4,False,Hippocampus,van_Rooij_et_al,1.8
SH3GL2,ENSG00000107295,SH3GL2,False,Hippocampus,van_Rooij_et_al,1.8
CLSTN3,ENSG00000139182,CLSTN3,False,Hippocampus,van_Rooij_et_al,1.8
ROBO2,ENSG00000185008,ROBO2,False,Hippocampus,van_Rooij_et_al,1.8
C2orf80,ENSG00000188674,C2orf80,False,Hippocampus,van_Rooij_et_al,1.8
RHOV,ENSG00000104140,RHOV,False,Hippocampus,van_Rooij_et_al,1.8
NELL2,ENSG00000184613,NELL2,False,Hippocampus,van_Rooij_et_al,1.8
ADD2,ENSG00000075340,ADD2,False,Hippocampus,van_Rooij_et_al,1.8
OPCML-IT2,ENSG00000255371,OPCML-IT2,False,Hippocampus,van_Rooij_et_al,1.8
GFRA2,ENSG00000168546,GFRA2,False,Hippocampus,van_Rooij_et_al,1.8
GNG2,ENSG00000186469,GNG2,False,Hippocampus,van_Rooij_et_al,1.8
PKN1,ENSG00000123143,PKN1,False,Hippocampus,van_Rooij_et_al,1.8
GABRG2,ENSG00000113327,GABRG2,False,Hippocampus,van_Rooij_et_al,1.8
ICAM5,ENSG00000105376,ICAM5,False,Hippocampus,van_Rooij_et_al,1.8
GALNTL6-AS1,,GALNTL6-AS1,False,Hippocampus,van_Rooij_et_al,1.8
PCLO,ENSG00000186472,PCLO,False,Hippocampus,van_Rooij_et_al,1.8
NAP1L5,ENSG00000177432,NAP1L5,False,Hippocampus,van_Rooij_et_al,1.8
GAP43,ENSG00000172020,GAP43,False,Hippocampus,van_Rooij_et_al,1.8
FAM163B,ENSG00000196990,FAM163B,False,Hippocampus,van_Rooij_et_al,1.8
ABCD2,ENSG00000173208,ABCD2,False,Hippocampus,van_Rooij_et_al,1.8
SULT4A1,ENSG00000130540,SULT4A1,False,Hippocampus,van_Rooij_et_al,1.8
PGM2L1,ENSG00000165434,PGM2L1,False,Hippocampus,van_Rooij_et_al,1.8
TMEM130,ENSG00000166448,TMEM130,False,Hippocampus,van_Rooij_et_al,1.8
CDH18-AS1,ENSG00000249854,CDH18-AS1,False,Hippocampus,van_Rooij_et_al,1.8
CLSTN2-AS1,ENSG00000250433,CLSTN2-AS1,False,Hippocampus,van_Rooij_et_al,1.8
NSG2,ENSG00000170091,NSG2,False,Hippocampus,van_Rooij_et_al,1.8
NSG1,ENSG00000168824,NSG1,False,Hippocampus,van_Rooij_et_al,1.8
SH2D5,ENSG00000189410,SH2D5,False,Hippocampus,van_Rooij_et_al,1.8
KCNA4,ENSG00000182255,KCNA4,False,Hippocampus,van_Rooij_et_al,1.8
NEFM,ENSG00000104722,NEFM,False,Hippocampus,van_Rooij_et_al,1.8
HAPLN1,ENSG00000145681,HAPLN1,False,Hippocampus,van_Rooij_et_al,1.8
PACSIN1,ENSG00000124507,PACSIN1,False,Hippocampus,van_Rooij_et_al,1.8
C11orf87,ENSG00000185742,C11orf87,False,Hippocampus,van_Rooij_et_al,1.8
RAB3A,ENSG00000105649,RAB3A,False,Hippocampus,van_Rooij_et_al,1.8
SNX10-AS1,ENSG00000225792,SNX10-AS1,False,Hippocampus,van_Rooij_et_al,1.8
SOWAHB,ENSG00000186212,SOWAHB,False,Hippocampus,van_Rooij_et_al,1.8
GPR83,ENSG00000123901,GPR83,False,Hippocampus,van_Rooij_et_al,1.8
SLC6A17-AS1,ENSG00000227091,SLC6A17-AS1,False,Hippocampus,van_Rooij_et_al,1.8
TUBB3,ENSG00000258947,TUBB3,False,Hippocampus,van_Rooij_et_al,1.8
GPR158-AS1,ENSG00000233642,GPR158-AS1,False,Hippocampus,van_Rooij_et_al,1.8
LOC108254695,,LOC108254695,False,Hippocampus,van_Rooij_et_al,1.8
GABRB3,ENSG00000166206,GABRB3,False,Hippocampus,van_Rooij_et_al,1.8
PHYHIP,ENSG00000168490,PHYHIP,False,Hippocampus,van_Rooij_et_al,1.8
