gene_name	Marques-Coelho_MSSB_BA44	Panitch_et_al	Fischer_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	upregulated_count	downregulated_count
A2ML1	missing	missing	upregulated	missing	missing	1	0
A2ML1-AS1	missing	upregulated	missing	missing	missing	1	0
A4GALT	missing	upregulated	missing	missing	missing	1	0
A4GNT	missing	missing	missing	missing	downregulated	0	1
AASS	missing	missing	upregulated	missing	missing	1	0
ABCA1	missing	missing	upregulated	missing	missing	1	0
ABCA11P	missing	downregulated	missing	missing	missing	0	1
ABCA5	missing	downregulated	missing	missing	missing	0	1
ABCA6	upregulated	missing	missing	missing	missing	1	0
ABCA8	upregulated	missing	missing	missing	missing	1	0
ABCF3	missing	missing	downregulated	missing	missing	0	1
ABHD12	missing	missing	downregulated	missing	missing	0	1
ABHD16A	missing	missing	missing	upregulated	missing	1	0
ABHD2	missing	missing	upregulated	missing	missing	1	0
ABI3	missing	missing	missing	upregulated	missing	1	0
ABITRAM	missing	downregulated	missing	missing	missing	0	1
ABL1	missing	upregulated	missing	missing	missing	1	0
ABL2	missing	missing	upregulated	missing	missing	1	0
ABTB2	missing	upregulated	missing	missing	missing	1	0
ACACB	missing	missing	upregulated	missing	missing	1	0
ACAD9	missing	missing	downregulated	missing	missing	0	1
ACADSB	missing	downregulated	missing	missing	missing	0	1
ACAP2	missing	missing	upregulated	missing	missing	1	0
ACBD5	missing	missing	upregulated	missing	missing	1	0
ACER2	missing	missing	upregulated	missing	missing	1	0
ACO2	missing	missing	downregulated	missing	missing	0	1
ACOT8	missing	missing	downregulated	missing	missing	0	1
ACP1	missing	missing	downregulated	missing	missing	0	1
ACP2	missing	missing	downregulated	missing	missing	0	1
ACSL4	missing	downregulated	missing	missing	missing	0	1
ACTG1	missing	downregulated	missing	missing	missing	0	1
ACTR10	missing	downregulated	missing	missing	missing	0	1
ACTR6	missing	downregulated	missing	missing	missing	0	1
ACVR2B	missing	missing	upregulated	missing	missing	1	0
ADAD2	missing	missing	downregulated	missing	missing	0	1
ADAM11	missing	missing	downregulated	missing	missing	0	1
ADAM22	missing	downregulated	missing	missing	missing	0	1
ADAM33	missing	upregulated	missing	upregulated	missing	2	0
ADAMTS2	missing	upregulated	missing	missing	missing	1	0
ADAMTSL1	missing	missing	missing	downregulated	downregulated	0	2
ADAMTSL3	missing	upregulated	missing	missing	missing	1	0
ADAMTSL5	missing	upregulated	missing	missing	missing	1	0
ADAT2	missing	downregulated	missing	missing	missing	0	1
ADCY9	missing	missing	missing	upregulated	missing	1	0
ADCYAP1	downregulated	downregulated	downregulated	downregulated	downregulated	0	5
ADCYAP1R1	missing	missing	upregulated	missing	missing	1	0
ADGRB2	missing	missing	downregulated	missing	missing	0	1
ADGRG1	missing	missing	upregulated	missing	missing	1	0
ADH1B	missing	missing	upregulated	missing	missing	1	0
ADIPOR2	missing	upregulated	missing	missing	missing	1	0
ADISSP	missing	missing	downregulated	missing	missing	0	1
ADORA2A-AS1	missing	upregulated	missing	missing	missing	1	0
ADORA2BP1	missing	missing	missing	missing	upregulated	1	0
ADRA1D	downregulated	downregulated	missing	missing	downregulated	0	3
AEBP1	missing	upregulated	missing	upregulated	missing	2	0
AFDN	missing	missing	upregulated	missing	missing	1	0
AFF1	missing	missing	upregulated	missing	missing	1	0
AFF4	missing	missing	upregulated	missing	missing	1	0
AFG2A	missing	missing	upregulated	missing	missing	1	0
AGBL4-IT1	missing	downregulated	missing	missing	missing	0	1
AGFG2	missing	upregulated	upregulated	missing	missing	2	0
AGK-DT	missing	downregulated	missing	missing	missing	0	1
AGO4	missing	missing	upregulated	missing	missing	1	0
AGPAT1	missing	missing	downregulated	missing	missing	0	1
AHCYL2	missing	missing	upregulated	missing	missing	1	0
AHNAK	upregulated	missing	upregulated	upregulated	missing	3	0
AIDA	missing	missing	upregulated	missing	missing	1	0
AIFM3	missing	upregulated	missing	missing	missing	1	0
AIG1	missing	downregulated	missing	missing	missing	0	1
AIMP2	missing	missing	downregulated	missing	missing	0	1
AK3	missing	missing	upregulated	missing	missing	1	0
AK4	missing	missing	upregulated	missing	missing	1	0
AKR1A1	missing	missing	downregulated	missing	missing	0	1
ALDH1A1	missing	missing	missing	downregulated	missing	0	1
ALDH1L1	missing	missing	upregulated	missing	missing	1	0
ALG14	missing	missing	downregulated	missing	missing	0	1
ALKBH3	missing	missing	downregulated	missing	missing	0	1
ALOX12B	missing	downregulated	missing	missing	missing	0	1
AMN1	missing	downregulated	missing	missing	missing	0	1
AMOT	missing	missing	upregulated	missing	missing	1	0
ANAPC7	missing	missing	downregulated	missing	missing	0	1
ANGPT1	missing	upregulated	missing	missing	missing	1	0
ANGPT2	missing	upregulated	missing	missing	upregulated	2	0
ANKRD12	missing	missing	upregulated	missing	missing	1	0
ANKRD13C-DT	missing	downregulated	missing	missing	missing	0	1
ANKRD18DP	missing	downregulated	missing	missing	missing	0	1
ANKRD19P	missing	downregulated	missing	missing	missing	0	1
ANKRD24	missing	missing	downregulated	missing	missing	0	1
ANKRD33BP7	missing	missing	missing	missing	downregulated	0	1
ANKRD40CL	missing	upregulated	missing	missing	missing	1	0
ANKRD42-DT	missing	downregulated	missing	missing	missing	0	1
ANLN	missing	upregulated	missing	missing	upregulated	2	0
ANO6	missing	upregulated	upregulated	missing	missing	2	0
ANP32B	missing	missing	missing	upregulated	missing	1	0
ANTXR2	missing	missing	upregulated	missing	missing	1	0
ANXA2P3	missing	downregulated	missing	missing	missing	0	1
AP2A2	missing	missing	downregulated	missing	missing	0	1
AP2M1	missing	missing	downregulated	missing	missing	0	1
AP2S1	missing	missing	downregulated	missing	missing	0	1
AP4B1-AS1	missing	downregulated	missing	missing	missing	0	1
AP4S1	missing	downregulated	missing	missing	missing	0	1
APBB3	missing	downregulated	downregulated	missing	missing	0	2
APEX1	missing	upregulated	missing	missing	missing	1	0
APH1B	missing	missing	upregulated	missing	missing	1	0
APLN	missing	upregulated	missing	missing	upregulated	2	0
APLNR	upregulated	missing	missing	upregulated	missing	2	0
APOL3	upregulated	missing	missing	missing	missing	1	0
APOLD1	missing	missing	upregulated	missing	missing	1	0
APPL2	missing	missing	upregulated	missing	missing	1	0
APRT	missing	missing	downregulated	missing	missing	0	1
AQP11	missing	downregulated	missing	missing	missing	0	1
AQP6	missing	upregulated	missing	missing	upregulated	2	0
