gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000004059|ARF5	-0.281214129	2.49444e-08	AD	Control	160
ENSG00000003056|M6PR	-0.144371393	1.48597e-08	AD	Control	160
ENSG00000173153|ESRRA	-0.011111577	2.78316e-05	AD	Control	160
ENSG00000004478|FKBP4	0.078498769	1.6653e-05	AD	Control	160
ENSG00000003137|CYP26B1	0.013967862	2.91913e-05	AD	Control	160
ENSG00000003509|NDUFAF7	-0.077941977	1.74673e-06	AD	Control	160
ENSG00000001036|FUCA2	0.135269675	1.04648e-06	AD	Control	160
ENSG00000003249|DBNDD1	-0.001479054	3.04319e-05	AD	Control	160
ENSG00000002587|HS3ST1	-0.217473075	2.97843e-06	AD	Control	160
ENSG00000001617|SEMA3F	0.47726699	2.29083e-07	AD	Control	160
ENSG00000001626|CFTR	-0.202788274	5.04416e-06	AD	Control	160
ENSG00000001630|CYP51A1	0.115781127	4.11736e-06	AD	Control	160
ENSG00000048028|USP28	0.089083169	8.80945e-06	AD	Control	160
ENSG00000001460|STPG1	0.014368554	2.69451e-05	AD	Control	160
ENSG00000001461|NIPAL3	-0.227016032	3.03219e-07	AD	Control	160
ENSG00000002933|TMEM176A	0.314360476	3.07872e-07	AD	Control	160
ENSG00000003989|SLC7A2	1.580661801	1.09047e-25	AD	Control	160
ENSG00000004776|HSPB6	0.072264613	1.83149e-05	AD	Control	160
ENSG00000005801|ZNF195	-0.159750262	8.32929e-10	AD	Control	160
ENSG00000004799|PDK4	0.27753175	4.19014e-06	AD	Control	160
ENSG00000006606|CCL26	1.703796561	1.69645e-10	AD	Control	160
ENSG00000006611|USH1C	-0.686843535	2.66187e-08	AD	Control	160
ENSG00000006451|RALA	0.072640594	3.87251e-06	AD	Control	160
ENSG00000075790|BCAP29	-0.000823396	3.05104e-05	AD	Control	160
ENSG00000006453|BAIAP2L1	0.219651041	6.05863e-07	AD	Control	160
ENSG00000006116|CACNG3	-0.190151487	1.0315e-05	AD	Control	160
ENSG00000006118|TMEM132A	-0.050650426	1.91179e-05	AD	Control	160
ENSG00000004975|DVL2	-0.031740416	2.18907e-05	AD	Control	160
ENSG00000006625|GGCT	-0.17424309	8.12953e-07	AD	Control	160
ENSG00000005175|RPAP3	0.068853193	1.08677e-05	AD	Control	160
ENSG00000006652|IFRD1	0.200752388	1.22664e-07	AD	Control	160
ENSG00000007001|UPP2	0.120563121	8.6727e-06	AD	Control	160
