gene_name	log2_fold_change	FDR_adjusted_p_value	ref_allele	non_ref_allele	sample_size
ENSG00000004059|ARF5	-0.26063788333323	0.0506464310294662	AD	Control	238
ENSG00000003056|M6PR	-0.154369424894631	0.0675122977647737	AD	Control	238
ENSG00000173153|ESRRA	0.0535043500766309	0.503835320901997	AD	Control	238
ENSG00000004478|FKBP4	0.133967026595043	0.257243226622324	AD	Control	238
ENSG00000003137|CYP26B1	-0.319848479784533	0.0204487477250683	AD	Control	238
ENSG00000003509|NDUFAF7	-0.207537271136314	0.0545856087500142	AD	Control	238
ENSG00000001036|FUCA2	-0.0051555854022797	0.945787855480226	AD	Control	238
ENSG00000003249|DBNDD1	-0.0617110756443143	0.533298317213986	AD	Control	238
ENSG00000002587|HS3ST1	0.0218556873529582	0.890629865013025	AD	Control	238
ENSG00000001617|SEMA3F	0.547159259760893	0.0059364000941306	AD	Control	238
ENSG00000001626|CFTR	0.0863506195188886	0.529154553435045	AD	Control	238
ENSG00000001630|CYP51A1	-0.0770147894918625	0.615484178260507	AD	Control	238
ENSG00000048028|USP28	-0.0752502979806528	0.392407787457403	AD	Control	238
ENSG00000001460|STPG1	0.020199574121927	0.770170405496888	AD	Control	238
ENSG00000001461|NIPAL3	0.0211929200699302	0.799187685700987	AD	Control	238
ENSG00000002933|TMEM176A	0.386681444748441	0.014273815468741	AD	Control	238
ENSG00000003989|SLC7A2	0.382851280234853	0.0146247300065345	AD	Control	238
ENSG00000004776|HSPB6	0.161640416758808	0.493024991905632	AD	Control	238
ENSG00000005801|ZNF195	-0.0618658807742269	0.400992510700568	AD	Control	238
ENSG00000004799|PDK4	0.195411119366972	0.23359229176827	AD	Control	238
ENSG00000006606|CCL26	0.16766249672006	1.0	AD	Control	238
ENSG00000006611|USH1C	0.120355929050522	0.47623148415512	AD	Control	238
ENSG00000006451|RALA	-0.0342671960181181	0.577873411624655	AD	Control	238
ENSG00000075790|BCAP29	-0.187361777255606	0.0886692163638743	AD	Control	238
ENSG00000006453|BAIAP2L1	0.213255086974823	0.157165874871011	AD	Control	238
ENSG00000006116|CACNG3	-0.294714777679644	0.0353887719956573	AD	Control	238
ENSG00000006118|TMEM132A	-0.0103748012645407	0.9233489624301	AD	Control	238
ENSG00000004975|DVL2	0.0861763583869369	0.407549536258677	AD	Control	238
ENSG00000006625|GGCT	-0.376757672111652	0.0067746160945798	AD	Control	238
ENSG00000005175|RPAP3	-0.0391814392395758	0.416458541366741	AD	Control	238
ENSG00000006652|IFRD1	0.0797277322505446	0.419045781691391	AD	Control	238
ENSG00000007001|UPP2	-0.013354662490116	0.923598084400446	AD	Control	238
ENSG00000007038|PRSS21	0.170964393861781	1.0	AD	Control	238
ENSG00000005073|HOXA11	0.589497073256801	1.0	AD	Control	238
ENSG00000006210|CX3CL1	-0.193738117555364	0.0355794108887691	AD	Control	238
ENSG00000186654|PRR5	0.0441869079981279	0.732292079068769	AD	Control	238
ENSG00000007255|TRAPPC6A	-0.0608192230480367	0.631426885577393	AD	Control	238
ENSG00000006282|SPATA20	-0.0426210030335605	0.577525704963145	AD	Control	238
ENSG00000007306|CEACAM7	0.261637534811611	1.0	AD	Control	238
ENSG00000007312|CD79B	0.0905317776136955	0.730441977035786	AD	Control	238
ENSG00000005486|RHBDD2	-0.151482549762728	0.255171667547554	AD	Control	238
ENSG00000007376|RPUSD1	-0.0991451928105881	0.167600327925691	AD	Control	238
ENSG00000007520|TSR3	-0.0071264733967321	0.944781802026888	AD	Control	238
ENSG00000006025|OSBPL7	0.0827513078084517	0.532221971067315	AD	Control	238
ENSG00000004777|ARHGAP33	0.0177056175750315	0.925156223458282	AD	Control	238
ENSG00000004779|NDUFAB1	-0.403246314772635	0.0043483294124233	AD	Control	238
ENSG00000006047|YBX2	-0.0495266419318529	0.796860058917999	AD	Control	238
ENSG00000005882|PDK2	-0.0833634055251654	0.468864185594638	AD	Control	238
ENSG00000005884|ITGA3	0.0322525378425541	0.714282118280896	AD	Control	238
ENSG00000006059|KRT33A	0.168944658440397	1.0	AD	Control	238
ENSG00000010626|LRRC23	0.0145347869080402	0.885743785026396	AD	Control	238
ENSG00000008517|IL32	0.756039418224127	0.0003974044947244	AD	Control	238
ENSG00000008197|TFAP2D	0.294019629942662	1.0	AD	Control	238
ENSG00000010072|SPRTN	-0.0692884351636234	0.307502140384944	AD	Control	238
ENSG00000008405|CRY1	0.198048386657743	0.0274442089013624	AD	Control	238
ENSG00000008735|MAPK8IP2	-0.273534676315347	0.0016727618574493	AD	Control	238
ENSG00000008438|PGLYRP1	0.0019784322733833	0.992844521046168	AD	Control	238
ENSG00000010270|STARD3NL	-0.0469595015998004	0.56668807200996	AD	Control	238
ENSG00000008118|CAMK1G	-0.432544390022507	0.012047437917485	AD	Control	238
ENSG00000010278|CD9	0.287041522957767	0.0672012831523268	AD	Control	238
ENSG00000019582|CD74	0.651237511008783	0.0012926204927528	AD	Control	238
ENSG00000008988|RPS20	0.0649410066489087	0.479979573679691	AD	Control	238
ENSG00000010219|DYRK4	-0.0579500487372458	0.530205321981972	AD	Control	238
ENSG00000009780|FAM76A	0.0808533191786845	0.17004331024167	AD	Control	238
ENSG00000008394|MGST1	0.20239323178004	0.0823107709165708	AD	Control	238
ENSG00000091704|CPA1	0.274640991388459	0.390099750079863	AD	Control	238
ENSG00000008282|SYPL1	0.246300972812135	0.0078997094766221	AD	Control	238
ENSG00000010017|RANBP9	-0.160375874788833	0.0747512443863276	AD	Control	238
ENSG00000010610|CD4	0.307098453960095	0.0046055763169863	AD	Control	238
ENSG00000008323|PLEKHG6	0.210818583847061	0.164797773091542	AD	Control	238
ENSG00000008324|SS18L2	-0.0659232111996898	0.526345210586574	AD	Control	238
ENSG00000048707|VPS13D	-0.0448410273410079	0.527281902693982	AD	Control	238
ENSG00000011105|TSPAN9	0.0088487172137465	0.942710917958692	AD	Control	238
ENSG00000186115|CYP4F2	0.0387491316033193	0.911070488547373	AD	Control	238
ENSG00000011478|QPCTL	0.0316375825874476	0.721036030340038	AD	Control	238
ENSG00000010818|HIVEP2	-0.220220406352997	0.0036650019696535	AD	Control	238
ENSG00000011485|PPP5C	-0.0543080320516167	0.410117984859848	AD	Control	238
ENSG00000239672|NME1	-0.350636489108239	0.0398420468718939	AD	Control	238
