gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000004059|ARF5	-0.435165095	7.7613e-09	AD	Control	232
ENSG00000003056|M6PR	-0.11046399	4.31878e-06	AD	Control	232
ENSG00000173153|ESRRA	0.078567974	1.86127e-05	AD	Control	232
ENSG00000004478|FKBP4	0.285055577	1.9707e-07	AD	Control	232
ENSG00000003137|CYP26B1	-0.447796679	3.31202e-08	AD	Control	232
ENSG00000003509|NDUFAF7	-0.200406492	7.22566e-07	AD	Control	232
ENSG00000001036|FUCA2	0.194700967	2.02492e-08	AD	Control	232
ENSG00000003249|DBNDD1	-0.153149958	7.9848e-06	AD	Control	232
ENSG00000002587|HS3ST1	-0.023140895	2.70696e-05	AD	Control	232
ENSG00000001617|SEMA3F	0.819137051	2.67902e-09	AD	Control	232
ENSG00000001626|CFTR	0.049568637	2.01528e-05	AD	Control	232
ENSG00000001630|CYP51A1	-0.044293214	2.31346e-05	AD	Control	232
ENSG00000048028|USP28	-0.101864596	6.47775e-06	AD	Control	232
ENSG00000001460|STPG1	0.038117574	1.44707e-05	AD	Control	232
ENSG00000001461|NIPAL3	0.046279546	1.40838e-05	AD	Control	232
ENSG00000002933|TMEM176A	0.437732725	1.35328e-08	AD	Control	232
ENSG00000003989|SLC7A2	0.977861674	8.236180000000001e-18	AD	Control	232
ENSG00000004776|HSPB6	0.676088182	2.8754e-08	AD	Control	232
ENSG00000005801|ZNF195	-0.102239618	3.36395e-06	AD	Control	232
ENSG00000004799|PDK4	0.732532993	3.55822e-10	AD	Control	232
ENSG00000006606|CCL26	1.203126218	1.08246e-06	AD	Control	232
ENSG00000006611|USH1C	0.330144687	9.51937e-07	AD	Control	232
ENSG00000006451|RALA	0.153711967	7.15551e-07	AD	Control	232
ENSG00000075790|BCAP29	-0.206843335	6.56256e-07	AD	Control	232
ENSG00000006453|BAIAP2L1	0.237112823	1.40346e-06	AD	Control	232
ENSG00000006116|CACNG3	-0.638016836	1.90107e-11	AD	Control	232
ENSG00000006118|TMEM132A	0.083649956	1.78434e-05	AD	Control	232
ENSG00000004975|DVL2	0.081146807	1.54605e-05	AD	Control	232
ENSG00000006625|GGCT	-0.331781002	5.06391e-08	AD	Control	232
ENSG00000005175|RPAP3	-0.025766092	2.12767e-05	AD	Control	232
ENSG00000006652|IFRD1	0.201234666	5.14029e-07	AD	Control	232
ENSG00000007001|UPP2	-0.070610493	1.6367e-05	AD	Control	232
ENSG00000007038|PRSS21	0.106228128	2.65658e-05	AD	Control	232
ENSG00000006210|CX3CL1	-0.333642535	7.15926e-08	AD	Control	232
ENSG00000007255|TRAPPC6A	-0.170988531	4.27786e-06	AD	Control	232
ENSG00000006282|SPATA20	-0.1101166	1.02749e-05	AD	Control	232
ENSG00000007306|CEACAM7	0.138339071	3.06673e-05	AD	Control	232
ENSG00000007312|CD79B	0.464174842	1.4843e-06	AD	Control	232
ENSG00000005486|RHBDD2	-0.39796629	2.32826e-08	AD	Control	232
ENSG00000007376|RPUSD1	-0.014630506	2.83934e-05	AD	Control	232
ENSG00000007520|TSR3	-0.003151856	3.02006e-05	AD	Control	232
ENSG00000006025|OSBPL7	0.155693389	7.85194e-06	AD	Control	232
ENSG00000004777|ARHGAP33	0.190148485	9.51126e-06	AD	Control	232
ENSG00000004779|NDUFAB1	-0.339651447	6.0381e-08	AD	Control	232
ENSG00000006047|YBX2	0.089550514	2.05951e-05	AD	Control	232
ENSG00000005882|PDK2	-0.270060785	6.0044e-07	AD	Control	232
ENSG00000005884|ITGA3	-0.155123558	1.9184e-06	AD	Control	232
ENSG00000010626|LRRC23	0.132140142	2.99628e-06	AD	Control	232
ENSG00000008517|IL32	0.633850246	1.53727e-10	AD	Control	232
ENSG00000008197|TFAP2D	-0.187985364	2.48312e-05	AD	Control	232
ENSG00000010072|SPRTN	0.071965447	8.97107e-06	AD	Control	232
ENSG00000008405|CRY1	0.346895503	1.36466e-10	AD	Control	232
ENSG00000008735|MAPK8IP2	-0.356421026	7.17035e-08	AD	Control	232
ENSG00000008438|PGLYRP1	-0.146515417	1.13726e-05	AD	Control	232
ENSG00000010270|STARD3NL	0.032794948	1.99745e-05	AD	Control	232
ENSG00000008118|CAMK1G	-0.612129056	1.99934e-09	AD	Control	232
ENSG00000010278|CD9	0.375592373	9.22179e-08	AD	Control	232
ENSG00000019582|CD74	0.6108866	1.55926e-09	AD	Control	232
ENSG00000008988|RPS20	0.155792239	1.4039e-06	AD	Control	232
ENSG00000010219|DYRK4	-0.101838962	3.3047e-06	AD	Control	232
ENSG00000009780|FAM76A	0.008919333	2.75321e-05	AD	Control	232
ENSG00000008394|MGST1	0.335869912	1.52385e-08	AD	Control	232
ENSG00000091704|CPA1	0.402144422	5.36457e-06	AD	Control	232
ENSG00000008282|SYPL1	0.542211604	6.36016e-13	AD	Control	232
ENSG00000010017|RANBP9	-0.057458333	1.74515e-05	AD	Control	232
ENSG00000010610|CD4	0.42844435	3.68785e-11	AD	Control	232
ENSG00000008323|PLEKHG6	0.1964254	3.64107e-06	AD	Control	232
ENSG00000008324|SS18L2	-0.126082868	5.16593e-06	AD	Control	232
ENSG00000048707|VPS13D	-0.016233963	2.52759e-05	AD	Control	232
ENSG00000011105|TSPAN9	0.105712553	1.19949e-05	AD	Control	232
ENSG00000186115|CYP4F2	0.227271248	8.13355e-06	AD	Control	232
ENSG00000011478|QPCTL	-0.049152763	1.76286e-05	AD	Control	232
ENSG00000010818|HIVEP2	-0.235948953	1.31146e-09	AD	Control	232
ENSG00000011485|PPP5C	-0.18499632	5.96735e-08	AD	Control	232
ENSG00000239672|NME1	-0.510263174	5.0543e-09	AD	Control	232
ENSG00000012963|UBR7	0.061734875	1.80666e-05	AD	Control	232
ENSG00000012983|MAP4K5	0.271508918	1.67907e-09	AD	Control	232
ENSG00000241644|INMT	0.1883622	1.84974e-06	AD	Control	232
ENSG00000012061|ERCC1	-0.0597141	1.37695e-05	AD	Control	232
ENSG00000011198|ABHD5	0.159598858	5.55915e-07	AD	Control	232
ENSG00000013588|GPRC5A	0.333941969	2.81841e-08	AD	Control	232
ENSG00000013583|HEBP1	0.244087792	4.91094e-10	AD	Control	232
ENSG00000013563|DNASE1L1	-0.054555006	1.94656e-05	AD	Control	232
