MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000250796|AC112484.2	ad	control	319.00	-0.117	0.9071	-0	0.0	0.014	1	0.9074
ENSG00000107537|PHYH	ad	control	319.00	0.419	0.6755	+-	21.2	1.269	1	0.26
ENSG00000258227|CLEC5A	ad	control	319.00	3.154	0.001611	++	41.7	1.716	1	0.1902
ENSG00000228727|SAPCD1	ad	control	319.00	-0.544	0.5862	-0	0.0	0.294	1	0.5874
ENSG00000100027|YPEL1	ad	control	319.00	-1.024	0.3061	--	0.0	0.025	1	0.8734
ENSG00000080618|CPB2	ad	control	319.00	-1.338	0.181	-+	78.2	4.582	1	0.03231
ENSG00000253691|IGKV2OR22-4	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000282059|CICP19	ad	control	319.00	0.522	0.6014	++	0.0	0.154	1	0.6945
ENSG00000228997|AL136452.1	ad	control	319.00	-0.247	0.8049	+-	0.0	0.148	1	0.7001
ENSG00000198931|APRT	ad	control	319.00	-2.833	0.004614	-+	90.2	10.168	1	0.001429
ENSG00000149527|PLCH2	ad	control	319.00	-5.861	4.601e-09	--	91.4	11.581	1	0.0006664
ENSG00000106351|AGFG2	ad	control	319.00	6.532	6.482e-11	++	93.8	16.202	1	5.693e-05
ENSG00000262085|OR1P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000228861|RPL23AP12	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000252667|RNA5SP523	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
ENSG00000183560|IZUMO1R	ad	control	319.00	1.184	0.2365	+0	28.2	1.392	1	0.238
ENSG00000151498|ACAD8	ad	control	319.00	-1.764	0.07774	--	0.0	0.743	1	0.3888
ENSG00000235687|LINC00993	ad	control	319.00	0.654	0.513	++	0.0	0.103	1	0.7483
ENSG00000134852|CLOCK	ad	control	319.00	-0.087	0.9308	+-	73.1	3.717	1	0.05387
ENSG00000077454|LRCH4	ad	control	319.00	0.263	0.7929	-+	67.8	3.107	1	0.07797
ENSG00000137055|PLAA	ad	control	319.00	-0.658	0.5107	+-	75.1	4.015	1	0.0451
ENSG00000132554|RGS22	ad	control	319.00	1.913	0.05576	++	0.0	0.061	1	0.8054
ENSG00000235507|ZDHHC20P1	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
