chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
3	ENSG00000250796	AC112484.2	0.9168	-0.104	-0	Not differentially expressed	0.0	0.016	1	0.8987
10	ENSG00000107537	PHYH	0.7613	0.304	+-	Not differentially expressed	26.0	1.352	1	0.245
7	ENSG00000258227	CLEC5A	0.002637	3.007	++	Not differentially expressed	61.8	2.621	1	0.1055
6	ENSG00000228727	SAPCD1	0.626	-0.487	-0	Not differentially expressed	0.0	0.353	1	0.5523
22	ENSG00000100027	YPEL1	0.301	-1.034	--	Not differentially expressed	0.0	0.003	1	0.9552
13	ENSG00000080618	CPB2	0.264	-1.117	-+	Not differentially expressed	80.5	5.124	1	0.0236
19	ENSG00000282059	CICP19	0.6309	0.48	++	Not differentially expressed	0.0	0.196	1	0.6578
10	ENSG00000228997	AL136452.1	0.7762	-0.284	+-	Not differentially expressed	0.0	0.129	1	0.7199
16	ENSG00000198931	APRT	0.01243	-2.5	-+	Not differentially expressed	91.6	11.945	1	0.0005479
1	ENSG00000149527	PLCH2	3.992e-08	-5.491	--	Downregulated in AD	93.7	15.779	1	7.12e-05
7	ENSG00000106351	AGFG2	1.082e-09	6.097	++	Upregulated in AD	95.4	21.701	1	3.187e-06
17	ENSG00000262085	OR1P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
21	ENSG00000228861	RPL23AP12	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
11	ENSG00000183560	IZUMO1R	0.2893	1.06	+0	Not differentially expressed	40.1	1.671	1	0.1962
11	ENSG00000151498	ACAD8	0.06558	-1.841	--	Not differentially expressed	0.0	0.464	1	0.4959
10	ENSG00000235687	LINC00993	0.536	0.619	++	Not differentially expressed	0.0	0.148	1	0.7004
4	ENSG00000134852	CLOCK	0.7801	-0.279	+-	Not differentially expressed	72.6	3.646	1	0.0562
7	ENSG00000077454	LRCH4	0.6617	0.438	-+	Not differentially expressed	66.5	2.984	1	0.08408
9	ENSG00000137055	PLAA	0.3926	-0.855	+-	Not differentially expressed	73.1	3.717	1	0.05387
8	ENSG00000132554	RGS22	0.05386	1.928	++	Not differentially expressed	0.0	0.003	1	0.9571
X	ENSG00000196632	WNK3	0.2067	-1.263	--	Not differentially expressed	0.4	1.004	1	0.3163
10	ENSG00000096717	SIRT1	0.0567	1.906	++	Not differentially expressed	56.6	2.306	1	0.1289
X	ENSG00000233984	RPSAP14	0.418	-0.81	--	Not differentially expressed	0.0	0.863	1	0.353
17	ENSG00000161944	ASGR2	0.786	0.271	-+	Not differentially expressed	35.3	1.546	1	0.2137
7	ENSG00000136231	IGF2BP3	0.7284	-0.347	-+	Not differentially expressed	54.8	2.215	1	0.1367
21	ENSG00000160191	PDE9A	0.9832	-0.021	-+	Not differentially expressed	56.4	2.293	1	0.13
1	ENSG00000143740	SNAP47	0.3619	-0.912	+-	Not differentially expressed	44.9	1.814	1	0.1781
X	ENSG00000234969	AL627389.1	0.5077	-0.662	--	Not differentially expressed	0.0	0.121	1	0.7278
11	ENSG00000154127	UBASH3B	0.01278	-2.49	--	Not differentially expressed	59.1	2.446	1	0.1178
16	ENSG00000127585	FBXL16	0.2813	-1.077	--	Not differentially expressed	0.0	0.001	1	0.9779
9	ENSG00000165283	STOML2	0.4172	-0.811	+-	Not differentially expressed	0.0	0.547	1	0.4597
21	ENSG00000215317	THUMPD1P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
X	ENSG00000094841	UPRT	0.235	-1.187	+-	Not differentially expressed	12.6	1.144	1	0.2849
7	ENSG00000256646	AC010132.3	0.273	1.096	+-	Not differentially expressed	79.9	4.981	1	0.02563
3	ENSG00000075711	DLG1	0.3253	-0.984	-+	Not differentially expressed	59.1	2.448	1	0.1177
19	ENSG00000105366	SIGLEC8	0.01349	2.471	-+	Not differentially expressed	86.5	7.423	1	0.00644
3	ENSG00000228868	MYLKP1	0.6573	0.444	+0	Not differentially expressed	0.0	0.293	1	0.5884
16	ENSG00000204991	SPIRE2	0.1989	-1.285	-+	Not differentially expressed	79.0	4.76	1	0.02914
6	ENSG00000111961	SASH1	2.451e-08	5.577	++	Upregulated in AD	90.2	10.203	1	0.001402
1	ENSG00000162734	PEA15	0.9763	-0.03	-+	Not differentially expressed	0.0	0.398	1	0.5283
5	ENSG00000270225	MTCO2P22	0.3907	0.858	+0	Not differentially expressed	8.8	1.096	1	0.2951
11	ENSG00000154143	PANX3	0.7527	-0.315	-+	Not differentially expressed	0.0	0.156	1	0.6929
15	ENSG00000255346	NOX5	0.6185	-0.498	-+	Not differentially expressed	70.9	3.439	1	0.06366
16	ENSG00000167207	NOD2	0.006904	2.701	++	Not differentially expressed	0.0	0.466	1	0.4949
19	ENSG00000234906	APOC2	0.6881	-0.401	-+	Not differentially expressed	90.7	10.746	1	0.001045
2	ENSG00000243147	MRPL33	0.9492	-0.064	+-	Not differentially expressed	0.0	0.065	1	0.7991
17	ENSG00000265646	TUFMP1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
20	ENSG00000226188	HNRNPA1P3	0.9157	0.106	-+	Not differentially expressed	53.4	2.147	1	0.1428
9	ENSG00000240791	MTND4LP7	0.8805	0.15	+0	Not differentially expressed	0.0	0.034	1	0.8545
18	ENSG00000134759	ELP2	3.956e-06	-4.614	--	Not differentially expressed	90.6	10.586	1	0.001139
1	ENSG00000244020	MT1HL1	0.5367	0.618	+0	Not differentially expressed	0.0	0.568	1	0.4512
16	ENSG00000185164	NOMO2	0.01305	-2.482	--	Not differentially expressed	0.0	0.0	1	0.9864
21	ENSG00000142168	SOD1	0.08646	-1.714	--	Not differentially expressed	0.0	0.444	1	0.5053
