gene_symbol,gene_id,is_upregulated_in_AD,brain_region,study,quality_assessment
CYCS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRKAA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NCAN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UBE2N,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
IARS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KLHDC3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EHD3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC30A9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GPCPD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA0368,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRICKLE2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCN2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PITPNA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WDR7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HIST1H4E,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AREL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FARSA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
YPEL5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WDR17,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SMAP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DDX41,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP13A2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SHISA7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DDX24,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SDHA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LRRN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX8A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
BASP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DYRK2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PSMC3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VAMP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6AP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TSPYL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
P4HTM,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCAMP5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ZDBF2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRDX3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX6B1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HIGD1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SSTR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GPRIN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX5B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DDX1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NEDD8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PGAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CSRNP3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PIN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CACNG4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OCRL,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
REPS2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCOC,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM246,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFB9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
IMMT,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RTF1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAPK8IP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFB8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
USP5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAP3K9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCAI,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STMN3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA1324,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
BEX4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM81A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNMAL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GOLGA8B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NCKAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX6A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINGO1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V1F,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PIP4K2C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCTD17,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFA9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HAGH,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFV1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SHANK2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LGMN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
INPP5F,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADAM22,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ZBTB18,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GARS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LMBRD2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDFIP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CNTN3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
G3BP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
